date,open,high,low,close,adj_close,volume
2024-07-11,313.8,327.55,309.58,324.42,324.42,32754852
2024-07-12,326.22,335.32,314.51,316.65,316.65,44226856
2024-07-15,318.97,320.44,309.63,318.31,318.31,20045456
2024-07-16,318.68,328.78,316.31,317.88,317.88,28114492
2024-07-18,318.45,319.21,301.48,305.7,305.7,21811736
2024-07-19,303.09,310.58,292.94,301.48,301.48,23028906
2024-07-22,300.53,312.28,294.37,306.79,306.79,24374797
2024-07-23,310.06,311.81,257.06,291.33,291.33,62191875
2024-07-24,292.33,306.98,282.61,297.02,297.02,65099839
2024-07-25,296.17,308.11,292.28,300.2,300.2,32845784
2024-07-26,302.24,303.33,297.12,297.92,297.92,11528689
2024-07-29,299.63,303.04,295.17,300.62,300.62,15123187
2024-07-30,301.48,304.65,298.3,298.92,298.92,8676497
2024-07-31,300.43,300.58,295.32,296.03,296.03,6477202
2024-08-01,298.63,299.68,288.54,290.15,290.15,8439723
2024-08-02,284.37,295.98,281.09,290.29,290.29,10251946
2024-08-05,276.02,283.8,271.42,275.07,275.07,15959538
2024-08-06,283.09,288.35,269.34,270.95,270.95,13874339
2024-08-07,279.67,284.13,272.37,282.99,282.99,9510995
2024-08-08,282.04,283.84,273.04,274.27,274.27,9655442
2024-08-09,277.3,283.46,273.04,277.02,277.02,11136585
2024-08-12,279.67,296.64,278.11,284.51,284.51,28812166
2024-08-13,293.61,293.61,270.19,272.61,272.61,15275331
2024-08-14,277.82,278.72,271.14,273.04,273.04,7373985
2024-08-16,275.5,278.91,271.14,276.64,276.64,7591926
2024-08-19,276.83,282.33,273.98,274.84,274.84,7519534
2024-08-20,276.12,276.69,267.49,269.2,269.2,6249016
2024-08-21,269.72,274.41,268.34,270.33,270.33,5274462
2024-08-22,272.18,277.49,269.62,270.62,270.62,8212130
2024-08-23,271.76,272.18,268.53,269.58,269.58,3954334
2024-08-26,271.14,271.52,263.08,263.93,263.93,6022543
2024-08-27,264.5,268.11,263.03,264.17,264.17,4550366
2024-08-28,265.78,284.13,264.31,274.88,274.88,38822559
2024-08-29,274.84,282.23,270.38,278.39,278.39,13623996
2024-08-30,281.14,282.04,262.61,266.07,266.07,24250054
2024-09-02,265.4,267.16,259.01,260.24,260.24,9681245
2024-09-03,260.24,262.42,258.44,259.24,259.24,4970658
2024-09-04,255.02,257.35,251.23,252.65,252.65,7348737
2024-09-05,253.84,255.45,247.72,248.39,248.39,6606159
2024-09-06,248.39,250.71,239.95,240.9,240.9,8964703
2024-09-09,240.76,245.16,233.5,238.81,238.81,10430112
2024-09-10,239.95,242.79,237.72,240.04,240.04,7061118
2024-09-11,241.13,243.93,232.27,233.17,233.17,7044646
2024-09-12,234.5,243.55,233.27,240.9,240.9,12471133
2024-09-13,243.15,245.21,238.74,241.86,241.86,6741004
2024-09-16,242.86,244.01,235.92,236.87,236.87,4579642
