date,open,high,low,close,adj_close,volume
2024-10-22,1915.45,1951.1,1789.67,1802.15,1802.15,28619978
2024-10-23,1797.79,1910.4,1792.64,1878.65,1878.65,7729113
2024-10-24,1909.46,1915.3,1835.67,1853.25,1853.25,3271622
2024-10-25,1853.05,1866.18,1765.9,1826.06,1826.06,3219776
2024-10-28,1826.06,1830.92,1777.78,1786.05,1786.05,1341337
2024-10-29,1790.61,1790.61,1735.19,1741.63,1741.63,2446675
2024-10-30,1752.97,1825.42,1743.76,1814.48,1814.48,1516619
2024-10-31,1805.51,1825.27,1797.74,1805.07,1805.07,522279
2024-11-01,1807.49,1830.27,1807.49,1814.72,1814.72,158166
2024-11-04,1814.67,1823.34,1778.87,1797.04,1797.04,926694
2024-11-05,1785.06,1822.35,1782.73,1810.71,1810.71,889751
2024-11-06,1808.48,1850.48,1805.61,1835.72,1835.72,903413
2024-11-07,1823.98,1832.15,1808.48,1816.06,1816.06,650585
2024-11-08,1812.64,1829.88,1792.24,1822.5,1822.5,577813
2024-11-11,1812.45,1847.11,1802.54,1804.57,1804.57,445794
2024-11-12,1808.68,1824.58,1755.2,1786.65,1786.65,1069276
2024-11-13,1769.86,1777.78,1697.56,1723.26,1723.26,1500153
2024-11-14,1733.16,1761.93,1699.64,1748.81,1748.81,580587
2024-11-18,1735.09,1742.13,1672.3,1713.21,1713.21,1599438
2024-11-19,1716.38,1831.26,1712.41,1812.25,1812.25,1824631
2024-11-21,1802.49,1841.17,1768.92,1808.04,1808.04,1171989
2024-11-22,1808.04,1820.37,1793.88,1812.64,1812.64,436515
2024-11-25,1817.45,1842.16,1814.48,1835.57,1835.57,791187
2024-11-26,1837.11,1892.67,1835.57,1861.97,1861.97,825461
2024-11-27,1887.02,1908.12,1876.82,1889.15,1889.15,894423
2024-11-28,1871.87,1899.4,1856.17,1884.4,1884.4,692877
2024-11-29,1886.92,1920.4,1878.85,1898.17,1898.17,1301843
2024-12-02,1857.01,1897.08,1852.31,1862.86,1862.86,476433
2024-12-03,1866.92,1871.72,1807.99,1831.46,1831.46,961607
2024-12-04,1822.6,1858.99,1822.6,1854.24,1854.24,640379
2024-12-05,1857.91,1880.68,1848.4,1860.03,1860.03,506260
2024-12-06,1858.0,1861.97,1835.82,1840.67,1840.67,612872
2024-12-09,1840.67,1853.05,1806.5,1809.13,1809.13,403251
2024-12-10,1812.4,1825.27,1802.54,1815.86,1815.86,367019
2024-12-11,1822.35,1822.35,1801.55,1805.91,1805.91,337783
2024-12-12,1752.08,1843.15,1751.68,1781.35,1781.35,1048206
2024-12-13,1782.73,1791.35,1743.12,1755.0,1755.0,569711
2024-12-16,1755.0,1806.6,1749.31,1799.97,1799.97,545726
2024-12-17,1799.97,1813.44,1784.76,1806.75,1806.75,312411
2024-12-18,1803.04,1805.46,1772.83,1778.62,1778.62,324766
2024-12-19,1768.03,1774.81,1749.06,1770.3,1770.3,430008
2024-12-20,1776.05,1790.61,1741.14,1749.26,1749.26,531540
2024-12-23,1762.48,1768.87,1721.33,1735.79,1735.79,335306
2024-12-24,1745.2,1753.02,1732.57,1748.27,1748.27,192311
2024-12-26,1748.27,1769.81,1733.21,1760.75,1760.75,257169
2024-12-27,1760.75,1787.98,1758.96,1774.91,1774.91,223552
2024-12-30,1764.31,1787.54,1758.96,1779.37,1779.37,211968
2024-12-31,1777.73,1802.54,1769.41,1788.77,1788.77,231141
2025-01-01,1782.73,1787.69,1773.82,1782.14,1782.14,130344
2025-01-02,1774.12,1836.22,1774.12,1801.2,1801.2,624221
2025-01-03,1804.47,1816.8,1794.67,1811.11,1811.11,246250
2025-01-06,1793.63,1831.26,1780.36,1783.87,1783.87,395362
2025-01-07,1785.75,1831.16,1785.75,1815.42,1815.42,925887
2025-01-08,1802.54,1809.03,1782.78,1794.02,1794.02,289586
2025-01-09,1784.71,1789.81,1749.06,1768.42,1768.42,445286
2025-01-10,1763.92,1781.74,1757.38,1770.45,1770.45,543447
2025-01-13,1751.44,1765.5,1730.39,1750.0,1750.0,433775
2025-01-14,1750.0,1789.67,1747.18,1764.96,1764.96,330495
2025-01-15,1772.83,1800.56,1758.96,1778.28,1778.28,569286
2025-01-16,1774.76,1807.39,1773.82,1799.67,1799.67,542776
