date,open,high,low,close,adj_close,volume
2024-07-11,1226.25,1237.52,1205.29,1218.48,1218.48,
2024-07-12,1215.97,1232.69,1210.26,1213.02,1213.02,
2024-07-15,1213.21,1218.48,1204.31,1210.11,1210.11,
2024-07-16,1210.16,1224.92,1209.18,1219.9,1219.9,
2024-07-18,1214.98,1236.19,1211.84,1230.14,1230.14,
2024-07-19,1223.94,1230.33,1220.25,1228.51,1228.51,
2024-07-22,1220.0,1225.22,1213.02,1221.13,1221.13,
2024-07-23,1221.13,1228.51,1192.95,1206.97,1206.97,
2024-07-24,1205.24,1213.76,1182.66,1203.28,1203.28,
2024-07-25,1186.06,1198.6,1171.4,1178.58,1178.58,
2024-07-26,1170.81,1200.33,1166.82,1187.73,1187.73,
2024-07-29,1195.55,1222.71,1184.73,1193.14,1193.14,
2024-07-30,1193.44,1211.0,1184.98,1189.95,1189.95,
2024-07-31,1199.34,1204.9,1191.47,1195.31,1195.31,
2024-08-01,1192.95,1202.93,1187.44,1190.58,1190.58,
2024-08-02,1177.7,1182.27,1170.91,1177.25,1177.25,
2024-08-05,1162.94,1169.73,1148.18,1153.69,1153.69,
2024-08-06,1156.05,1168.55,1142.77,1148.03,1148.03,
2024-08-07,1159.94,1160.77,1142.87,1153.54,1153.54,
2024-08-08,1148.13,1155.46,1140.21,1145.82,1145.82,
2024-08-09,1157.58,1161.9,1150.15,1152.71,1152.71,
2024-08-12,1162.03,1169.23,1147.15,1163.82,1163.82,
2024-08-13,1174.14,1180.14,1154.69,1159.4,1159.4,
2024-08-14,1158.06,1161.09,1144.17,1152.76,1152.76,
2024-08-16,1161.04,1183.87,1156.72,1178.16,1178.16,
2024-08-19,1181.88,1186.59,1164.32,1166.9,1166.9,
2024-08-20,1165.21,1180.69,1161.04,1170.42,1170.42,
2024-08-21,1167.99,1169.63,1156.18,1165.85,1165.85,
2024-08-22,1172.95,1183.47,1167.59,1181.98,1181.98,
2024-08-23,1183.87,1195.77,1179.45,1194.28,1194.28,
2024-08-26,1196.32,1205.65,1191.85,1204.01,1204.01,
2024-08-27,1204.01,1223.06,1199.64,1216.96,1216.96,
2024-08-28,1213.29,1217.01,1207.98,1214.48,1214.48,
2024-08-29,1209.62,1225.54,1207.68,1212.54,1212.54,
2024-08-30,1220.58,1226.09,1209.57,1219.79,1219.79,
2024-09-02,1229.51,1229.71,1213.14,1220.53,1220.53,
2024-09-03,1217.8,1241.37,1211.06,1238.15,1238.15,
2024-09-04,1230.36,1234.18,1223.36,1226.88,1226.88,
2024-09-05,1228.52,1235.32,1221.87,1226.49,1226.49,
2024-09-06,1216.56,1224.45,1195.77,1198.9,1198.9,
2024-09-09,1193.69,1228.82,1191.26,1225.54,1225.54,
2024-09-10,1227.48,1231.84,1217.6,1227.83,1227.83,
2024-09-11,1222.07,1229.81,1217.01,1226.88,1226.88,
2024-09-12,1228.52,1247.38,1216.96,1242.56,1242.56,
2024-09-13,1242.41,1246.33,1232.54,1240.78,1240.78,
