date,open,high,low,close,adj_close,volume
2024-07-11,1853.38,1860.68,1838.78,1848.84,1848.84,400733
2024-07-12,1848.84,1852.88,1833.1,1840.06,1840.06,126088
2024-07-15,1841.88,1855.5,1828.47,1851.3,1851.3,181341
2024-07-16,1839.76,1877.55,1837.35,1847.75,1847.75,981612
2024-07-18,1850.22,1890.07,1838.68,1884.7,1884.7,1156392
2024-07-19,1874.34,1888.54,1842.92,1855.94,1855.94,648489
2024-07-22,1867.38,1888.1,1836.31,1870.64,1870.64,1590295
2024-07-23,1894.02,1898.95,1831.72,1854.91,1854.91,1213581
2024-07-24,1854.91,1896.53,1851.65,1883.81,1883.81,947140
2024-07-25,1876.26,1938.41,1861.17,1933.97,1933.97,1248295
2024-07-26,1931.5,1953.26,1925.78,1940.68,1940.68,796946
2024-07-29,1942.36,1975.9,1931.36,1941.37,1941.37,1376808
2024-07-30,1936.83,1976.88,1896.83,1940.93,1940.93,1466306
2024-07-31,1933.48,1992.67,1932.98,1980.63,1980.63,956425
2024-08-01,1997.25,2003.52,1966.57,1977.23,1977.23,397222
2024-08-02,1957.15,1980.63,1950.25,1956.46,1956.46,238801
2024-08-05,1932.98,1969.43,1889.14,1912.96,1912.96,505232
2024-08-06,1923.61,1952.07,1879.27,1887.36,1887.36,493145
2024-08-07,1907.83,1926.33,1902.9,1908.87,1908.87,667189
2024-08-08,1910.79,1955.13,1909.8,1943.34,1943.34,993016
2024-08-09,1953.21,1963.02,1934.22,1939.35,1939.35,721536
2024-08-12,1946.6,1958.14,1916.71,1925.04,1925.04,611318
2024-08-13,1930.42,1964.4,1903.88,1920.9,1920.9,974239
2024-08-14,1920.65,1953.21,1913.8,1951.18,1951.18,749866
2024-08-16,1976.14,2019.1,1950.2,2009.14,2009.14,1194117
2024-08-19,2015.8,2022.26,1966.08,1986.8,1986.8,570280
2024-08-20,1997.3,2057.77,1984.87,2036.12,2036.12,1634070
2024-08-21,2041.99,2042.04,2018.96,2032.03,2032.03,624633
2024-08-22,2032.12,2062.7,2022.01,2055.01,2055.01,923088
2024-08-23,2061.18,2090.62,2056.89,2068.43,2068.43,703497
2024-08-26,2079.48,2098.91,2052.05,2093.53,2093.53,995347
2024-08-27,2095.26,2130.77,2073.06,2124.21,2124.21,1057812
2024-08-28,2134.67,2141.57,2104.38,2112.92,2112.92,618057
2024-08-29,2111.04,2118.29,2082.43,2109.41,2109.41,611596
2024-08-30,2120.31,2153.46,2098.32,2112.77,2112.77,2816240
2024-09-02,2113.01,2177.83,2113.01,2156.07,2156.07,746937
2024-09-03,2165.1,2186.61,2119.18,2178.22,2178.22,798222
2024-09-04,2172.84,2232.38,2160.41,2220.24,2220.24,1189741
2024-09-05,2224.49,2253.09,2214.08,2224.93,2224.93,1041552
2024-09-06,2228.43,2254.08,2217.04,2231.1,2231.1,828004
2024-09-09,2230.95,2242.69,2152.47,2202.19,2202.19,604737
2024-09-10,2198.44,2213.09,2116.37,2131.86,2131.86,1525808
2024-09-11,2142.21,2150.25,2097.08,2101.13,2101.13,492325
2024-09-12,2112.97,2127.81,2083.42,2093.73,2093.73,766593
2024-09-13,2096.15,2112.32,2076.56,2080.71,2080.71,341976
2024-09-16,2085.39,2087.42,2058.76,2066.55,2066.55,294160
2024-09-17,2066.55,2084.7,2048.4,2074.54,2074.54,542676
2024-09-18,2078.49,2117.9,2062.46,2111.49,2111.49,602154
2024-09-19,2120.91,2189.96,2118.98,2170.23,2170.23,2268811
2024-09-20,2189.96,2223.99,2172.84,2203.82,2203.82,1452094
2024-09-23,2209.69,2270.75,2205.35,2244.41,2244.41,458636
2024-09-24,2239.28,2260.84,2186.01,2195.88,2195.88,714781
2024-09-25,2200.76,2243.97,2185.82,2237.31,2237.31,383695
2024-09-26,2244.17,2247.96,2206.88,2226.95,2226.95,385086
2024-09-27,2226.95,2228.43,2170.38,2207.86,2207.86,1640821
2024-09-30,2206.24,2209.49,2128.31,2144.98,2144.98,1521922
2024-10-01,2138.71,2184.29,2115.97,2124.75,2124.75,381613
2024-10-03,2110.89,2144.53,2100.73,2106.31,2106.31,444205
2024-10-04,2111.04,2130.72,2088.25,2097.82,2097.82,470353
2024-10-07,2120.91,2136.49,2052.35,2072.37,2072.37,448450
2024-10-08,2072.37,2089.73,2032.12,2071.73,2071.73,1041555
2024-10-09,2085.39,2090.08,2041.99,2055.55,2055.55,411516
2024-10-10,2069.61,2086.38,2047.12,2051.85,2051.85,236249
2024-10-11,2065.66,2065.66,2033.21,2039.38,2039.38,449392
2024-10-14,2037.06,2068.13,2022.75,2061.08,2061.08,325426
2024-10-15,2070.6,2105.37,2054.86,2074.74,2074.74,719252
2024-10-16,2083.27,2115.97,2036.51,2047.51,2047.51,585502
2024-10-17,2056.29,2056.29,2005.29,2012.84,2012.84,665718
2024-10-18,2015.35,2015.35,1961.64,1993.6,1993.6,508530
2024-10-21,2006.48,2066.01,1980.88,1996.96,1996.96,1651160
2024-10-22,1993.65,2015.9,1949.16,1959.37,1959.37,1256193
2024-10-23,1959.77,1976.88,1924.21,1932.44,1932.44,456048
