date,open,high,low,close,adj_close,volume
2024-07-11,657.94,661.03,647.19,650.23,650.23,1902488
2024-07-12,649.88,654.06,646.35,648.04,648.04,699764
2024-07-15,649.38,658.44,647.14,651.12,651.12,690148
2024-07-16,651.22,659.58,636.49,651.22,651.22,2086000
2024-07-18,645.4,653.86,637.09,651.67,651.67,1388472
2024-07-19,647.89,649.83,634.45,640.33,640.33,1283956
2024-07-22,636.99,641.42,627.99,630.77,630.77,1385767
2024-07-23,633.91,639.68,608.33,635.35,635.35,2765631
2024-07-24,631.97,694.17,631.92,690.93,690.93,9280093
2024-07-25,686.7,700.49,681.78,698.35,698.35,2873383
2024-07-26,699.44,727.96,698.25,721.44,721.44,3800832
2024-07-29,721.44,725.67,712.58,715.61,715.61,898295
2024-07-30,719.35,729.85,694.72,720.39,720.39,2695889
2024-07-31,720.39,736.07,716.11,732.43,732.43,971621
2024-08-01,732.19,738.65,727.06,731.19,731.19,1988202
2024-08-02,728.3,735.47,721.54,725.12,725.12,1512837
2024-08-05,701.63,722.38,701.63,710.79,710.79,2269484
2024-08-06,714.57,723.43,694.02,696.71,696.71,1350870
2024-08-07,704.87,725.02,701.63,722.58,722.58,1472564
2024-08-08,719.1,740.45,713.62,735.12,735.12,1931611
2024-08-09,737.56,743.08,732.24,735.72,735.72,1246603
2024-08-12,727.61,737.46,722.73,725.27,725.27,1376694
2024-08-13,726.51,735.77,716.86,720.84,720.84,1166273
2024-08-14,722.13,725.07,711.58,714.77,714.77,639172
2024-08-16,707.6,719.05,699.29,716.61,716.61,2069373
2024-08-19,716.56,721.04,711.14,716.61,716.61,472715
2024-08-20,716.36,744.73,715.96,738.95,738.95,2867974
2024-08-21,744.97,748.86,735.42,737.91,737.91,2726706
2024-08-22,741.29,745.27,727.81,729.5,729.5,1634542
2024-08-23,731.34,737.61,724.72,728.45,728.45,1079889
2024-08-26,728.5,728.5,712.03,719.79,719.79,1397958
2024-08-27,719.84,744.28,717.56,740.59,740.59,3156537
2024-08-28,737.46,747.06,732.58,741.04,741.04,1750966
2024-08-29,736.56,750.6,734.92,738.75,738.75,1080111
2024-08-30,738.46,751.14,734.97,749.55,749.55,1838816
2024-09-02,751.39,755.37,745.22,749.85,749.85,945318
2024-09-03,751.59,761.89,742.49,760.05,760.05,1757723
2024-09-04,756.87,767.71,752.19,765.67,765.67,1065130
2024-09-05,769.21,769.21,752.39,754.43,754.43,1346555
2024-09-06,753.38,756.67,744.48,747.06,747.06,812409
2024-09-09,746.32,763.04,745.82,754.53,754.53,1208039
2024-09-10,751.39,753.08,736.81,742.44,742.44,1528123
2024-09-11,742.44,755.52,738.16,747.31,747.31,1481524
2024-09-12,748.81,758.56,745.22,752.04,752.04,728253
2024-09-13,753.38,761.1,749.25,751.64,751.64,930947
2024-09-16,747.61,753.18,741.99,746.32,746.32,509408
2024-09-17,745.42,749.4,739.3,746.42,746.42,1012567
2024-09-18,749.4,757.26,741.44,747.06,747.06,831311
2024-09-19,745.42,761.79,744.48,751.49,751.49,1508403
2024-09-20,755.17,767.22,751.39,764.33,764.33,1602126
2024-09-23,764.33,789.21,762.34,787.27,787.27,1326368
2024-09-24,786.52,791.2,763.53,771.99,771.99,1308591
2024-09-25,769.11,772.24,757.86,769.95,769.95,1359054
2024-09-26,769.95,784.83,763.29,778.46,778.46,1233639
2024-09-27,766.32,790.21,766.32,785.73,785.73,1986359
2024-09-30,790.01,790.01,773.54,776.42,776.42,801207
2024-10-01,776.42,792.99,759.9,763.53,763.53,1138660
2024-10-03,758.41,761.35,745.37,753.83,753.83,722266
2024-10-04,753.83,766.97,748.16,752.14,752.14,1002583
2024-10-07,752.14,756.82,735.67,741.39,741.39,629532
2024-10-08,740.45,744.43,722.73,739.05,739.05,1690785
2024-10-09,743.43,760.8,736.71,752.04,752.04,1429943
2024-10-10,752.54,758.01,739.45,742.04,742.04,375514
2024-10-11,741.79,745.42,728.75,739.0,739.0,980855
2024-10-14,738.8,740.94,728.06,735.62,735.62,721738
2024-10-15,738.11,755.82,724.57,730.24,730.24,1645712
2024-10-16,730.1,750.99,730.1,741.84,741.84,1139316
2024-10-17,741.84,749.8,728.1,731.64,731.64,734313
2024-10-18,728.55,745.02,719.7,741.79,741.79,410104
2024-10-21,744.87,751.74,738.85,746.02,746.02,588290
2024-10-22,747.11,757.71,725.07,727.56,727.56,1428918
2024-10-23,697.85,756.22,697.85,742.88,742.88,1719740
2024-10-24,743.43,773.14,741.09,764.33,764.33,1290728
2024-10-25,769.11,770.8,727.16,739.3,739.3,1761993
2024-10-28,736.96,750.99,732.19,745.97,745.97,596587
2024-10-29,745.97,770.2,728.95,764.73,764.73,1387142
2024-10-30,762.84,764.33,742.14,743.98,743.98,956924
2024-10-31,744.18,752.39,732.88,737.46,737.46,602669
2024-11-01,734.57,746.42,734.57,741.39,741.39,69849
2024-11-04,740.45,741.24,726.56,732.28,732.28,653599
2024-11-05,729.0,735.42,698.94,728.65,728.65,1932380
2024-11-06,728.01,730.39,709.59,712.83,712.83,864875
2024-11-07,717.8,717.8,708.35,710.44,710.44,510043
2024-11-08,705.76,716.51,704.47,706.96,706.96,489019
2024-11-11,702.63,707.95,695.71,700.94,700.94,507892
2024-11-12,701.33,707.85,694.91,698.75,698.75,1105532
2024-11-13,688.94,697.8,681.73,684.71,684.71,562534
2024-11-14,686.5,696.11,684.76,690.58,690.58,542297
2024-11-18,683.72,695.41,679.74,689.89,689.89,509365
2024-11-19,691.68,692.63,665.11,681.93,681.93,2346510
2024-11-21,676.75,685.36,672.77,675.31,675.31,385143
2024-11-22,672.77,691.68,667.79,683.92,683.92,358244
