date,open,high,low,close,adj_close,volume
2024-07-11,16.76,16.84,16.52,16.56,16.56,
2024-07-12,16.76,16.83,16.0,16.09,16.09,
2024-07-15,16.1,16.73,15.78,16.68,16.68,
2024-07-16,17.54,17.67,16.67,16.8,16.8,
2024-07-18,16.69,16.69,15.91,16.27,16.27,
2024-07-19,16.37,16.43,15.82,15.87,15.87,
2024-07-22,15.77,16.05,15.65,15.89,15.89,
2024-07-23,15.9,15.91,14.57,15.28,15.28,
2024-07-24,15.3,15.66,15.21,15.58,15.58,
2024-07-25,15.3,15.42,15.03,15.18,15.18,
2024-07-26,15.42,16.14,15.4,15.98,15.98,
2024-07-29,16.0,16.42,15.93,16.05,16.05,
2024-07-30,16.03,16.28,15.99,16.21,16.21,
2024-07-31,16.31,16.52,16.22,16.27,16.27,
2024-08-01,16.36,16.37,15.87,15.99,15.99,
2024-08-02,15.8,16.42,15.75,16.12,16.12,
2024-08-05,15.61,15.81,15.05,15.36,15.36,
2024-08-06,15.7,15.83,15.11,15.17,15.17,
2024-08-07,15.6,15.78,15.37,15.72,15.72,
2024-08-08,15.75,16.25,15.57,15.86,15.86,
2024-08-09,16.3,16.35,16.01,16.1,16.1,
2024-08-12,16.12,16.22,15.82,16.01,16.01,
2024-08-13,16.19,16.19,15.42,15.47,15.47,
2024-08-14,15.63,16.02,15.48,15.79,15.79,
2024-08-16,15.96,16.0,15.67,15.88,15.88,
2024-08-19,15.87,16.04,15.72,15.95,15.95,
2024-08-20,16.06,16.29,15.91,15.94,15.94,
2024-08-21,15.99,16.1,15.86,15.94,15.94,
2024-08-22,15.95,16.29,15.91,16.2,16.2,
2024-08-23,16.28,16.34,15.74,15.82,15.82,
2024-08-26,15.96,15.98,15.62,15.79,15.79,
2024-08-27,15.75,16.18,15.65,16.04,16.04,
2024-08-28,16.05,16.17,15.82,15.97,15.97,
2024-08-29,16.4,16.55,15.97,16.3,16.3,
2024-08-30,16.44,16.44,15.39,15.64,15.64,
2024-09-02,15.58,15.58,14.81,15.05,15.05,
2024-09-03,15.1,15.26,15.0,15.11,15.11,
2024-09-04,15.08,15.1,14.77,14.83,14.83,
2024-09-05,14.9,15.22,14.8,15.09,15.09,
2024-09-06,14.74,14.76,12.92,13.35,13.35,
2024-09-09,13.35,13.58,12.98,13.2,13.2,
2024-09-10,13.3,13.73,13.3,13.53,13.53,
2024-09-11,13.74,13.77,13.03,13.14,13.14,
2024-09-12,13.36,13.65,12.83,13.52,13.52,
2024-09-13,13.65,13.66,13.36,13.41,13.41,
2024-09-16,13.5,13.5,13.12,13.24,13.24,
2024-09-17,13.25,13.28,13.07,13.12,13.12,
2024-09-18,13.1,13.16,12.83,12.9,12.9,
2024-09-19,12.99,13.02,10.0,10.38,10.38,
2024-09-20,10.35,10.58,9.79,10.47,10.47,
2024-09-23,11.27,11.94,10.72,10.82,10.82,
2024-09-24,10.82,10.99,10.52,10.67,10.67,
2024-09-25,10.69,10.73,10.33,10.36,10.36,
2024-09-26,10.39,10.5,10.12,10.38,10.38,
2024-09-27,10.64,10.97,10.5,10.66,10.66,
2024-09-30,10.65,10.68,10.32,10.36,10.36,
2024-10-01,10.35,10.53,10.06,10.17,10.17,
2024-10-03,10.13,10.16,9.81,9.87,9.87,
2024-10-04,9.87,10.06,9.63,9.79,9.79,
2024-10-07,9.79,9.81,8.9,9.16,9.16,
2024-10-08,9.05,9.55,9.03,9.5,9.5,
2024-10-09,9.54,9.58,9.16,9.19,9.19,
2024-10-10,9.21,9.44,9.19,9.31,9.31,
2024-10-11,9.27,9.28,9.08,9.18,9.18,
2024-10-14,9.23,9.23,9.02,9.09,9.09,
2024-10-15,9.11,9.42,9.0,9.12,9.12,
2024-10-16,9.15,9.49,9.11,9.29,9.29,
2024-10-17,9.31,9.39,9.03,9.05,9.05,
2024-10-18,9.05,9.1,8.86,9.02,9.02,
2024-10-21,9.09,9.1,8.42,8.5,8.5,
2024-10-22,8.52,8.73,8.36,8.4,8.4,
2024-10-23,8.33,8.4,8.07,8.25,8.25,
2024-10-24,8.25,8.33,8.1,8.13,8.13,
