date,open,high,low,close,adj_close,volume
2024-07-11,78.67,78.83,77.85,77.96,77.96,
2024-07-12,77.96,79.09,77.86,78.01,78.01,
2024-07-15,78.04,78.54,77.36,77.91,77.91,
2024-07-16,77.94,78.4,77.6,77.7,77.7,
2024-07-18,77.71,78.15,77.4,77.49,77.49,
2024-07-19,77.49,77.63,75.6,75.77,75.77,
2024-07-22,75.69,77.79,74.78,77.34,77.34,
2024-07-23,77.74,77.74,74.36,76.34,76.34,
2024-07-24,76.3,76.79,74.81,75.41,75.41,
2024-07-25,74.76,75.09,74.36,74.42,74.42,
2024-07-26,73.27,74.7,72.16,74.24,74.24,
2024-07-29,73.45,74.9,72.81,74.59,74.59,
2024-07-30,74.68,75.98,74.37,75.79,75.79,
2024-07-31,76.04,76.04,75.22,75.74,75.74,
2024-08-01,75.8,76.21,74.83,75.14,75.14,
2024-08-02,74.76,74.76,73.87,74.07,74.07,
2024-08-05,72.75,73.16,71.37,71.78,71.78,
2024-08-06,72.35,73.19,71.33,71.53,71.53,
2024-08-07,72.76,72.76,71.74,72.29,72.29,
2024-08-08,72.31,72.71,71.68,71.8,71.8,
2024-08-09,72.31,73.46,72.25,72.62,72.62,
2024-08-12,72.27,72.54,71.43,71.56,71.56,
2024-08-13,71.77,72.2,70.87,71.14,71.14,
2024-08-14,71.15,71.26,70.2,70.37,70.37,
2024-08-16,71.27,71.86,70.67,71.73,71.73,
2024-08-19,71.77,72.14,71.37,71.78,71.78,
2024-08-20,71.82,73.46,71.82,73.11,73.11,
2024-08-21,73.1,73.72,72.76,73.39,73.39,
2024-08-22,74.04,75.49,73.65,75.11,75.11,
2024-08-23,75.53,75.54,73.9,74.18,74.18,
2024-08-26,74.63,74.81,73.67,73.87,73.87,
2024-08-27,74.44,74.59,73.56,74.34,74.34,
2024-08-28,74.36,74.76,73.31,73.85,73.85,
2024-08-29,73.75,73.97,72.7,72.99,72.99,
2024-08-30,73.11,74.65,73.11,73.6,73.6,
2024-09-02,73.41,75.29,73.08,74.77,74.77,
2024-09-03,75.45,75.45,74.76,74.83,74.83,
2024-09-04,72.76,74.6,72.76,74.41,74.41,
2024-09-05,74.99,75.28,74.43,74.8,74.8,
2024-09-06,74.77,74.99,73.17,73.42,73.42,
2024-09-09,73.35,73.94,71.86,72.38,72.38,
2024-09-10,72.62,73.16,71.77,72.35,72.35,
2024-09-11,72.35,72.5,71.13,71.29,71.29,
2024-09-12,71.6,72.63,71.6,72.53,72.53,
2024-09-13,72.76,73.81,72.53,73.18,73.18,
2024-09-16,73.4,74.29,73.12,73.5,73.5,
2024-09-17,73.56,73.61,72.77,73.04,73.04,
2024-09-18,73.04,73.51,71.84,72.55,72.55,
2024-09-19,72.77,74.01,70.93,73.58,73.58,
2024-09-20,74.31,74.39,72.32,72.59,72.59,
2024-09-23,72.96,73.91,72.59,73.78,73.78,
2024-09-24,74.01,74.2,73.26,73.44,73.44,
