date,open,high,low,close,adj_close,volume
2024-07-11,170.55,171.19,168.46,169.47,169.47,6941666
2024-07-12,170.36,172.28,169.08,169.53,169.53,7366030
2024-07-15,170.6,171.46,166.69,170.57,170.57,7613554
2024-07-16,171.27,174.54,169.4,169.73,169.73,11969269
2024-07-18,169.41,169.49,165.1,166.11,166.11,7781301
2024-07-19,165.53,165.95,161.27,161.81,161.81,10733712
2024-07-22,160.79,165.44,159.26,164.18,164.18,10982909
2024-07-23,164.62,164.95,152.51,161.02,161.02,13090043
2024-07-24,161.84,167.62,160.99,166.94,166.94,11178623
2024-07-25,167.01,170.97,164.4,168.54,168.54,14791706
2024-07-26,170.17,170.31,168.07,169.08,169.08,4893874
2024-07-29,170.84,182.22,170.41,179.01,179.01,40759273
2024-07-30,179.88,183.9,179.02,180.75,180.75,17126857
2024-07-31,180.8,185.96,180.8,183.87,183.87,16154061
2024-08-01,184.62,185.2,179.5,182.26,182.26,13153852
2024-08-02,178.02,189.31,176.39,186.94,186.94,33779275
2024-08-05,184.61,188.82,177.37,180.23,180.23,33410920
2024-08-06,181.94,188.2,181.15,181.76,181.76,18912678
2024-08-07,185.21,191.18,182.85,189.38,189.38,16334341
2024-08-08,191.66,192.28,184.79,185.31,185.31,16338322
2024-08-09,187.83,189.22,184.13,184.4,184.4,7520604
2024-08-12,181.85,187.22,180.9,186.1,186.1,9168119
2024-08-13,186.63,186.63,179.02,179.89,179.89,8495576
2024-08-14,180.51,180.51,176.5,177.84,177.84,6590045
2024-08-16,178.97,187.11,178.97,186.46,186.46,14692697
2024-08-19,187.97,189.67,186.64,187.89,187.89,6305026
2024-08-20,188.44,188.78,185.12,186.94,186.94,3969340
2024-08-21,186.87,189.12,185.77,187.83,187.83,5334593
2024-08-22,188.31,192.08,186.65,187.16,187.16,18387252
2024-08-23,186.82,187.59,180.17,180.86,180.86,13452198
2024-08-26,182.57,182.76,178.3,180.84,180.84,9531606
2024-08-27,182.11,187.58,181.32,187.17,187.17,19944502
2024-08-28,187.97,196.62,186.39,194.78,194.78,53994365
2024-08-29,194.75,197.49,190.74,196.88,196.88,27970653
2024-08-30,197.49,199.8,194.19,194.89,194.89,15630541
2024-09-02,197.16,197.16,193.09,194.68,194.68,7970314
2024-09-03,195.29,198.88,194.69,197.03,197.03,10928702
2024-09-04,196.99,199.65,194.81,197.97,197.97,18267154
2024-09-05,198.31,202.18,197.73,200.36,200.36,18412659
2024-09-06,200.34,203.38,197.35,199.04,199.04,16850599
2024-09-09,199.06,204.76,198.93,204.36,204.36,18544014
2024-09-10,204.91,207.97,203.48,205.4,205.4,14229854
2024-09-11,205.53,207.3,201.83,202.76,202.76,8310394
2024-09-12,205.82,210.18,205.06,207.23,207.23,17156414
2024-09-13,207.45,211.23,206.79,209.67,209.67,9475492
2024-09-16,210.09,212.73,207.15,211.45,211.45,9019252
2024-09-17,212.52,216.57,210.18,212.38,212.38,16758314
2024-09-18,212.46,219.27,211.29,218.28,218.28,24545474
2024-09-19,218.45,220.41,212.06,215.74,215.74,13100758
2024-09-20,216.73,223.26,216.31,221.42,221.42,21702823
2024-09-23,221.9,229.94,221.28,229.1,229.1,17229006
2024-09-24,230.18,233.91,200.08,202.53,202.53,121892360
2024-09-25,200.03,201.26,190.94,193.83,193.83,71971589
2024-09-26,194.0,201.71,193.99,199.71,199.71,61377352
