date,open,high,low,close,adj_close,volume
2024-07-11,610.21,611.65,596.45,600.93,600.93,
2024-07-12,601.43,603.43,590.56,592.31,592.31,
2024-07-15,591.26,593.45,581.79,589.92,589.92,
2024-07-16,590.21,593.8,580.34,585.13,585.13,
2024-07-18,585.18,587.12,577.45,580.59,580.59,
2024-07-19,580.59,581.29,569.38,576.21,576.21,
2024-07-22,571.42,629.6,571.42,618.53,618.53,
2024-07-23,618.53,624.26,599.34,621.67,621.67,
2024-07-24,623.02,636.73,618.83,631.54,631.54,
2024-07-25,628.0,630.15,616.69,621.62,621.62,
2024-07-26,629.45,647.1,625.41,645.1,645.1,
2024-07-29,649.54,651.88,638.92,647.84,647.84,
2024-07-30,647.1,647.1,632.54,644.31,644.31,
2024-07-31,644.31,645.45,637.23,640.17,640.17,
2024-08-01,640.17,640.47,628.8,630.3,630.3,
2024-08-02,626.06,634.04,621.22,626.96,626.96,
2024-08-05,609.41,622.67,598.24,607.41,607.41,
2024-08-06,608.36,617.23,593.26,595.2,595.2,
2024-08-07,603.23,621.92,598.64,618.78,618.78,
2024-08-08,614.29,620.18,609.26,612.4,612.4,
2024-08-09,616.29,627.55,612.95,616.64,616.64,
2024-08-12,612.55,619.13,603.48,615.34,615.34,
2024-08-13,616.14,619.43,607.31,608.96,608.96,
2024-08-14,609.86,611.2,597.79,609.66,609.66,
2024-08-16,617.83,623.77,609.36,621.37,621.37,
2024-08-19,626.06,628.9,606.62,611.35,611.35,
2024-08-20,622.07,622.07,605.82,614.34,614.34,
2024-08-21,615.19,620.43,611.8,619.33,619.33,
2024-08-22,622.42,645.15,618.98,642.71,642.71,
2024-08-23,644.36,647.1,634.53,640.02,640.02,
2024-08-26,641.91,667.84,639.57,659.66,659.66,
2024-08-27,665.09,668.04,658.86,663.35,663.35,
2024-08-28,663.35,669.73,649.89,652.28,652.28,
2024-08-29,654.08,654.48,640.17,646.4,646.4,
2024-08-30,648.09,653.33,642.26,645.6,645.6,
2024-09-02,648.19,656.87,645.2,653.98,653.98,
2024-09-03,658.06,661.5,653.68,657.02,657.02,
2024-09-04,652.08,660.56,648.29,657.72,657.72,
2024-09-05,660.06,671.53,657.07,668.48,668.48,
2024-09-06,667.84,669.88,650.59,655.32,655.32,
2024-09-09,651.09,665.54,649.39,663.9,663.9,
2024-09-10,668.43,694.66,665.14,692.96,692.96,
2024-09-11,692.91,692.96,679.75,682.74,682.74,
2024-09-12,689.02,701.69,683.09,698.85,698.85,
2024-09-13,696.45,699.69,686.03,687.03,687.03,
2024-09-16,689.22,696.75,683.99,688.92,688.92,
2024-09-17,689.47,693.46,682.99,690.22,690.22,
2024-09-18,690.17,693.16,675.36,679.4,679.4,
2024-09-19,683.99,691.57,668.83,688.82,688.82,
2024-09-20,691.97,704.93,679.0,700.69,700.69,
2024-09-23,702.93,714.25,696.3,712.7,712.7,
2024-09-24,716.39,718.34,707.82,709.56,709.56,
2024-09-25,711.11,715.6,705.18,707.87,707.87,
2024-09-26,709.81,716.89,703.43,707.82,707.82,
2024-09-27,707.42,713.5,697.25,708.22,708.22,
2024-09-30,695.95,706.07,680.2,682.69,682.69,
2024-10-01,687.98,688.67,674.12,679.7,679.7,
2024-10-03,666.54,680.55,666.24,672.07,672.07,
2024-10-04,672.07,675.96,655.07,659.51,659.51,
2024-10-07,666.04,679.7,644.01,651.14,651.14,
2024-10-08,651.09,684.89,649.64,682.64,682.64,
2024-10-09,683.09,705.72,682.99,691.62,691.62,
2024-10-10,697.15,713.3,694.96,704.18,704.18,
2024-10-11,704.18,708.92,693.11,706.47,706.47,
2024-10-14,707.92,712.5,696.75,703.13,703.13,
2024-10-15,704.93,711.86,700.54,710.51,710.51,
2024-10-16,708.92,711.56,696.75,702.48,702.48,
2024-10-17,702.83,702.83,677.71,685.28,685.28,
2024-10-18,683.79,690.97,678.41,684.69,684.69,
2024-10-21,689.97,712.41,673.02,677.01,677.01,
2024-10-22,680.55,682.04,651.38,654.18,654.18,
2024-10-23,650.29,663.2,647.1,656.72,656.72,
