date,open,high,low,close,adj_close,volume
2024-07-11,523.67,529.78,518.42,525.44,525.44,1202130
2024-07-12,525.1,534.65,519.28,533.46,533.46,1387907
2024-07-15,543.24,558.04,530.59,552.45,552.45,3217689
2024-07-16,552.45,569.97,547.25,560.81,560.81,3294297
2024-07-18,560.81,561.48,540.38,542.81,542.81,2198694
2024-07-19,543.24,545.53,529.02,535.75,535.75,1233734
2024-07-22,534.7,550.4,528.92,543.72,543.72,995267
2024-07-23,548.92,550.31,522.0,527.39,527.39,1588838
2024-07-24,529.83,552.55,527.39,543.81,543.81,2395942
2024-07-25,540.38,545.06,535.6,541.95,541.95,770119
2024-07-26,544.2,558.52,541.57,555.13,555.13,1844637
2024-07-29,562.34,572.74,557.09,560.67,560.67,2811831
2024-07-30,567.59,577.13,560.67,573.94,573.94,2507716
2024-07-31,572.84,583.25,566.49,581.24,581.24,1827727
2024-08-01,577.66,585.44,563.29,568.69,568.69,1350860
2024-08-02,564.25,570.74,555.18,568.97,568.97,1361169
2024-08-05,552.69,559.28,539.42,554.7,554.7,2607067
2024-08-06,549.02,561.72,532.74,539.8,539.8,1821803
2024-08-07,543.24,546.49,533.69,543.77,543.77,1269029
2024-08-08,543.24,544.2,528.01,530.54,530.54,823836
2024-08-09,537.04,552.79,527.97,551.6,551.6,1438148
2024-08-12,550.83,555.27,530.83,533.07,533.07,1259415
2024-08-13,536.56,540.38,522.52,525.39,525.39,1052887
2024-08-14,526.06,534.65,507.01,525.44,525.44,2263553
2024-08-16,521.28,536.99,520.33,525.25,525.25,734213
2024-08-19,529.4,534.84,522.19,525.1,525.1,844726
2024-08-20,525.15,539.42,525.15,533.22,533.22,638652
2024-08-21,535.56,535.56,526.06,527.11,527.11,1111375
2024-08-22,529.88,534.17,526.1,527.78,527.78,1316796
2024-08-23,528.97,535.41,522.24,523.53,523.53,977115
2024-08-26,528.3,534.65,519.37,522.33,522.33,1583358
2024-08-27,524.96,530.35,522.05,524.0,524.0,482197
2024-08-28,525.1,549.92,522.24,542.24,542.24,2199296
2024-08-29,542.24,548.97,523.67,536.08,536.08,1414580
2024-08-30,538.47,549.64,531.78,541.62,541.62,1159804
2024-09-02,539.71,542.19,526.72,530.69,530.69,1760182
2024-09-03,530.83,533.12,523.48,525.15,525.15,751120
2024-09-04,522.24,527.06,509.97,511.78,511.78,2182125
2024-09-05,517.37,548.3,499.32,526.06,526.06,3752194
2024-09-06,526.06,529.59,496.03,499.75,499.75,5551466
2024-09-09,502.19,504.1,489.78,499.32,499.32,974521
2024-09-10,501.38,503.05,492.64,495.41,495.41,1647980
2024-09-11,496.32,499.71,483.86,486.91,486.91,3134860
2024-09-12,491.5,501.23,491.4,496.51,496.51,1579837
2024-09-13,501.62,501.62,495.31,496.51,496.51,1184919
