date,open,high,low,close,adj_close,volume
2024-07-11,4287.75,4322.7,4272.98,4313.11,4313.11,
2024-07-12,4327.69,4361.53,4277.77,4324.34,4324.34,
2024-07-15,4325.69,4417.44,4312.91,4378.45,4378.45,
2024-07-16,4436.5,4444.79,4383.59,4423.62,4423.62,
2024-07-18,4401.66,4436.5,4357.64,4409.8,4409.8,
2024-07-19,4393.58,4408.55,4243.03,4274.18,4274.18,
2024-07-22,4281.56,4347.65,4243.38,4329.23,4329.23,
2024-07-23,4331.88,4362.53,4164.01,4308.12,4308.12,
2024-07-24,4307.72,4388.83,4289.0,4368.42,4368.42,
2024-07-25,4342.66,4460.11,4327.89,4424.72,4424.72,
2024-07-26,4435.11,4502.39,4408.05,4485.82,4485.82,
2024-07-29,4470.45,4471.44,4265.99,4431.81,4431.81,
2024-07-30,4479.43,4520.21,4422.58,4466.45,4466.45,
2024-07-31,4466.4,4504.39,4443.04,4464.66,4464.66,
2024-08-01,4424.52,4461.06,4366.02,4396.87,4396.87,
2024-08-02,4347.65,4400.36,4294.19,4305.22,4305.22,
2024-08-05,4272.78,4292.75,4155.93,4213.28,4213.28,
2024-08-06,4293.29,4329.83,4242.83,4254.26,4254.26,
2024-08-07,4340.66,4340.66,4271.33,4310.62,4310.62,
2024-08-08,4310.82,4327.69,4233.85,4249.77,4249.77,
2024-08-09,4297.74,4310.72,4266.44,4282.96,4282.96,
2024-08-12,4262.8,4280.27,4218.42,4244.48,4244.48,
2024-08-13,4262.5,4312.56,4212.33,4220.27,4220.27,
2024-08-14,4231.85,4251.81,4190.12,4202.8,4202.8,
2024-08-16,4232.85,4282.66,4192.91,4270.48,4270.48,
2024-08-19,4292.55,4317.6,4199.05,4224.81,4224.81,
2024-08-20,4247.52,4310.96,4222.86,4294.79,4294.79,
2024-08-21,4302.73,4344.66,4273.33,4292.6,4292.6,
2024-08-22,4392.58,4482.42,4368.62,4475.59,4475.59,
2024-08-23,4485.42,4714.03,4462.61,4702.5,4702.5,
2024-08-26,4710.04,4735.8,4594.44,4712.14,4712.14,
2024-08-27,4692.07,4747.93,4653.44,4738.74,4738.74,
2024-08-28,4766.94,4935.46,4722.02,4851.65,4851.65,
2024-08-29,4723.12,4871.57,4713.24,4751.82,4751.82,
2024-08-30,4774.93,4860.79,4768.99,4821.85,4821.85,
2024-09-02,4886.44,4900.17,4760.26,4784.96,4784.96,
2024-09-03,4787.96,4820.85,4766.99,4805.28,4805.28,
2024-09-04,4811.87,4856.69,4771.94,4806.88,4806.88,
2024-09-05,4826.84,4847.51,4793.45,4820.4,4820.4,
2024-09-06,4868.77,4876.66,4751.97,4775.63,4775.63,
2024-09-09,4771.94,4817.31,4710.44,4800.39,4800.39,
2024-09-10,4806.93,4836.78,4752.27,4823.7,4823.7,
2024-09-11,4861.73,4915.04,4839.02,4892.13,4892.13,
2024-09-12,4950.13,5026.51,4916.69,4986.22,4986.22,
2024-09-13,5003.54,5003.54,4920.68,4934.01,4934.01,
2024-09-16,4971.6,4984.58,4926.87,4938.75,4938.75,
2024-09-17,4944.64,4960.92,4901.92,4925.43,4925.43,
2024-09-18,4925.68,4949.49,4879.25,4916.34,4916.34,
2024-09-19,4926.67,4967.56,4806.33,4865.33,4865.33,
2024-09-20,4836.83,4908.31,4773.93,4895.38,4895.38,
2024-09-23,4926.57,4941.6,4891.73,4922.03,4922.03,
2024-09-24,4931.57,4936.66,4775.83,4818.96,4818.96,
2024-09-25,4801.89,4816.76,4749.57,4774.13,4774.13,
2024-09-26,4791.9,4868.72,4772.68,4859.34,4859.34,
2024-09-27,4887.69,4948.64,4862.43,4937.36,4937.36,
2024-09-30,4893.73,4951.63,4771.29,4779.37,4779.37,
2024-10-01,4815.86,4906.71,4793.9,4896.97,4896.97,
2024-10-03,4812.87,4856.79,4647.2,4708.89,4708.89,
2024-10-04,4643.15,4705.45,4582.31,4601.57,4601.57,
2024-10-07,4597.23,4641.16,4447.88,4477.63,4477.63,
2024-10-08,4484.47,4619.59,4422.83,4595.18,4595.18,
2024-10-09,4650.39,4781.07,4632.17,4700.36,4700.36,
2024-10-10,4726.01,4746.23,4648.2,4657.28,4657.28,
2024-10-11,4652.79,4695.07,4606.02,4685.53,4685.53,
2024-10-14,4695.07,4697.06,4618.3,4671.06,4671.06,
2024-10-15,4756.91,4769.64,4693.07,4748.43,4748.43,
2024-10-16,4737.14,4779.92,4675.5,4691.92,4691.92,
2024-10-17,4699.36,4717.03,4605.67,4616.2,4616.2,
2024-10-18,4592.24,4689.08,4565.88,4655.18,4655.18,
2024-10-21,4693.07,4699.21,4562.64,4583.25,4583.25,
2024-10-22,4587.25,4612.16,4487.42,4516.77,4516.77,
2024-10-23,4491.91,4560.59,4470.0,4512.37,4512.37,
2024-10-24,4543.92,4571.87,4486.52,4512.23,4512.23,
2024-10-25,4538.53,4550.76,4307.72,4358.73,4358.73,
2024-10-28,4192.91,4192.91,3773.62,4008.68,4008.68,
2024-10-29,4020.91,4053.2,3968.64,4019.96,4019.96,
2024-10-30,3998.29,4112.35,3984.32,4050.85,4050.85,
2024-10-31,4056.15,4080.06,4003.28,4045.66,4045.66,
2024-11-01,4043.17,4092.78,4043.17,4062.68,4062.68,
2024-11-04,4062.68,4068.13,3867.46,3956.41,3956.41,
2024-11-05,3964.2,3968.29,3885.43,3934.2,3934.2,
2024-11-06,3938.34,4073.12,3913.49,4055.1,4055.1,
2024-11-07,4066.13,4083.6,3973.29,3989.01,3989.01,
2024-11-08,3983.37,4061.29,3954.07,3996.2,3996.2,
2024-11-11,3996.25,4040.87,3963.55,4004.83,4004.83,
2024-11-12,4013.22,4033.83,3888.43,3906.3,3906.3,
2024-11-13,3887.43,3899.61,3823.54,3842.31,3842.31,
2024-11-14,3857.48,3913.29,3832.47,3884.64,3884.64,
2024-11-18,3943.34,4007.68,3900.46,3969.59,3969.59,
2024-11-19,3995.25,4107.06,3975.33,4039.07,4039.07,
2024-11-21,4038.18,4082.55,3994.45,4062.93,4062.93,
2024-11-22,4067.13,4146.84,4045.41,4135.66,4135.66,
2024-11-25,4196.91,4255.91,4147.99,4237.34,4237.34,
2024-11-26,4267.29,4284.76,4206.09,4222.46,4222.46,
2024-11-27,4230.45,4282.76,4163.91,4260.7,4260.7,
2024-11-28,4304.73,4379.0,4282.61,4345.31,4345.31,
2024-11-29,4352.2,4392.58,4319.0,4371.51,4371.51,
2024-12-02,4375.11,4425.72,4345.41,4401.81,4401.81,
2024-12-03,4442.49,4448.03,4382.59,4398.07,4398.07,
2024-12-04,4416.54,4437.0,4349.9,4363.48,4363.48,
2024-12-05,4361.63,4375.56,4308.22,4361.18,4361.18,
2024-12-06,4380.6,4497.4,4368.77,4461.66,4461.66,
2024-12-09,4462.96,4501.39,4462.96,4481.88,4481.88,
2024-12-10,4467.45,4493.41,4447.38,4469.45,4469.45,
2024-12-11,4445.54,4482.08,4445.04,4458.02,4458.02,
2024-12-12,4415.74,4475.59,4398.17,4456.82,4456.82,
2024-12-13,4452.38,4452.38,4372.61,4425.42,4425.42,
2024-12-16,4426.62,4450.88,4372.61,4399.32,4399.32,
2024-12-17,4403.01,4436.65,4362.63,4379.4,4379.4,
2024-12-18,4379.4,4407.35,4346.7,4382.94,4382.94,
2024-12-19,4248.07,4436.5,4248.07,4426.57,4426.57,
2024-12-20,4459.46,4480.43,4186.28,4388.18,4388.18,
2024-12-23,4461.41,4487.37,4417.68,4432.46,4432.46,
2024-12-24,4472.44,4660.02,4427.52,4604.47,4604.47,
2024-12-26,4645.1,4728.41,4564.39,4717.03,4717.03,
2024-12-27,4717.03,4732.0,4657.53,4674.05,4674.05,
2024-12-30,4670.96,4670.96,4571.03,4589.79,4589.79,
2024-12-31,4586.25,4621.89,4537.38,4546.57,4546.57,
2025-01-01,4573.87,4627.18,4544.32,4587.95,4587.95,
2025-01-02,4597.23,4622.19,4521.51,4530.09,4530.09,
2025-01-03,4556.25,4556.25,4432.51,4458.67,4458.67,
2025-01-06,4458.47,4476.34,4225.86,4259.75,4259.75,
2025-01-07,4292.75,4348.65,4277.87,4321.3,4321.3,
2025-01-08,4344.96,4344.96,4219.82,4254.96,4254.96,
2025-01-09,4270.78,4300.18,4227.76,4253.36,4253.36,
2025-01-10,4251.81,4291.75,4188.17,4221.67,4221.67,
2025-01-13,4093.08,4122.98,3945.33,3994.65,3994.65,
2025-01-14,3954.37,4018.76,3943.34,3988.26,3988.26,
2025-01-15,4046.76,4146.69,3988.36,4059.14,4059.14,
2025-01-16,4083.1,4136.61,4068.38,4104.81,4104.81,
2025-01-17,4093.08,4129.02,4061.29,4083.3,4083.3,
2025-01-20,4110.05,4159.22,4083.3,4107.36,4107.36,
2025-01-21,4123.03,4132.97,3978.33,4003.04,4003.04,
2025-01-22,4023.2,4087.74,3938.34,4004.73,4004.73,
2025-01-23,3982.32,4185.98,3982.22,4127.82,4127.82,
2025-01-24,4155.08,4262.6,4119.09,4154.78,4154.78,
2025-01-27,4128.57,4230.95,4049.56,4168.71,4168.71,
2025-01-28,4200.6,4293.74,4175.74,4275.28,4275.28,
2025-01-29,4280.22,4301.73,4222.86,4286.66,4286.66,
2025-01-30,4285.86,4346.55,4176.39,4220.62,4220.62,
2025-01-31,4220.62,4337.52,4210.93,4317.05,4317.05,
2025-02-01,4332.68,4509.33,4278.47,4484.82,4484.82,
2025-02-03,4475.39,4491.36,4330.18,4386.29,4386.29,
2025-02-04,4396.12,4412.54,4285.66,4337.87,4337.87,
2025-02-05,4362.58,4422.48,4354.09,4407.95,4407.95,
2025-02-06,4497.4,4497.4,4357.44,4387.44,4387.44,
2025-02-07,4417.53,4447.48,4328.68,4357.19,4357.19,
2025-02-10,4357.24,4372.61,4282.76,4317.85,4317.85,
2025-02-11,4317.85,4382.59,4267.79,4309.57,4309.57,
2025-02-12,4309.57,4351.65,4192.91,4330.18,4330.18,
2025-02-13,4334.03,4392.58,4320.2,4357.49,4357.49,
2025-02-14,4359.63,4375.61,4199.6,4216.17,4216.17,
2025-02-17,4168.95,4307.72,4150.84,4295.74,4295.74,
2025-02-18,4292.75,4347.65,4247.82,4338.22,4338.22,
2025-02-19,4328.68,4402.56,4317.95,4392.48,4392.48,
2025-02-20,4388.98,4517.77,4359.53,4493.86,4493.86,
2025-02-21,4492.41,4537.33,4472.44,4503.14,4503.14,
2025-02-24,4494.41,4566.28,4488.07,4528.35,4528.35,
2025-02-25,4532.34,4551.21,4407.55,4419.98,4419.98,
2025-02-27,4436.0,4491.41,4410.55,4435.9,4435.9,
2025-02-28,4462.36,4517.37,4395.87,4469.75,4469.75,
2025-03-03,4471.39,4484.97,4260.35,4457.17,4457.17,
2025-03-04,4427.17,4603.22,4410.2,4590.94,4590.94,
2025-03-05,4612.21,4714.13,4600.33,4690.17,4690.17,
2025-03-06,4742.64,4774.38,4651.19,4754.37,4754.37,
2025-03-07,4787.91,4807.53,4638.11,4649.69,4649.69,
2025-03-10,4658.13,4698.76,4597.23,4619.74,4619.74,
2025-03-11,4594.54,4667.11,4560.09,4643.6,4643.6,
2025-03-12,4662.07,4735.15,4631.87,4721.22,4721.22,
2025-03-13,4732.0,4736.55,4662.97,4692.92,4692.92,
2025-03-17,4702.05,4786.86,4702.05,4772.39,4772.39,
2025-03-18,4772.39,4772.39,4772.39,4772.39,4772.39,
2025-03-19,4802.88,5044.23,4781.92,4972.15,4972.15,
2025-03-20,5031.5,5181.59,4997.01,5078.17,5078.17,
2025-03-21,5063.44,5106.17,5010.08,5035.54,5035.54,
2025-03-24,5046.77,5068.88,4947.94,4961.96,4961.96,
2025-03-25,5002.55,5023.66,4949.69,4998.25,4998.25,
2025-03-26,5011.53,5066.44,4966.61,5016.67,5016.67,
2025-03-27,4966.61,5140.31,4966.61,5119.15,5119.15,
2025-03-28,5141.21,5168.07,5043.28,5106.72,5106.72,
2025-04-01,5091.4,5124.29,4983.23,5019.52,5019.52,
2025-04-02,5019.52,5074.18,4991.56,5059.7,5059.7,
2025-04-03,4991.07,5076.42,4958.52,4995.16,4995.16,
2025-04-04,5047.42,5141.31,5036.49,5090.3,5090.3,
2025-04-07,4741.99,5007.69,4626.78,4980.28,4980.28,
2025-04-08,5099.38,5192.23,5017.82,5148.35,5148.35,
2025-04-09,5136.82,5256.12,5136.82,5184.99,5184.99,
2025-04-11,5206.1,5225.52,5106.37,5142.41,5142.41,
2025-04-15,5311.02,5337.98,5192.23,5247.13,5247.13,
2025-04-16,5251.13,5276.08,5191.73,5235.65,5235.65,
2025-04-17,5235.15,5390.89,5169.76,5356.95,5356.95,
2025-04-21,5384.9,5508.19,5341.97,5487.23,5487.23,
2025-04-22,5492.72,5639.47,5441.8,5524.66,5524.66,
2025-04-23,5530.65,5560.6,5475.75,5549.12,5549.12,
2025-04-24,5550.62,5565.59,5461.27,5511.19,5511.19,
2025-04-25,5471.25,5512.68,5184.24,5304.54,5304.54,
2025-04-28,5245.14,5369.93,5211.19,5331.99,5331.99,
2025-04-29,5370.92,5437.31,5206.7,5255.12,5255.12,
2025-04-30,5253.12,5311.52,5197.72,5240.64,5240.64,
2025-05-02,5221.18,5377.41,5209.2,5312.52,5312.52,
2025-05-05,5410.86,5582.57,5403.37,5522.17,5522.17,
2025-05-06,5546.13,5560.1,5290.06,5313.02,5313.02,
2025-05-07,5197.22,5352.45,5148.3,5287.56,5287.56,
2025-05-08,5301.04,5358.94,5066.44,5137.32,5137.32,
2025-05-09,4963.61,5114.86,4883.25,5092.39,5092.39,
2025-05-12,5412.35,5587.56,5403.87,5467.26,5467.26,
2025-05-13,5491.72,5535.65,5458.78,5511.69,5511.69,
2025-05-14,5515.68,5525.66,5410.86,5442.3,5442.3,
2025-05-15,5411.85,5585.56,5400.87,5579.57,5579.57,
2025-05-16,5589.55,5623.5,5535.15,5553.12,5553.12,
2025-05-19,5550.62,5655.94,5534.65,5565.1,5565.1,
2025-05-20,5581.57,5598.54,5422.84,5432.82,5432.82,
2025-05-21,5451.79,5473.25,5380.91,5452.29,5452.29,
2025-05-22,5455.78,5555.61,5320.51,5493.72,5493.72,
2025-05-23,5510.69,5535.65,5426.33,5511.69,5511.69,
2025-05-26,5520.67,5552.62,5401.37,5410.86,5410.86,
2025-05-27,5261.11,5319.01,5221.68,5304.54,5304.54,
2025-05-28,5327.0,5345.97,5285.07,5321.51,5321.51,
2025-05-29,5321.51,5334.98,5262.61,5313.02,5313.02,
2025-05-30,5297.05,5384.4,5297.05,5321.01,5321.01,
2025-06-02,5340.97,5360.94,5271.09,5324.0,5324.0,
2025-06-03,5349.96,5449.29,5335.48,5374.42,5374.42,
2025-06-04,5374.42,5418.84,5352.45,5406.86,5406.86,
2025-06-05,5454.78,5496.71,5412.35,5472.75,5472.75,
2025-06-06,5470.75,5482.73,5435.81,5471.25,5471.25,
2025-06-09,5500.7,5699.37,5500.7,5685.39,5685.39,
2025-06-10,5695.38,5719.33,5561.6,5589.55,5589.55,
2025-06-11,5597.04,5642.96,5571.58,5621.5,5621.5,
2025-06-12,5588.56,5616.51,5408.86,5467.26,5467.26,
2025-06-13,5191.23,5309.03,5167.27,5253.12,5253.12,
2025-06-16,5271.09,5395.38,5235.15,5373.42,5373.42,
2025-06-17,5370.92,5379.41,5272.09,5301.54,5301.54,
2025-06-18,5299.04,5325.5,5249.63,5264.1,5264.1,
2025-06-19,5272.59,5319.01,5224.17,5262.11,5262.11,
2025-06-20,5246.63,5398.88,5232.66,5380.91,5380.91,
2025-06-23,5310.03,5475.25,5306.03,5457.78,5457.78,
2025-06-24,5622.0,5690.88,5560.6,5597.04,5597.04,
2025-06-25,5664.93,5680.4,5553.62,5629.49,5629.49,
2025-06-26,5682.4,5712.35,5632.98,5681.9,5681.9,
2025-06-27,5680.4,5833.64,5665.43,5806.19,5806.19,
2025-06-30,5830.15,5986.88,5810.18,5966.42,5966.42,
2025-07-01,5952.44,6007.85,5918.0,5954.94,5954.94,
2025-07-02,5891.04,5981.39,5876.57,5945.95,5945.95,
2025-07-03,5945.95,5957.43,5740.3,5756.27,5756.27,
2025-07-04,5779.73,5815.17,5727.82,5743.29,5743.29,
2025-07-07,5746.79,5782.23,5721.33,5738.3,5738.3,
2025-07-08,5739.8,5798.2,5729.82,5792.21,5792.21,
2025-07-09,5805.19,5854.11,5781.23,5842.13,5842.13,
2025-07-10,5915.0,5925.99,5821.66,5830.15,5830.15,
2025-07-11,5856.1,5928.98,5829.15,5907.52,5907.52,
2025-07-14,5907.02,5949.95,5877.57,5930.48,5930.48,
2025-07-15,5939.96,5954.44,5897.53,5920.5,5920.5,
2025-07-16,5909.51,5948.45,5855.6,5939.96,5939.96,
2025-07-17,5920.99,5947.95,5760.27,5786.72,5786.72,
2025-07-18,5808.18,5859.1,5780.23,5851.11,5851.11,
2025-07-21,5890.05,5900.03,5810.18,5868.08,5868.08,
2025-07-22,5890.05,5949.45,5861.1,5937.97,5937.97,
2025-07-23,5915.0,5946.95,5805.19,5887.05,5887.05,
2025-07-24,5830.15,5922.99,5815.67,5834.14,5834.14,
2025-07-25,5805.19,5847.12,5750.78,5793.21,5793.21,
2025-07-28,5761.26,5860.6,5735.31,5752.28,5752.28,
2025-07-29,5715.84,5785.22,5693.38,5746.29,5746.29,
2025-07-30,5790.22,5795.71,5688.39,5730.32,5730.32,
2025-07-31,5615.51,5920.5,5597.04,5900.53,5900.53,
2025-08-01,5860.1,5903.52,5770.75,5778.73,5778.73,
2025-08-04,5790.22,5807.19,5732.31,5770.75,5770.75,
2025-08-05,5755.77,5792.21,5696.37,5771.75,5771.75,
