date,open,high,low,close,adj_close,volume
2024-07-11,1556.61,1565.07,1543.5,1553.51,1553.51,8857679
2024-07-12,1579.17,1616.53,1566.62,1609.01,1609.01,17078316
2024-07-15,1622.6,1624.29,1600.46,1604.6,1604.6,6942230
2024-07-16,1615.45,1633.59,1597.97,1622.45,1622.45,6886281
2024-07-18,1615.83,1659.44,1615.83,1652.53,1652.53,11248896
2024-07-19,1733.33,1733.33,1679.23,1685.34,1685.34,29819116
2024-07-22,1692.11,1713.59,1685.34,1702.17,1702.17,8462126
2024-07-23,1701.37,1729.52,1676.22,1726.65,1726.65,7113056
2024-07-24,1727.22,1731.77,1710.39,1723.88,1723.88,6002845
2024-07-25,1710.77,1721.01,1703.25,1715.32,1715.32,5815599
2024-07-26,1715.79,1769.98,1715.79,1766.13,1766.13,11369047
2024-07-29,1779.95,1788.78,1752.13,1758.8,1758.8,4635931
2024-07-30,1758.8,1767.12,1748.37,1764.49,1764.49,2721265
2024-07-31,1764.34,1772.01,1753.11,1756.12,1756.12,5004209
2024-08-01,1744.7,1755.79,1734.36,1741.41,1741.41,7475014
2024-08-02,1732.39,1747.9,1707.15,1711.89,1711.89,7400938
2024-08-05,1677.82,1689.62,1615.41,1646.75,1646.75,10736703
2024-08-06,1654.56,1689.1,1640.13,1646.0,1646.0,7690163
2024-08-07,1688.21,1689.99,1656.34,1684.12,1684.12,5094329
2024-08-08,1673.12,1673.12,1623.44,1638.53,1638.53,6227910
2024-08-09,1664.94,1673.87,1650.61,1664.47,1664.47,4258524
2024-08-12,1666.63,1695.26,1661.98,1689.52,1689.52,4315329
2024-08-13,1701.37,1701.37,1681.67,1689.57,1689.57,4176918
2024-08-14,1693.85,1715.47,1689.57,1713.82,1713.82,7450718
2024-08-16,1738.97,1750.1,1719.7,1747.38,1747.38,7335657
2024-08-19,1748.37,1755.46,1738.21,1752.88,1752.88,2585989
2024-08-20,1767.17,1772.52,1756.07,1759.83,1759.83,3870333
2024-08-21,1762.56,1766.22,1755.04,1760.3,1760.3,1966902
2024-08-22,1770.92,1780.0,1757.48,1767.4,1767.4,4300287
2024-08-23,1765.47,1769.61,1745.55,1750.34,1750.34,5015935
2024-08-26,1757.77,1775.39,1752.13,1763.55,1763.55,3728589
2024-08-27,1763.55,1788.55,1761.43,1786.06,1786.06,3830679
2024-08-28,1792.45,1833.9,1783.52,1822.72,1822.72,6514531
2024-08-29,1816.98,1833.43,1805.61,1817.31,1817.31,7228284
2024-08-30,1821.68,1832.96,1812.28,1827.04,1827.04,13466759
2024-09-02,1826.71,1857.17,1826.2,1846.59,1846.59,5573739
2024-09-03,1848.94,1848.94,1820.23,1824.74,1824.74,4694322
2024-09-04,1805.8,1811.53,1786.01,1807.07,1807.07,4778310
2024-09-05,1810.64,1823.56,1794.99,1817.12,1817.12,4081810
2024-09-06,1806.64,1820.27,1783.0,1787.7,1787.7,5848106
2024-09-09,1776.56,1805.56,1775.62,1780.94,1780.94,4772612
2024-09-10,1790.57,1818.86,1782.2,1797.53,1797.53,6909600
2024-09-11,1799.78,1810.4,1790.66,1795.51,1795.51,5312946
2024-09-12,1809.46,1838.98,1796.12,1833.39,1833.39,8555092
2024-09-13,1833.39,1841.05,1819.47,1827.42,1827.42,3843127
2024-09-16,1828.97,1834.84,1817.03,1833.2,1833.2,1570181
2024-09-17,1830.85,1840.91,1825.58,1835.36,1835.36,2793127
2024-09-18,1822.39,1822.39,1768.39,1778.59,1778.59,6385468
2024-09-19,1795.93,1809.37,1766.04,1780.51,1780.51,7976570
2024-09-20,1790.66,1800.06,1755.32,1791.37,1791.37,15242974
2024-09-23,1794.42,1803.73,1765.71,1782.63,1782.63,3636672
2024-09-24,1774.68,1796.21,1759.08,1784.65,1784.65,7277616
2024-09-25,1773.13,1787.47,1764.16,1781.55,1781.55,4268341
2024-09-26,1783.9,1802.84,1779.38,1786.2,1786.2,8952803
2024-09-27,1816.14,1856.09,1789.07,1792.31,1792.31,14908931
2024-09-30,1767.16,1787.14,1758.24,1763.03,1763.03,6986955
2024-10-01,1762.47,1794.38,1762.47,1790.05,1790.05,4029072
2024-10-03,1776.09,1797.1,1768.1,1779.76,1779.76,7503887
2024-10-04,1776.14,1836.82,1772.8,1803.03,1803.03,10001483
2024-10-07,1807.77,1825.44,1801.05,1818.21,1818.21,6112575
2024-10-08,1821.59,1840.44,1791.93,1831.6,1831.6,5637391
2024-10-09,1835.36,1858.34,1828.36,1835.55,1835.55,4857163
2024-10-10,1840.39,1846.12,1799.22,1803.82,1803.82,4782119
2024-10-11,1802.88,1830.14,1795.46,1818.96,1818.96,4709431
2024-10-14,1816.18,1851.29,1815.2,1841.33,1841.33,3751378
2024-10-15,1842.36,1871.93,1834.61,1841.71,1841.71,5353705
2024-10-16,1837.66,1841.94,1801.33,1804.86,1804.86,3111512
2024-10-17,1819.05,1859.28,1814.31,1849.98,1849.98,8162822
2024-10-18,1780.14,1820.6,1757.06,1766.79,1766.79,10526196
2024-10-21,1777.6,1784.84,1727.69,1741.55,1741.55,4654601
2024-10-22,1746.67,1765.1,1736.1,1740.47,1740.47,4125240
2024-10-23,1734.5,1772.8,1733.33,1760.96,1760.96,4311910
2024-10-24,1749.68,1770.92,1748.37,1751.51,1751.51,2906475
2024-10-25,1751.61,1763.73,1735.58,1750.29,1750.29,4689120
2024-10-28,1748.08,1768.95,1745.55,1753.39,1753.39,7018940
2024-10-29,1754.96,1760.29,1738.8,1748.59,1748.59,4621252
2024-10-30,1741.65,1748.31,1707.76,1713.23,1713.23,5919715
2024-10-31,1699.73,1699.73,1660.37,1670.59,1670.59,7395236
2024-11-01,1677.48,1678.91,1665.65,1674.01,1674.01,371966
2024-11-04,1639.45,1679.86,1633.28,1676.67,1676.67,7336722
2024-11-05,1673.2,1681.24,1658.94,1667.69,1667.69,3160880
2024-11-06,1677.01,1737.09,1675.72,1733.76,1733.76,10421494
