date,open,high,low,close,adj_close,volume
2024-07-11,155.65,158.27,155.07,157.04,157.04,
2024-07-12,158.03,158.74,155.79,156.67,156.67,
2024-07-15,157.1,159.74,156.07,159.16,159.16,
2024-07-16,158.97,161.6,158.74,160.14,160.14,
2024-07-18,159.44,161.0,158.19,159.08,159.08,
2024-07-19,160.29,160.29,154.89,155.21,155.21,
2024-07-22,155.21,158.5,153.7,157.74,157.74,
2024-07-23,158.83,158.83,150.68,155.52,155.52,
2024-07-24,155.52,158.74,155.28,158.31,158.31,
2024-07-25,156.53,166.53,156.2,165.87,165.87,
2024-07-26,167.26,167.81,164.65,165.59,165.59,
2024-07-29,166.95,170.42,166.95,169.19,169.19,
2024-07-30,168.82,174.42,167.24,171.59,171.59,
2024-07-31,172.1,173.37,168.9,170.39,170.39,
2024-08-01,170.7,171.16,166.82,168.57,168.57,
2024-08-02,166.95,168.16,163.79,166.28,166.28,
2024-08-05,161.32,164.02,156.62,160.0,160.0,
2024-08-06,161.32,163.57,155.95,156.64,156.64,
2024-08-07,160.61,161.79,158.57,161.52,161.52,
2024-08-08,161.31,161.43,158.69,159.66,159.66,
2024-08-09,161.41,162.26,158.32,158.59,158.59,
2024-08-12,157.57,160.38,157.37,158.65,158.65,
2024-08-13,157.86,158.21,152.89,153.93,153.93,
2024-08-14,154.76,155.35,152.97,153.57,153.57,
2024-08-16,154.99,157.05,154.61,156.79,156.79,
2024-08-19,159.44,160.2,158.8,159.52,159.52,
2024-08-20,161.31,162.63,160.41,161.53,161.53,
2024-08-21,162.26,163.99,161.42,163.09,163.09,
2024-08-22,164.02,164.59,162.63,163.0,163.0,
2024-08-23,162.82,164.59,161.95,162.38,162.38,
2024-08-26,163.19,163.54,161.69,162.69,162.69,
2024-08-27,162.07,163.78,161.08,162.49,162.49,
2024-08-28,162.49,165.54,162.47,162.96,162.96,
2024-08-29,163.09,166.29,162.41,165.86,165.86,
2024-08-30,166.95,167.68,165.18,165.98,165.98,
2024-09-02,168.12,169.95,166.02,167.63,167.63,
2024-09-03,167.51,167.8,164.69,165.19,165.19,
2024-09-04,166.01,168.54,165.17,166.04,166.04,
2024-09-05,167.55,172.57,166.86,170.08,170.08,
2024-09-06,169.84,170.03,163.85,165.67,165.67,
2024-09-09,164.6,166.2,162.87,164.45,164.45,
2024-09-10,165.17,165.76,163.71,164.65,164.65,
2024-09-11,166.0,166.84,158.59,159.2,159.2,
2024-09-12,160.84,162.91,159.51,162.5,162.5,
2024-09-13,162.49,165.07,161.74,162.43,162.43,
2024-09-16,163.01,163.3,160.93,161.15,161.15,
2024-09-17,160.68,161.27,159.49,159.92,159.92,
2024-09-18,160.0,160.44,157.19,157.99,157.99,
2024-09-19,158.4,159.39,152.12,154.79,154.79,
2024-09-20,155.13,157.33,154.75,156.68,156.68,
2024-09-23,157.14,159.63,156.63,159.19,159.19,
2024-09-24,158.66,160.33,158.32,159.34,159.34,
2024-09-25,159.07,160.32,158.04,159.27,159.27,
2024-09-26,159.64,161.22,158.14,160.72,160.72,
2024-09-27,160.94,169.52,160.85,168.83,168.83,
2024-09-30,168.55,171.13,165.23,168.96,168.96,
2024-10-01,168.82,170.08,166.26,167.94,167.94,
2024-10-03,162.46,165.26,160.13,160.69,160.69,
2024-10-04,158.97,159.9,155.32,158.18,158.18,
2024-10-07,160.18,160.18,152.03,152.63,152.63,
2024-10-08,151.99,154.75,150.78,154.04,154.04,
2024-10-09,157.37,158.73,154.25,154.51,154.51,
2024-10-10,154.91,156.82,153.82,154.18,154.18,
2024-10-11,154.18,154.51,152.5,153.02,153.02,
