date,open,high,low,close,adj_close,volume
2024-07-11,247.08,287.8,240.28,282.19,282.19,200719317
2024-07-12,281.41,302.89,273.6,282.76,282.76,227015725
2024-07-15,298.42,308.36,285.37,288.12,288.12,106576924
2024-07-16,287.18,287.18,268.77,270.64,270.64,73797972
2024-07-18,265.98,265.98,250.67,256.04,256.04,89133329
2024-07-19,252.16,277.53,249.92,270.66,270.66,107729154
2024-07-22,272.55,278.4,264.9,268.43,268.43,38163945
2024-07-23,271.26,281.41,230.78,257.29,257.29,106704297
2024-07-24,260.42,271.45,260.42,267.84,267.84,35527332
2024-07-25,264.99,266.84,258.63,259.8,259.8,23498679
2024-07-26,262.11,266.69,255.65,256.67,256.67,19934107
2024-07-29,259.62,266.93,255.65,264.61,264.61,28683160
2024-07-30,264.55,268.53,261.41,262.55,262.55,16147525
2024-07-31,263.8,267.32,260.73,261.24,261.24,12879999
2024-08-01,262.76,264.0,254.7,256.49,256.49,13170422
2024-08-02,252.66,257.09,250.47,253.16,253.16,15185550
2024-08-05,240.67,246.29,233.76,237.64,237.64,34693995
2024-08-06,242.71,248.68,232.77,234.71,234.71,20303478
2024-08-07,244.7,248.18,235.25,246.94,246.94,21802887
2024-08-08,247.69,251.17,243.31,246.49,246.49,19944879
2024-08-09,250.12,250.47,241.22,242.17,242.17,11933160
2024-08-12,238.73,251.67,235.6,246.44,246.44,24208283
2024-08-13,243.71,246.34,238.73,239.23,239.23,10661503
2024-08-14,240.47,241.32,233.06,234.95,234.95,9658732
2024-08-16,237.94,241.37,236.99,238.83,238.83,8414689
2024-08-19,240.33,247.99,239.93,243.41,243.41,10896632
2024-08-20,244.16,244.65,238.73,239.18,239.18,7513400
2024-08-21,239.23,241.57,237.24,237.69,237.69,6332911
2024-08-22,244.7,264.3,244.7,255.74,255.74,87125691
2024-08-23,259.57,264.4,255.94,258.93,258.93,24704533
2024-08-26,260.62,261.07,251.77,252.21,252.21,12144509
2024-08-27,252.21,257.14,249.38,253.8,253.8,12343641
2024-08-28,254.75,257.04,251.72,252.61,252.61,10585106
2024-08-29,254.15,261.56,251.67,253.41,253.41,13819601
2024-08-30,256.64,258.13,236.79,240.23,240.23,45308414
2024-09-02,240.08,240.08,234.06,237.67,237.67,16826533
2024-09-03,237.74,238.73,235.19,238.04,238.04,9344884
2024-09-04,233.76,237.07,233.76,234.22,234.22,8671698
2024-09-05,235.43,237.39,233.12,234.09,234.09,7763279
