date,open,high,low,close,adj_close,volume
2024-07-11,200.35,202.0,194.19,198.98,198.98,121502241
2024-07-12,199.0,216.78,197.46,210.04,210.04,300609460
2024-07-15,212.91,221.22,207.24,208.97,208.97,167338162
2024-07-16,210.98,213.78,204.14,204.9,204.9,86369570
2024-07-18,204.8,204.8,194.27,198.83,198.83,94398777
2024-07-19,194.29,204.3,193.88,198.78,198.78,124381385
2024-07-22,198.78,202.09,194.75,197.63,197.63,72152927
2024-07-23,199.97,201.9,158.57,187.54,187.54,167582146
2024-07-24,187.8,193.11,184.74,185.74,185.74,65395254
2024-07-25,183.55,184.9,176.78,177.32,177.32,73915719
2024-07-26,178.47,181.52,176.59,177.21,177.21,50538191
2024-07-29,179.6,190.79,178.37,188.64,188.64,109648645
2024-07-30,190.11,191.56,186.93,188.82,188.82,58191861
2024-07-31,189.19,189.68,186.64,187.07,187.07,27603203
2024-08-01,188.04,189.0,181.3,183.33,183.33,35027956
2024-08-02,180.16,186.83,178.31,185.8,185.8,41362024
2024-08-05,173.91,179.29,171.95,173.29,173.29,84910762
2024-08-06,175.82,180.65,169.18,170.37,170.37,49560277
2024-08-07,175.53,176.78,171.04,176.21,176.21,46932256
2024-08-08,176.69,178.23,173.91,174.77,174.77,38021940
2024-08-09,175.9,176.19,172.92,173.68,173.68,27492189
2024-08-12,173.88,181.08,173.69,178.29,178.29,64022633
2024-08-13,180.16,183.01,173.88,175.48,175.48,45899363
2024-08-14,176.65,177.07,170.7,172.98,172.98,28173960
2024-08-16,174.85,176.06,172.29,172.7,172.7,19956147
2024-08-19,174.95,175.62,173.58,174.05,174.05,17803897
2024-08-20,174.85,174.85,172.15,173.8,173.8,15629517
2024-08-21,172.93,175.24,172.63,174.4,174.4,15731941
2024-08-22,175.53,176.48,174.51,175.96,175.96,14101752
2024-08-23,175.53,181.67,174.56,177.87,177.87,31152412
2024-08-26,178.44,178.63,175.24,175.58,175.58,14596223
2024-08-27,175.58,177.73,174.8,175.39,175.39,12765877
2024-08-28,175.82,177.47,175.05,175.49,175.49,13132709
2024-08-29,175.82,176.29,173.69,174.5,174.5,12705236
2024-08-30,174.92,175.97,172.62,173.22,173.22,15512791
2024-09-02,173.45,174.8,171.26,172.18,172.18,15070147
2024-09-03,172.62,173.76,171.74,173.07,173.07,10416245
2024-09-04,171.17,172.62,170.29,170.7,170.7,12223757
2024-09-05,171.36,171.51,167.77,168.24,168.24,15774279
2024-09-06,168.24,168.91,163.02,164.72,164.72,21770999
2024-09-09,164.71,164.86,160.12,163.24,163.24,20754357
2024-09-10,163.89,166.65,163.75,164.62,164.62,15088916
2024-09-11,165.3,165.3,160.11,160.87,160.87,11765516
2024-09-12,161.55,163.46,158.58,161.97,161.97,19024067
2024-09-13,162.91,165.5,160.96,162.2,162.2,15434229
2024-09-16,162.2,162.39,158.73,159.01,159.01,14572347
2024-09-17,159.05,159.36,155.36,155.75,155.75,20564052
2024-09-18,156.24,159.51,153.23,153.77,153.77,23122350
2024-09-19,154.63,156.14,147.12,150.56,150.56,39913910
2024-09-20,151.29,158.37,149.91,156.55,156.55,51104236
2024-09-23,158.08,158.08,153.37,154.74,154.74,19794141
2024-09-24,155.17,155.55,153.23,153.94,153.94,14786775
2024-09-25,153.91,153.91,151.65,152.2,152.2,10610463
2024-09-26,152.16,154.72,150.15,152.11,152.11,16974098
2024-09-27,152.11,154.04,151.44,152.07,152.07,13164782
2024-09-30,151.97,154.49,150.12,153.92,153.92,17775338
2024-10-01,153.91,153.91,150.32,150.65,150.65,17263625
2024-10-03,148.38,148.71,146.44,147.02,147.02,18663724
2024-10-04,147.02,148.8,142.44,147.48,147.48,29051138
2024-10-07,147.48,148.81,138.87,139.99,139.99,35658511
2024-10-08,139.99,147.89,137.23,147.23,147.23,43656448
2024-10-09,149.95,150.99,148.38,148.84,148.84,23776424
2024-10-10,149.54,149.74,146.5,146.85,146.85,10797567
2024-10-11,146.63,150.55,145.86,147.8,147.8,16029678
2024-10-14,148.86,149.49,146.45,146.78,146.78,9810920
