date,open,high,low,close,adj_close,volume
2024-07-11,399.38,407.81,398.23,407.06,407.06,19556596
2024-07-12,407.06,411.14,404.57,407.41,407.41,19693114
2024-07-15,407.41,413.98,405.77,411.28,411.28,16876907
2024-07-16,411.32,414.25,409.5,413.18,413.18,13497253
2024-07-18,410.92,417.93,410.61,417.35,417.35,21907158
2024-07-19,418.02,425.48,416.6,421.17,421.17,25939326
2024-07-22,421.22,425.52,413.45,414.07,414.07,18762384
2024-07-23,414.07,441.45,413.94,436.84,436.84,56125835
2024-07-24,440.21,453.21,435.46,438.48,438.48,43693692
2024-07-25,434.88,440.21,430.13,434.84,434.84,18567567
2024-07-26,438.48,449.44,432.58,445.71,445.71,21534703
2024-07-29,448.64,449.26,438.48,440.25,440.25,12978187
2024-07-30,440.47,441.81,433.68,434.79,434.79,13891052
2024-07-31,437.06,441.94,435.33,439.63,439.63,11982586
2024-08-01,440.16,440.87,435.73,438.17,438.17,12114803
2024-08-02,430.27,443.27,430.27,434.08,434.08,22141163
2024-08-05,426.05,436.57,425.61,431.33,431.33,25022076
2024-08-06,431.55,436.39,429.6,431.6,431.6,14251363
2024-08-07,434.88,439.85,433.2,437.23,437.23,11320399
2024-08-08,438.43,441.98,437.1,439.1,439.1,21349889
2024-08-09,441.98,441.98,437.63,440.12,440.12,9556181
2024-08-12,436.66,443.76,436.66,438.97,438.97,9425644
2024-08-13,440.16,441.85,433.33,434.88,434.88,8056478
2024-08-14,436.61,442.87,434.79,436.84,436.84,9609981
2024-08-16,438.88,447.49,437.23,446.11,446.11,13643352
2024-08-19,447.97,452.01,443.4,445.05,445.05,10591508
2024-08-20,444.65,446.78,441.72,442.69,442.69,6888634
2024-08-21,443.76,451.75,442.92,448.55,448.55,8801221
2024-08-22,450.73,451.3,445.05,447.8,447.8,8686423
2024-08-23,448.24,449.93,443.71,448.91,448.91,8195369
2024-08-26,449.08,450.86,445.53,448.82,448.82,8126402
2024-08-27,450.46,450.5,443.76,444.29,444.29,8260450
2024-08-28,444.11,445.8,440.65,441.36,441.36,8081932
2024-08-29,441.98,450.59,441.41,448.28,448.28,19389694
2024-08-30,445.49,451.88,443.94,445.44,445.44,15523349
2024-09-02,447.31,455.21,446.69,452.68,452.68,16497266
2024-09-03,452.68,457.91,450.77,452.1,452.1,12481552
2024-09-04,443.76,452.68,443.71,449.39,449.39,8739052
2024-09-05,451.17,454.32,450.02,453.7,453.7,11318636
2024-09-06,454.41,454.41,441.23,445.27,445.27,14245025
2024-09-09,445.53,454.99,444.07,454.19,454.19,14265060
2024-09-10,454.32,457.07,451.52,455.83,455.83,11332248
2024-09-11,455.3,461.06,454.36,456.49,456.49,15497555
2024-09-12,457.16,461.95,451.35,461.06,461.06,19085324
2024-09-13,461.06,461.51,454.41,456.05,456.05,9165077
2024-09-16,457.87,458.85,452.37,453.61,453.61,7821668
2024-09-17,453.57,455.78,449.31,450.64,450.64,10889862
2024-09-18,450.73,454.76,448.28,450.28,450.28,5638729
2024-09-19,452.63,456.89,450.41,451.08,451.08,14461616
2024-09-20,454.41,459.16,450.86,456.54,456.54,24725118
2024-09-23,457.47,461.02,455.83,458.8,458.8,8105508
2024-09-24,458.85,459.56,456.32,457.29,457.29,7015487
2024-09-25,457.51,460.89,454.67,459.33,459.33,8802667
2024-09-26,459.42,464.84,458.85,463.95,463.95,16086557
2024-09-27,461.73,469.05,461.73,463.9,463.9,17916386
2024-09-30,462.04,465.37,456.23,459.87,459.87,10936940
2024-10-01,459.87,461.29,456.18,458.14,458.14,5285319
2024-10-03,451.35,457.69,450.95,455.07,455.07,16481353
2024-10-04,452.63,459.16,445.13,446.91,446.91,18930962
2024-10-07,449.97,457.03,449.75,452.81,452.81,17114457
2024-10-08,452.63,454.9,449.08,450.81,450.81,9868331
2024-10-09,452.46,452.46,435.37,436.39,436.39,24874940
2024-10-10,439.63,439.9,434.39,436.7,436.7,13292273
2024-10-11,437.55,438.39,432.58,433.29,433.29,14949380
2024-10-14,435.77,442.87,433.68,441.05,441.05,6970606
2024-10-15,441.98,443.23,438.88,442.47,442.47,8347216
2024-10-16,440.21,442.74,436.97,437.72,437.72,6939430
2024-10-17,439.32,439.32,433.11,433.91,433.91,7669729
2024-10-18,433.77,436.26,424.59,431.95,431.95,22616838
2024-10-21,431.95,432.75,423.66,429.25,429.25,7680088
2024-10-22,429.25,433.46,426.72,427.61,427.61,12772970
2024-10-23,426.9,428.94,425.56,426.32,426.32,10553961
