date,open,high,low,close,adj_close,volume
2024-07-11,1003.9,1021.68,1003.9,1010.43,1010.43,
2024-07-12,1011.87,1014.86,1001.61,1009.78,1009.78,
2024-07-15,1013.76,1016.6,998.77,1004.4,1004.4,
2024-07-16,1009.88,1023.82,1004.3,1005.94,1005.94,
2024-07-18,1010.78,1010.78,972.43,985.93,985.93,
2024-07-19,980.95,983.49,940.61,942.5,942.5,
2024-07-22,938.17,954.65,926.57,948.73,948.73,
2024-07-23,951.32,957.69,923.48,948.93,948.93,
2024-07-24,948.93,970.99,942.01,968.5,968.5,
2024-07-25,936.18,950.42,915.17,933.99,933.99,
2024-07-26,943.35,969.54,938.47,968.4,968.4,
2024-07-29,975.52,978.81,959.58,962.97,962.97,
2024-07-30,962.97,977.66,952.21,972.53,972.53,
2024-07-31,985.98,987.97,976.17,984.23,984.23,
2024-08-01,991.95,1002.56,971.24,979.3,979.3,
2024-08-02,965.06,970.69,949.28,952.86,952.86,
2024-08-05,934.09,942.2,899.78,914.12,914.12,
2024-08-06,915.36,932.64,915.36,921.59,921.59,
2024-08-07,932.2,945.99,921.34,942.55,942.55,
2024-08-08,934.19,934.19,911.28,915.41,915.41,
2024-08-09,923.03,933.19,909.84,912.48,912.48,
2024-08-12,911.23,916.86,898.53,914.37,914.37,
2024-08-13,917.75,924.08,901.32,905.26,905.26,
2024-08-14,905.26,928.16,892.36,925.97,925.97,
2024-08-16,931.2,937.42,922.29,930.7,930.7,
2024-08-19,940.46,953.71,927.37,949.87,949.87,
2024-08-20,953.11,955.25,931.2,945.79,945.79,
2024-08-21,945.79,956.0,940.16,953.71,953.71,
2024-08-22,955.55,966.08,946.12,963.84,963.84,
2024-08-23,967.08,967.08,955.9,957.95,957.95,
2024-08-26,963.09,985.89,958.25,983.65,983.65,
2024-08-27,983.55,984.15,965.04,966.88,966.88,
2024-08-28,972.67,973.07,961.09,966.98,966.98,
2024-08-29,962.09,965.09,946.67,958.6,958.6,
2024-08-30,959.4,974.07,959.0,968.48,968.48,
2024-09-02,973.07,978.91,957.1,963.44,963.44,
2024-09-03,963.09,967.43,944.18,946.37,946.37,
2024-09-04,933.15,951.46,927.21,943.73,943.73,
2024-09-05,945.13,953.76,940.73,948.62,948.62,
2024-09-06,948.62,967.78,935.94,952.06,952.06,
2024-09-09,952.06,963.44,931.15,943.93,943.93,
2024-09-10,948.12,971.52,947.72,960.1,960.1,
2024-09-11,958.1,968.98,949.42,964.99,964.99,
2024-09-12,979.01,1011.99,970.23,1002.66,1002.66,
2024-09-13,1008.1,1033.65,1006.75,1029.06,1029.06,
2024-09-16,1033.95,1046.92,1022.87,1041.03,1041.03,
2024-09-17,1041.93,1071.57,1031.0,1050.67,1050.67,
2024-09-18,1043.48,1052.76,1015.54,1022.82,1022.82,
2024-09-19,1033.2,1041.63,995.57,1000.81,1000.81,
2024-09-20,1013.64,1039.39,1001.61,1007.4,1007.4,
2024-09-23,1012.99,1021.97,1006.6,1019.33,1019.33,
2024-09-24,1029.96,1050.92,1029.96,1039.49,1039.49,
2024-09-25,1050.92,1052.66,1016.48,1018.78,1018.78,
2024-09-26,1024.97,1033.65,1011.79,1026.21,1026.21,
2024-09-27,1033.95,1046.82,1009.1,1026.01,1026.01,
2024-09-30,1035.94,1056.75,1021.52,1037.59,1037.59,
2024-10-01,1047.92,1047.92,1017.43,1033.3,1033.3,
2024-10-03,1027.96,1066.88,1025.02,1048.97,1048.97,
2024-10-04,1052.91,1055.76,1011.39,1019.08,1019.08,
2024-10-07,1024.02,1028.66,985.15,998.62,998.62,
2024-10-08,997.02,997.02,963.09,980.95,980.95,
2024-10-09,983.55,1007.65,963.64,997.52,997.52,
2024-10-10,1006.7,1032.15,984.05,988.79,988.79,
2024-10-11,987.04,1011.99,987.04,1003.86,1003.86,
2024-10-14,1004.06,1015.09,982.4,991.18,991.18,
2024-10-15,994.98,997.57,963.09,966.78,966.78,
2024-10-16,963.09,970.03,948.17,958.35,958.35,
2024-10-17,957.1,960.05,913.19,928.16,928.16,
2024-10-18,927.96,971.27,921.87,962.59,962.59,
2024-10-21,967.23,971.72,944.13,947.07,947.07,
2024-10-22,946.12,950.56,904.31,908.45,908.45,
2024-10-23,923.07,923.87,894.97,913.64,913.64,
2024-10-24,916.88,933.8,907.25,922.47,922.47,
2024-10-25,922.47,925.16,880.25,897.27,897.27,
2024-10-28,897.22,923.02,889.78,917.18,917.18,
2024-10-29,922.17,922.17,894.68,913.24,913.24,
2024-10-30,909.85,928.56,902.76,917.18,917.18,
2024-10-31,917.18,929.86,909.75,918.68,918.68,
2024-11-01,926.06,933.55,920.57,927.66,927.66,
2024-11-04,930.15,932.05,896.02,907.4,907.4,
2024-11-05,907.2,937.14,903.36,934.2,934.2,
2024-11-06,940.13,953.61,926.16,949.97,949.97,
2024-11-07,953.11,967.03,927.76,945.72,945.72,
2024-11-08,945.72,953.61,918.33,926.21,926.21,
2024-11-11,921.17,927.96,902.76,905.05,905.05,
2024-11-12,905.05,914.14,881.45,885.24,885.24,
2024-11-13,879.26,883.15,853.31,856.95,856.95,
2024-11-14,858.05,886.24,857.3,875.66,875.66,
2024-11-18,878.26,902.16,873.52,884.99,884.99,
2024-11-19,885.19,889.09,860.64,863.69,863.69,
2024-11-21,866.28,878.21,855.65,869.48,869.48,
2024-11-22,871.97,882.25,856.8,877.21,877.21,
2024-11-25,885.94,896.37,868.33,875.51,875.51,
2024-11-26,873.27,896.82,869.23,891.03,891.03,
2024-11-27,891.03,892.43,879.51,887.79,887.79,
2024-11-28,892.23,902.01,883.75,895.22,895.22,
2024-11-29,897.22,910.69,890.23,904.66,904.66,
2024-12-02,904.21,919.18,895.42,916.73,916.73,
2024-12-03,924.12,933.75,917.23,923.97,923.97,
2024-12-04,923.17,935.14,918.63,933.65,933.65,
2024-12-05,933.7,940.98,922.52,932.6,932.6,
2024-12-06,933.15,949.87,930.8,947.22,947.22,
2024-12-09,948.17,967.68,943.33,965.29,965.29,
2024-12-10,971.97,1009.45,971.07,1000.37,1000.37,
2024-12-11,996.02,1006.4,988.34,992.68,992.68,
2024-12-12,998.02,1004.01,985.1,998.27,998.27,
2024-12-13,995.03,998.82,972.22,996.77,996.77,
2024-12-16,991.03,998.42,966.98,974.17,974.17,
2024-12-17,970.08,979.71,945.87,949.62,949.62,
2024-12-18,958.1,959.75,925.01,929.61,929.61,
2024-12-19,905.2,923.17,905.2,920.57,920.57,
2024-12-20,923.17,932.55,902.21,906.25,906.25,
2024-12-23,923.17,945.62,881.6,938.94,938.94,
2024-12-24,937.14,944.68,928.16,940.83,940.83,
2024-12-26,936.14,943.13,922.92,939.49,939.49,
2024-12-27,937.14,947.57,919.53,921.72,921.72,
2024-12-30,918.88,923.52,907.2,916.48,916.48,
2024-12-31,909.7,933.65,909.7,928.86,928.86,
2025-01-01,923.57,937.64,916.78,936.24,936.24,
2025-01-02,930.15,945.13,928.46,939.84,939.84,
2025-01-03,938.64,960.2,937.44,955.95,955.95,
2025-01-06,955.9,955.9,924.82,937.49,937.49,
2025-01-07,933.25,952.81,933.25,939.59,939.59,
2025-01-08,935.14,945.87,928.31,940.68,940.68,
2025-01-09,938.99,939.79,919.18,929.71,929.71,
2025-01-10,928.16,929.71,909.25,915.88,915.88,
2025-01-13,911.24,916.73,869.33,874.96,874.96,
2025-01-14,877.16,920.57,877.16,908.1,908.1,
2025-01-15,913.29,917.43,896.37,908.45,908.45,
2025-01-16,917.18,930.65,909.7,916.03,916.03,
2025-01-17,913.19,929.06,910.79,922.82,922.82,
