date,open,high,low,close,adj_close,volume
2024-07-11,348.96,350.8,346.46,347.51,347.51,8045640
2024-07-12,353.95,355.85,349.46,349.8,349.8,16327807
2024-07-15,353.75,356.14,351.15,354.85,354.85,15488346
2024-07-16,349.46,349.8,342.57,343.71,343.71,25005251
2024-07-18,345.06,345.61,335.48,336.48,336.48,25188963
2024-07-19,336.53,341.47,331.53,338.22,338.22,15349322
2024-07-22,338.22,342.47,333.78,340.42,340.42,12279130
2024-07-23,341.47,341.47,325.49,334.38,334.38,13863332
2024-07-24,334.73,338.47,334.08,334.18,334.18,8729363
2024-07-25,332.48,333.13,327.49,328.69,328.69,12201643
2024-07-26,329.34,336.13,329.04,331.38,331.38,9688122
2024-07-29,333.98,334.68,328.99,329.69,329.69,12628377
2024-07-30,330.48,331.23,328.59,328.84,328.84,8705901
2024-07-31,328.84,330.73,326.99,327.99,327.99,12402209
2024-08-01,328.49,332.38,327.74,328.19,328.19,13137038
2024-08-02,325.44,327.74,324.04,325.74,325.74,7284359
2024-08-05,317.45,321.7,314.51,316.56,316.56,16751766
2024-08-06,316.66,321.5,309.52,310.87,310.87,12640387
2024-08-07,315.96,336.68,312.81,329.24,329.24,20755735
2024-08-08,329.49,330.28,323.5,325.89,325.89,9648681
2024-08-09,329.69,329.99,323.99,325.09,325.09,7793704
2024-08-12,324.49,330.43,321.8,328.64,328.64,12463583
2024-08-13,328.99,335.98,321.5,322.8,322.8,15172143
2024-08-14,325.49,325.84,318.7,319.7,319.7,8040049
2024-08-16,323.5,329.04,319.05,327.64,327.64,16446600
2024-08-19,331.43,333.98,328.29,330.93,330.93,13708990
2024-08-20,331.88,337.42,331.48,333.63,333.63,15772046
2024-08-21,335.38,336.72,328.99,330.58,330.58,18916856
2024-08-22,331.68,332.88,328.39,329.09,329.09,8368346
2024-08-23,329.49,333.18,326.19,326.64,326.64,8935180
2024-08-26,332.18,333.68,321.25,322.75,322.75,26118300
2024-08-27,323.99,326.09,321.15,323.1,323.1,16600233
2024-08-28,326.49,329.74,320.4,321.75,321.75,21470187
2024-08-29,323.75,332.58,323.0,325.14,325.14,33808226
2024-08-30,327.14,331.08,320.15,321.2,321.2,27498340
2024-09-02,323.4,348.81,322.65,344.36,344.36,65333808
2024-09-03,350.45,354.45,341.97,349.65,349.65,65293715
2024-09-04,344.46,349.75,342.52,346.66,346.66,22005759
2024-09-05,348.06,349.9,343.46,344.81,344.81,16406870
2024-09-06,344.46,345.31,335.48,336.33,336.33,17265092
