date,open,high,low,close,adj_close,volume
2024-07-11,726.35,735.09,704.91,707.79,707.79,2727483
2024-07-12,709.77,717.61,702.82,707.94,707.94,1542953
2024-07-15,716.08,718.71,694.29,715.18,715.18,1560037
2024-07-16,713.69,718.11,699.84,703.17,703.17,2140798
2024-07-18,704.81,712.01,691.21,707.54,707.54,2792221
2024-07-19,707.69,712.5,680.54,699.84,699.84,2884304
2024-07-22,711.76,720.69,697.41,704.61,704.61,3969726
2024-07-23,712.55,726.6,677.01,692.0,692.0,4066282
2024-07-24,693.89,698.75,675.13,677.36,677.36,1984059
2024-07-25,677.36,684.41,661.13,663.26,663.26,3964959
2024-07-26,665.1,700.64,665.1,688.48,688.48,3724008
2024-07-29,692.95,697.56,675.72,687.19,687.19,3882488
2024-07-30,686.94,723.17,686.0,710.02,710.02,5078790
2024-07-31,716.72,724.56,711.56,722.68,722.68,2972729
2024-08-01,723.17,742.53,717.27,722.33,722.33,4012480
2024-08-02,729.63,729.77,705.8,716.77,716.77,1620560
2024-08-05,685.95,699.4,671.06,679.45,679.45,2592232
2024-08-06,684.9,698.85,675.03,678.4,678.4,2635441
2024-08-07,690.41,693.09,672.6,684.95,684.95,2419831
2024-08-08,684.95,712.75,677.31,694.34,694.34,2822564
2024-08-09,700.84,710.27,694.04,697.86,697.86,1777449
2024-08-12,696.87,696.87,677.11,684.06,684.06,2143235
2024-08-13,685.85,687.14,665.1,667.63,667.63,1768877
2024-08-14,674.18,674.33,637.36,641.23,641.23,2440039
2024-08-16,655.27,662.42,644.55,660.19,660.19,1244705
2024-08-19,660.24,669.32,659.14,663.66,663.66,1292127
2024-08-20,666.44,709.57,663.02,704.71,704.71,3749595
2024-08-21,703.32,716.32,698.11,714.64,714.64,1985541
2024-08-22,714.24,714.54,697.31,705.5,705.5,1142599
2024-08-23,719.7,719.7,696.87,698.7,698.7,1374459
2024-08-26,707.39,715.53,696.82,710.32,710.32,1630347
2024-08-27,713.64,732.11,710.91,727.74,727.74,2632192
2024-08-28,728.63,734.59,718.01,731.21,731.21,1830363
2024-08-29,734.59,745.86,709.77,714.78,714.78,2918379
2024-08-30,718.41,722.28,701.83,705.95,705.95,2488658
2024-09-02,710.27,721.68,697.86,700.64,700.64,1645640
2024-09-03,701.83,703.87,685.7,687.63,687.63,1737165
2024-09-04,679.89,696.37,671.3,693.39,693.39,2969254
2024-09-05,693.89,718.71,687.09,709.23,709.23,3952565
