date,open,high,low,close,adj_close,volume
2024-07-11,924.66,929.5,912.99,922.52,922.52,
2024-07-12,927.45,935.23,921.52,931.89,931.89,
2024-07-15,935.43,936.18,923.66,929.2,929.2,
2024-07-16,929.65,936.83,925.66,931.84,931.84,
2024-07-18,931.84,932.84,918.88,928.95,928.95,
2024-07-19,924.51,925.01,884.17,887.06,887.06,
2024-07-22,873.15,891.0,862.83,886.16,886.16,
2024-07-23,887.61,893.74,869.66,891.55,891.55,
2024-07-24,892.6,892.6,877.64,878.98,878.98,
2024-07-25,867.66,877.64,860.08,872.15,872.15,
2024-07-26,877.64,906.36,872.95,898.13,898.13,
2024-07-29,907.46,907.46,892.65,896.14,896.14,
2024-07-30,892.65,905.51,887.76,899.68,899.68,
2024-07-31,906.51,933.84,900.28,925.76,925.76,
2024-08-01,935.03,955.38,925.26,932.04,932.04,
2024-08-02,917.43,921.37,893.59,897.13,897.13,
2024-08-05,881.63,881.63,851.86,861.48,861.48,
2024-08-06,864.72,890.65,864.72,881.63,881.63,
2024-08-07,896.59,908.2,892.6,904.02,904.02,
2024-08-08,897.58,900.53,881.03,885.17,885.17,
2024-08-09,893.64,912.29,886.61,902.67,902.67,
2024-08-12,902.37,923.71,895.69,914.89,914.89,
2024-08-13,922.52,925.01,902.57,905.41,905.41,
2024-08-14,909.5,909.5,883.02,887.91,887.91,
2024-08-16,897.58,908.25,880.18,906.01,906.01,
2024-08-19,907.56,917.53,901.47,915.29,915.29,
2024-08-20,921.42,921.42,908.35,914.69,914.69,
2024-08-21,907.56,924.51,905.66,923.31,923.31,
2024-08-22,924.56,932.34,922.32,930.74,930.74,
2024-08-23,932.09,941.41,926.65,938.52,938.52,
2024-08-26,942.96,966.3,934.68,960.91,960.91,
2024-08-27,960.86,964.35,940.22,941.46,941.46,
2024-08-28,944.96,948.94,932.49,946.7,946.7,
2024-08-29,942.46,947.95,928.3,937.18,937.18,
2024-08-30,945.35,952.19,936.13,938.57,938.57,
2024-09-02,938.57,948.89,933.64,937.92,937.92,
2024-09-03,934.58,939.02,927.45,928.45,928.45,
2024-09-04,917.53,932.19,909.55,930.54,930.54,
2024-09-05,932.04,942.01,921.27,922.96,922.96,
2024-09-06,922.96,936.88,909.25,930.29,930.29,
2024-09-09,920.52,934.18,916.58,931.74,931.74,
2024-09-10,931.59,945.95,927.3,936.23,936.23,
2024-09-11,938.52,941.76,921.77,925.26,925.26,
