date,open,high,low,close,adj_close,volume
2024-07-11,581.73,583.62,569.68,579.59,579.59,
2024-07-12,583.03,585.98,573.65,581.04,581.04,
2024-07-15,581.04,581.04,574.15,577.84,577.84,
2024-07-16,577.99,592.97,573.65,584.83,584.83,
2024-07-18,584.83,586.18,562.32,566.86,566.86,
2024-07-19,566.86,579.99,557.53,559.18,559.18,
2024-07-22,554.83,575.85,547.79,568.31,568.31,
2024-07-23,568.31,573.0,548.14,560.27,560.27,
2024-07-24,560.27,582.98,556.98,581.24,581.24,
2024-07-25,577.79,583.93,572.5,577.29,577.29,
2024-07-26,580.99,582.09,575.25,580.34,580.34,
2024-07-29,582.09,596.76,576.35,589.82,589.82,
2024-07-30,589.97,593.47,577.59,578.99,578.99,
2024-07-31,578.99,603.4,578.99,597.76,597.76,
2024-08-01,599.95,604.75,594.46,599.6,599.6,
2024-08-02,594.91,614.38,591.07,605.64,605.64,
2024-08-05,594.46,600.35,580.99,584.38,584.38,
2024-08-06,585.48,606.94,585.48,596.71,596.71,
2024-08-07,602.35,613.23,600.15,606.24,606.24,
2024-08-08,608.94,610.04,593.96,596.16,596.16,
2024-08-09,598.96,603.5,596.16,597.86,597.86,
2024-08-12,615.38,654.86,603.15,650.22,650.22,
2024-08-13,649.87,651.96,638.69,643.08,643.08,
2024-08-14,647.87,647.87,632.65,636.34,636.34,
2024-08-16,638.89,650.37,634.94,643.88,643.88,
2024-08-19,643.88,647.72,626.01,632.15,632.15,
2024-08-20,635.79,635.79,623.01,624.21,624.21,
2024-08-21,626.91,655.56,625.96,645.62,645.62,
2024-08-22,650.77,661.95,646.27,656.46,656.46,
2024-08-23,656.56,660.8,648.07,649.12,649.12,
2024-08-26,649.12,658.85,647.42,655.76,655.76,
2024-08-27,657.8,663.84,654.21,660.25,660.25,
2024-08-28,663.84,666.49,648.12,654.96,654.96,
2024-08-29,657.35,657.35,647.12,649.77,649.77,
2024-08-30,649.77,660.6,646.97,649.17,649.17,
2024-09-02,652.86,655.21,641.23,648.32,648.32,
2024-09-03,647.62,657.85,647.62,653.06,653.06,
2024-09-04,646.87,654.41,643.83,649.07,649.07,
2024-09-05,654.86,654.86,642.18,643.98,643.98,
2024-09-06,643.38,650.77,638.24,646.52,646.52,
2024-09-09,641.88,644.93,633.7,641.28,641.28,
2024-09-10,644.88,670.13,642.93,664.69,664.69,
2024-09-11,664.69,671.68,658.9,661.95,661.95,
2024-09-12,662.89,671.98,656.41,668.33,668.33,
2024-09-13,668.78,683.31,666.94,677.87,677.87,
2024-09-16,680.81,683.81,661.75,663.09,663.09,
2024-09-17,664.84,680.51,661.6,674.27,674.27,
2024-09-18,675.72,679.12,668.88,674.47,674.47,
2024-09-19,678.52,695.79,673.23,694.24,694.24,
2024-09-20,694.24,705.82,686.75,702.18,702.18,
2024-09-23,703.92,714.2,698.58,703.62,703.62,
2024-09-24,703.62,711.41,698.73,707.62,707.62,
2024-09-25,707.62,707.77,698.78,703.52,703.52,
2024-09-26,703.52,703.52,680.46,686.7,686.7,
2024-09-27,688.85,697.38,683.81,687.05,687.05,
2024-09-30,682.81,690.05,673.88,680.71,680.71,
2024-10-01,683.86,684.76,653.46,657.65,657.65,
2024-10-03,648.87,652.21,626.21,634.04,634.04,
2024-10-04,628.95,638.74,623.81,628.06,628.06,
2024-10-07,628.06,633.5,610.04,617.32,617.32,
2024-10-08,614.18,625.36,611.13,614.33,614.33,
2024-10-09,621.92,631.7,617.02,628.1,628.1,
2024-10-10,632.85,633.84,618.22,622.71,622.71,
2024-10-11,621.92,630.2,613.93,628.6,628.6,
2024-10-14,628.6,631.6,610.29,617.27,617.27,
2024-10-15,622.76,626.86,616.13,625.51,625.51,
2024-10-16,626.36,627.76,617.57,621.02,621.02,
2024-10-17,620.92,623.86,608.04,611.33,611.33,
2024-10-18,605.94,627.46,603.25,623.91,623.91,
2024-10-21,622.36,636.24,614.68,621.47,621.47,
2024-10-22,618.92,623.91,612.18,614.38,614.38,
2024-10-23,608.94,614.83,604.8,605.74,605.74,
2024-10-24,601.15,607.29,592.32,599.75,599.75,
2024-10-25,599.75,602.75,580.64,584.23,584.23,
2024-10-28,581.09,592.67,575.2,584.48,584.48,
2024-10-29,585.98,587.68,562.12,574.3,574.3,
2024-10-30,574.6,585.23,569.31,577.44,577.44,
2024-10-31,577.44,578.69,569.11,575.0,575.0,
2024-11-01,583.78,583.78,571.7,576.54,576.54,
2024-11-04,576.54,576.54,557.28,566.11,566.11,
2024-11-05,566.11,594.46,566.11,590.92,590.92,
2024-11-06,596.81,602.25,589.62,599.4,599.4,
2024-11-07,602.95,603.85,583.28,595.31,595.31,
2024-11-08,595.31,607.84,593.42,606.19,606.19,
2024-11-11,608.94,616.38,593.37,600.95,600.95,
2024-11-12,625.26,654.81,613.33,635.74,635.74,
2024-11-13,633.94,640.53,614.13,624.11,624.11,
2024-11-14,628.9,628.9,605.39,607.09,607.09,
2024-11-18,613.93,616.03,602.6,606.09,606.09,
2024-11-19,606.09,621.37,603.5,611.98,611.98,
2024-11-21,608.94,616.43,604.95,609.14,609.14,
2024-11-22,611.08,643.53,607.29,636.54,636.54,
2024-11-25,644.73,645.47,630.05,631.65,631.65,
2024-11-26,635.89,652.56,633.3,645.77,645.77,
2024-11-27,650.67,653.91,643.03,650.07,650.07,
2024-11-28,651.86,657.3,637.14,641.18,641.18,
2024-11-29,642.38,649.52,638.49,643.43,643.43,
2024-12-02,643.43,653.46,637.79,650.77,650.77,
2024-12-03,654.86,657.55,645.97,655.91,655.91,
