date,open,high,low,close,adj_close,volume
2024-07-11,506.63,509.81,497.67,500.66,500.66,
2024-07-12,500.61,506.38,495.54,502.65,502.65,
2024-07-15,503.99,522.05,496.43,510.71,510.71,
2024-07-16,514.74,530.26,512.45,524.83,524.83,
2024-07-18,524.69,524.69,509.86,516.78,516.78,
2024-07-19,512.35,533.24,511.85,526.23,526.23,
2024-07-22,528.66,538.17,522.4,526.58,526.58,
2024-07-23,526.28,558.76,494.99,549.9,549.9,
2024-07-24,552.64,630.34,552.59,584.23,584.23,
2024-07-25,586.96,609.35,560.1,570.75,570.75,
2024-07-26,575.92,575.92,562.19,564.88,564.88,
2024-07-29,569.01,579.0,552.49,569.7,569.7,
2024-07-30,570.0,577.01,560.1,569.85,569.85,
2024-07-31,570.55,579.95,562.39,576.42,576.42,
2024-08-01,581.69,589.95,557.12,561.79,561.79,
2024-08-02,566.07,579.65,548.16,556.87,556.87,
2024-08-05,532.25,549.31,513.29,541.8,541.8,
2024-08-06,547.17,554.08,530.36,537.82,537.82,
2024-08-07,546.17,547.12,526.33,537.62,537.62,
2024-08-08,536.97,537.22,529.26,533.79,533.79,
2024-08-09,535.43,539.42,528.5,537.23,537.23,
2024-08-12,532.44,554.18,527.16,550.24,550.24,
2024-08-13,555.18,570.33,544.66,556.52,556.52,
2024-08-14,561.61,568.44,548.4,566.94,566.94,
2024-08-16,568.84,576.31,560.36,571.28,571.28,
2024-08-19,576.26,582.3,541.81,547.95,547.95,
2024-08-20,553.38,556.37,529.1,540.32,540.32,
2024-08-21,541.42,555.37,530.9,542.86,542.86,
2024-08-22,570.33,603.23,569.98,594.66,594.66,
2024-08-23,603.23,616.89,580.55,587.18,587.18,
2024-08-26,587.28,623.13,578.71,614.95,614.95,
2024-08-27,617.19,622.18,603.43,613.06,613.06,
2024-08-28,612.11,614.2,597.25,609.42,609.42,
2024-08-29,608.22,617.99,604.83,608.82,608.82,
2024-08-30,611.11,622.68,607.22,613.41,613.41,
2024-09-02,615.65,643.12,614.2,637.98,637.98,
2024-09-03,637.19,652.09,629.21,648.95,648.95,
2024-09-04,644.12,656.83,628.41,652.29,652.29,
2024-09-05,653.09,660.82,640.13,646.06,646.06,
2024-09-06,647.11,653.09,631.15,646.31,646.31,
2024-09-09,647.11,652.59,635.89,640.73,640.73,
2024-09-10,643.87,650.1,635.14,638.33,638.33,
2024-09-11,641.12,667.55,634.64,654.88,654.88,
2024-09-12,662.31,692.67,658.62,687.29,687.29,
2024-09-13,695.86,746.81,692.02,713.96,713.96,
2024-09-16,721.09,723.48,673.93,697.91,697.91,
2024-09-17,701.05,716.9,692.72,710.77,710.77,
2024-09-18,713.91,716.9,690.18,695.37,695.37,
2024-09-19,697.36,709.08,682.35,706.18,706.18,
2024-09-20,707.83,731.86,700.05,728.37,728.37,
2024-09-23,731.26,783.96,730.86,766.41,766.41,
2024-09-24,769.75,776.73,753.25,769.75,769.75,
2024-09-25,773.44,782.81,751.85,755.99,755.99,
2024-09-26,760.77,761.17,708.93,714.61,714.61,
2024-09-27,718.85,727.67,701.95,704.64,704.64,
2024-09-30,707.68,730.91,703.64,728.12,728.12,
2024-10-01,728.97,755.69,722.64,747.96,747.96,
2024-10-03,722.88,750.3,718.9,728.42,728.42,
2024-10-04,732.86,740.48,706.23,710.87,710.87,
2024-10-07,724.88,727.17,671.44,700.15,700.15,
2024-10-08,702.15,716.65,683.05,707.88,707.88,
2024-10-09,711.82,725.28,701.1,719.44,719.44,
2024-10-10,723.88,733.25,713.46,716.7,716.7,
2024-10-11,720.19,724.58,709.92,718.2,718.2,
2024-10-14,719.89,752.7,716.3,748.61,748.61,
2024-10-15,755.79,770.74,739.39,748.81,748.81,
2024-10-16,748.81,754.39,734.85,749.21,749.21,
2024-10-17,746.86,749.21,718.9,725.93,725.93,
2024-10-18,723.88,736.74,705.93,716.85,716.85,
2024-10-21,722.78,725.93,697.96,702.0,702.0,
2024-10-22,705.29,711.97,666.75,673.93,673.93,
2024-10-23,672.83,704.89,656.93,692.62,692.62,
2024-10-24,692.87,710.92,688.14,694.07,694.07,
2024-10-25,694.97,699.45,663.31,669.74,669.74,
2024-10-28,670.34,678.02,660.12,667.1,667.1,
2024-10-29,671.58,675.02,648.7,671.19,671.19,
2024-10-30,671.19,681.95,661.26,672.28,672.28,
2024-10-31,672.03,677.72,650.65,655.23,655.23,
2024-11-01,668.05,673.03,663.86,668.84,668.84,
2024-11-04,662.16,664.01,650.1,657.58,657.58,
2024-11-05,656.88,667.05,630.55,650.4,650.4,
2024-11-06,647.11,703.94,646.11,697.96,697.96,
2024-11-07,701.95,716.2,690.73,703.99,703.99,
2024-11-08,705.78,705.83,688.68,692.07,692.07,
2024-11-11,690.03,708.88,683.35,698.16,698.16,
2024-11-12,702.94,717.35,693.57,702.25,702.25,
2024-11-13,701.9,707.48,663.06,668.49,668.49,
2024-11-14,663.01,692.47,640.77,651.99,651.99,
2024-11-18,654.09,673.43,652.19,666.3,666.3,
2024-11-19,672.03,704.94,668.39,699.3,699.3,
2024-11-21,705.69,717.9,694.67,709.67,709.67,
2024-11-22,711.92,712.17,681.8,704.39,704.39,
2024-11-25,720.74,734.65,679.81,697.36,697.36,
2024-11-26,692.77,706.88,689.08,691.33,691.33,
2024-11-27,694.97,703.94,683.35,695.61,695.61,
2024-11-28,700.25,709.92,689.98,705.59,705.59,
2024-11-29,705.59,725.88,703.54,722.34,722.34,
2024-12-02,720.39,739.39,713.66,719.99,719.99,
2024-12-03,722.88,729.57,718.45,724.73,724.73,
2024-12-04,728.47,729.47,698.95,720.64,720.64,
2024-12-05,720.89,722.59,709.27,718.55,718.55,
2024-12-06,718.55,747.81,714.86,728.37,728.37,
2024-12-09,729.71,776.43,729.71,773.19,773.19,
2024-12-10,775.73,779.02,742.88,756.69,756.69,
2024-12-11,758.78,764.76,750.85,760.72,760.72,
2024-12-12,759.78,782.16,749.66,757.88,757.88,
2024-12-13,757.78,760.77,735.25,744.92,744.92,
2024-12-16,748.26,763.12,746.17,761.02,761.02,
2024-12-17,761.77,766.61,750.9,754.14,754.14,
2024-12-18,756.74,760.28,731.86,752.0,752.0,
2024-12-19,737.04,746.32,733.85,740.28,740.28,
2024-12-20,742.33,745.67,713.26,717.1,717.1,
2024-12-23,725.58,736.74,712.47,721.84,721.84,
2024-12-24,721.84,726.52,710.17,717.9,717.9,
2024-12-26,722.88,733.75,715.21,724.33,724.33,
2024-12-27,722.93,732.66,717.4,719.54,719.54,
2024-12-30,721.64,750.95,712.91,742.23,742.23,
2024-12-31,738.84,771.74,723.88,764.01,764.01,
2025-01-01,757.78,777.72,751.9,773.59,773.59,
2025-01-02,775.83,793.08,765.06,785.6,785.6,
2025-01-03,788.59,790.59,755.19,775.53,775.53,
2025-01-06,779.27,791.13,738.34,742.38,742.38,
2025-01-07,774.78,778.87,716.05,720.84,720.84,
2025-01-08,722.34,722.54,661.56,704.34,704.34,
2025-01-09,706.83,707.33,654.09,660.62,660.62,
2025-01-10,658.07,659.67,612.86,624.92,624.92,
2025-01-13,598.25,607.92,567.09,571.43,571.43,
2025-01-14,579.35,602.19,568.49,594.66,594.66,
2025-01-15,598.25,600.89,520.48,553.48,553.48,
2025-01-16,556.47,568.34,516.59,537.63,537.63,
2025-01-17,535.43,553.03,496.55,500.04,500.04,
2025-01-20,523.47,547.4,519.53,529.35,529.35,
2025-01-21,536.43,536.43,479.3,486.93,486.93,
2025-01-22,484.58,497.54,457.66,484.23,484.23,
2025-01-23,491.21,508.16,470.62,476.75,476.75,
2025-01-24,478.6,482.09,453.92,457.41,457.41,
2025-01-27,456.66,456.66,431.94,435.92,435.92,
2025-01-28,436.27,447.64,419.42,436.77,436.77,
2025-01-29,439.81,450.63,433.03,447.39,447.39,
2025-01-30,449.68,464.69,433.83,439.36,439.36,
2025-01-31,458.71,505.22,445.2,501.63,501.63,
2025-02-01,500.54,525.21,482.59,503.98,503.98,
2025-02-03,500.98,515.84,483.68,501.43,501.43,
2025-02-04,508.51,592.27,503.63,562.15,562.15,
2025-02-05,565.35,589.67,551.39,566.19,566.19,
2025-02-06,562.35,567.84,536.53,540.82,540.82,
2025-02-07,539.42,551.93,532.04,537.83,537.83,
2025-02-10,535.48,543.41,512.5,520.53,520.53,
2025-02-11,523.12,525.46,503.53,518.73,518.73,
2025-02-12,510.61,520.13,497.2,511.1,511.1,
2025-02-13,509.51,528.45,505.52,524.91,524.91,
2025-02-14,520.48,523.32,478.75,486.97,486.97,
2025-02-17,483.04,508.46,476.16,505.57,505.57,
2025-02-18,501.58,504.77,478.1,482.89,482.89,
2025-02-19,482.59,492.31,473.41,481.74,481.74,
2025-02-20,481.74,495.05,478.75,492.41,492.41,
2025-02-21,491.56,500.93,480.59,483.83,483.83,
2025-02-24,481.54,483.78,473.22,477.7,477.7,
2025-02-25,481.04,486.48,471.77,476.66,476.66,
2025-02-27,477.6,482.54,457.21,467.83,467.83,
2025-02-28,451.23,470.92,451.23,460.9,460.9,
2025-03-03,462.7,465.99,435.58,439.16,439.16,
2025-03-04,436.62,463.99,424.76,458.26,458.26,
2025-03-05,456.46,468.08,453.77,466.09,466.09,
2025-03-06,466.88,474.11,445.8,449.09,449.09,
2025-03-07,450.68,452.08,427.75,430.44,430.44,
2025-03-10,436.72,437.82,404.82,406.31,406.31,
2025-03-11,403.32,428.89,398.23,420.27,420.27,
2025-03-12,422.91,430.14,416.43,426.0,426.0,
2025-03-13,428.1,435.18,416.78,429.64,429.64,
2025-03-17,428.75,436.47,423.76,426.75,426.75,
2025-03-18,426.75,426.75,426.75,426.75,426.75,
2025-03-19,433.18,463.64,432.73,452.23,452.23,
2025-03-20,458.66,473.61,441.21,465.89,465.89,
2025-03-21,466.48,482.59,463.19,469.83,469.83,
2025-03-24,472.67,499.24,465.19,488.42,488.42,
2025-03-25,490.91,493.56,465.09,467.83,467.83,
2025-03-26,469.73,480.1,467.23,472.92,472.92,
2025-03-27,471.62,473.61,462.95,467.68,467.68,
2025-03-28,469.78,480.19,461.55,465.89,465.89,
2025-04-01,466.14,468.13,451.28,456.71,456.71,
2025-04-02,458.86,516.89,458.11,509.61,509.61,
2025-04-03,501.03,515.39,496.45,507.61,507.61,
2025-04-04,504.62,506.52,479.75,485.73,485.73,
2025-04-07,441.76,490.56,441.76,484.88,484.88,
2025-04-08,498.54,503.53,482.19,490.86,490.86,
2025-04-09,491.56,497.24,480.84,492.61,492.61,
2025-04-11,500.24,515.69,493.61,509.26,509.26,
2025-04-15,516.54,522.42,509.96,512.65,512.65,
2025-04-16,512.65,527.46,511.3,523.82,523.82,
2025-04-17,523.72,531.74,514.69,523.12,523.12,
2025-04-21,526.21,533.94,520.48,527.61,527.61,
2025-04-22,530.45,537.58,520.08,523.47,523.47,
2025-04-23,527.06,543.81,517.44,536.43,536.43,
2025-04-24,534.44,534.44,515.94,518.28,518.28,
2025-04-25,521.47,524.52,493.76,499.79,499.79,
2025-04-28,499.74,524.07,499.54,516.69,516.69,
2025-04-29,519.43,521.47,513.0,516.69,516.69,
2025-04-30,518.33,521.32,509.91,515.04,515.04,
2025-05-02,512.6,517.39,504.57,505.77,505.77,
2025-05-05,511.4,533.24,506.62,529.25,529.25,
2025-05-06,527.31,527.31,499.14,500.78,500.78,
2025-05-07,495.05,524.66,492.21,521.57,521.57,
2025-05-08,521.52,526.96,505.52,510.9,510.9,
2025-05-09,499.64,525.96,499.64,517.64,517.64,
2025-05-12,533.44,543.41,528.5,536.58,536.58,
2025-05-13,536.63,556.07,535.03,552.88,552.88,
2025-05-14,553.88,562.85,546.9,549.84,549.84,
2025-05-15,550.49,555.03,547.0,550.29,550.29,
2025-05-16,553.08,563.35,549.39,558.76,558.76,
2025-05-19,558.76,563.35,551.44,557.72,557.72,
2025-05-20,559.96,562.65,541.12,544.56,544.56,
2025-05-21,547.95,556.32,545.4,550.44,550.44,
2025-05-22,548.4,554.08,543.56,552.48,552.48,
2025-05-23,552.38,556.32,546.7,551.98,551.98,
2025-05-26,551.89,572.82,551.54,566.69,566.69,
2025-05-27,566.64,574.22,558.37,561.11,561.11,
2025-05-28,563.35,571.78,560.71,568.94,568.94,
2025-05-29,569.48,571.63,560.36,563.75,563.75,
2025-05-30,563.75,566.24,556.97,558.76,558.76,
2025-06-02,559.31,559.51,549.39,555.03,555.03,
2025-06-03,555.03,558.72,552.53,555.03,555.03,
2025-06-04,556.12,563.85,552.38,555.08,555.08,
2025-06-05,556.37,559.06,548.89,552.48,552.48,
2025-06-06,552.43,565.55,548.59,561.46,561.46,
2025-06-09,562.25,564.4,548.4,550.04,550.04,
2025-06-10,552.63,553.38,539.97,545.5,545.5,
2025-06-11,546.15,548.1,532.44,533.64,533.64,
2025-06-12,536.38,536.38,515.59,517.04,517.04,
2025-06-13,513.25,519.48,506.27,517.44,517.44,
2025-06-16,516.49,521.97,512.6,519.83,519.83,
2025-06-17,522.42,524.42,510.51,513.05,513.05,
2025-06-18,510.71,521.57,508.21,518.38,518.38,
2025-06-19,518.38,524.27,506.52,509.56,509.56,
2025-06-20,509.06,520.98,505.12,516.84,516.84,
2025-06-23,510.61,518.18,500.88,514.15,514.15,
2025-06-24,515.94,525.91,515.94,519.28,519.28,
2025-06-25,520.78,541.22,519.88,538.77,538.77,
2025-06-26,541.32,555.82,532.64,551.74,551.74,
2025-06-27,552.68,554.38,539.42,543.16,543.16,
2025-06-30,544.41,557.42,540.67,554.23,554.23,
2025-07-01,555.87,573.37,551.49,568.69,568.69,
2025-07-02,568.69,591.87,565.15,583.89,583.89,
2025-07-03,583.89,585.59,572.33,581.15,581.15,
2025-07-04,581.35,585.94,576.71,583.94,583.94,
2025-07-07,585.69,591.22,569.08,582.35,582.35,
2025-07-08,584.39,584.39,561.31,572.08,572.08,
2025-07-09,572.33,590.77,569.78,577.11,577.11,
2025-07-10,577.31,588.28,576.21,586.08,586.08,
2025-07-11,585.29,585.79,574.62,580.45,580.45,
2025-07-14,584.49,586.68,578.51,584.04,584.04,
2025-07-15,586.58,592.96,583.64,586.53,586.53,
2025-07-16,588.28,594.01,584.39,588.48,588.48,
2025-07-17,590.27,607.72,587.98,598.75,598.75,
2025-07-18,599.75,602.09,585.99,588.43,588.43,
2025-07-21,589.28,594.81,581.8,589.48,589.48,
2025-07-22,589.33,593.26,584.29,591.32,591.32,
2025-07-23,594.36,615.85,586.53,610.01,610.01,
2025-07-24,610.21,615.9,600.49,611.21,611.21,
2025-07-25,604.73,606.18,587.93,592.27,592.27,
2025-07-28,589.18,601.24,585.64,595.11,595.11,
2025-07-29,592.37,605.33,589.33,602.64,602.64,
2025-07-30,602.64,608.22,599.79,604.88,604.88,
2025-07-31,588.78,601.89,588.78,592.96,592.96,
2025-08-01,592.27,592.72,579.11,581.15,581.15,
2025-08-04,581.3,596.6,572.38,594.71,594.71,
2025-08-05,591.27,601.39,588.38,598.25,598.25,
2025-08-06,592.27,597.45,584.24,588.48,588.48,
2025-08-07,581.3,598.35,568.04,589.23,589.23,
2025-08-08,613.21,614.2,514.05,526.56,526.56,
2025-08-11,526.56,542.96,518.48,535.93,535.93,
2025-08-12,533.44,535.88,518.73,521.17,521.17,
2025-08-13,527.36,527.46,512.5,514.15,514.15,
2025-08-14,515.49,544.71,509.96,531.94,531.94,
2025-08-18,533.44,538.32,516.74,518.68,518.68,
2025-08-19,518.68,520.73,502.33,505.87,505.87,
2025-08-20,506.02,512.5,502.93,509.11,509.11,
2025-08-21,511.65,514.25,507.91,509.51,509.51,
2025-08-22,509.51,513.9,507.07,509.66,509.66,
2025-08-25,510.51,513.5,508.11,509.66,509.66,
2025-08-26,507.71,511.0,493.66,496.95,496.95,
2025-08-28,493.11,513.3,491.51,508.66,508.66,
2025-08-29,506.52,509.01,500.04,502.68,502.68,
2025-09-01,501.53,510.01,500.59,508.56,508.56,
2025-09-02,507.51,515.94,504.72,507.22,507.22,
2025-09-03,507.51,519.88,507.51,512.6,512.6,
2025-09-04,516.35,518.1,500.45,501.9,501.9,
2025-09-05,505.0,507.7,498.8,501.95,501.95,
2025-09-08,500.0,509.95,500.0,505.95,505.95,
2025-09-09,506.0,507.45,496.45,500.25,500.25,
2025-09-10,502.55,509.0,499.65,507.05,507.05,
2025-09-11,507.05,509.0,502.0,505.8,505.8,
