date,open,high,low,close,adj_close,volume
2024-07-11,4528.62,4535.61,4436.07,4496.29,4496.29,120805
2024-07-12,4500.43,4610.2,4500.43,4584.6,4584.6,194457
2024-07-15,4600.22,4655.15,4585.25,4613.04,4613.04,106895
2024-07-16,4659.09,4659.09,4456.52,4470.39,4470.39,138365
2024-07-18,4540.35,4540.35,4233.45,4256.95,4256.95,413754
2024-07-19,4255.0,4267.78,3981.53,4003.34,4003.34,595668
2024-07-22,4003.34,4134.66,3917.67,4112.56,4112.56,446554
2024-07-23,4139.25,4190.94,3976.69,4168.49,4168.49,278594
2024-07-24,4211.05,4300.85,4136.75,4166.34,4166.34,255414
2024-07-25,4166.34,4253.9,4117.49,4225.17,4225.17,148349
2024-07-26,4240.98,4360.73,4214.19,4347.51,4347.51,188885
2024-07-29,4390.66,4418.8,4225.02,4319.32,4319.32,357983
2024-07-30,4400.64,4470.49,4281.89,4297.91,4297.91,463177
2024-07-31,4297.91,4430.58,4296.51,4320.66,4320.66,274376
2024-08-01,4373.65,4377.54,4303.85,4324.55,4324.55,116152
2024-08-02,4304.85,4314.48,4211.05,4237.19,4237.19,107588
2024-08-05,4101.28,4168.54,4019.25,4032.18,4032.18,228324
2024-08-06,4104.22,4131.91,3941.67,3980.49,3980.49,248884
2024-08-07,4081.32,4161.35,3992.51,4128.42,4128.42,163041
2024-08-08,4121.24,4156.96,4074.84,4124.33,4124.33,158282
2024-08-09,4154.22,4243.98,4154.17,4215.29,4215.29,118270
2024-08-12,4213.19,4315.82,4150.82,4295.37,4295.37,119023
2024-08-13,4280.9,4359.78,4244.52,4329.54,4329.54,112684
2024-08-14,4325.75,4325.75,4193.18,4280.5,4280.5,107558
2024-08-16,4310.83,4375.7,4263.48,4289.08,4289.08,120199
2024-08-19,4290.88,4370.66,4290.88,4358.08,4358.08,107939
2024-08-20,4540.35,4769.76,4465.5,4699.01,4699.01,1460593
2024-08-21,4705.44,4719.96,4625.16,4664.13,4664.13,207750
2024-08-22,4704.95,4704.95,4585.5,4690.73,4690.73,305227
2024-08-23,4690.03,4713.48,4599.22,4623.37,4623.37,211182
2024-08-26,4664.88,4683.04,4521.49,4537.2,4537.2,130941
2024-08-27,4499.93,4608.2,4499.83,4536.55,4536.55,84288
2024-08-28,4560.2,4585.2,4495.99,4534.51,4534.51,80855
2024-08-29,4565.29,4569.28,4499.43,4539.85,4539.85,219833
2024-08-30,4568.54,4620.77,4515.45,4600.02,4600.02,112405
2024-09-02,4637.64,4637.64,4495.99,4502.63,4502.63,93293
2024-09-03,4527.87,4538.2,4438.96,4448.19,4448.19,117092
2024-09-04,4420.05,4563.2,4402.99,4479.72,4479.72,168231
2024-09-05,4484.46,4509.21,4445.8,4476.08,4476.08,164697
2024-09-06,4476.08,4492.45,4395.65,4412.27,4412.27,74305
2024-09-09,4389.62,4409.62,4302.35,4346.31,4346.31,268497
2024-09-10,4343.56,4490.4,4341.32,4393.46,4393.46,175514
2024-09-11,4393.51,4449.49,4343.96,4368.06,4368.06,224020
2024-09-12,4429.03,4471.59,4370.76,4393.86,4393.86,100226
2024-09-13,4409.32,4454.83,4381.83,4432.08,4432.08,168561
2024-09-16,4488.41,4496.44,4401.54,4418.21,4418.21,134706
2024-09-17,4464.96,4464.96,4378.24,4415.71,4415.71,220638
2024-09-18,4449.99,4572.08,4405.68,4491.6,4491.6,247647
2024-09-19,4526.13,4550.32,4352.79,4385.47,4385.47,252327
2024-09-20,4375.5,4375.5,4234.0,4275.76,4275.76,1048476
2024-09-23,4345.36,4360.73,4191.09,4201.92,4201.92,303904
2024-09-24,4201.92,4304.6,4141.39,4296.41,4296.41,328785
2024-09-25,4300.75,4305.84,4198.07,4216.53,4216.53,140232
2024-09-26,4223.92,4223.92,4174.17,4187.89,4187.89,148166
2024-09-27,4219.83,4245.92,4181.11,4191.29,4191.29,332059
2024-09-30,4134.86,4300.81,4134.86,4288.18,4288.18,332491
2024-10-01,4280.9,4315.82,4193.08,4307.89,4307.89,168408
2024-10-03,4238.99,4310.83,4209.05,4259.84,4259.84,232658
2024-10-04,4260.94,4310.83,4145.14,4276.31,4276.31,260212
2024-10-07,4250.96,4279.8,4044.95,4099.18,4099.18,238565
2024-10-08,4043.55,4209.15,4014.01,4192.83,4192.83,507625
2024-10-09,4231.0,4402.09,4166.94,4385.62,4385.62,290728
2024-10-10,4396.5,4543.34,4365.77,4519.19,4519.19,312943
2024-10-11,4554.07,4596.23,4458.82,4566.24,4566.24,179913
2024-10-14,4591.19,4610.1,4532.31,4569.63,4569.63,123056
2024-10-15,4569.83,4714.97,4541.49,4680.7,4680.7,420269
2024-10-16,4580.21,4580.26,4142.59,4375.5,4375.5,2539999
2024-10-17,4410.57,4410.62,4106.27,4135.76,4135.76,1366014
2024-10-18,4102.78,4176.12,3971.6,4048.94,4048.94,836796
2024-10-21,4086.46,4106.27,4032.48,4051.04,4051.04,306633
2024-10-22,4053.83,4079.33,3991.51,3993.91,3993.91,364073
2024-10-23,3991.51,4130.92,3918.22,4042.95,4042.95,359027
2024-10-24,4080.32,4090.25,3944.76,3953.24,3953.24,250850
2024-10-25,3990.81,3996.45,3794.98,3843.08,3843.08,291453
2024-10-28,3843.08,3972.9,3815.39,3832.4,3832.4,202516
2024-10-29,3841.83,3843.63,3714.2,3784.35,3784.35,295822
2024-10-30,3791.94,3881.75,3749.03,3857.85,3857.85,357476
2024-10-31,3851.81,4073.74,3841.83,4043.15,4043.15,478520
2024-11-01,4081.32,4089.25,4001.49,4046.55,4046.55,15397
2024-11-04,3991.56,4060.72,3924.26,4047.74,4047.74,267953
2024-11-05,3991.01,4065.65,3876.76,3966.72,3966.72,333134
2024-11-06,3971.55,3980.54,3910.68,3956.99,3956.99,349292
2024-11-07,3997.45,4067.35,3980.69,4004.09,4004.09,402938
2024-11-08,4016.46,4041.36,3951.6,3979.14,3979.14,113058
2024-11-11,3971.55,4007.48,3904.0,3981.68,3981.68,255016
2024-11-12,3997.5,4025.49,3951.6,3989.92,3989.92,146246
2024-11-13,3931.64,3950.65,3847.82,3881.7,3881.7,203014
2024-11-14,3881.7,3901.15,3771.98,3803.86,3803.86,156409
2024-11-18,3808.9,3834.3,3697.14,3709.06,3709.06,188200
2024-11-19,3752.02,3873.66,3707.12,3834.1,3834.1,297339
2024-11-21,3792.93,3827.86,3720.34,3783.35,3783.35,189476
2024-11-22,3791.89,4011.47,3767.94,3986.37,3986.37,349846
2024-11-25,4007.48,4090.8,3976.79,4012.47,4012.47,404438
2024-11-26,3996.5,4077.18,3941.62,4062.76,4062.76,205258
2024-11-27,4111.26,4389.67,4106.27,4310.58,4310.58,965868
2024-11-28,4290.88,4362.87,4258.4,4298.06,4298.06,129952
2024-11-29,4280.95,4320.31,4245.97,4304.1,4304.1,259243
2024-12-02,4304.05,4414.26,4234.99,4345.66,4345.66,209077
2024-12-03,4308.99,4372.7,4291.13,4331.04,4331.04,274021
2024-12-04,4335.78,4522.33,4335.78,4410.82,4410.82,625600
2024-12-05,4389.67,4487.41,4372.0,4444.55,4444.55,317643
2024-12-06,4441.56,4512.4,4440.56,4490.8,4490.8,183410
2024-12-09,4500.43,4510.41,4461.56,4478.28,4478.28,226946
2024-12-10,4466.55,4580.26,4390.66,4549.53,4549.53,841918
2024-12-11,4560.3,4696.01,4461.06,4621.12,4621.12,448630
2024-12-12,4633.6,4633.6,4511.86,4533.91,4533.91,187801
2024-12-13,4530.12,4539.8,4431.73,4438.91,4438.91,221922
2024-12-16,4435.12,4526.57,4431.58,4460.32,4460.32,249525
2024-12-17,4440.06,4467.0,4350.75,4381.98,4381.98,229819
2024-12-18,4383.63,4402.59,4277.55,4293.17,4293.17,151185
2024-12-19,4230.95,4293.17,4162.7,4259.94,4259.94,511114
2024-12-20,4259.94,4294.32,4132.21,4157.41,4157.41,251027
2024-12-23,4238.99,4242.83,4146.53,4186.95,4186.95,157692
2024-12-24,4191.04,4250.96,4141.19,4168.44,4168.44,220376
2024-12-26,4168.44,4320.81,4152.17,4311.08,4311.08,314120
2024-12-27,4311.78,4375.7,4284.44,4334.23,4334.23,209640
2024-12-30,4366.02,4414.86,4330.79,4343.66,4343.66,253438
2024-12-31,4364.57,4455.53,4300.85,4427.24,4427.24,289788
2025-01-01,4420.55,4467.25,4377.69,4460.02,4460.02,82106
2025-01-02,4478.48,4510.41,4432.57,4468.25,4468.25,106897
2025-01-03,4490.45,4509.61,4329.14,4354.59,4354.59,127570
2025-01-06,4340.77,4360.38,4202.56,4245.12,4245.12,220456
2025-01-07,4216.03,4324.75,4203.11,4303.55,4303.55,164182
2025-01-08,4303.55,4319.32,4228.21,4255.45,4255.45,92274
2025-01-09,4250.41,4287.88,4180.76,4194.03,4194.03,157635
2025-01-10,4188.14,4238.69,4151.17,4168.19,4168.19,209091
2025-01-13,4117.25,4130.67,3943.12,3985.97,3985.97,868973
2025-01-14,3966.52,4039.91,3859.74,4011.77,4011.77,280853
2025-01-15,4046.4,4109.26,4014.41,4059.72,4059.72,170471
2025-01-16,4091.3,4144.09,4042.4,4100.63,4100.63,152201
2025-01-17,4087.26,4113.2,4041.46,4095.99,4095.99,76025
2025-01-20,4095.99,4189.29,4085.71,4139.55,4139.55,66671
2025-01-21,4168.14,4187.1,3998.5,4025.99,4025.99,191973
2025-01-22,3990.96,4152.87,3902.1,4118.79,4118.79,1244810
2025-01-23,4108.36,4563.0,4093.05,4471.09,4471.09,1440639
2025-01-24,4468.75,4474.59,4226.01,4244.47,4244.47,250147
2025-01-27,4177.7,4179.7,3978.99,3993.82,3993.82,296376
2025-01-28,3986.28,4060.04,3843.5,3906.87,3906.87,369542
2025-01-29,3920.61,4024.88,3907.37,4012.3,4012.3,140623
2025-01-30,4006.56,4054.9,3902.53,3956.47,3956.47,240651
2025-01-31,3970.25,4088.06,3958.31,4018.84,4018.84,139970
2025-02-01,4055.2,4121.67,3842.2,3913.12,3913.12,201342
2025-02-03,3870.92,3926.8,3835.56,3898.28,3898.28,192921
2025-02-04,3895.39,3915.36,3803.9,3872.42,3872.42,393527
2025-02-05,3873.46,3960.16,3873.46,3890.44,3890.44,396028
2025-02-06,3905.38,3940.33,3880.41,3916.51,3916.51,172402
2025-02-07,3936.14,3951.12,3881.15,3907.62,3907.62,152667
2025-02-10,3907.62,3913.12,3777.03,3790.41,3790.41,144490
2025-02-11,3795.46,3804.5,3496.51,3556.14,3556.14,540824
2025-02-12,3556.14,3561.68,3396.98,3475.83,3475.83,1011381
2025-02-13,3513.94,3513.94,3386.39,3399.97,3399.97,869828
2025-02-14,3405.97,3470.89,3327.01,3407.62,3407.62,321223
2025-02-17,3394.98,3469.89,3331.11,3443.17,3443.17,340083
2025-02-18,3406.32,3464.65,3362.52,3399.57,3399.57,296138
2025-02-19,3376.0,3583.71,3375.0,3564.38,3564.38,563786
2025-02-20,3565.78,3749.51,3520.83,3728.04,3728.04,523328
2025-02-21,3734.68,3927.7,3730.58,3839.9,3839.9,807902
2025-02-24,3805.59,3854.94,3711.71,3737.47,3737.47,408922
2025-02-25,3745.52,3832.36,3735.58,3793.36,3793.36,289870
2025-02-27,3445.92,3445.92,2970.88,2995.5,2995.5,5271343
2025-02-28,2970.48,3221.19,2899.42,3066.52,3066.52,5860362
2025-03-03,3147.57,3236.07,3021.92,3133.44,3133.44,1638079
2025-03-04,3076.36,3165.25,3070.76,3137.14,3137.14,837292
2025-03-05,3125.35,3301.09,3117.56,3283.31,3283.31,1260570
2025-03-06,3306.14,3340.4,3242.21,3283.36,3283.36,585854
2025-03-07,3273.17,3281.12,3200.21,3220.04,3220.04,454725
2025-03-10,3231.82,3238.67,3016.43,3027.17,3027.17,716195
2025-03-11,2971.48,3055.38,2959.55,3024.87,3024.87,566221
2025-03-12,3032.36,3093.29,3015.08,3061.82,3061.82,271429
2025-03-13,3081.35,3086.35,3032.41,3050.34,3050.34,248157
2025-03-17,3032.41,3136.79,3016.53,3120.36,3120.36,468552
2025-03-18,3120.36,3120.36,3120.36,3120.36,3120.36,0
2025-03-19,3264.19,3320.07,3236.52,3279.37,3279.37,416246
2025-03-20,3151.52,3166.2,2758.98,2837.74,2837.74,8380075
2025-03-21,2888.58,2933.28,2849.63,2886.88,2886.88,3012943
2025-03-24,2903.61,2940.02,2870.8,2879.24,2879.24,1313628
2025-03-25,2903.56,2933.48,2821.66,2831.85,2831.85,1049515
2025-03-26,2841.14,2881.34,2811.67,2816.61,2816.61,727654
2025-03-27,2826.75,2908.56,2801.98,2879.84,2879.84,887991
2025-03-28,2901.21,2941.47,2869.4,2889.43,2889.43,722128
2025-04-01,2860.61,2904.76,2808.67,2826.05,2826.05,399933
2025-04-02,2826.65,2879.59,2758.73,2876.29,2876.29,766198
2025-04-03,2846.63,2883.14,2813.92,2821.06,2821.06,419420
2025-04-04,2821.56,2835.64,2610.26,2641.97,2641.97,975173
2025-04-07,2497.04,2574.65,2421.13,2506.78,2506.78,708097
2025-04-08,2576.95,2615.8,2534.35,2586.79,2586.79,574236
2025-04-09,2611.91,2636.18,2567.01,2596.63,2596.63,642997
2025-04-11,2686.72,2686.77,2589.08,2604.27,2604.27,779654
2025-04-15,2656.35,2742.65,2622.0,2733.16,2733.16,847398
2025-04-16,2733.16,2761.93,2709.09,2751.64,2751.64,586575
2025-04-17,2781.71,2874.9,2779.11,2822.66,2822.66,1111301
2025-04-21,2839.64,2921.54,2787.7,2892.68,2892.68,453196
2025-04-22,2893.57,2971.38,2879.59,2952.1,2952.1,536950
2025-04-23,2982.47,3046.89,2922.54,3015.53,3015.53,779938
2025-04-24,3016.43,3029.01,2961.49,2976.98,2976.98,310870
2025-04-25,2963.49,3005.94,2900.17,2963.59,2963.59,471789
2025-04-28,2938.52,3010.34,2938.52,2996.35,2996.35,269206
2025-04-29,3006.44,3063.67,3002.44,3034.31,3034.31,379027
2025-04-30,3031.41,3081.35,2996.45,3059.98,3059.98,358054
2025-05-02,3059.98,3124.8,3029.81,3033.41,3033.41,273948
2025-05-05,3055.08,3226.18,3046.99,3206.3,3206.3,703149
2025-05-06,3235.87,3278.52,3150.37,3190.12,3190.12,774151
2025-05-07,3196.22,3367.41,3196.12,3291.4,3291.4,1765212
2025-05-08,3296.1,3401.97,3234.37,3258.24,3258.24,814287
2025-05-09,3146.77,3245.16,3146.77,3228.68,3228.68,328404
2025-05-12,3376.0,3396.08,3328.96,3382.0,3382.0,269435
2025-05-13,3393.98,3442.92,3368.91,3421.25,3421.25,376110
2025-05-14,3445.92,3448.92,3357.03,3394.38,3394.38,294684
2025-05-15,3417.95,3508.25,3391.98,3494.86,3494.86,374416
2025-05-16,3515.44,3518.53,3444.92,3459.1,3459.1,313300
2025-05-19,3495.86,3495.86,3433.83,3457.61,3457.61,400712
2025-05-20,3465.0,3486.77,3412.96,3457.11,3457.11,411846
