date,open,high,low,close,adj_close,volume
2024-07-11,755.56,758.48,746.08,750.13,750.13,209217
2024-07-12,750.72,754.28,730.92,740.55,740.55,182057
2024-07-15,740.8,756.6,728.94,747.66,747.66,348166
2024-07-16,751.17,753.49,740.55,743.86,743.86,252172
2024-07-18,740.8,773.39,736.84,762.33,762.33,952327
2024-07-19,765.39,770.03,716.1,719.41,719.41,461721
2024-07-22,719.46,740.8,705.34,724.35,724.35,414958
2024-07-23,728.0,731.41,690.42,720.15,720.15,383463
2024-07-24,721.58,739.56,716.79,730.23,730.23,285925
2024-07-25,727.31,761.54,718.82,758.38,758.38,644889
2024-07-26,762.33,783.96,756.65,765.24,765.24,668536
2024-07-29,787.22,822.78,775.91,788.8,788.8,2161042
2024-07-30,790.13,833.59,780.7,811.86,811.86,1359927
2024-07-31,817.29,886.98,816.65,863.96,863.96,5444682
2024-08-01,866.48,886.98,860.36,873.99,873.99,1301383
2024-08-02,864.8,873.74,844.7,847.52,847.52,713048
2024-08-05,830.53,839.52,800.65,813.54,813.54,794368
2024-08-06,829.79,856.66,809.94,821.0,821.0,771583
2024-08-07,837.59,848.36,827.81,833.1,833.1,541097
2024-08-08,838.58,903.77,835.91,897.84,897.84,3033793
2024-08-09,907.77,1077.41,903.77,1062.15,1062.15,12535899
2024-08-12,1039.34,1045.46,983.78,1008.52,1008.52,3241552
2024-08-13,1017.41,1046.84,988.76,1003.88,1003.88,1308223
2024-08-14,1009.46,1017.36,968.02,980.66,980.66,630522
2024-08-16,992.67,1026.05,982.84,993.11,993.11,801069
2024-08-19,1008.37,1024.27,991.92,1008.37,1008.37,1096501
2024-08-20,1014.79,1014.79,983.04,990.99,990.99,460408
2024-08-21,992.67,1050.3,982.79,1036.67,1036.67,1120018
2024-08-22,1043.04,1044.03,998.69,1003.43,1003.43,586078
2024-08-23,1009.14,1012.37,977.56,986.54,986.54,459934
2024-08-26,973.48,1006.26,969.56,1002.49,1002.49,637453
2024-08-27,1006.36,1181.09,1006.36,1140.36,1140.36,11480772
2024-08-28,1136.44,1138.03,1060.9,1066.11,1066.11,2329363
2024-08-29,1065.86,1071.72,1021.16,1027.37,1027.37,951475
2024-08-30,1029.01,1045.0,1017.39,1031.69,1031.69,1460154
2024-09-02,1038.0,1050.22,1008.7,1016.84,1016.84,1499008
2024-09-03,1023.1,1026.48,999.21,1006.66,1006.66,542593
2024-09-04,1001.3,1015.1,991.36,1000.7,1000.7,752797
2024-09-05,1009.74,1031.89,993.45,997.32,997.32,590610
2024-09-06,1003.28,1012.37,973.53,983.02,983.02,416325
2024-09-09,983.12,998.32,967.62,990.27,990.27,776845
2024-09-10,999.26,1002.29,980.54,987.19,987.19,368565
2024-09-11,993.25,997.82,973.83,979.44,979.44,456264
2024-09-12,988.18,1000.95,978.25,992.85,992.85,295532
2024-09-13,993.25,1027.12,980.44,1014.36,1014.36,1002671
2024-09-16,1028.36,1066.86,1007.26,1014.56,1014.56,582345
2024-09-17,1021.86,1032.44,1004.87,1012.72,1012.72,451610
2024-09-18,1013.17,1052.95,1012.82,1039.94,1039.94,1096619
2024-09-19,1052.75,1057.92,986.15,1003.38,1003.38,757276
2024-09-20,1013.12,1078.73,986.5,1047.44,1047.44,2632390
2024-09-23,1072.62,1098.99,1042.12,1077.59,1077.59,1676501
2024-09-24,1077.39,1114.54,1063.93,1098.5,1098.5,974785
2024-09-25,1100.93,1110.32,1077.78,1084.89,1084.89,408484
2024-09-26,1086.08,1087.52,1023.15,1030.85,1030.85,1251325
2024-09-27,1032.64,1042.02,1020.82,1037.55,1037.55,679038
2024-09-30,1030.9,1043.02,1009.24,1014.41,1014.41,361786
2024-10-01,1029.06,1156.41,1024.14,1129.79,1129.79,9315671
2024-10-03,1092.68,1136.69,1057.92,1075.2,1075.2,1958130
2024-10-04,1063.13,1068.05,1002.29,1008.9,1008.9,1579562
2024-10-07,1016.05,1033.98,976.46,983.91,983.91,798872
2024-10-08,983.91,1005.52,975.32,998.81,998.81,686674
2024-10-09,1013.27,1055.28,1009.29,1022.85,1022.85,1038848
2024-10-10,1031.25,1056.77,1020.22,1029.56,1029.56,419411
2024-10-11,1029.56,1048.73,1024.74,1037.16,1037.16,358546
2024-10-14,1044.21,1088.91,1020.17,1077.98,1077.98,1291030
2024-10-15,1097.45,1112.9,1077.83,1090.65,1090.65,1058800
2024-10-16,1090.3,1110.47,1076.44,1102.07,1102.07,1040793
2024-10-17,1111.61,1122.39,1043.02,1062.19,1062.19,985469
2024-10-18,1062.88,1066.46,1026.33,1058.66,1058.66,424035
2024-10-21,1069.79,1069.79,1025.63,1030.8,1030.8,283836
