date,open,high,low,close,adj_close,volume
2024-07-11,365.35,369.57,363.49,368.07,368.07,
2024-07-12,368.07,369.37,364.43,365.75,365.75,
2024-07-15,366.97,370.75,364.51,367.88,367.88,
2024-07-16,367.59,368.99,359.37,360.25,360.25,
2024-07-18,360.19,365.42,357.82,364.53,364.53,
2024-07-19,363.28,365.78,360.77,363.9,363.9,
2024-07-22,363.78,363.78,349.38,351.11,351.11,
2024-07-23,353.39,355.69,347.43,353.37,353.37,
2024-07-24,353.18,355.77,345.41,348.84,348.84,
2024-07-25,346.0,355.39,346.0,354.62,354.62,
2024-07-26,351.22,365.55,351.22,362.35,362.35,
2024-07-29,364.52,364.98,356.29,358.37,358.37,
2024-07-30,358.37,360.91,355.85,356.81,356.81,
2024-07-31,358.19,362.78,354.22,361.16,361.16,
2024-08-01,361.0,363.23,356.84,358.12,358.12,
2024-08-02,355.81,361.58,354.59,360.27,360.27,
2024-08-05,353.63,360.7,353.3,354.32,354.32,
2024-08-06,356.59,358.03,351.59,353.7,353.7,
2024-08-07,356.59,356.91,351.6,354.9,354.9,
2024-08-08,352.92,355.95,352.12,354.14,354.14,
2024-08-09,356.6,356.68,352.59,353.52,353.52,
2024-08-12,351.79,357.8,349.85,354.1,354.1,
2024-08-13,352.19,357.89,348.82,350.01,350.01,
2024-08-14,350.6,351.59,348.51,349.18,349.18,
2024-08-16,351.99,356.74,348.8,355.05,355.05,
2024-08-19,355.7,357.59,353.79,355.86,355.86,
2024-08-20,356.19,362.19,354.84,360.71,360.71,
2024-08-21,359.59,362.98,357.06,362.17,362.17,
2024-08-22,362.38,364.44,360.74,363.88,363.88,
2024-08-23,363.88,365.16,362.12,363.18,363.18,
2024-08-26,363.58,364.17,361.52,362.08,362.08,
2024-08-27,361.79,362.2,357.93,360.25,360.25,
2024-08-28,358.79,360.76,356.76,357.85,357.85,
2024-08-29,356.24,359.29,354.19,355.04,355.04,
2024-08-30,355.05,357.59,354.46,355.75,355.75,
2024-09-02,355.99,358.28,354.13,355.64,355.64,
2024-09-03,355.6,356.88,354.06,356.35,356.35,
2024-09-04,353.59,357.25,352.29,356.35,356.35,
2024-09-05,355.84,356.86,351.59,355.18,355.18,
2024-09-06,353.1,355.98,350.9,352.42,352.42,
2024-09-09,353.13,358.38,351.28,357.62,357.62,
2024-09-10,359.19,359.52,355.2,357.91,357.91,
2024-09-11,358.59,360.67,356.59,357.44,357.44,
2024-09-12,360.36,366.41,358.62,365.07,365.07,
2024-09-13,366.98,366.98,362.93,363.65,363.65,
2024-09-16,366.18,368.71,365.24,365.84,365.84,
2024-09-17,367.46,370.25,365.71,368.9,368.9,
2024-09-18,369.57,371.46,366.7,367.52,367.52,
2024-09-19,369.55,374.57,368.6,373.96,373.96,
2024-09-20,374.37,384.82,373.57,380.46,380.46,
2024-09-23,382.55,387.95,381.2,386.49,386.49,
2024-09-24,386.55,387.27,381.48,382.5,382.5,
2024-09-25,381.57,384.1,378.42,379.15,379.15,
2024-09-26,378.56,382.22,376.43,380.02,380.02,
2024-09-27,379.56,381.56,372.83,374.06,374.06,
2024-09-30,370.91,376.46,368.2,370.36,370.36,
2024-10-01,368.97,376.52,368.97,375.45,375.45,
2024-10-03,371.15,372.3,362.74,364.14,364.14,
2024-10-04,362.68,369.57,359.26,361.38,361.38,
2024-10-07,361.58,366.86,353.47,357.64,357.64,
2024-10-08,359.59,362.38,355.96,360.26,360.26,
2024-10-09,359.79,363.58,357.57,359.75,359.75,
2024-10-10,361.56,376.37,360.64,374.79,374.79,
2024-10-11,374.01,378.28,371.8,376.05,376.05,
2024-10-14,376.58,382.76,376.06,381.72,381.72,
2024-10-15,382.0,382.63,377.06,378.6,378.6,
2024-10-16,376.37,378.05,373.2,374.84,374.84,
2024-10-17,374.84,375.23,369.83,372.38,372.38,
2024-10-18,373.17,375.27,369.17,373.78,373.78,
2024-10-21,369.57,370.57,346.6,357.43,357.43,
2024-10-22,357.98,358.69,351.36,352.22,352.22,
2024-10-23,351.82,357.0,351.22,353.15,353.15,
2024-10-24,352.79,354.14,349.66,352.03,352.03,
2024-10-25,352.59,356.89,351.0,353.36,353.36,
2024-10-28,353.19,355.72,348.61,349.57,349.57,
2024-10-29,348.3,353.02,345.74,351.63,351.63,
2024-10-30,345.0,351.59,344.92,346.52,346.52,
2024-10-31,345.07,348.92,344.39,345.82,345.82,
