date,open,high,low,close,adj_close,volume
2024-07-11,1693.27,1720.4,1676.37,1690.06,1690.06,895755
2024-07-12,1698.51,1906.37,1683.19,1843.95,1843.95,6254949
2024-07-15,1860.51,1869.46,1805.95,1819.19,1819.19,1700105
2024-07-16,1826.61,1864.02,1796.21,1847.07,1847.07,1784986
2024-07-18,1838.47,1860.21,1791.02,1836.79,1836.79,1095617
2024-07-19,1828.63,1886.9,1789.05,1798.64,1798.64,1929316
2024-07-22,1779.16,1832.44,1750.45,1804.27,1804.27,860662
2024-07-23,1804.27,1809.61,1685.81,1773.73,1773.73,1082313
2024-07-24,1789.05,1863.67,1770.22,1832.39,1832.39,2107689
2024-07-25,1826.46,1826.46,1741.65,1753.41,1753.41,1828473
2024-07-26,1784.11,1793.99,1757.57,1768.24,1768.24,621852
2024-07-29,1779.16,1817.71,1753.66,1778.67,1778.67,982427
2024-07-30,1779.16,1820.63,1766.81,1815.64,1815.64,690502
2024-07-31,1818.7,1887.89,1808.91,1821.27,1821.27,1678695
2024-08-01,1851.81,1877.91,1809.8,1819.15,1819.15,1107361
2024-08-02,1797.15,1853.25,1779.61,1802.84,1802.84,700480
2024-08-05,1749.07,1764.24,1692.18,1705.67,1705.67,990245
2024-08-06,1739.38,1774.17,1665.49,1672.36,1672.36,893983
2024-08-07,1709.97,1729.74,1680.32,1719.12,1719.12,527624
2024-08-08,1751.49,1751.49,1684.27,1688.52,1688.52,590227
2024-08-09,1726.48,1749.23,1715.38,1742.59,1742.59,542188
2024-08-12,1727.47,1811.62,1700.72,1787.39,1787.39,1157547
2024-08-13,1788.92,1805.28,1725.0,1733.07,1733.07,537720
2024-08-14,1754.23,1777.57,1726.78,1771.63,1771.63,676739
2024-08-16,1783.97,1839.42,1777.72,1799.23,1799.23,1030355
2024-08-19,1815.58,1829.01,1784.96,1818.11,1818.11,590083
2024-08-20,1824.65,1882.09,1804.83,1811.57,1811.57,1145083
2024-08-21,1825.59,1838.48,1801.81,1814.05,1814.05,369853
2024-08-22,1830.55,1852.3,1812.86,1816.08,1816.08,419630
2024-08-23,1826.58,1837.73,1791.95,1810.23,1810.23,385173
2024-08-26,1828.57,1845.91,1805.67,1830.15,1830.15,543244
2024-08-27,1823.61,1892.0,1810.53,1840.31,1840.31,1048434
