date,open,high,low,close,adj_close,volume
2024-07-11,761.19,772.68,757.89,766.82,766.82,3014084
2024-07-12,770.94,771.91,752.8,756.1,756.1,1647253
2024-07-15,756.59,782.96,742.72,778.99,778.99,3307875
2024-07-16,780.34,801.73,777.34,782.57,782.57,4814069
2024-07-18,785.48,789.31,764.15,771.62,771.62,4410032
2024-07-19,771.91,772.39,745.77,748.25,748.25,1654193
2024-07-22,746.69,775.06,738.11,769.82,769.82,1877865
2024-07-23,776.56,779.67,727.49,746.89,746.89,4674751
2024-07-24,748.63,767.74,741.85,758.38,758.38,2885808
2024-07-25,755.37,755.37,732.68,743.69,743.69,2947125
2024-07-26,744.66,772.88,743.79,767.35,767.35,1776371
2024-07-29,773.36,785.05,765.12,767.59,767.59,2155386
2024-07-30,770.79,770.79,747.18,750.57,750.57,3815235
2024-07-31,752.51,753.43,742.04,744.03,744.03,3049275
2024-08-01,748.1,755.28,733.12,734.62,734.62,1632602
2024-08-02,722.45,737.87,718.57,725.94,725.94,2233217
2024-08-05,688.85,702.09,648.75,665.38,665.38,12392927
2024-08-06,668.63,683.66,630.33,632.12,632.12,6818431
2024-08-07,635.22,649.72,614.03,617.87,617.87,5105582
2024-08-08,621.31,631.05,614.81,620.63,620.63,4362479
2024-08-09,625.48,629.5,615.78,618.84,618.84,2405546
2024-08-12,623.05,629.5,607.39,627.08,627.08,3170034
2024-08-13,634.59,634.74,619.32,622.28,622.28,3857891
2024-08-14,624.22,627.66,612.58,624.07,624.07,1845937
2024-08-16,629.31,640.31,626.64,638.33,638.33,2437248
2024-08-19,642.93,651.47,634.54,647.88,647.88,3232620
2024-08-20,652.63,656.51,638.33,654.28,654.28,3143214
2024-08-21,656.99,661.55,650.3,658.35,658.35,2392035
2024-08-22,662.13,664.75,657.48,661.7,661.7,1492805
2024-08-23,664.4,667.1,659.04,660.96,660.96,1556763
2024-08-26,660.42,664.15,648.63,654.33,654.33,2941811
2024-08-27,653.54,675.06,650.45,672.26,672.26,4318499
2024-08-28,678.06,678.06,659.88,663.22,663.22,2289104
2024-08-29,662.24,670.1,655.51,664.25,664.25,1357363
2024-08-30,665.92,671.82,661.6,662.73,662.73,1790107
2024-09-02,662.93,668.97,658.5,663.91,663.91,1104837
2024-09-03,671.67,683.17,666.27,682.04,682.04,3808579
2024-09-04,677.91,687.59,669.17,679.24,679.24,4494906
2024-09-05,682.97,707.05,682.73,695.16,695.16,6112607
2024-09-06,694.67,703.61,679.58,682.58,682.58,2956463
2024-09-09,682.58,693.59,670.59,687.79,687.79,2367930
2024-09-10,690.83,692.8,672.16,674.77,674.77,2357859
2024-09-11,673.15,683.96,660.37,664.6,664.6,2656730
2024-09-12,671.18,694.37,671.18,691.52,691.52,4432592
2024-09-13,700.12,718.15,690.98,710.78,710.78,5263604
2024-09-16,714.37,722.82,666.27,668.97,668.97,11877313
2024-09-17,668.72,673.0,658.41,663.22,663.22,4411019
2024-09-18,663.22,674.57,660.67,662.93,662.93,3120584
2024-09-19,667.25,670.44,632.86,652.17,652.17,5325417
2024-09-20,653.49,658.16,647.15,656.24,656.24,1992776
2024-09-23,657.52,671.57,655.06,668.97,668.97,2433332
2024-09-24,670.2,677.91,669.76,674.08,674.08,2218270
2024-09-25,673.74,675.5,648.63,653.59,653.59,3717511
2024-09-26,654.43,656.0,645.43,654.92,654.92,1965881
2024-09-27,655.46,659.73,651.58,652.51,652.51,1474940
