date,open,high,low,close,adj_close,volume
2024-07-11,516.78,521.66,510.03,518.94,518.94,6822634
2024-07-12,522.69,523.16,513.17,516.09,516.09,5324514
2024-07-15,517.78,523.67,509.73,520.38,520.38,5943966
2024-07-16,522.69,548.6,519.35,544.01,544.01,28371872
2024-07-18,544.28,554.59,534.13,544.6,544.6,14951890
2024-07-19,545.76,552.03,524.72,546.87,546.87,11159022
2024-07-22,542.8,565.7,537.87,554.5,554.5,13539228
2024-07-23,557.83,564.37,515.42,536.21,536.21,13120646
2024-07-24,537.87,577.34,536.96,572.68,572.68,15700960
2024-07-25,562.54,578.83,557.61,572.85,572.85,11055770
2024-07-26,574.88,590.67,567.99,584.43,584.43,15459436
2024-07-29,589.51,590.67,575.03,579.12,579.12,6041640
2024-07-30,579.12,588.42,574.29,586.28,586.28,6023376
2024-07-31,586.28,588.94,576.78,580.35,580.35,6252618
2024-08-01,583.83,603.0,580.33,581.86,581.86,13877090
2024-08-02,578.36,587.71,572.41,582.06,582.06,6115172
2024-08-05,569.45,569.45,536.39,546.58,546.58,11757806
2024-08-06,552.67,561.01,531.06,532.71,532.71,6686836
2024-08-07,550.2,556.52,535.28,554.42,554.42,4976920
2024-08-08,555.63,566.69,552.13,555.44,555.44,5231780
2024-08-09,569.94,572.41,557.09,559.31,559.31,7196914
2024-08-12,555.14,557.75,528.54,530.15,530.15,11879886
2024-08-13,535.89,537.82,503.38,507.57,507.57,7552424
2024-08-14,514.43,515.17,495.31,506.93,506.93,6761680
2024-08-16,513.2,525.53,511.86,521.73,521.73,5222256
2024-08-19,522.89,530.47,521.41,529.16,529.16,3558928
2024-08-20,530.44,533.92,525.8,526.99,526.99,2290572
2024-08-21,527.95,536.26,525.53,534.98,534.98,2763782
2024-08-22,538.85,538.85,529.23,530.71,530.71,2038516
2024-08-23,533.08,533.08,522.57,523.73,523.73,1844986
2024-08-26,525.53,529.85,517.98,519.14,519.14,2312416
2024-08-27,524.0,537.87,515.66,532.51,532.51,6233644
2024-08-28,533.16,540.34,529.48,535.15,535.15,2963076
2024-08-29,536.88,536.88,523.56,527.43,527.43,3040336
2024-08-30,528.0,532.19,523.56,525.16,525.16,1867094
2024-09-02,525.78,528.12,520.97,522.37,522.37,1714330
2024-09-03,525.04,527.41,520.33,524.2,524.2,1715226
2024-09-04,520.65,527.95,518.43,525.41,525.41,1956940
2024-09-05,525.04,532.91,522.23,527.65,527.65,2039964
2024-09-06,525.53,528.99,510.73,512.65,512.65,2740568
2024-09-09,512.65,515.61,503.33,507.92,507.92,2867912
2024-09-10,510.23,515.66,508.26,509.32,509.32,1499964
2024-09-11,509.74,511.64,495.85,500.22,500.22,1947518
2024-09-12,503.28,510.68,502.81,509.05,509.05,1673246
2024-09-13,510.73,516.16,507.62,510.31,510.31,1741638
2024-09-16,512.7,514.01,506.31,507.35,507.35,1855454
2024-09-17,508.24,508.24,503.33,503.92,503.92,1005620
2024-09-18,503.82,510.46,501.35,502.64,502.64,1417494
2024-09-19,504.81,508.04,489.02,493.73,493.73,2763228
2024-09-20,497.4,505.52,494.69,498.56,498.56,3095672
2024-09-23,499.85,511.94,499.45,509.67,509.67,2686758
2024-09-24,509.67,514.9,505.92,507.37,507.37,1845454
2024-09-25,506.76,509.47,499.92,502.83,502.83,1959564
2024-09-26,505.3,517.59,498.64,507.3,507.3,5307304
2024-09-27,509.84,509.84,503.52,505.42,505.42,2393744
2024-09-30,504.31,504.31,494.99,496.89,496.89,2868718
2024-10-01,497.58,499.58,492.96,493.48,493.48,2292568
2024-10-03,488.52,490.92,475.82,477.35,477.35,3926920
2024-10-04,480.13,484.97,471.6,479.22,479.22,2690322
2024-10-07,479.15,482.11,456.03,459.41,459.41,6813034
2024-10-08,459.41,477.39,455.51,475.89,475.89,6042288
2024-10-09,479.15,482.23,475.69,479.12,479.12,1715792
2024-10-10,480.63,483.19,474.73,476.26,476.26,1201338
2024-10-11,477.39,479.59,467.43,468.22,468.22,1915798
2024-10-14,472.88,476.65,471.13,473.47,473.47,1311550
2024-10-15,475.2,476.19,465.48,467.72,467.72,2402740
2024-10-16,467.72,471.25,464.47,465.31,465.31,1953132
2024-10-17,465.31,468.73,459.41,460.44,460.44,1463792
2024-10-18,458.91,464.81,456.6,461.33,461.33,1415280
2024-10-21,466.32,470.22,455.02,457.09,457.09,1535032
2024-10-22,456.94,460.54,448.68,451.76,451.76,2794806
2024-10-23,453.91,456.4,441.72,448.77,448.77,2106510
2024-10-24,447.07,455.95,447.07,450.23,450.23,1823176
2024-10-25,449.1,452.99,438.34,445.91,445.91,2537620
2024-10-28,448.73,455.78,442.46,451.71,451.71,2121320
2024-10-29,454.03,462.44,451.91,461.09,461.09,2107442
