date,open,high,low,close,adj_close,volume
2024-07-11,1518.57,1529.66,1461.46,1464.89,1464.89,510491
2024-07-12,1472.4,1472.4,1380.92,1388.78,1388.78,1699752
2024-07-15,1409.27,1515.09,1363.11,1456.33,1456.33,3531368
2024-07-16,1456.33,1474.54,1437.73,1452.6,1452.6,614567
2024-07-18,1450.17,1492.45,1406.88,1469.17,1469.17,1056179
2024-07-19,1469.32,1472.55,1393.15,1441.36,1441.36,659954
2024-07-22,1399.92,1442.65,1391.02,1430.61,1430.61,601764
2024-07-23,1442.7,1456.68,1354.15,1363.01,1363.01,1185573
2024-07-24,1376.04,1404.7,1364.1,1393.2,1393.2,728296
2024-07-25,1383.06,1418.28,1370.12,1388.28,1388.28,718930
2024-07-26,1397.93,1417.83,1386.99,1395.94,1395.94,503216
2024-07-29,1407.68,1407.68,1348.28,1354.15,1354.15,878846
2024-07-30,1359.13,1366.24,1318.28,1321.42,1321.42,885589
2024-07-31,1343.21,1367.33,1290.47,1302.21,1302.21,2487920
2024-08-01,1312.36,1312.36,1249.68,1267.19,1267.19,2029007
2024-08-02,1261.57,1270.13,1211.37,1224.96,1224.96,1778456
2024-08-05,1195.7,1210.28,1154.26,1169.39,1169.39,2066196
2024-08-06,1178.99,1200.58,1142.12,1184.26,1184.26,3006216
2024-08-07,1235.7,1235.7,1202.52,1209.33,1209.33,1254444
2024-08-08,1219.73,1221.82,1174.16,1182.12,1182.12,568868
2024-08-09,1193.96,1268.58,1178.64,1238.09,1238.09,1480085
2024-08-12,1236.0,1311.37,1228.79,1291.47,1291.47,2731445
2024-08-13,1304.4,1329.28,1291.47,1303.21,1303.21,1256792
2024-08-14,1313.36,1313.36,1270.08,1277.59,1277.59,909029
2024-08-16,1285.56,1317.96,1264.23,1291.94,1291.94,692107
2024-08-19,1293.14,1323.14,1272.85,1283.72,1283.72,387206
2024-08-20,1277.99,1285.86,1249.88,1255.11,1255.11,550733
2024-08-21,1247.49,1250.83,1224.07,1235.78,1235.78,745626
2024-08-22,1240.91,1240.91,1211.16,1218.83,1218.83,482889
2024-08-23,1214.7,1214.7,1152.4,1157.43,1157.43,1679184
2024-08-26,1157.93,1219.78,1140.24,1211.06,1211.06,2271552
2024-08-27,1214.95,1284.32,1207.77,1233.23,1233.23,2194264
2024-08-28,1233.04,1255.76,1212.55,1247.64,1247.64,686481
2024-08-29,1254.76,1273.05,1238.52,1250.33,1250.33,1240117
2024-08-30,1250.33,1277.79,1240.11,1249.78,1249.78,3070120
2024-09-02,1249.78,1264.83,1233.14,1250.08,1250.08,632858
2024-09-03,1253.87,1255.31,1217.44,1225.56,1225.56,590533
2024-09-04,1215.0,1235.53,1202.64,1214.2,1214.2,748066
2024-09-05,1215.0,1218.18,1197.1,1203.73,1203.73,597083
2024-09-06,1205.08,1211.71,1177.97,1182.95,1182.95,376467
2024-09-09,1186.34,1207.47,1177.87,1189.38,1189.38,735162
2024-09-10,1195.01,1208.42,1180.16,1183.9,1183.9,477252
2024-09-11,1176.12,1201.04,1161.77,1193.86,1193.86,655344
2024-09-12,1205.03,1205.83,1184.15,1193.12,1193.12,439179
2024-09-13,1215.99,1243.6,1209.36,1226.16,1226.16,1173646
2024-09-16,1270.81,1293.24,1244.8,1271.81,1271.81,1934106
2024-09-17,1267.82,1285.76,1234.28,1279.18,1279.18,786870
2024-09-18,1285.76,1302.61,1272.36,1284.17,1284.17,645143
2024-09-19,1298.72,1316.61,1256.91,1299.22,1299.22,1434772
2024-09-20,1302.71,1405.37,1302.71,1391.26,1391.26,3434814
2024-09-23,1414.34,1435.27,1376.31,1420.17,1420.17,1452231
2024-09-24,1424.21,1429.69,1366.2,1383.54,1383.54,1178499
2024-09-25,1324.53,1390.42,1306.89,1384.84,1384.84,1075320
2024-09-26,1372.48,1403.37,1347.56,1380.8,1380.8,765030
2024-09-27,1347.91,1379.25,1276.64,1296.13,1296.13,3315577
2024-09-30,1275.79,1284.72,1219.98,1230.34,1230.34,1979310
2024-10-01,1245.89,1247.89,1210.41,1217.04,1217.04,1338808
2024-10-03,1213.0,1213.0,1167.15,1171.99,1171.99,1615291
2024-10-04,1160.18,1181.11,1119.31,1169.4,1169.4,3151171
2024-10-07,1200.99,1217.99,1174.33,1184.2,1184.2,3443411
2024-10-08,1177.12,1187.64,1147.32,1163.07,1163.07,1353926
2024-10-09,1167.45,1220.98,1143.98,1205.03,1205.03,1022086
2024-10-10,1213.0,1220.83,1177.67,1179.91,1179.91,648210
2024-10-11,1186.09,1186.99,1163.51,1166.01,1166.01,443244
2024-10-14,1175.13,1211.01,1167.25,1206.57,1206.57,664476
2024-10-15,1214.95,1229.95,1194.16,1218.28,1218.28,640122
2024-10-16,1215.0,1223.97,1187.19,1219.08,1219.08,789916
2024-10-17,1206.22,1213.95,1161.17,1165.71,1165.71,963471
2024-10-18,1163.17,1181.06,1137.35,1157.19,1157.19,1210372
2024-10-21,1164.01,1178.07,1126.49,1133.46,1133.46,509391
2024-10-22,1140.44,1140.44,1074.86,1079.39,1079.39,1053565
2024-10-23,1059.51,1096.19,1040.07,1084.08,1084.08,1588467
2024-10-24,1076.45,1080.34,1046.55,1061.55,1061.55,967869
2024-10-25,1066.43,1084.33,1040.27,1078.79,1078.79,898227
2024-10-28,1107.35,1133.21,1039.62,1104.56,1104.56,1786769
2024-10-29,1114.33,1194.76,1093.79,1183.7,1183.7,2928166
2024-10-30,1156.89,1197.2,1156.89,1175.33,1175.33,1004100
2024-10-31,1172.58,1217.99,1172.14,1202.29,1202.29,1440322
2024-11-01,1207.07,1217.94,1188.58,1203.48,1203.48,99911
2024-11-04,1208.77,1281.23,1181.11,1191.02,1191.02,1854459
2024-11-05,1189.08,1189.08,1148.27,1157.88,1157.88,773396
2024-11-06,1176.12,1220.68,1162.27,1214.55,1214.55,1145914
2024-11-07,1225.96,1256.86,1208.12,1213.3,1213.3,969102
2024-11-08,1222.97,1222.97,1160.62,1166.46,1166.46,765837
2024-11-11,1166.41,1204.98,1157.93,1183.6,1183.6,809247
2024-11-12,1191.07,1286.76,1183.6,1236.87,1236.87,4639217
2024-11-13,1228.45,1235.98,1175.13,1198.15,1198.15,1154288
2024-11-14,1193.07,1243.25,1191.17,1218.13,1218.13,917068
2024-11-18,1258.85,1263.49,1214.25,1232.19,1232.19,2147088
2024-11-19,1251.87,1289.75,1235.98,1256.01,1256.01,1893843
2024-11-21,1260.84,1267.27,1220.43,1228.65,1228.65,1549344
2024-11-22,1171.14,1280.28,1159.23,1240.76,1240.76,1824580
2024-11-25,1320.6,1320.6,1208.17,1223.22,1223.22,3951255
2024-11-26,1245.89,1305.25,1241.06,1271.86,1271.86,3038757
2024-11-27,1285.61,1304.85,1262.89,1277.74,1277.74,1796183
2024-11-28,1286.66,1322.04,1261.69,1268.62,1268.62,1811936
2024-11-29,1290.75,1300.71,1237.92,1249.08,1249.08,1409079
2024-12-02,1250.33,1312.47,1241.91,1285.31,1285.31,3061815
2024-12-03,1292.74,1311.68,1280.78,1292.04,1292.04,770876
2024-12-04,1295.73,1376.91,1286.66,1366.6,1366.6,3131476
2024-12-05,1370.48,1384.04,1345.02,1365.2,1365.2,1585598
2024-12-06,1360.52,1392.81,1352.29,1366.79,1366.79,1145369
2024-12-09,1351.55,1377.46,1349.6,1371.98,1371.98,731021
2024-12-10,1372.48,1402.43,1372.48,1397.0,1397.0,2483381
2024-12-11,1395.4,1417.33,1378.95,1406.36,1406.36,1723949
2024-12-12,1406.36,1437.36,1401.38,1431.58,1431.58,1343959
2024-12-13,1425.25,1430.04,1367.49,1413.39,1413.39,1488375
2024-12-16,1423.31,1479.62,1412.79,1462.73,1462.73,2613659
2024-12-17,1464.17,1518.0,1459.79,1485.85,1485.85,3153493
2024-12-18,1493.63,1503.64,1462.08,1474.59,1474.59,1952964
2024-12-19,1430.43,1478.13,1419.12,1471.4,1471.4,1206964
2024-12-20,1475.14,1490.09,1387.43,1396.1,1396.1,1023456
2024-12-23,1399.74,1460.98,1397.69,1435.27,1435.27,2486998
2024-12-24,1434.27,1437.26,1386.68,1398.44,1398.44,1021001
2024-12-26,1393.51,1412.64,1379.7,1409.4,1409.4,614519
2024-12-27,1401.38,1425.1,1393.46,1403.72,1403.72,383153
2024-12-30,1390.47,1456.4,1368.94,1415.78,1415.78,4052271
2024-12-31,1390.42,1396.95,1346.76,1384.84,1384.84,1478192
2025-01-01,1377.46,1389.07,1354.14,1360.32,1360.32,367445
2025-01-02,1369.49,1378.21,1342.18,1368.39,1368.39,456627
2025-01-03,1365.4,1407.51,1362.11,1394.95,1394.95,908087
2025-01-06,1416.33,1443.24,1336.74,1341.73,1341.73,878096
2025-01-07,1351.54,1360.47,1315.66,1336.35,1336.35,519362
2025-01-08,1354.54,1354.54,1322.34,1345.91,1345.91,987831
2025-01-09,1345.86,1351.2,1298.27,1305.0,1305.0,459750
2025-01-10,1311.68,1323.54,1272.65,1279.48,1279.48,789698
2025-01-13,1252.77,1255.76,1156.49,1161.47,1161.47,2072547
2025-01-14,1161.47,1175.03,1133.07,1140.39,1140.39,2127808
2025-01-15,1158.18,1158.18,1106.35,1121.25,1121.25,3165699
2025-01-16,1131.17,1162.37,1122.1,1124.74,1124.74,1364331
2025-01-17,1131.27,1194.31,1127.63,1173.08,1173.08,4892113
2025-01-20,1176.57,1218.48,1167.2,1204.78,1204.78,2096285
2025-01-21,1198.15,1205.43,1132.87,1143.78,1143.78,1534096
2025-01-22,1143.78,1144.83,1058.76,1073.66,1073.66,3308966
2025-01-23,1057.27,1091.05,1049.74,1078.74,1078.74,1582475
2025-01-24,1073.46,1105.36,1072.46,1095.94,1095.94,2566066
2025-01-27,1096.39,1133.26,1083.83,1099.87,1099.87,5455401
2025-01-28,1116.37,1146.22,1095.24,1127.28,1127.28,2243789
2025-01-29,1104.66,1146.22,1098.38,1131.77,1131.77,2018443
2025-01-30,1138.1,1170.29,1129.28,1156.79,1156.79,1861163
2025-01-31,1163.61,1231.34,1154.39,1200.54,1200.54,3559155
2025-02-01,1214.35,1287.76,1165.86,1275.94,1275.94,1269754
2025-02-03,1245.74,1300.76,1233.14,1293.19,1293.19,2093414
2025-02-04,1275.79,1293.54,1266.43,1282.27,1282.27,1170642
2025-02-05,1282.12,1299.47,1261.24,1264.23,1264.23,751453
2025-02-06,1248.19,1262.99,1190.18,1194.76,1194.76,2114481
2025-02-07,1198.05,1238.92,1198.05,1234.73,1234.73,1983603
2025-02-10,1231.94,1240.86,1166.6,1172.78,1172.78,1288374
2025-02-11,1179.11,1180.86,1143.88,1166.6,1166.6,1144470
2025-02-12,1164.16,1197.75,1146.22,1168.8,1168.8,2380787
2025-02-13,1174.63,1190.28,1161.17,1169.35,1169.35,1182683
2025-02-14,1170.84,1181.85,1131.47,1149.76,1149.76,2535663
2025-02-17,1140.24,1168.0,1119.91,1163.96,1163.96,820581
2025-02-18,1158.18,1177.22,1144.78,1158.73,1158.73,1108216
2025-02-19,1155.19,1195.26,1146.17,1177.87,1177.87,626677
2025-02-20,1175.38,1196.95,1165.61,1188.58,1188.58,498434
2025-02-21,1184.1,1218.33,1178.91,1211.56,1211.56,2045038
2025-02-24,1193.07,1211.01,1181.11,1191.07,1191.07,731706
2025-02-25,1197.0,1210.36,1179.31,1192.67,1192.67,1486433
2025-02-27,1190.08,1211.01,1170.69,1191.02,1191.02,2220279
2025-02-28,1181.01,1190.97,1116.37,1127.18,1127.18,4466895
2025-03-03,1127.53,1161.87,1097.63,1117.17,1117.17,1050459
2025-03-04,1117.17,1131.62,1083.48,1114.28,1114.28,1162488
2025-03-05,1111.34,1156.09,1108.25,1148.71,1148.71,734447
2025-03-06,1154.2,1168.9,1128.28,1134.41,1134.41,779868
2025-03-07,1134.41,1146.12,1099.97,1109.34,1109.34,1292906
2025-03-10,1114.33,1124.29,1068.53,1072.17,1072.17,1119938
2025-03-11,1072.17,1146.17,1061.5,1128.63,1128.63,2683783
2025-03-12,1118.41,1133.71,1072.12,1078.15,1078.15,1175851
2025-03-13,1082.88,1086.87,1046.7,1051.78,1051.78,1369790
2025-03-17,1045.55,1071.47,1031.75,1060.5,1060.5,862374
2025-03-18,1060.5,1060.5,1060.5,1060.5,1060.5,0
2025-03-19,1109.84,1186.49,1109.84,1173.58,1173.58,1890436
2025-03-20,1176.12,1234.03,1174.23,1189.83,1189.83,2406145
2025-03-21,1175.13,1220.38,1160.72,1176.87,1176.87,2261969
2025-03-24,1186.09,1235.93,1184.55,1212.75,1212.75,1577877
2025-03-25,1225.61,1246.89,1194.86,1205.83,1205.83,672554
2025-03-26,1206.27,1248.83,1186.09,1193.42,1193.42,1534225
2025-03-27,1189.08,1250.88,1186.09,1237.22,1237.22,1158000
2025-03-28,1237.67,1244.25,1187.09,1191.87,1191.87,965367
2025-04-01,1201.04,1201.04,1143.23,1153.4,1153.4,1191228
2025-04-02,1159.83,1218.98,1159.83,1214.45,1214.45,1919618
2025-04-03,1185.09,1227.7,1171.29,1213.75,1213.75,732130
2025-04-04,1207.02,1218.23,1157.29,1176.97,1176.97,456039
2025-04-07,1112.88,1141.19,1072.46,1102.96,1102.96,1482723
2025-04-08,1116.32,1146.02,1107.35,1128.98,1128.98,1767581
2025-04-09,1130.32,1130.32,1091.7,1107.6,1107.6,958219
2025-04-11,1098.88,1145.23,1098.88,1118.91,1118.91,1777845
2025-04-15,1153.2,1212.9,1141.24,1210.01,1210.01,3463329
2025-04-16,1235.93,1250.78,1221.17,1236.72,1236.72,2739797
2025-04-17,1236.32,1258.25,1220.98,1232.04,1232.04,872152
2025-04-21,1245.89,1303.7,1234.93,1289.15,1289.15,1108203
2025-04-22,1295.73,1335.5,1280.78,1309.08,1309.08,1250475
2025-04-23,1327.32,1365.3,1325.63,1361.91,1361.91,2431953
2025-04-24,1375.37,1375.77,1303.01,1315.86,1315.86,2388212
2025-04-25,1351.05,1385.43,1288.75,1300.81,1300.81,4799027
2025-04-28,1310.38,1328.42,1268.42,1305.9,1305.9,1240596
2025-04-29,1310.68,1315.76,1279.78,1283.77,1283.77,778686
2025-04-30,1316.56,1358.22,1298.82,1324.93,1324.93,5035119
2025-05-02,1315.56,1377.96,1310.68,1333.8,1333.8,2216584
2025-05-05,1354.54,1354.54,1313.77,1329.22,1329.22,663064
2025-05-06,1320.75,1341.48,1283.77,1291.74,1291.74,638709
2025-05-07,1265.83,1302.61,1264.23,1297.72,1297.72,702143
2025-05-08,1300.71,1313.07,1266.13,1283.57,1283.57,1782078
2025-05-09,1245.89,1266.82,1220.98,1230.24,1230.24,1098567
2025-05-12,1295.73,1307.49,1276.99,1301.11,1301.11,1038362
2025-05-13,1301.61,1311.58,1258.25,1269.62,1269.62,1624657
2025-05-14,1245.89,1323.64,1245.89,1312.17,1312.17,1570410
2025-05-15,1313.37,1374.27,1301.71,1366.5,1366.5,2246902
2025-05-16,1373.47,1407.16,1348.85,1390.22,1390.22,1948465
2025-05-19,1390.22,1427.3,1374.77,1417.33,1417.33,1320018
2025-05-20,1425.3,1429.29,1370.48,1375.67,1375.67,1204564
2025-05-21,1379.35,1419.32,1375.07,1404.37,1404.37,944200
2025-05-22,1395.4,1416.13,1377.46,1405.07,1405.07,529470
2025-05-23,1403.77,1420.32,1400.48,1408.16,1408.16,407529
2025-05-26,1415.33,1465.07,1406.56,1434.37,1434.37,2067043
2025-05-27,1437.26,1465.17,1418.82,1448.62,1448.62,2006076
2025-05-28,1455.2,1478.63,1447.73,1462.98,1462.98,1396273
2025-05-29,1469.16,1469.16,1427.39,1452.21,1452.21,991951
2025-05-30,1455.0,1457.2,1413.94,1420.82,1420.82,2215653
2025-06-02,1415.33,1440.25,1407.46,1429.19,1429.19,1479490
2025-06-03,1454.21,1470.15,1433.77,1441.85,1441.85,1650498
2025-06-04,1467.96,1467.96,1429.49,1440.05,1440.05,1331886
2025-06-05,1454.11,1475.04,1446.23,1456.9,1456.9,1528240
2025-06-06,1460.19,1524.87,1460.19,1511.02,1511.02,2235584
2025-06-09,1524.97,1525.97,1496.07,1506.73,1506.73,1365885
2025-06-10,1510.02,1512.41,1457.3,1462.58,1462.58,977125
2025-06-11,1462.58,1486.1,1456.3,1470.95,1470.95,987368
2025-06-12,1473.04,1473.04,1440.45,1444.34,1444.34,737676
2025-06-13,1428.49,1453.21,1415.33,1447.83,1447.83,948683
2025-06-16,1451.12,1469.95,1432.28,1465.77,1465.77,405280
2025-06-17,1470.85,1499.06,1438.36,1441.25,1441.25,1293255
2025-06-18,1445.24,1464.67,1428.79,1438.46,1438.46,576064
2025-06-19,1435.17,1463.68,1410.55,1420.72,1420.72,773708
2025-06-20,1425.3,1492.08,1423.31,1478.33,1478.33,3387202
2025-06-23,1472.94,1490.09,1456.5,1468.46,1468.46,823714
2025-06-24,1491.09,1504.84,1462.48,1465.67,1465.67,887932
2025-06-25,1476.13,1490.79,1442.45,1451.81,1451.81,1049577
2025-06-26,1456.6,1462.48,1415.53,1436.66,1436.66,907176
2025-06-27,1445.14,1448.23,1411.25,1417.53,1417.53,859030
2025-06-30,1422.51,1425.3,1377.46,1379.65,1379.65,1730108
2025-07-01,1388.62,1391.71,1359.12,1386.93,1386.93,1279409
2025-07-02,1385.43,1402.38,1375.47,1394.2,1394.2,941661
2025-07-03,1394.4,1401.68,1361.41,1364.4,1364.4,668346
2025-07-04,1366.5,1377.46,1349.85,1363.61,1363.61,425688
2025-07-07,1361.51,1379.85,1354.54,1372.78,1372.78,442561
2025-07-08,1380.45,1384.74,1347.56,1370.38,1370.38,964835
2025-07-09,1365.5,1392.71,1356.23,1385.53,1385.53,1057621
2025-07-10,1381.45,1409.25,1378.46,1407.16,1407.16,657475
2025-07-11,1407.16,1417.33,1388.42,1395.5,1395.5,1140138
2025-07-14,1395.5,1418.52,1382.44,1415.04,1415.04,534480
2025-07-15,1422.01,1435.17,1411.65,1429.29,1429.29,732457
2025-07-16,1429.29,1444.74,1426.5,1435.47,1435.47,694775
2025-07-17,1442.05,1450.22,1428.49,1435.67,1435.67,1043937
2025-07-18,1442.25,1453.91,1436.37,1440.15,1440.15,802788
2025-07-21,1438.66,1446.23,1426.3,1443.94,1443.94,319633
2025-07-22,1456.7,1456.7,1429.29,1437.56,1437.56,371182
2025-07-23,1395.4,1399.39,1325.73,1329.62,1329.62,17783631
2025-07-24,1331.61,1332.61,1300.01,1321.74,1321.74,1321225
2025-07-25,1313.27,1315.16,1270.91,1275.2,1275.2,2664662
2025-07-28,1275.79,1279.78,1186.69,1199.25,1199.25,7197953
2025-07-29,1207.12,1251.87,1207.12,1242.4,1242.4,4143162
2025-07-30,1242.5,1251.38,1228.45,1234.13,1234.13,1198616
2025-07-31,1214.0,1248.19,1212.1,1227.55,1227.55,1649835
2025-08-01,1232.94,1238.22,1193.67,1203.93,1203.93,857479
2025-08-04,1210.31,1242.5,1199.05,1239.91,1239.91,630565
2025-08-05,1241.91,1243.0,1217.99,1229.95,1229.95,538727
2025-08-06,1232.84,1242.31,1204.63,1223.47,1223.47,1176641
2025-08-07,1206.02,1230.94,1197.55,1218.38,1218.38,967280
2025-08-08,1217.79,1227.75,1192.07,1198.65,1198.65,587784
2025-08-11,1205.03,1223.87,1194.16,1220.88,1220.88,642421
2025-08-12,1220.98,1229.45,1206.92,1210.21,1210.21,673722
2025-08-13,1210.21,1226.66,1210.21,1221.77,1221.77,964805
2025-08-14,1225.86,1235.83,1224.16,1227.55,1227.55,1514599
2025-08-18,1243.9,1265.73,1233.93,1242.9,1242.9,2175568
2025-08-19,1250.78,1255.86,1222.07,1253.67,1253.67,1106601
2025-08-20,1255.26,1298.12,1249.88,1295.73,1295.73,1941354
2025-08-21,1308.69,1323.24,1286.26,1289.35,1289.35,1535305
2025-08-22,1293.6,1301.0,1260.0,1261.0,1261.0,789131
2025-08-25,1266.8,1284.9,1262.0,1264.4,1264.4,881356
2025-08-26,1265.2,1268.9,1229.1,1236.8,1236.8,1154640
2025-08-28,1239.0,1247.7,1205.1,1208.2,1208.2,1036875
