date,open,high,low,close,adj_close,volume
2024-07-11,1805.8,1809.71,1788.44,1798.18,1798.18,
2024-07-12,1798.23,1805.8,1775.62,1778.84,1778.84,
2024-07-15,1800.81,1819.7,1782.3,1813.47,1813.47,
2024-07-16,1825.15,1836.58,1809.0,1833.65,1833.65,
2024-07-18,1813.72,1830.12,1801.05,1806.02,1806.02,
2024-07-19,1806.86,1812.53,1765.62,1775.61,1775.61,
2024-07-22,1774.46,1833.05,1755.13,1794.14,1794.14,
2024-07-23,1805.77,1812.63,1763.08,1788.87,1788.87,
2024-07-24,1784.9,1813.57,1780.92,1804.43,1804.43,
2024-07-25,1798.81,1811.73,1782.96,1789.22,1789.22,
2024-07-26,1788.77,1838.47,1786.54,1829.32,1829.32,
2024-07-29,1840.75,1867.83,1829.62,1849.65,1849.65,
2024-07-30,1849.5,1870.37,1843.63,1850.99,1850.99,
2024-07-31,1850.99,1913.75,1850.99,1900.03,1900.03,
2024-08-01,1899.19,1947.39,1897.85,1941.28,1941.28,
2024-08-02,1937.45,1971.74,1923.04,1949.38,1949.38,
2024-08-05,1888.31,1947.89,1888.31,1936.21,1936.21,
2024-08-06,1957.82,1961.8,1889.75,1898.94,1898.94,
2024-08-07,2007.51,2017.4,1938.99,1982.12,1982.12,
2024-08-08,2007.46,2054.12,1990.72,2038.12,2038.12,
2024-08-09,2038.42,2111.87,2038.42,2100.49,2100.49,
2024-08-12,2092.98,2115.79,2075.14,2084.63,2084.63,
2024-08-13,2095.07,2118.37,2074.65,2084.68,2084.68,
2024-08-14,2084.88,2087.22,2055.57,2061.13,2061.13,
2024-08-16,2079.32,2099.44,2066.15,2073.16,2073.16,
2024-08-19,2082.05,2094.52,2046.87,2056.01,2056.01,
2024-08-20,2070.72,2089.85,2056.41,2082.3,2082.3,
2024-08-21,2083.04,2108.83,2068.68,2104.41,2104.41,
2024-08-22,2111.87,2116.09,2083.29,2096.16,2096.16,
2024-08-23,2100.83,2105.26,2074.25,2080.61,2080.61,
2024-08-26,2087.02,2114.85,2079.17,2103.12,2103.12,
2024-08-27,2108.04,2165.53,2108.04,2158.13,2158.13,
2024-08-28,2181.93,2214.38,2153.01,2187.15,2187.15,
2024-08-29,2187.15,2209.01,2164.14,2180.19,2180.19,
2024-08-30,2220.19,2242.75,2203.15,2226.35,2226.35,
2024-09-02,2243.05,2251.79,2215.92,2218.95,2218.95,
2024-09-03,2221.19,2257.96,2221.19,2226.4,2226.4,
2024-09-04,2211.25,2270.03,2192.96,2263.17,2263.17,
2024-09-05,2270.88,2297.71,2253.98,2276.04,2276.04,
2024-09-06,2267.0,2283.8,2233.41,2242.55,2242.55,
2024-09-09,2208.22,2225.86,2172.04,2203.1,2203.1,
2024-09-10,2213.23,2237.43,2199.32,2208.81,2208.81,
2024-09-11,2215.22,2243.99,2186.9,2195.74,2195.74,
2024-09-12,2211.35,2246.03,2204.14,2233.61,2233.61,
2024-09-13,2250.95,2264.71,2235.4,2242.5,2242.5,
2024-09-16,2254.98,2270.33,2223.62,2237.93,2237.93,
2024-09-17,2245.88,2271.87,2237.14,2256.37,2256.37,
2024-09-18,2259.94,2264.91,2199.32,2211.2,2211.2,
2024-09-19,2210.25,2210.25,2132.09,2158.48,2158.48,
2024-09-20,2146.65,2153.41,2124.93,2138.4,2138.4,
2024-09-23,2144.66,2172.24,2128.31,2168.76,2168.76,
2024-09-24,2176.46,2208.66,2165.98,2202.05,2202.05,
2024-09-25,2206.28,2215.22,2179.89,2207.37,2207.37,
2024-09-26,2219.2,2223.72,2147.79,2174.62,2174.62,
2024-09-27,2156.59,2213.23,2150.38,2204.79,2204.79,
2024-09-30,2169.51,2206.08,2166.03,2177.56,2177.56,
2024-10-01,2178.45,2205.28,2161.61,2180.84,2180.84,
2024-10-03,2166.92,2186.4,2140.98,2170.1,2170.1,
2024-10-04,2156.74,2226.15,2149.63,2184.66,2184.66,
2024-10-07,2184.66,2197.18,2126.77,2161.46,2161.46,
2024-10-08,2151.62,2214.73,2143.77,2203.25,2203.25,
2024-10-09,2215.02,2283.8,2207.82,2271.92,2271.92,
2024-10-10,2285.78,2290.65,2098.95,2141.33,2141.33,
2024-10-11,2156.59,2215.22,2145.31,2210.75,2210.75,
2024-10-14,2204.34,2236.04,2182.38,2230.03,2230.03,
2024-10-15,2226.05,2258.85,2222.13,2236.99,2236.99,
2024-10-16,2234.1,2243.05,2167.82,2181.73,2181.73,
2024-10-17,2193.36,2193.36,2144.66,2162.85,2162.85,
2024-10-18,2167.17,2183.12,2140.34,2166.23,2166.23,
2024-10-21,2166.23,2193.31,2118.47,2138.65,2138.65,
2024-10-22,2140.74,2158.82,2111.87,2118.87,2118.87,
2024-10-23,2107.29,2135.72,2055.22,2061.73,2061.73,
2024-10-24,2057.21,2124.24,2049.45,2118.37,2118.37,
2024-10-25,2124.59,2148.69,2101.93,2143.37,2143.37,
2024-10-28,2143.72,2203.3,2143.72,2191.07,2191.07,
2024-10-29,2200.96,2200.96,2155.0,2192.51,2192.51,
2024-10-30,2181.93,2197.53,2137.7,2144.91,2144.91,
