date,open,high,low,close,adj_close,volume
2024-07-11,2735.97,2735.97,2669.55,2676.55,2676.55,
2024-07-12,2668.21,2700.6,2665.73,2682.4,2682.4,
2024-07-15,2701.15,2717.17,2686.52,2709.28,2709.28,
2024-07-16,2732.99,2744.8,2718.16,2734.78,2734.78,
2024-07-18,2734.03,2803.43,2714.69,2796.98,2796.98,
2024-07-19,2797.47,2797.47,2721.14,2727.39,2727.39,
2024-07-22,2729.12,2796.53,2703.28,2782.4,2782.4,
2024-07-23,2801.49,2831.75,2721.53,2798.86,2798.86,
2024-07-24,2800.5,2807.84,2741.62,2783.14,2783.14,
2024-07-25,2777.49,2804.47,2759.63,2788.99,2788.99,
2024-07-26,2799.11,2874.31,2767.76,2864.78,2864.78,
2024-07-29,2876.89,2921.53,2852.58,2909.62,2909.62,
2024-07-30,2921.53,2926.49,2881.45,2898.81,2898.81,
2024-07-31,2913.59,2955.85,2850.05,2884.62,2884.62,
2024-08-01,2903.18,2903.18,2797.62,2805.86,2805.86,
2024-08-02,2787.9,2787.9,2712.06,2727.74,2727.74,
2024-08-05,2658.29,2707.45,2614.79,2657.6,2657.6,
2024-08-06,2666.87,2726.84,2604.77,2611.97,2611.97,
2024-08-07,2676.0,2683.19,2639.79,2659.48,2659.48,
2024-08-08,2639.3,2694.85,2635.33,2661.57,2661.57,
2024-08-09,2712.21,2742.96,2683.44,2727.24,2727.24,
2024-08-12,2727.24,2735.03,2687.11,2695.99,2695.99,
2024-08-13,2696.44,2716.82,2682.55,2696.39,2696.39,
2024-08-14,2707.05,2749.86,2693.66,2723.37,2723.37,
2024-08-16,2766.77,2822.37,2754.02,2817.81,2817.81,
2024-08-19,2837.11,2837.11,2738.0,2743.11,2743.11,
2024-08-20,2757.6,2761.02,2726.59,2749.21,2749.21,
2024-08-21,2751.89,2758.79,2733.04,2747.33,2747.33,
2024-08-22,2749.01,2753.63,2702.34,2711.17,2711.17,
2024-08-23,2711.17,2746.93,2703.58,2737.01,2737.01,
2024-08-26,2742.91,2776.69,2731.16,2770.84,2770.84,
2024-08-27,2775.65,2777.68,2751.84,2758.64,2758.64,
2024-08-28,2759.73,2804.47,2758.64,2775.7,2775.7,
2024-08-29,2767.12,2779.32,2719.8,2735.62,2735.62,
2024-08-30,2757.84,2799.06,2742.96,2783.04,2783.04,
2024-09-02,2826.09,2826.09,2734.53,2754.87,2754.87,
2024-09-03,2757.84,2775.8,2750.5,2762.65,2762.65,
2024-09-04,2738.99,2757.74,2709.33,2727.69,2727.69,
2024-09-05,2734.23,2738.0,2690.29,2701.4,2701.4,
2024-09-06,2701.3,2717.07,2658.74,2676.6,2676.6,
2024-09-09,2666.73,2692.67,2638.85,2687.26,2687.26,
2024-09-10,2669.8,2693.36,2655.66,2668.56,2668.56,
2024-09-11,2660.13,2686.42,2623.03,2633.1,2633.1,
2024-09-12,2643.76,2729.67,2614.59,2719.05,2719.05,
2024-09-13,2733.04,2736.56,2690.14,2717.27,2717.27,
2024-09-16,2718.36,2762.11,2710.28,2735.42,2735.42,
2024-09-17,2742.96,2771.24,2723.42,2765.43,2765.43,
2024-09-18,2759.33,2825.3,2755.51,2785.82,2785.82,
2024-09-19,2789.59,2829.27,2769.95,2775.2,2775.2,
2024-09-20,2776.39,2936.41,2776.2,2927.33,2927.33,
2024-09-23,2939.14,3032.54,2932.59,3025.49,3025.49,
2024-09-24,2995.93,3073.85,2995.93,3049.8,3049.8,
2024-09-25,3020.73,3123.9,3010.36,3066.41,3066.41,
2024-09-26,3047.52,3171.72,3021.38,3155.75,3155.75,
2024-09-27,3145.73,3196.42,3127.42,3158.28,3158.28,
2024-09-30,3137.94,3153.66,3062.4,3070.23,3070.23,
2024-10-01,3080.75,3160.06,3071.13,3140.27,3140.27,
2024-10-03,3060.41,3145.73,3047.96,3104.91,3104.91,
2024-10-04,3102.13,3132.43,2985.51,2993.4,2993.4,
2024-10-07,3003.87,3042.51,2959.13,3035.81,3035.81,
2024-10-08,3049.5,3151.58,3041.56,3140.62,3140.62,
2024-10-09,3139.58,3178.76,3119.93,3127.87,3127.87,
2024-10-10,3130.85,3194.63,3129.85,3168.84,3168.84,
2024-10-11,3174.5,3184.91,3096.13,3109.37,3109.37,
2024-10-14,3125.89,3148.7,3090.17,3129.76,3129.76,
2024-10-15,3151.68,3167.5,3061.95,3130.65,3130.65,
2024-10-16,3112.99,3122.81,3027.82,3043.55,3043.55,
2024-10-17,3030.65,3040.87,2928.67,2940.97,2940.97,
2024-10-18,2921.88,2965.03,2891.47,2940.62,2940.62,
2024-10-21,2936.16,2977.48,2869.84,2974.3,2974.3,
2024-10-22,2981.05,2984.97,2855.26,2864.19,2864.19,
2024-10-23,2853.23,2901.59,2759.08,2771.24,2771.24,
2024-10-24,2740.98,2819.55,2740.98,2803.82,2803.82,
2024-10-25,2802.48,2802.53,2657.95,2699.16,2699.16,
2024-10-28,2708.24,2812.31,2692.27,2758.84,2758.84,
2024-10-29,2739.99,2775.65,2681.01,2725.01,2725.01,
2024-10-30,2667.82,2733.89,2647.78,2686.12,2686.12,
2024-10-31,2686.12,2730.07,2650.31,2706.8,2706.8,
2024-11-01,2757.84,2818.26,2757.84,2795.19,2795.19,
2024-11-04,2782.15,2948.07,2782.15,2860.96,2860.96,
2024-11-05,2852.58,2884.82,2799.61,2876.34,2876.34,
2024-11-06,2886.81,2930.26,2862.4,2911.16,2911.16,
2024-11-07,2948.07,2948.86,2835.17,2868.31,2868.31,
2024-11-08,2886.81,2967.11,2828.53,2951.19,2951.19,
2024-11-11,2938.74,2985.61,2866.02,2907.24,2907.24,
2024-11-12,2907.84,2922.42,2857.05,2875.45,2875.45,
2024-11-13,2853.08,2871.93,2760.72,2776.64,2776.64,
2024-11-14,2792.56,2819.75,2714.44,2784.83,2784.83,
2024-11-18,2821.33,2851.79,2777.73,2824.21,2824.21,
2024-11-19,2822.33,2974.11,2822.33,2925.45,2925.45,
2024-11-21,2938.89,2950.3,2894.74,2912.85,2912.85,
2024-11-22,2920.54,3039.08,2873.61,2988.94,2988.94,
2024-11-25,3050.49,3124.55,2998.31,3021.33,3021.33,
2024-11-26,3029.16,3043.65,2928.97,2961.41,2961.41,
2024-11-27,3001.83,3045.53,2962.25,2980.85,2980.85,
2024-11-28,2971.13,2976.04,2868.95,2875.6,2875.6,
2024-11-29,2879.86,2967.81,2879.86,2942.46,2942.46,
2024-12-02,2960.22,3002.13,2938.29,2992.36,2992.36,
2024-12-03,3017.46,3017.46,2963.84,3003.17,3003.17,
2024-12-04,2979.07,3027.53,2979.07,3007.59,3007.59,
2024-12-05,3025.64,3074.3,2992.01,3047.12,3047.12,
2024-12-06,3050.99,3074.3,3041.51,3048.51,3048.51,
2024-12-09,3038.98,3048.51,3015.77,3026.93,3026.93,
2024-12-10,3023.66,3056.69,2981.35,3042.46,3042.46,
2024-12-11,3027.68,3090.17,3023.51,3047.57,3047.57,
2024-12-12,3060.21,3061.4,3020.73,3043.0,3043.0,
2024-12-13,3026.68,3068.45,2976.09,3056.84,3056.84,
2024-12-16,3064.78,3067.51,3015.77,3060.26,3060.26,
2024-12-17,3030.75,3069.09,3003.87,3017.26,3017.26,
2024-12-18,3001.98,3037.6,3000.44,3026.88,3026.88,
2024-12-19,2982.04,3020.73,2946.83,2990.62,2990.62,
2024-12-20,2990.62,3000.89,2863.35,2883.19,2883.19,
2024-12-23,2894.74,2918.95,2868.06,2886.11,2886.11,
2024-12-24,2886.21,2926.69,2877.68,2905.36,2905.36,
2024-12-26,2901.69,2960.66,2900.05,2951.93,2951.93,
2024-12-27,2963.39,3039.58,2954.31,3025.15,3025.15,
2024-12-30,3003.92,3020.33,2967.21,2978.97,2978.97,
2024-12-31,2970.53,2994.84,2947.52,2983.13,2983.13,
2025-01-01,2983.13,3062.35,2971.33,3057.44,3057.44,
2025-01-02,3075.29,3202.37,3060.46,3185.51,3185.51,
2025-01-03,3189.38,3211.25,3150.39,3165.12,3165.12,
2025-01-06,3184.02,3209.22,3065.47,3080.95,3080.95,
2025-01-07,3085.21,3106.34,3057.19,3084.07,3084.07,
2025-01-08,3110.01,3110.01,3032.64,3061.5,3061.5,
2025-01-09,3079.06,3132.73,3060.76,3101.58,3101.58,
2025-01-10,3085.21,3124.5,3030.65,3068.2,3068.2,
2025-01-13,3029.31,3042.41,2969.59,2975.74,2975.74,
2025-01-14,2976.09,3053.91,2975.74,3025.2,3025.2,
2025-01-15,3032.73,3039.53,2927.48,2936.66,2936.66,
2025-01-16,2954.41,2973.51,2921.53,2956.84,2956.84,
2025-01-17,2946.28,2946.68,2879.96,2894.1,2894.1,
2025-01-20,2886.81,2912.55,2854.37,2865.08,2865.08,
2025-01-21,2876.99,2883.83,2786.51,2798.81,2798.81,
2025-01-22,2825.3,2829.17,2783.49,2803.92,2803.92,
2025-01-23,2803.92,2876.29,2787.6,2863.44,2863.44,
2025-01-24,2852.09,2872.92,2767.76,2779.07,2779.07,
2025-01-27,2750.2,2824.21,2732.2,2809.03,2809.03,
2025-01-28,2812.41,2901.69,2761.81,2847.72,2847.72,
2025-01-29,2860.96,2910.12,2833.54,2901.04,2901.04,
2025-01-30,2901.04,2984.92,2895.74,2947.77,2947.77,
2025-01-31,2946.33,3025.54,2931.55,2966.02,2966.02,
2025-02-01,2966.17,3074.25,2966.17,3052.23,3052.23,
2025-02-03,3032.24,3162.54,3020.48,3148.01,3148.01,
2025-02-04,3199.3,3244.48,3112.84,3163.63,3163.63,
2025-02-05,3163.63,3193.0,3116.96,3153.42,3153.42,
2025-02-06,3144.74,3155.5,3096.37,3114.92,3114.92,
2025-02-07,3142.75,3194.29,3085.21,3172.96,3172.96,
2025-02-10,3183.62,3244.88,3103.86,3112.25,3112.25,
2025-02-11,3121.77,3128.86,3046.62,3061.35,3061.35,
2025-02-12,3044.09,3050.49,2931.55,2963.39,2963.39,
2025-02-13,3000.84,3022.72,2947.37,2954.27,2954.27,
2025-02-14,2975.1,2995.93,2883.88,2919.15,2919.15,
2025-02-17,2917.36,2931.45,2770.0,2809.38,2809.38,
2025-02-18,2821.33,2822.33,2733.94,2767.81,2767.81,
2025-02-19,2728.08,2760.47,2706.26,2735.42,2735.42,
2025-02-20,2723.22,2821.83,2668.61,2816.82,2816.82,
2025-02-21,2792.76,2792.76,2632.2,2648.08,2648.08,
2025-02-24,2647.73,2695.15,2610.18,2687.61,2687.61,
2025-02-25,2718.16,2781.6,2706.41,2755.71,2755.71,
2025-02-27,2814.39,2817.37,2681.95,2704.82,2704.82,
2025-02-28,2673.62,2677.49,2551.7,2564.5,2564.5,
2025-03-03,2592.97,2674.46,2574.32,2591.08,2591.08,
2025-03-04,2540.59,2606.36,2529.68,2592.52,2592.52,
2025-03-05,2640.73,2715.09,2621.59,2704.87,2704.87,
2025-03-06,2726.1,2744.8,2673.52,2720.54,2720.54,
2025-03-07,2699.61,2743.91,2686.52,2706.11,2706.11,
2025-03-10,2673.52,2712.85,2643.86,2681.06,2681.06,
2025-03-11,2663.35,2663.6,2592.32,2624.51,2624.51,
2025-03-12,2624.51,2656.66,2615.09,2632.15,2632.15,
2025-03-13,2655.76,2664.94,2597.43,2622.43,2622.43,
2025-03-17,2614.0,2705.32,2614.0,2683.59,2683.59,
2025-03-18,2683.59,2683.59,2683.59,2683.59,2683.59,
2025-03-19,2772.72,2809.33,2757.4,2766.87,2766.87,
2025-03-20,2781.4,2824.31,2778.68,2805.56,2805.56,
2025-03-21,2816.47,2869.94,2759.08,2779.52,2779.52,
2025-03-24,2792.86,2799.66,2687.81,2752.59,2752.59,
2025-03-25,2752.59,2780.11,2703.33,2714.19,2714.19,
2025-03-26,2729.37,2772.72,2715.24,2720.39,2720.39,
2025-03-27,2713.2,2729.07,2674.07,2711.22,2711.22,
2025-03-28,2714.0,2717.86,2614.0,2644.55,2644.55,
2025-04-01,2631.66,2706.26,2602.24,2616.88,2616.88,
2025-04-02,2610.13,2638.8,2604.38,2616.53,2616.53,
2025-04-03,2586.97,2631.26,2579.53,2590.64,2590.64,
2025-04-04,2594.11,2610.53,2536.67,2575.86,2575.86,
2025-04-07,2405.67,2504.53,2405.67,2471.39,2471.39,
2025-04-08,2490.0,2529.68,2434.44,2503.54,2503.54,
2025-04-09,2519.76,2551.45,2495.9,2502.99,2502.99,
2025-04-11,2528.68,2583.25,2511.87,2559.78,2559.78,
2025-04-15,2585.23,2668.56,2585.23,2624.91,2624.91,
2025-04-16,2638.8,2643.76,2597.43,2613.6,2613.6,
2025-04-17,2611.02,2661.42,2581.66,2658.04,2658.04,
2025-04-21,2678.38,2751.89,2644.65,2741.97,2741.97,
2025-04-22,2742.96,2799.51,2734.03,2794.65,2794.65,
2025-04-23,2807.44,2899.7,2803.48,2894.55,2894.55,
2025-04-24,2894.55,2904.66,2842.17,2878.28,2878.28,
2025-04-25,2878.28,2916.17,2808.54,2841.37,2841.37,
2025-04-28,2895.64,2921.53,2859.33,2907.24,2907.24,
2025-04-29,2926.49,2945.83,2878.67,2886.41,2886.41,
2025-04-30,2885.62,2925.4,2863.99,2905.46,2905.46,
2025-05-02,2926.49,2976.09,2887.01,2893.95,2893.95,
2025-05-05,2925.4,3019.74,2914.29,2997.42,2997.42,
2025-05-06,3125.49,3134.52,3031.64,3043.94,3043.94,
2025-05-07,2997.82,3100.09,2997.82,3095.03,3095.03,
2025-05-08,3102.47,3112.0,2984.52,3008.93,3008.93,
2025-05-09,2938.0,3032.74,2931.45,2958.33,2958.33,
2025-05-12,3020.43,3087.4,3009.52,3079.96,3079.96,
2025-05-13,3025.69,3086.21,3010.81,3029.46,3029.46,
2025-05-14,3013.29,3085.21,2993.95,3077.08,3077.08,
2025-05-15,3060.41,3145.43,3048.51,3119.24,3119.24,
2025-05-16,3110.01,3124.4,3090.17,3110.61,3110.61,
2025-05-19,3090.17,3131.84,3078.86,3103.07,3103.07,
2025-05-20,3103.27,3110.31,3024.8,3039.08,3039.08,
2025-05-21,3038.59,3107.04,3023.81,3066.07,3066.07,
2025-05-22,3052.08,3065.17,2956.75,2982.34,2982.34,
2025-05-23,2995.93,3006.64,2960.42,2988.69,2988.69,
2025-05-26,3013.79,3076.28,3003.57,3055.65,3055.65,
2025-05-27,3055.65,3060.41,2990.57,3015.57,3015.57,
2025-05-28,3015.47,3020.53,2969.15,2973.91,2973.91,
2025-05-29,2975.1,3004.76,2963.39,2985.02,2985.02,
2025-05-30,2981.05,2993.35,2933.43,2953.07,2953.07,
2025-06-02,2953.07,3014.28,2938.69,3001.78,3001.78,
2025-06-03,3017.76,3040.37,3002.87,3022.22,3022.22,
2025-06-04,3020.83,3062.4,3015.87,3029.06,3029.06,
2025-06-05,3053.47,3070.33,2970.93,3017.36,3017.36,
2025-06-06,3017.36,3088.09,3002.87,3081.74,3081.74,
2025-06-09,3105.05,3115.97,3053.47,3062.79,3062.79,
2025-06-10,3077.28,3082.14,3035.41,3043.05,3043.05,
2025-06-11,3060.41,3099.1,3051.48,3056.15,3056.15,
2025-06-12,3063.39,3069.34,2983.03,2995.14,2995.14,
