date,open,high,low,close,adj_close,volume
2024-07-11,208.58,212.09,206.29,207.47,207.47,
2024-07-12,209.06,219.78,206.36,218.65,218.65,
2024-07-15,219.4,224.03,216.06,216.54,216.54,
2024-07-16,216.67,218.33,213.73,215.14,215.14,
2024-07-18,220.38,223.69,216.77,222.64,222.64,
2024-07-19,224.67,224.67,210.63,211.19,211.19,
2024-07-22,211.19,211.99,208.2,209.91,209.91,
2024-07-23,212.55,212.55,195.51,197.69,197.69,
2024-07-24,197.56,208.04,196.06,205.31,205.31,
2024-07-25,204.29,204.29,198.44,199.58,199.58,
2024-07-26,199.71,208.72,199.71,207.69,207.69,
2024-07-29,206.81,210.92,205.85,207.91,207.91,
2024-07-30,207.91,211.51,206.49,208.63,208.63,
2024-07-31,208.68,209.69,207.21,208.67,208.67,
2024-08-01,210.82,212.19,206.19,208.36,208.36,
2024-08-02,205.41,207.78,201.85,204.48,204.48,
2024-08-05,199.9,202.77,192.04,194.5,194.5,
2024-08-06,199.61,201.49,191.12,191.92,191.92,
2024-08-07,196.18,197.2,190.5,195.43,195.43,
2024-08-08,195.9,196.57,192.2,193.37,193.37,
2024-08-09,196.97,201.24,195.52,199.67,199.67,
2024-08-12,197.75,205.27,196.82,204.7,204.7,
2024-08-13,206.89,207.64,197.95,201.57,201.57,
2024-08-14,202.82,203.12,193.81,196.5,196.5,
2024-08-16,198.94,199.79,192.6,196.76,196.76,
2024-08-19,197.95,199.54,196.58,197.19,197.19,
2024-08-20,197.46,204.08,195.41,203.19,203.19,
2024-08-21,204.92,207.75,203.56,206.51,206.51,
2024-08-22,208.43,213.91,208.43,211.41,211.41,
2024-08-23,211.61,215.31,208.81,209.73,209.73,
2024-08-26,211.6,212.49,208.48,211.37,211.37,
2024-08-27,210.63,215.86,207.93,213.27,213.27,
2024-08-28,214.55,214.55,209.13,210.48,210.48,
2024-08-29,209.18,214.94,207.36,212.12,212.12,
2024-08-30,214.55,217.67,210.68,211.56,211.56,
2024-09-02,213.57,213.91,207.56,208.2,208.2,
2024-09-03,208.67,211.61,208.0,209.07,209.07,
2024-09-04,207.69,210.31,204.26,205.23,205.23,
2024-09-05,205.91,208.11,205.1,205.98,205.98,
2024-09-06,205.63,206.29,200.03,201.04,201.04,
2024-09-09,201.04,201.75,198.64,200.53,200.53,
2024-09-10,200.98,202.5,198.69,200.55,200.55,
2024-09-11,201.71,201.71,196.45,197.31,197.31,
2024-09-12,198.38,202.11,197.89,201.51,201.51,
2024-09-13,206.32,212.1,203.87,207.03,207.03,
2024-09-16,208.33,210.63,206.09,209.21,209.21,
2024-09-17,209.57,209.57,205.47,206.55,206.55,
2024-09-18,206.71,207.83,204.22,205.92,205.92,
2024-09-19,206.71,208.91,197.9,202.63,202.63,
2024-09-20,194.95,203.39,194.95,201.3,201.3,
2024-09-23,200.11,205.24,199.1,204.3,204.3,
2024-09-24,205.14,206.51,199.36,200.52,200.52,
2024-09-25,201.81,202.11,197.06,197.82,197.82,
2024-09-26,196.91,200.2,190.06,199.55,199.55,
2024-09-27,198.39,202.06,198.05,198.52,198.52,
2024-09-30,199.71,200.05,196.27,197.26,197.26,
2024-10-01,192.91,194.55,190.46,193.46,193.46,
2024-10-03,191.09,192.46,186.39,187.34,187.34,
2024-10-04,187.6,190.56,184.57,185.45,185.45,
2024-10-07,186.0,188.08,178.01,179.03,179.03,
2024-10-08,179.28,180.35,177.42,179.2,179.2,
2024-10-09,181.09,188.44,180.26,187.22,187.22,
2024-10-10,188.1,189.08,184.43,184.84,184.84,
2024-10-11,185.16,188.78,181.72,182.26,182.26,
2024-10-14,182.28,183.61,179.82,180.31,180.31,
2024-10-15,180.85,183.15,177.81,179.48,179.48,
2024-10-16,179.28,180.02,175.17,176.45,176.45,
2024-10-17,177.81,178.54,173.17,173.73,173.73,
2024-10-18,156.35,156.35,142.46,150.15,150.15,
2024-10-21,151.85,152.28,142.54,143.91,143.91,
2024-10-22,143.91,144.16,135.54,136.66,136.66,
2024-10-23,137.94,146.13,135.54,143.67,143.67,
2024-10-24,143.51,148.91,142.32,145.19,145.19,
2024-10-25,145.19,145.68,138.62,142.27,142.27,
2024-10-28,143.67,147.2,140.63,145.46,145.46,
2024-10-29,146.85,153.76,144.38,152.72,152.72,
2024-10-30,150.87,159.28,150.87,158.01,158.01,
2024-10-31,154.85,156.08,150.13,153.86,153.86,
2024-11-01,155.77,157.47,154.07,156.39,156.39,
2024-11-04,156.39,156.47,147.39,149.79,149.79,
2024-11-05,149.4,156.47,148.64,155.75,155.75,
2024-11-06,156.75,156.75,151.85,153.79,153.79,
2024-11-07,152.84,153.71,149.89,150.64,150.64,
2024-11-08,150.48,151.85,146.46,147.31,147.31,
2024-11-11,147.31,153.93,144.67,152.94,152.94,
2024-11-12,152.34,156.92,151.86,154.78,154.78,
2024-11-13,156.75,160.67,152.83,154.89,154.89,
2024-11-14,155.67,158.66,151.95,152.47,152.47,
2024-11-18,153.82,154.17,149.39,151.78,151.78,
2024-11-19,152.83,156.97,151.34,152.59,152.59,
2024-11-21,153.8,153.8,146.6,148.19,148.19,
2024-11-22,149.48,150.1,147.07,149.43,149.43,
2024-11-25,152.33,153.23,147.67,148.06,148.06,
2024-11-26,149.47,153.88,148.56,153.34,153.34,
2024-11-27,153.23,153.69,151.1,152.91,152.91,
2024-11-28,152.83,155.69,151.85,154.52,154.52,
2024-11-29,155.28,155.3,152.34,154.07,154.07,
2024-12-02,154.07,154.99,152.7,153.99,153.99,
2024-12-03,154.9,165.29,154.9,161.89,161.89,
2024-12-04,162.69,168.28,161.15,167.22,167.22,
2024-12-05,167.48,168.56,163.23,165.97,165.97,
2024-12-06,165.99,167.03,164.22,165.5,165.5,
2024-12-09,165.49,170.4,164.72,167.91,167.91,
2024-12-10,168.62,173.59,168.62,173.11,173.11,
2024-12-11,172.78,176.19,171.66,175.12,175.12,
2024-12-12,175.51,179.35,173.1,176.25,176.25,
2024-12-13,174.78,182.12,169.45,179.51,179.51,
2024-12-16,179.55,191.97,177.53,182.44,182.44,
2024-12-17,182.47,183.65,177.73,178.9,178.9,
2024-12-18,178.9,181.33,173.12,176.27,176.27,
2024-12-19,171.57,182.12,169.62,181.11,181.11,
2024-12-20,181.11,183.89,177.48,178.5,178.5,
2024-12-23,179.46,186.0,179.06,182.18,182.18,
2024-12-24,183.05,186.24,177.64,183.48,183.48,
2024-12-26,183.69,185.12,173.54,181.71,181.71,
2024-12-27,181.43,182.29,178.27,181.05,181.05,
2024-12-30,181.82,190.66,180.97,186.43,186.43,
2024-12-31,186.16,187.24,182.72,185.81,185.81,
2025-01-01,187.34,189.99,185.37,188.89,188.89,
2025-01-02,189.31,190.2,187.34,188.17,188.17,
2025-01-03,186.52,189.51,184.1,185.09,185.09,
2025-01-06,185.09,186.05,175.51,176.76,176.76,
2025-01-07,177.47,181.62,176.55,179.54,179.54,
2025-01-08,179.44,182.31,174.55,177.46,177.46,
2025-01-09,186.16,188.82,175.71,176.5,176.5,
2025-01-10,177.48,181.92,172.07,177.8,177.8,
2025-01-13,174.6,178.46,167.68,169.06,169.06,
2025-01-14,170.86,178.76,169.06,176.21,176.21,
2025-01-15,177.7,179.94,172.07,177.5,177.5,
2025-01-16,178.73,183.79,178.73,180.63,180.63,
2025-01-17,180.66,194.05,180.35,191.04,191.04,
2025-01-20,192.75,193.1,189.66,191.0,191.0,
2025-01-21,191.29,196.12,186.75,189.42,189.42,
2025-01-22,190.3,193.84,187.88,192.62,192.62,
2025-01-23,192.27,197.6,190.3,194.1,194.1,
2025-01-24,193.64,196.39,192.37,193.96,193.96,
2025-01-27,192.22,192.22,180.04,181.88,181.88,
2025-01-28,182.94,190.43,182.94,188.31,188.31,
2025-01-29,189.02,198.58,188.63,196.62,196.62,
2025-01-30,197.25,199.47,194.1,196.35,196.35,
2025-01-31,197.19,197.58,192.51,193.29,193.29,
2025-02-01,193.36,199.17,189.28,195.03,195.03,
