date,open,high,low,close,adj_close,volume
2024-07-11,2170.29,2200.13,2110.72,2116.42,2116.42,831254
2024-07-12,2117.12,2158.95,2103.37,2151.6,2151.6,494928
2024-07-15,2159.15,2172.64,2128.21,2147.75,2147.75,315255
2024-07-16,2144.15,2157.15,2109.67,2114.87,2114.87,375859
2024-07-18,2139.16,2141.96,2115.32,2138.01,2138.01,303275
2024-07-19,2138.06,2150.95,2114.22,2128.16,2128.16,548295
2024-07-22,2120.16,2128.16,2100.82,2107.47,2107.47,380485
2024-07-23,2100.17,2116.27,2066.29,2080.38,2080.38,284304
2024-07-24,2087.23,2121.16,2078.48,2103.57,2103.57,663427
2024-07-25,2093.03,2149.1,2087.78,2143.55,2143.55,339217
2024-07-26,2240.22,2249.11,2049.19,2055.09,2055.09,3339635
2024-07-29,2084.18,2104.07,2040.45,2062.19,2062.19,1409788
2024-07-30,2074.18,2084.73,2049.19,2054.84,2054.84,471998
2024-07-31,2057.09,2059.19,2011.21,2027.3,2027.3,1138447
2024-08-01,2037.2,2040.65,1985.22,2003.96,2003.96,2087887
2024-08-02,1987.22,2007.76,1959.48,1999.26,1999.26,578999
2024-08-05,1900.3,2010.11,1900.3,1989.62,1989.62,701611
2024-08-06,1999.21,2035.2,1999.21,2030.4,2030.4,839213
2024-08-07,2032.2,2064.19,2031.2,2057.29,2057.29,521611
2024-08-08,2055.19,2083.08,2027.25,2071.53,2071.53,740605
2024-08-09,2059.19,2143.16,2041.75,2135.31,2135.31,718132
2024-08-12,2120.41,2158.15,2095.57,2151.2,2151.2,948918
2024-08-13,2136.16,2179.09,2119.71,2174.79,2174.79,951426
2024-08-14,2174.14,2221.12,2154.8,2215.33,2215.33,1304111
2024-08-16,2238.12,2304.09,2215.38,2299.99,2299.99,1194894
2024-08-19,2308.09,2335.68,2269.66,2318.64,2318.64,713013
2024-08-20,2339.08,2385.61,2319.64,2357.22,2357.22,634146
2024-08-21,2355.07,2355.07,2269.11,2280.8,2280.8,385825
2024-08-22,2284.1,2338.08,2283.1,2318.69,2318.69,351352
2024-08-23,2301.59,2374.81,2295.4,2361.52,2361.52,530116
2024-08-26,2367.07,2438.89,2328.38,2352.02,2352.02,549449
2024-08-27,2373.36,2447.04,2369.07,2426.14,2426.14,660177
2024-08-28,2429.04,2435.99,2383.56,2427.59,2427.59,305337
2024-08-29,2420.05,2447.04,2407.05,2424.99,2424.99,266558
2024-08-30,2426.04,2505.11,2392.56,2486.77,2486.77,964197
2024-09-02,2520.01,2554.39,2380.06,2390.21,2390.21,453037
2024-09-03,2411.9,2468.88,2379.06,2390.16,2390.16,1323616
2024-09-04,2391.06,2452.48,2370.07,2412.75,2412.75,418620
2024-09-05,2414.05,2496.02,2396.11,2472.18,2472.18,418652
2024-09-06,2479.22,2506.21,2414.9,2422.4,2422.4,323002
2024-09-09,2465.03,2507.01,2393.11,2411.0,2411.0,935209
2024-09-10,2453.33,2470.03,2437.04,2447.19,2447.19,1294339
2024-09-11,2447.04,2452.63,2419.6,2431.79,2431.79,225772
2024-09-12,2442.09,2459.03,2420.05,2430.44,2430.44,249842
2024-09-13,2447.44,2563.94,2447.04,2497.82,2497.82,1050734
2024-09-16,2517.81,2517.81,2429.04,2455.28,2455.28,307479
2024-09-17,2463.93,2511.01,2443.04,2454.48,2454.48,333342
2024-09-18,2462.83,2483.82,2380.56,2394.66,2394.66,254609
2024-09-19,2407.8,2444.04,2377.16,2425.09,2425.09,423992
2024-09-20,2489.97,2595.98,2461.18,2534.75,2534.75,1991090
2024-09-23,2591.88,2663.95,2585.23,2649.21,2649.21,922783
2024-09-24,2648.96,2778.9,2643.41,2733.22,2733.22,615130
2024-09-25,2738.92,2740.17,2678.94,2700.24,2700.24,448051
2024-09-26,2678.94,2717.13,2651.75,2684.09,2684.09,382118
2024-09-27,2657.55,2683.94,2570.04,2590.98,2590.98,321706
2024-09-30,2597.98,2605.92,2501.41,2519.71,2519.71,610331
2024-10-01,2528.9,2591.58,2499.16,2577.93,2577.93,442323
2024-10-03,2577.98,2615.97,2494.97,2536.8,2536.8,498463
2024-10-04,2540.95,2618.97,2513.71,2610.62,2610.62,364821
2024-10-07,2593.03,2607.17,2497.92,2560.69,2560.69,209402
2024-10-08,2522.26,2615.87,2474.02,2602.52,2602.52,294268
2024-10-09,2596.98,2696.69,2591.98,2685.74,2685.74,331437
2024-10-10,2698.94,2743.92,2662.05,2682.94,2682.94,214011
2024-10-11,2678.99,2810.79,2633.46,2791.45,2791.45,528134
2024-10-14,2826.89,2833.88,2717.08,2758.51,2758.51,320351
2024-10-15,2780.6,2781.0,2711.53,2746.22,2746.22,269475
2024-10-16,2738.92,2746.22,2684.89,2710.33,2710.33,194988
2024-10-17,2696.94,2743.92,2650.01,2682.79,2682.79,162393
2024-10-18,2666.7,2681.84,2609.02,2646.16,2646.16,150001
2024-10-21,2639.06,2684.09,2624.97,2645.96,2645.96,135965
2024-10-22,2654.75,2683.94,2549.0,2564.94,2564.94,187831
2024-10-23,2580.98,2582.93,2512.01,2528.6,2528.6,140678
2024-10-24,2512.31,2547.85,2477.07,2503.26,2503.26,239778
2024-10-25,2513.01,2526.9,2444.04,2454.93,2454.93,229545
2024-10-28,2444.64,2469.33,2404.05,2425.84,2425.84,354180
2024-10-29,2428.99,2538.95,2411.05,2527.7,2527.7,498936
2024-10-30,2547.2,2652.95,2540.95,2626.76,2626.76,501352
2024-10-31,2615.02,2731.07,2594.08,2666.3,2666.3,386982
2024-11-01,2718.98,2730.92,2644.01,2679.64,2679.64,44944
2024-11-04,2693.94,2751.02,2666.05,2730.12,2730.12,459611
2024-11-05,2728.92,2728.92,2651.15,2713.18,2713.18,179946
2024-11-06,2872.87,2872.87,2702.98,2747.77,2747.77,1820051
2024-11-07,2747.77,2758.31,2714.13,2725.93,2725.93,253230
2024-11-08,2728.82,2728.82,2649.01,2658.45,2658.45,190966
2024-11-11,2661.5,2683.59,2628.96,2645.61,2645.61,272157
2024-11-12,2653.85,2688.84,2608.97,2621.07,2621.07,162333
2024-11-13,2614.02,2614.02,2505.06,2531.15,2531.15,385462
2024-11-14,2531.15,2664.95,2531.15,2596.63,2596.63,347189
2024-11-18,2598.88,2644.81,2578.98,2596.88,2596.88,207098
2024-11-19,2628.96,2638.21,2557.44,2573.39,2573.39,177969
2024-11-21,2582.18,2611.87,2514.06,2557.64,2557.64,275533
2024-11-22,2573.99,2578.98,2531.1,2550.59,2550.59,116790
2024-11-25,2576.98,2664.95,2555.69,2609.07,2609.07,694431
2024-11-26,2627.96,2648.71,2570.99,2579.58,2579.58,113978
2024-11-27,2585.03,2618.97,2549.0,2555.99,2555.99,184466
2024-11-28,2557.69,2578.98,2521.71,2559.39,2559.39,171520
2024-11-29,2581.98,2581.98,2539.3,2560.19,2560.19,239533
2024-12-02,2542.6,2626.86,2534.4,2615.42,2615.42,228079
2024-12-03,2633.51,2636.31,2550.99,2557.99,2557.99,636422
2024-12-04,2571.39,2617.97,2551.94,2595.13,2595.13,360240
2024-12-05,2594.98,2637.96,2567.59,2614.47,2614.47,445192
2024-12-06,2625.81,2625.81,2569.54,2585.43,2585.43,274887
2024-12-09,2594.68,2649.96,2569.09,2638.31,2638.31,328271
2024-12-10,2648.41,2683.84,2609.07,2665.35,2665.35,296485
2024-12-11,2645.51,2690.79,2614.02,2623.32,2623.32,164821
2024-12-12,2624.52,2670.95,2624.52,2649.41,2649.41,402971
2024-12-13,2649.76,2718.53,2610.97,2640.81,2640.81,777744
2024-12-16,2645.31,2696.94,2624.97,2689.69,2689.69,184666
2024-12-17,2733.92,2751.57,2646.96,2660.75,2660.75,494907
2024-12-18,2671.1,2848.88,2625.02,2804.84,2804.84,2380266
2024-12-19,2774.01,2921.75,2743.12,2889.91,2889.91,1391363
2024-12-20,2906.65,2906.85,2753.91,2804.09,2804.09,671820
2024-12-23,2837.88,3053.6,2781.35,2997.22,2997.22,1229821
2024-12-24,2973.73,2973.73,2844.93,2909.45,2909.45,1151153
2024-12-26,2945.84,2960.73,2894.66,2915.5,2915.5,319008
2024-12-27,2924.0,2942.79,2863.97,2870.62,2870.62,246296
2024-12-30,2879.86,2894.66,2839.48,2856.27,2856.27,351377
2024-12-31,2857.22,2928.65,2850.18,2879.26,2879.26,283929
2025-01-01,2897.86,2924.85,2843.08,2879.91,2879.91,364216
2025-01-02,2917.85,2939.34,2885.91,2900.76,2900.76,608005
2025-01-03,2901.26,2961.53,2854.02,2936.39,2936.39,468262
2025-01-06,2943.34,2997.22,2862.87,2883.41,2883.41,693267
2025-01-07,2898.86,2944.89,2881.16,2918.55,2918.55,681474
2025-01-08,2926.85,2938.89,2863.97,2878.42,2878.42,302663
2025-01-09,2878.42,2881.86,2808.94,2826.94,2826.94,318824
2025-01-10,2839.48,2856.87,2728.92,2738.87,2738.87,410380
2025-01-13,2652.05,2720.58,2549.1,2594.93,2594.93,1123946
2025-01-14,2599.92,2692.94,2598.98,2664.8,2664.8,543462
2025-01-15,2672.95,2678.94,2588.98,2594.98,2594.98,561374
2025-01-16,2642.96,2647.86,2534.5,2544.25,2544.25,1471425
2025-01-17,2549.0,2606.07,2544.5,2599.38,2599.38,323334
2025-01-20,2618.97,2753.61,2601.57,2703.63,2703.63,704801
2025-01-21,2687.44,2687.44,2550.99,2562.54,2562.54,360435
2025-01-22,2572.54,2584.88,2487.02,2515.41,2515.41,255984
2025-01-23,2515.21,2668.95,2496.02,2634.01,2634.01,682734
2025-01-24,2558.99,2585.98,2480.47,2505.91,2505.91,1636810
2025-01-27,2464.48,2471.58,2347.12,2452.98,2452.98,1273466
2025-01-28,2452.98,2502.01,2385.11,2455.73,2455.73,698700
2025-01-29,2464.03,2507.06,2424.59,2476.47,2476.47,515998
2025-01-30,2476.47,2533.1,2459.68,2484.42,2484.42,375337
2025-01-31,2475.82,2492.42,2410.5,2434.44,2434.44,582938
2025-02-01,2434.44,2528.65,2434.44,2480.62,2480.62,199560
2025-02-03,2444.04,2593.98,2433.84,2580.78,2580.78,449097
2025-02-04,2603.97,2606.02,2509.01,2554.09,2554.09,412780
2025-02-05,2554.99,2558.59,2469.08,2482.02,2482.02,331196
2025-02-06,2494.77,2517.11,2451.03,2479.12,2479.12,473065
2025-02-07,2482.12,2526.25,2459.03,2517.61,2517.61,630850
2025-02-10,2518.21,2540.25,2460.13,2501.06,2501.06,421865
2025-02-11,2524.0,2556.44,2420.05,2449.33,2449.33,931297
2025-02-12,2453.78,2457.13,2371.77,2421.65,2421.65,582581
2025-02-13,2447.04,2548.0,2422.25,2500.16,2500.16,804094
2025-02-14,2509.01,2522.01,2375.41,2393.41,2393.41,827390
2025-02-17,2369.07,2389.61,2326.73,2344.98,2344.98,407182
2025-02-18,2355.52,2409.05,2315.24,2384.06,2384.06,525204
2025-02-19,2383.06,2411.8,2354.97,2363.62,2363.62,347490
2025-02-20,2361.27,2370.12,2324.08,2347.52,2347.52,513237
2025-02-21,2351.62,2357.07,2311.14,2326.83,2326.83,287634
2025-02-24,2317.09,2325.93,2284.1,2297.89,2297.89,275408
2025-02-25,2320.94,2356.97,2295.79,2341.18,2341.18,505375
2025-02-27,2343.08,2352.92,2269.11,2293.3,2293.3,464216
2025-02-28,2289.1,2378.11,2222.12,2289.7,2289.7,3971225
2025-03-03,2258.51,2351.02,2167.35,2327.78,2327.78,910300
2025-03-04,2328.93,2350.77,2263.16,2283.2,2283.2,478696
2025-03-05,2271.55,2301.94,2264.11,2287.25,2287.25,420036
2025-03-06,2331.08,2337.48,2264.66,2273.4,2273.4,491198
2025-03-07,2279.05,2334.73,2252.26,2315.14,2315.14,635714
2025-03-10,2326.03,2326.03,2249.11,2258.41,2258.41,319034
2025-03-11,2258.41,2269.01,2199.13,2209.33,2209.33,401039
2025-03-12,2228.92,2228.92,2131.46,2165.6,2165.6,868227
2025-03-13,2189.34,2231.22,2150.25,2200.28,2200.28,866934
2025-03-17,2200.68,2221.07,2160.4,2170.09,2170.09,393040
2025-03-18,2170.09,2170.09,2170.09,2170.09,2170.09,0
2025-03-19,2169.14,2180.54,2131.16,2160.85,2160.85,1057646
2025-03-20,2183.89,2268.11,2165.75,2243.97,2243.97,433907
2025-03-21,2268.46,2449.03,2252.11,2414.1,2414.1,2362286
2025-03-24,2422.59,2422.59,2327.08,2371.22,2371.22,599027
2025-03-25,2376.06,2407.05,2333.83,2397.11,2397.11,423599
2025-03-26,2414.05,2441.04,2360.47,2402.75,2402.75,351136
2025-03-27,2401.8,2491.72,2371.57,2451.18,2451.18,551414
2025-03-28,2466.98,2484.02,2410.1,2423.79,2423.79,479815
2025-04-01,2422.55,2467.98,2396.46,2457.13,2457.13,501362
2025-04-02,2457.13,2469.48,2402.05,2420.95,2420.95,180549
2025-04-03,2462.03,2529.0,2414.5,2426.74,2426.74,446510
2025-04-04,2428.04,2462.48,2404.05,2450.23,2450.23,393371
2025-04-07,2361.07,2443.04,2331.13,2382.51,2382.51,880194
2025-04-08,2407.9,2452.08,2334.28,2346.57,2346.57,527892
2025-04-09,2336.08,2336.08,2291.85,2313.04,2313.04,566926
2025-04-11,2368.07,2384.01,2315.09,2349.57,2349.57,298765
2025-04-15,2419.05,2457.93,2390.06,2425.14,2425.14,362005
2025-04-16,2424.04,2537.1,2417.15,2519.01,2519.01,764066
2025-04-17,2508.91,2598.98,2499.01,2580.58,2580.58,489420
2025-04-21,2585.28,2608.17,2553.49,2587.38,2587.38,342055
2025-04-22,2587.38,2612.77,2553.09,2578.48,2578.48,459584
2025-04-23,2578.98,2585.38,2520.71,2544.5,2544.5,418141
2025-04-24,2545.6,2627.96,2534.0,2598.18,2598.18,377790
2025-04-25,2603.97,2641.16,2524.0,2556.49,2556.49,459518
