date,open,high,low,close,adj_close,volume
2024-07-11,639.89,639.89,628.61,635.06,635.06,2390064
2024-07-12,638.46,644.72,626.4,640.28,640.28,4784826
2024-07-15,649.0,649.0,636.93,643.09,643.09,2052411
2024-07-16,644.12,662.74,643.09,657.27,657.27,3414923
2024-07-18,654.22,675.89,654.22,674.51,674.51,6427954
2024-07-19,675.64,675.84,656.34,658.55,658.55,929516
2024-07-22,659.83,662.0,653.53,657.96,657.96,1127244
2024-07-23,656.93,669.73,649.98,662.39,662.39,1800272
2024-07-24,661.8,664.31,639.3,648.01,648.01,3992281
2024-07-25,647.08,668.65,644.08,664.81,664.81,2901644
2024-07-26,665.6,671.7,662.64,669.49,669.49,1132507
2024-07-29,669.24,674.66,665.84,672.74,672.74,1787407
2024-07-30,672.74,680.57,662.94,670.72,670.72,3126859
2024-07-31,671.46,673.57,660.67,663.92,663.92,1711988
2024-08-01,665.45,671.16,660.47,664.71,664.71,1148693
2024-08-02,661.85,667.52,649.64,652.4,652.4,959145
2024-08-05,646.24,671.7,646.24,662.0,662.0,10662953
2024-08-06,661.85,661.85,616.79,619.01,619.01,6060478
2024-08-07,620.98,641.91,618.52,639.25,639.25,2720532
2024-08-08,644.12,648.95,633.04,642.4,642.4,2938101
2024-08-09,647.08,649.49,638.56,643.14,643.14,1218872
2024-08-12,638.21,641.17,628.07,634.92,634.92,1318087
2024-08-13,637.23,655.7,637.13,650.58,650.58,4531168
2024-08-14,650.82,655.16,631.91,640.43,640.43,1714599
2024-08-16,644.91,653.23,640.78,651.07,651.07,1290553
2024-08-19,656.14,663.58,650.82,659.05,659.05,1453761
2024-08-20,659.05,661.8,652.35,658.8,658.8,997284
2024-08-21,659.88,669.68,657.62,669.04,669.04,1206265
2024-08-22,669.04,677.12,667.56,672.64,672.64,2014766
2024-08-23,672.64,678.25,660.33,667.96,667.96,1708479
2024-08-26,670.72,682.34,668.55,678.15,678.15,1839363
2024-08-27,676.13,681.01,662.84,665.6,665.6,1403508
2024-08-28,665.6,668.65,650.03,651.91,651.91,2436997
2024-08-29,651.91,655.94,641.61,650.77,650.77,2123160
2024-08-30,649.1,654.66,635.01,637.38,637.38,7817523
2024-09-02,638.21,645.75,633.78,641.12,641.12,1586559
2024-09-03,635.21,643.39,629.79,630.39,630.39,2470124
2024-09-04,625.41,637.87,623.44,635.85,635.85,2925734
2024-09-05,630.43,637.23,627.28,634.18,634.18,2658323
2024-09-06,638.21,663.77,638.17,655.2,655.2,6822379
2024-09-09,654.96,668.06,650.53,665.79,665.79,4064358
2024-09-10,669.93,674.16,665.1,669.73,669.73,1942309
2024-09-11,667.76,679.58,666.09,670.17,670.17,3149673
2024-09-12,673.13,677.51,670.27,675.74,675.74,1231420
2024-09-13,677.61,679.78,667.52,671.65,671.65,1550794
2024-09-16,672.74,686.87,665.35,684.7,684.7,1850346
2024-09-17,687.16,694.35,678.89,681.55,681.55,1738717
2024-09-18,682.54,685.79,676.18,684.8,684.8,972495
2024-09-19,685.49,691.89,679.73,686.48,686.48,1715999
2024-09-20,689.43,699.77,686.97,698.29,698.29,2799627
2024-09-23,698.34,699.28,686.33,691.89,691.89,1228223
2024-09-24,688.44,698.98,685.15,694.45,694.45,1692449
2024-09-25,696.91,696.91,671.26,678.79,678.79,1373871
2024-09-26,680.57,690.32,672.93,683.13,683.13,3431866
2024-09-27,684.55,702.73,677.61,681.99,681.99,14237170
2024-09-30,670.22,694.35,670.22,684.9,684.9,2531313
2024-10-01,683.52,688.89,674.66,683.18,683.18,1856288
2024-10-03,683.52,708.98,679.93,688.49,688.49,4581037
2024-10-04,689.13,693.32,674.07,679.78,679.78,2050300
2024-10-07,675.89,683.72,663.63,668.55,668.55,1932861
2024-10-08,666.88,689.04,665.15,687.36,687.36,2796644
2024-10-09,689.43,692.53,681.8,687.66,687.66,1272191
2024-10-10,688.44,694.01,673.03,674.75,674.75,500562
2024-10-11,674.75,682.98,671.01,675.15,675.15,503183
2024-10-14,675.15,680.07,663.87,678.94,678.94,578035
2024-10-15,677.61,682.04,670.47,675.35,675.35,1634535
2024-10-16,678.4,678.4,666.88,669.29,669.29,3308928
2024-10-17,670.72,670.72,651.17,656.04,656.04,1803690
2024-10-18,654.96,663.63,644.72,659.19,659.19,2268280
2024-10-21,655.06,659.98,648.16,651.95,651.95,1528718
2024-10-22,652.0,657.27,645.16,647.08,647.08,1235282
2024-10-23,649.05,654.96,638.86,646.69,646.69,1273237
2024-10-24,647.57,651.12,621.67,624.67,624.67,1911649
2024-10-25,625.41,635.75,621.52,630.43,630.43,1594085
2024-10-28,630.43,632.31,607.54,624.43,624.43,3375207
2024-10-29,624.43,628.46,614.58,619.65,619.65,1207825
2024-10-30,657.91,676.63,637.28,641.32,641.32,13797789
2024-10-31,640.09,640.09,623.29,630.34,630.34,2765889
2024-11-01,634.08,641.12,632.31,636.2,636.2,224128
2024-11-04,632.9,634.72,615.37,625.36,625.36,1501436
2024-11-05,624.52,627.04,618.47,624.43,624.43,2574988
2024-11-06,621.87,640.18,621.87,638.9,638.9,814595
2024-11-07,638.61,638.61,620.68,622.11,622.11,1004635
2024-11-08,623.44,627.23,617.93,620.34,620.34,457247
2024-11-11,615.56,618.81,604.19,607.78,607.78,1270012
2024-11-12,609.55,609.55,585.13,586.56,586.56,5562123
2024-11-13,585.52,594.04,580.16,588.18,588.18,4858275
2024-11-14,591.33,591.88,582.67,583.31,583.31,855697
2024-11-18,583.31,587.44,570.85,586.16,586.16,2092848
2024-11-19,588.38,590.79,581.09,582.03,582.03,861557
2024-11-21,580.11,583.06,575.38,582.12,582.12,918041
2024-11-22,581.09,592.56,576.17,590.1,590.1,730158
2024-11-25,595.03,604.58,589.76,598.62,598.62,7697180
2024-11-26,603.2,623.44,598.87,618.86,618.86,3737523
2024-11-27,614.92,643.83,612.95,640.09,640.09,4938340
2024-11-28,640.09,654.07,633.09,635.11,635.11,5907307
2024-11-29,625.41,641.47,621.18,635.21,635.21,2575758
2024-12-02,627.48,639.35,627.38,636.79,636.79,2030938
2024-12-03,636.74,636.74,627.38,632.01,632.01,1018771
2024-12-04,632.11,633.44,617.58,622.06,622.06,1433224
2024-12-05,621.52,625.41,617.73,623.69,623.69,939448
2024-12-06,623.74,629.74,621.47,624.08,624.08,942056
2024-12-09,611.72,618.86,591.48,598.57,598.57,4029912
2024-12-10,598.33,607.68,596.85,604.63,604.63,1718121
2024-12-11,605.12,624.72,604.73,623.34,623.34,2423839
2024-12-12,623.34,638.81,621.42,626.3,626.3,3551037
2024-12-13,620.49,632.85,619.95,630.14,630.14,1877660
2024-12-16,629.99,637.38,623.93,635.36,635.36,2951376
2024-12-17,635.41,638.21,619.65,623.88,623.88,2068434
2024-12-18,621.23,634.77,619.55,631.17,631.17,1481711
2024-12-19,631.12,634.28,619.99,631.27,631.27,1353612
2024-12-20,632.16,637.72,616.55,618.47,618.47,1756903
2024-12-23,615.71,628.37,610.83,626.94,626.94,1262775
2024-12-24,627.28,635.95,612.41,623.79,623.79,1573431
2024-12-26,619.45,624.67,616.1,623.05,623.05,667331
2024-12-27,622.46,625.51,619.26,623.05,623.05,690259
2024-12-30,623.05,635.16,618.71,632.5,632.5,1421436
2024-12-31,631.47,632.4,624.67,629.84,629.84,1228183
2025-01-01,626.4,638.41,624.48,634.28,634.28,1612824
2025-01-02,625.71,646.09,625.71,643.48,643.48,1609622
2025-01-03,647.08,653.63,637.87,650.97,650.97,1752004
2025-01-06,656.93,664.86,623.59,638.56,638.56,2833965
2025-01-07,635.56,644.86,629.01,633.88,633.88,1687921
2025-01-08,628.46,630.68,613.84,628.76,628.76,1621163
2025-01-09,629.35,658.85,626.25,656.83,656.83,2573131
2025-01-10,658.9,669.34,654.66,663.72,663.72,3578086
2025-01-13,660.87,665.05,653.33,658.31,658.31,3161422
2025-01-14,654.96,659.29,644.86,651.12,651.12,1619502
2025-01-15,654.86,654.86,640.92,649.79,649.79,947122
2025-01-16,650.97,652.79,638.56,642.75,642.75,739133
2025-01-17,640.18,657.81,635.65,654.37,654.37,2338569
2025-01-20,657.37,657.37,645.45,647.52,647.52,456518
2025-01-21,652.1,658.21,647.23,656.34,656.34,2291644
2025-01-22,657.91,659.88,650.87,655.3,655.3,2086320
2025-01-23,654.91,664.17,646.59,657.81,657.81,593272
2025-01-24,659.24,662.39,653.38,656.14,656.14,529334
2025-01-27,651.07,656.93,644.37,646.73,646.73,467561
2025-01-28,646.73,658.01,644.42,653.92,653.92,1500950
2025-01-29,655.94,673.28,654.32,661.7,661.7,2457335
2025-01-30,664.36,669.73,658.01,662.0,662.0,911550
2025-01-31,666.78,676.18,645.16,660.52,660.52,3690369
2025-02-01,660.52,725.77,655.99,683.72,683.72,4446114
2025-02-03,678.0,679.63,651.86,663.18,663.18,2367737
2025-02-04,662.79,669.49,655.06,666.83,666.83,1492015
2025-02-05,665.35,665.79,652.4,658.65,658.65,1988584
2025-02-06,659.29,666.48,647.82,651.56,651.56,1253699
2025-02-07,654.68,657.4,638.59,642.85,642.85,837069
2025-02-10,642.06,645.57,629.33,637.75,637.75,2613543
2025-02-11,633.89,643.94,620.37,628.44,628.44,998016
2025-02-12,624.48,632.01,614.18,625.92,625.92,1073537
2025-02-13,623.79,637.01,623.79,628.24,628.24,1144554
2025-02-14,628.79,631.96,623.29,627.5,627.5,1821215
2025-02-17,619.33,625.92,607.55,618.59,618.59,1571043
2025-02-18,614.13,621.86,613.59,619.97,619.97,712638
2025-02-19,619.97,633.24,614.13,628.69,628.69,1023390
2025-02-20,627.2,637.05,623.79,635.27,635.27,891876
2025-02-21,635.67,638.29,609.13,618.64,618.64,1976242
2025-02-24,604.97,619.68,604.97,615.12,615.12,1542899
2025-02-25,610.17,617.6,609.78,615.67,615.67,1225342
2025-02-27,603.98,619.08,603.93,617.15,617.15,1440672
2025-02-28,614.68,618.39,592.15,594.68,594.68,2680280
2025-03-03,590.91,593.74,583.69,588.29,588.29,1783194
2025-03-04,579.23,584.78,572.15,581.95,581.95,4370725
2025-03-05,579.03,588.34,576.21,583.34,583.34,3256655
2025-03-06,590.86,605.47,588.14,601.71,601.71,2103830
2025-03-07,601.71,607.3,598.98,603.64,603.64,1327590
2025-03-10,603.93,608.93,599.28,601.31,601.31,1188893
2025-03-11,599.88,600.42,586.85,596.95,596.95,2227722
2025-03-12,597.15,601.61,592.05,594.43,594.43,3676916
2025-03-13,597.5,606.95,592.85,600.32,600.32,689569
2025-03-17,595.07,603.59,595.07,601.56,601.56,820003
2025-03-18,601.56,601.56,601.56,601.56,601.56,0
2025-03-19,612.35,616.61,609.18,612.99,612.99,1640160
2025-03-20,617.45,627.6,609.43,626.11,626.11,1000000
2025-03-21,628.24,628.29,621.31,624.58,624.58,1549109
2025-03-24,628.94,629.73,623.64,626.66,626.66,697650
2025-03-25,628.34,632.65,616.06,618.64,618.64,1419249
2025-03-26,622.8,636.56,620.92,633.44,633.44,1901786
2025-03-27,635.67,645.07,629.43,642.65,642.65,1497543
2025-03-28,642.65,654.48,642.6,645.22,645.22,1075086
2025-04-01,634.68,653.99,634.68,641.16,641.16,1203066
2025-04-02,644.08,653.39,637.45,649.98,649.98,2202713
2025-04-03,648.54,655.97,638.74,654.43,654.43,2210443
2025-04-04,652.4,675.27,647.5,670.62,670.62,4041611
2025-04-07,643.59,671.31,641.16,656.11,656.11,2540552
2025-04-08,661.41,673.29,654.43,671.41,671.41,3307994
2025-04-09,670.37,691.51,668.84,686.61,686.61,3695669
2025-04-11,686.61,707.6,680.97,702.95,702.95,5205941
2025-04-15,708.94,712.9,694.48,704.83,704.83,4917060
2025-04-16,704.09,717.4,702.11,713.34,713.34,2898568
2025-04-17,710.92,719.14,706.02,707.75,707.75,2584756
2025-04-21,707.75,707.75,687.25,688.29,688.29,2702126
2025-04-22,692.01,709.33,687.25,702.16,702.16,2138487
2025-04-23,703.94,712.31,700.13,709.48,709.48,2282463
2025-04-24,709.73,715.67,698.49,705.72,705.72,2663875
2025-04-25,710.23,715.18,699.24,703.39,703.39,1566764
2025-04-28,700.72,715.13,698.64,708.39,708.39,2393391
2025-04-29,708.39,716.81,702.95,704.33,704.33,1846949
2025-04-30,703.84,715.67,699.58,703.44,703.44,2215886
2025-05-02,701.07,705.97,689.14,691.91,691.91,1100691
2025-05-05,702.8,728.59,702.75,715.52,715.52,8525971
2025-05-06,715.52,720.52,706.51,713.0,713.0,2063870
2025-05-07,700.03,730.23,700.03,729.09,729.09,3995818
2025-05-08,732.7,732.9,709.53,712.45,712.45,3195214
2025-05-09,704.98,717.85,704.98,716.17,716.17,2511756
2025-05-12,727.7,731.71,719.73,730.82,730.82,1515956
2025-05-13,730.72,730.72,717.95,720.42,720.42,2720588
2025-05-14,716.81,725.57,713.69,715.42,715.42,2751553
2025-05-15,719.63,723.79,709.63,713.49,713.49,4308349
2025-05-16,713.89,722.7,709.04,717.26,717.26,1909055
2025-05-19,717.26,719.63,706.51,709.53,709.53,1434238
2025-05-20,714.68,715.62,695.37,697.11,697.11,2493313
2025-05-21,698.29,711.22,698.29,702.65,702.65,2944314
2025-05-22,702.8,704.98,688.24,691.36,691.36,2352847
2025-05-23,691.36,702.26,689.88,693.94,693.94,1724941
2025-05-26,697.06,705.47,695.42,704.33,704.33,1994607
2025-05-27,705.42,709.93,695.82,708.59,708.59,1267453
2025-05-28,711.02,717.85,706.66,712.21,712.21,2271957
2025-05-29,716.76,718.84,705.28,716.32,716.32,2316776
2025-05-30,712.31,720.72,704.88,709.38,709.38,3894257
2025-06-02,708.0,711.71,693.89,697.4,697.4,1630797
2025-06-03,701.81,701.81,692.55,696.66,696.66,1738779
2025-06-04,697.55,701.46,692.9,696.12,696.12,1944866
2025-06-05,700.08,700.08,692.75,696.22,696.22,1319022
2025-06-06,698.05,698.79,690.13,691.76,691.76,1105116
2025-06-09,693.54,698.94,688.24,697.4,697.4,904800
2025-06-10,700.42,701.76,689.53,691.76,691.76,1533185
2025-06-11,692.11,700.42,690.52,693.34,693.34,3560937
2025-06-12,696.86,698.05,683.79,685.62,685.62,1686574
2025-06-13,678.05,686.71,675.13,684.38,684.38,1359160
2025-06-16,678.84,685.42,673.59,683.99,683.99,1894563
2025-06-17,685.18,689.53,677.45,680.08,680.08,2159490
2025-06-18,680.08,687.75,679.48,682.9,682.9,1810324
2025-06-19,687.16,688.64,680.62,683.79,683.79,973270
2025-06-20,683.79,689.93,680.22,686.46,686.46,2558526
2025-06-23,684.19,692.11,680.77,687.06,687.06,1200845
2025-06-24,692.26,698.74,688.15,696.56,696.56,1250576
2025-06-25,701.91,704.98,696.66,697.95,697.95,3216401
2025-06-26,698.84,720.72,698.84,719.09,719.09,3673197
2025-06-27,720.82,728.44,717.31,724.43,724.43,4329253
2025-06-30,722.26,723.74,710.92,715.23,715.23,1618205
2025-07-01,716.81,721.81,703.49,710.23,710.23,1202600
2025-07-02,709.98,712.01,698.39,705.37,705.37,2521750
2025-07-03,706.17,710.67,700.18,706.31,706.31,2125636
2025-07-04,727.75,737.11,718.05,721.41,721.41,6030354
2025-07-07,721.76,731.71,720.13,722.16,722.16,2641977
2025-07-08,722.8,727.16,718.69,720.77,720.77,1764146
2025-07-09,723.1,724.98,713.94,723.15,723.15,2447741
2025-07-10,727.75,727.75,718.15,719.78,719.78,1174052
2025-07-11,721.02,727.75,715.42,718.49,718.49,1263356
2025-07-14,723.49,724.63,715.47,720.82,720.82,1403107
2025-07-15,720.72,734.88,719.09,732.9,732.9,1267255
2025-07-16,737.65,737.65,722.16,724.43,724.43,1250246
2025-07-17,725.67,731.12,724.73,726.07,726.07,1114793
2025-07-18,726.07,726.86,712.01,713.1,713.1,554526
2025-07-21,713.1,719.34,705.77,710.62,710.62,2355411
