date,open,high,low,close,adj_close,volume
2024-07-11,905.44,905.98,883.6,894.77,894.77,2215017
2024-07-12,901.75,904.34,890.43,897.91,897.91,825677
2024-07-15,893.42,921.74,893.42,918.55,918.55,1455119
2024-07-16,923.63,923.63,905.89,918.35,918.35,960167
2024-07-18,910.32,937.0,890.73,931.86,931.86,1914995
2024-07-19,927.62,929.17,892.52,917.8,917.8,1101792
2024-07-22,912.82,939.29,906.13,927.62,927.62,1229668
2024-07-23,921.94,935.3,899.75,932.41,932.41,1061114
2024-07-24,924.33,961.87,914.51,944.87,944.87,1342456
2024-07-25,923.33,942.28,913.31,923.78,923.78,862331
2024-07-26,926.78,960.88,925.33,945.77,945.77,909751
2024-07-29,956.19,958.18,925.73,931.41,931.41,1100907
2024-07-30,931.51,936.3,913.36,915.41,915.41,988389
2024-07-31,921.34,925.28,912.62,919.6,919.6,813478
2024-08-01,932.26,932.26,906.83,921.34,921.34,701804
2024-08-02,917.35,918.35,900.95,913.66,913.66,813314
2024-08-05,902.4,905.99,858.52,863.26,863.26,1300858
2024-08-06,864.95,877.02,853.64,861.01,861.01,1719713
2024-08-07,867.5,871.04,843.47,852.14,852.14,2338430
2024-08-08,852.54,883.15,848.7,872.43,872.43,1490179
2024-08-09,885.29,892.13,876.82,880.66,880.66,304440
2024-08-12,877.42,880.16,858.72,868.14,868.14,630879
2024-08-13,863.01,869.49,858.02,865.8,865.8,883102
2024-08-14,860.57,875.42,849.85,867.5,867.5,1889274
2024-08-16,867.99,889.43,867.45,882.6,882.6,785855
2024-08-19,883.45,885.94,863.71,872.03,872.03,390349
2024-08-20,879.41,881.8,868.54,875.02,875.02,425103
2024-08-21,877.47,878.76,862.26,865.0,865.0,647192
2024-08-22,869.59,878.46,863.06,865.85,865.85,589973
2024-08-23,867.1,872.04,848.12,851.97,851.97,915786
2024-08-26,852.87,862.8,835.64,859.86,859.86,1606807
2024-08-27,867.3,867.3,849.27,853.32,853.32,808632
2024-08-28,853.96,867.75,849.22,864.8,864.8,2209821
2024-08-29,864.8,869.95,858.61,865.55,865.55,747326
2024-08-30,869.4,875.84,857.36,861.46,861.46,2575591
2024-09-02,868.95,882.98,862.21,880.93,880.93,1664452
2024-09-03,883.93,890.97,864.0,870.8,870.8,1429045
2024-09-04,869.0,883.98,859.26,880.13,880.13,1517929
2024-09-05,880.13,912.2,866.55,884.48,884.48,2118993
2024-09-06,883.93,902.31,880.03,897.51,897.51,1762540
2024-09-09,905.95,908.15,872.49,881.38,881.38,1456256
2024-09-10,888.37,905.75,874.74,877.74,877.74,1200151
2024-09-11,885.93,900.96,873.29,875.99,875.99,1174280
2024-09-12,888.42,922.74,883.43,912.75,912.75,3313064
2024-09-13,913.95,925.03,895.02,906.95,906.95,1781839
2024-09-16,922.84,935.87,913.95,929.93,929.93,1607286
2024-09-17,933.92,975.87,925.03,963.59,963.59,3214818
2024-09-18,963.59,973.93,940.22,961.84,961.84,1194052
2024-09-19,953.9,997.85,940.96,983.71,983.71,2078476
2024-09-20,979.87,1088.74,972.13,1066.72,1066.72,9930210
2024-09-23,1060.88,1066.02,1026.82,1052.98,1052.98,2106105
