date,open,high,low,close,adj_close,volume
2024-07-11,2659.52,2858.78,2657.06,2826.55,2826.55,11916618
2024-07-12,2826.33,2843.01,2722.01,2732.44,2732.44,4678848
2024-07-15,2740.71,2742.68,2642.3,2653.35,2653.35,2727188
2024-07-16,2652.14,2728.53,2628.84,2659.52,2659.52,3894946
2024-07-18,2657.06,2670.44,2512.52,2554.1,2554.1,4320320
2024-07-19,2552.75,2647.22,2489.76,2524.55,2524.55,6830404
2024-07-22,2487.3,2695.44,2436.13,2620.23,2620.23,10035686
2024-07-23,2622.62,2673.79,2358.22,2490.38,2490.38,8497924
2024-07-24,2497.12,2553.73,2471.88,2483.71,2483.71,2753336
2024-07-25,2455.32,2474.51,2377.58,2389.63,2389.63,3344188
2024-07-26,2406.09,2435.64,2381.51,2390.44,2390.44,1941582
2024-07-29,2414.68,2629.48,2389.39,2627.74,2627.74,9093666
2024-07-30,2608.35,2728.63,2594.57,2641.83,2641.83,6928994
2024-07-31,2643.85,2646.58,2575.23,2580.06,2580.06,1956412
2024-08-01,2592.48,2637.18,2503.54,2513.21,2513.21,2255664
2024-08-02,2460.24,2553.73,2455.32,2507.28,2507.28,2292782
2024-08-05,2381.98,2447.94,2328.37,2361.59,2361.59,3995876
2024-08-06,2408.8,2459.26,2275.77,2283.72,2283.72,3148806
2024-08-07,2342.13,2420.88,2235.25,2384.12,2384.12,5670458
2024-08-08,2386.43,2462.7,2356.91,2403.71,2403.71,3170426
2024-08-09,2445.48,2536.51,2408.08,2419.8,2419.8,3768832
2024-08-12,2470.58,2489.76,2432.69,2441.62,2441.62,2988290
2024-08-13,2455.32,2460.24,2369.8,2378.37,2378.37,2033694
2024-08-14,2388.89,2498.13,2302.93,2459.5,2459.5,6928948
2024-08-16,2509.45,2529.13,2434.09,2447.92,2447.92,4148048
2024-08-19,2411.04,2411.09,2312.63,2324.81,2324.81,3900362
2024-08-20,2306.99,2313.78,2106.46,2115.59,2115.59,12517274
2024-08-21,2076.91,2279.98,2022.86,2233.73,2233.73,18873210
2024-08-22,2247.82,2278.38,2189.62,2198.45,2198.45,5940136
2024-08-23,2202.01,2240.79,2163.54,2170.72,2170.72,4758098
2024-08-26,2186.0,2193.36,2115.81,2119.5,2119.5,3009230
2024-08-27,2119.5,2148.97,2106.61,2112.78,2112.78,2922564
2024-08-28,2127.2,2150.25,2086.78,2122.52,2122.52,3279204
2024-08-29,2130.54,2133.52,2071.06,2085.5,2085.5,2612752
2024-08-30,2086.29,2172.34,2053.81,2087.0,2087.0,6927906
2024-09-02,2091.21,2123.53,2058.07,2066.5,2066.5,2404850
2024-09-03,2127.08,2244.31,2126.76,2191.83,2191.83,15750474
2024-09-04,2194.54,2372.24,2190.6,2349.43,2349.43,15938894
2024-09-05,2372.66,2423.34,2232.62,2253.14,2253.14,9534632
2024-09-06,2253.58,2264.53,2150.28,2165.21,2165.21,5560008
2024-09-09,2209.3,2235.87,2116.05,2140.98,2140.98,5987892
2024-09-10,2151.26,2192.57,2140.41,2161.42,2161.42,2992310
2024-09-11,2165.01,2165.01,2116.67,2122.48,2122.48,1646610
2024-09-12,2130.57,2140.34,2101.05,2123.21,2123.21,1967974
2024-09-13,2130.5,2169.93,2113.59,2122.11,2122.11,1938158
2024-09-16,2122.11,2134.92,2086.36,2091.48,2091.48,1468788
