date,open,high,low,close,adj_close,volume
2024-07-11,741.19,751.52,736.33,748.03,748.03,
2024-07-12,752.13,757.51,742.18,750.41,750.41,
2024-07-15,750.54,783.24,749.7,776.98,776.98,
2024-07-16,776.98,790.73,771.63,786.07,786.07,
2024-07-18,786.07,814.42,773.62,809.41,809.41,
2024-07-19,800.88,803.86,757.17,760.92,760.92,
2024-07-22,759.18,770.04,748.76,757.27,757.27,
2024-07-23,758.11,788.94,720.36,779.26,779.26,
2024-07-24,776.01,826.44,773.03,809.16,809.16,
2024-07-25,805.83,836.3,800.09,832.48,832.48,
2024-07-26,832.72,844.46,816.71,823.76,823.76,
2024-07-29,830.73,853.39,826.83,836.2,836.2,
2024-07-30,840.68,860.56,833.76,836.13,836.13,
2024-07-31,836.31,864.92,820.78,853.55,853.55,
2024-08-01,861.17,875.5,849.1,871.63,871.63,
2024-08-02,849.43,871.51,842.13,861.65,861.65,
2024-08-05,826.06,855.58,821.92,835.47,835.47,
2024-08-06,845.65,856.36,821.78,825.49,825.49,
2024-08-07,840.68,855.4,829.74,853.27,853.27,
2024-08-08,850.83,866.33,827.81,838.29,838.29,
2024-08-09,857.59,882.08,851.85,871.11,871.11,
2024-08-12,873.51,888.43,864.55,881.01,881.01,
2024-08-13,880.87,880.87,864.74,867.05,867.05,
2024-08-14,869.13,875.84,856.0,871.43,871.43,
2024-08-16,871.43,929.02,871.33,922.53,922.53,
2024-08-19,921.26,951.99,921.26,949.48,949.48,
2024-08-20,952.5,977.93,946.98,949.99,949.99,
2024-08-21,950.08,959.27,944.47,954.76,954.76,
2024-08-22,955.88,961.77,947.77,950.88,950.88,
2024-08-23,953.28,982.03,943.46,966.67,966.67,
2024-08-26,973.18,981.95,967.13,971.28,971.28,
2024-08-27,973.99,976.98,962.35,966.12,966.12,
2024-08-28,970.19,996.87,967.63,990.65,990.65,
2024-08-29,987.92,998.67,979.59,995.83,995.83,
2024-08-30,1002.84,1041.56,992.89,1031.26,1031.26,
2024-09-02,1036.64,1048.21,1023.15,1027.87,1027.87,
2024-09-03,1028.51,1039.06,1019.88,1036.19,1036.19,
