date,open,high,low,close,adj_close,volume
2024-07-11,129.22,132.77,128.7,130.54,130.54,
2024-07-12,130.87,131.37,129.2,129.43,129.43,
2024-07-15,129.83,132.96,129.26,132.56,132.56,
2024-07-16,133.0,134.0,131.95,132.29,132.29,
2024-07-18,131.52,135.4,130.45,134.36,134.36,
2024-07-19,135.02,135.34,125.83,126.39,126.39,
2024-07-22,126.23,127.16,123.76,125.11,125.11,
2024-07-23,126.53,127.26,119.1,126.75,126.75,
2024-07-24,126.75,126.75,124.16,124.87,124.87,
2024-07-25,123.63,126.16,121.66,125.85,125.85,
2024-07-26,125.86,129.32,125.86,129.16,129.16,
2024-07-29,130.21,130.95,127.45,128.71,128.71,
2024-07-30,128.89,129.16,126.93,127.65,127.65,
2024-07-31,128.89,130.27,127.71,129.27,129.27,
2024-08-01,129.81,130.21,127.74,129.09,129.09,
2024-08-02,127.58,129.66,126.65,127.08,127.08,
2024-08-05,123.63,123.63,112.0,115.42,115.42,
2024-08-06,120.04,122.22,114.62,115.31,115.31,
2024-08-07,119.62,120.57,116.33,118.97,118.97,
2024-08-08,118.97,121.59,117.45,120.0,120.0,
2024-08-09,121.21,124.13,121.21,123.46,123.46,
2024-08-12,122.19,124.93,121.73,123.77,123.77,
2024-08-13,124.39,124.78,116.86,118.83,118.83,
2024-08-14,121.54,124.7,120.98,121.92,121.92,
2024-08-16,124.25,124.51,121.94,122.65,122.65,
2024-08-19,123.52,123.88,122.33,122.95,122.95,
2024-08-20,123.42,125.7,120.32,125.18,125.18,
2024-08-21,125.5,128.74,124.84,127.83,127.83,
2024-08-22,128.34,128.74,127.39,128.07,128.07,
2024-08-23,128.01,130.98,127.56,130.6,130.6,
2024-08-26,131.71,131.71,129.9,130.75,130.75,
2024-08-27,130.89,132.66,130.33,132.05,132.05,
2024-08-28,132.31,132.31,129.86,130.11,130.11,
2024-08-29,130.13,131.24,127.17,128.59,128.59,
2024-08-30,129.63,129.86,127.67,128.99,128.99,
2024-09-02,128.99,129.3,127.41,127.63,127.63,
2024-09-03,127.62,128.48,125.96,127.32,127.32,
2024-09-04,126.12,127.8,124.61,127.59,127.59,
2024-09-05,127.81,129.24,127.17,127.61,127.61,
2024-09-06,127.48,128.05,123.79,124.07,124.07,
2024-09-09,123.52,124.99,122.22,123.76,123.76,
2024-09-10,124.38,125.76,122.79,125.24,125.24,
2024-09-11,124.25,124.25,120.29,121.43,121.43,
2024-09-12,122.47,125.5,122.47,124.74,124.74,
2024-09-13,121.7,127.06,120.27,125.83,125.83,
2024-09-16,125.5,128.41,125.29,128.01,128.01,
2024-09-17,129.3,130.13,125.24,128.81,128.81,
2024-09-18,129.07,137.79,128.84,134.86,134.86,
2024-09-19,136.4,136.75,132.66,135.48,135.48,
2024-09-20,136.14,136.16,131.78,133.94,133.94,
2024-09-23,134.75,139.11,134.49,136.96,136.96,
2024-09-24,137.39,137.81,135.1,136.18,136.18,
2024-09-25,136.73,136.85,135.15,135.73,135.73,
2024-09-26,135.21,141.22,133.83,140.68,140.68,
2024-09-27,141.32,143.33,141.05,142.08,142.08,
2024-09-30,141.43,141.62,138.26,139.63,139.63,
2024-10-01,140.03,141.65,138.27,139.21,139.21,
2024-10-03,133.1,137.62,133.1,134.7,134.7,
2024-10-04,134.71,135.98,131.79,132.72,132.72,
2024-10-07,132.68,134.72,130.29,131.48,131.48,
2024-10-08,130.82,135.4,129.04,134.63,134.63,
2024-10-09,135.41,137.91,134.8,136.1,136.1,
2024-10-10,137.13,142.02,136.93,138.73,138.73,
2024-10-11,139.04,141.46,138.19,140.58,140.58,
2024-10-14,141.2,142.59,140.46,141.52,141.52,
2024-10-15,142.02,142.18,136.73,139.47,139.47,
2024-10-16,138.09,139.28,135.95,136.49,136.49,
2024-10-17,136.07,136.49,132.22,134.03,134.03,
2024-10-18,133.43,135.94,131.14,135.5,135.5,
2024-10-21,135.5,136.51,131.45,131.69,131.69,
2024-10-22,132.08,132.89,127.33,127.81,127.81,
2024-10-23,126.82,131.48,126.47,130.54,130.54,
2024-10-24,132.11,132.3,126.16,127.11,127.11,
2024-10-25,127.27,128.42,123.61,125.29,125.29,
2024-10-28,123.53,127.13,123.53,125.8,125.8,
2024-10-29,125.8,126.43,123.52,125.68,125.68,
2024-10-30,125.67,126.13,121.9,122.24,122.24,
2024-10-31,122.2,123.13,118.67,119.53,119.53,
2024-11-01,119.66,121.34,119.66,120.37,120.37,
2024-11-04,120.43,122.53,119.36,122.27,122.27,
2024-11-05,121.69,123.19,120.17,121.65,121.65,
2024-11-06,122.53,124.76,122.04,124.03,124.03,
2024-11-07,124.08,125.33,120.2,120.67,120.67,
2024-11-08,120.68,121.33,115.94,116.31,116.31,
2024-11-11,115.95,118.16,113.84,115.48,115.48,
2024-11-12,115.73,116.32,107.87,109.68,109.68,
2024-11-13,110.31,111.91,104.89,105.61,105.61,
2024-11-14,106.02,111.18,106.02,109.23,109.23,
2024-11-18,109.98,110.97,108.2,108.96,108.96,
2024-11-19,109.35,112.29,108.66,109.23,109.23,
2024-11-21,108.99,109.19,106.35,106.9,106.9,
2024-11-22,107.67,109.74,107.27,109.14,109.14,
2024-11-25,112.62,113.09,108.69,109.12,109.12,
2024-11-26,109.65,110.28,108.49,109.86,109.86,
2024-11-27,109.88,109.88,107.04,108.06,108.06,
2024-11-28,108.33,108.52,106.37,106.88,106.88,
2024-11-29,107.66,107.67,106.29,107.31,107.31,
2024-12-02,107.31,110.11,106.41,109.48,109.48,
2024-12-03,110.57,110.97,109.06,109.78,109.78,
2024-12-04,110.31,110.44,107.01,107.32,107.32,
2024-12-05,108.06,111.51,107.54,110.31,110.31,
2024-12-06,112.29,115.31,110.0,112.55,112.55,
2024-12-09,112.11,112.6,109.54,110.19,110.19,
2024-12-10,110.18,110.81,108.33,110.51,110.51,
2024-12-11,110.97,111.63,109.95,110.19,110.19,
2024-12-12,110.31,110.84,108.34,108.85,108.85,
2024-12-13,108.36,108.63,105.96,108.41,108.41,
2024-12-16,108.6,111.82,108.49,111.51,111.51,
2024-12-17,111.35,111.9,108.0,108.61,108.61,
2024-12-18,108.61,109.25,105.0,105.39,105.39,
2024-12-19,102.4,104.66,102.1,104.08,104.08,
2024-12-20,104.37,105.29,102.38,103.08,103.08,
2024-12-23,103.82,104.56,102.85,103.36,103.36,
2024-12-24,103.71,104.45,102.74,103.84,103.84,
2024-12-26,104.37,104.62,102.65,103.31,103.31,
2024-12-27,103.36,106.23,103.32,103.72,103.72,
2024-12-30,103.72,103.93,101.05,101.63,101.63,
2024-12-31,101.08,103.51,100.67,103.12,103.12,
2025-01-01,103.24,103.33,101.65,102.65,102.65,
2025-01-02,102.05,106.27,102.05,105.53,105.53,
2025-01-03,106.35,106.86,105.13,105.74,105.74,
2025-01-06,105.27,106.11,101.33,101.93,101.93,
2025-01-07,102.05,103.36,101.06,101.26,101.26,
2025-01-08,101.07,101.78,99.27,100.01,100.01,
2025-01-09,100.71,101.01,98.09,98.24,98.24,
2025-01-10,98.29,98.93,95.18,95.7,95.7,
2025-01-13,94.19,95.16,91.23,92.32,92.32,
2025-01-14,92.48,97.04,92.48,96.16,96.16,
2025-01-15,96.68,99.04,96.47,98.69,98.69,
2025-01-16,99.44,100.04,98.16,98.42,98.42,
2025-01-17,98.49,100.14,97.46,99.83,99.83,
2025-01-20,99.41,100.17,98.73,99.31,99.31,
2025-01-21,99.41,100.04,96.04,96.37,96.37,
2025-01-22,96.84,96.84,92.88,94.29,94.29,
2025-01-23,94.36,96.17,94.14,95.76,95.76,
2025-01-24,95.88,96.45,94.05,94.45,94.45,
2025-01-27,93.43,93.44,90.06,90.82,90.82,
2025-01-28,91.95,94.24,89.83,91.37,91.37,
2025-01-29,91.65,93.86,91.26,93.39,93.39,
2025-01-30,93.59,93.6,90.43,91.62,91.62,
2025-01-31,92.16,93.79,91.48,93.31,93.31,
2025-02-01,93.53,94.69,92.25,94.21,94.21,
2025-02-03,93.36,93.36,85.61,86.27,86.27,
2025-02-04,90.83,93.89,90.59,91.1,91.1,
2025-02-05,91.09,91.82,89.57,90.35,90.35,
2025-02-06,91.48,91.55,89.85,90.3,90.3,
2025-02-07,91.02,92.03,89.73,91.2,91.2,
2025-02-10,91.22,91.37,89.06,89.5,89.5,
2025-02-11,89.18,89.73,84.56,84.96,84.96,
2025-02-12,85.2,85.54,79.93,84.97,84.97,
2025-02-13,85.87,86.6,83.6,85.74,85.74,
2025-02-14,86.75,87.38,82.57,83.37,83.37,
2025-02-17,83.36,83.36,79.98,82.43,82.43,
2025-02-18,82.47,85.12,81.58,84.79,84.79,
2025-02-19,84.55,85.43,82.92,84.85,84.85,
2025-02-20,84.38,87.32,84.22,87.07,87.07,
2025-02-21,86.52,86.52,83.62,85.06,85.06,
2025-02-24,84.55,84.55,82.74,83.55,83.55,
2025-02-25,82.56,83.62,81.87,82.99,82.99,
2025-02-27,82.56,82.89,80.95,81.18,81.18,
2025-02-28,79.26,80.0,77.1,78.33,78.33,
2025-03-03,78.82,79.47,76.56,78.88,78.88,
2025-03-04,77.65,79.41,76.51,78.12,78.12,
2025-03-05,78.27,82.06,77.42,81.87,81.87,
2025-03-06,84.42,86.58,82.52,84.46,84.46,
2025-03-07,84.46,86.21,83.58,84.41,84.41,
2025-03-10,84.54,85.22,82.9,83.1,83.1,
2025-03-11,81.91,83.22,81.33,82.28,82.28,
2025-03-12,82.57,83.14,80.94,82.88,82.88,
2025-03-13,83.49,83.55,80.1,80.43,80.43,
2025-03-17,79.27,81.25,78.89,79.92,79.92,
2025-03-18,79.92,79.92,79.92,79.92,79.92,
2025-03-19,83.23,85.39,82.57,85.22,85.22,
2025-03-20,85.54,85.87,84.09,85.06,85.06,
2025-03-21,85.86,87.72,85.39,86.76,86.76,
2025-03-24,87.32,89.17,87.06,88.51,88.51,
2025-03-25,89.83,90.1,86.39,86.83,86.83,
2025-03-26,87.95,89.77,87.59,89.13,89.13,
2025-03-27,86.2,87.77,82.39,87.13,87.13,
2025-03-28,89.38,90.96,86.56,86.83,86.83,
2025-04-01,86.83,88.07,85.6,86.94,86.94,
2025-04-02,86.2,87.88,85.61,87.67,87.67,
2025-04-03,85.87,86.62,84.69,85.49,85.49,
