date,open,high,low,close,adj_close,volume
2024-07-11,526.21,530.84,523.65,524.59,524.59,345907
2024-07-12,526.85,533.89,522.67,524.15,524.15,510656
2024-07-15,524.15,527.1,508.89,521.98,521.98,834987
2024-07-16,531.53,555.84,531.53,542.21,542.21,1367232
2024-07-18,550.23,551.9,529.56,534.33,534.33,1104870
2024-07-19,534.33,536.89,519.96,523.85,523.85,355097
2024-07-22,525.87,529.81,514.4,525.57,525.57,321780
2024-07-23,526.56,540.39,499.59,536.2,536.2,879312
2024-07-24,541.86,563.42,539.4,559.14,559.14,763880
2024-07-25,557.12,574.64,546.29,568.24,568.24,1051064
2024-07-26,585.67,598.91,570.16,581.48,581.48,2251971
2024-07-29,590.59,601.91,581.63,597.18,597.18,1439978
2024-07-30,601.81,635.82,597.23,628.63,628.63,1689934
2024-07-31,629.12,656.54,626.47,648.12,648.12,1847129
2024-08-01,649.65,667.36,635.32,643.15,643.15,1506753
2024-08-02,630.06,657.37,626.42,647.04,647.04,900979
2024-08-05,614.26,639.8,588.62,605.01,605.01,1710334
2024-08-06,610.27,627.01,577.64,581.53,581.53,856433
2024-08-07,596.49,607.27,585.32,600.38,600.38,1116056
2024-08-08,600.43,602.94,583.65,586.36,586.36,525020
2024-08-09,595.51,602.15,590.98,597.77,597.77,578712
2024-08-12,593.98,600.28,587.54,591.67,591.67,456733
2024-08-13,591.67,595.51,568.93,575.82,575.82,410376
2024-08-14,580.84,598.46,580.84,593.1,593.1,775784
2024-08-16,597.87,618.84,593.54,613.37,613.37,1476847
2024-08-19,620.12,627.01,617.31,622.43,622.43,596056
2024-08-20,628.98,673.12,623.07,666.82,666.82,3049086
2024-08-21,666.38,705.26,654.67,683.95,683.95,2643719
2024-08-22,686.07,694.68,675.29,691.48,691.48,1021419
2024-08-23,692.81,693.55,678.29,685.52,685.52,718654
2024-08-26,690.99,762.84,689.17,748.18,748.18,6561169
2024-08-27,754.92,765.8,735.87,743.3,743.3,1568598
2024-08-28,748.82,757.92,726.08,732.72,732.72,1173835
2024-08-29,737.05,743.16,709.3,714.07,714.07,1039633
2024-08-30,716.63,722.73,697.88,708.8,708.8,1144273
2024-09-02,718.25,744.83,703.78,740.15,740.15,2235268
2024-09-03,744.83,754.33,735.72,745.96,745.96,1412876
