date,open,high,low,close,adj_close,volume
2024-07-11,2500.04,2520.98,2488.87,2510.14,2510.14,
2024-07-12,2562.99,2691.22,2558.53,2637.99,2637.99,
2024-07-15,2661.76,2714.75,2643.97,2683.23,2683.23,
2024-07-16,2657.89,2751.96,2651.08,2744.61,2744.61,
2024-07-18,2754.95,2803.97,2718.19,2777.75,2777.75,
2024-07-19,2833.38,2857.89,2772.35,2817.26,2817.26,
2024-07-22,2811.81,2878.24,2748.38,2868.43,2868.43,
2024-07-23,2868.43,2908.68,2787.06,2879.61,2879.61,
2024-07-24,2886.13,2891.91,2778.24,2813.63,2813.63,
2024-07-25,2774.61,2805.34,2735.49,2788.87,2788.87,
2024-07-26,2745.15,3020.59,2745.15,2970.45,2970.45,
2024-07-29,2980.45,2983.39,2838.29,2874.17,2874.17,
2024-07-30,2872.5,2872.5,2843.63,2857.94,2857.94,
2024-07-31,2845.15,2892.11,2819.9,2835.83,2835.83,
2024-08-01,2847.7,2892.16,2784.51,2799.07,2799.07,
2024-08-02,2799.07,2799.07,2714.75,2720.93,2720.93,
2024-08-05,2622.6,2656.47,2538.62,2600.29,2600.29,
2024-08-06,2598.09,2668.63,2580.49,2587.35,2587.35,
2024-08-07,2627.5,2679.12,2627.5,2672.6,2672.6,
2024-08-08,2670.64,2670.64,2585.49,2593.67,2593.67,
2024-08-09,2652.01,2711.37,2640.1,2667.2,2667.2,
2024-08-12,2647.11,2665.68,2610.83,2649.95,2649.95,
2024-08-13,2674.17,2674.17,2626.81,2643.72,2643.72,
2024-08-14,2655.93,2684.26,2638.09,2665.59,2665.59,
2024-08-16,2672.65,2861.33,2672.65,2853.92,2853.92,
2024-08-19,2875.54,2934.32,2865.05,2919.37,2919.37,
2024-08-20,2927.94,2977.46,2926.52,2950.0,2950.0,
2024-08-21,2941.28,2983.58,2922.65,2977.46,2977.46,
2024-08-22,2988.34,3091.23,2988.34,3005.59,3005.59,
2024-08-23,3004.96,3004.96,2922.6,2938.93,2938.93,
2024-08-26,2975.49,3060.84,2944.42,2960.59,2960.59,
2024-08-27,2964.81,3002.99,2931.77,2974.56,2974.56,
2024-08-28,2977.99,3070.59,2948.09,3028.93,3028.93,
2024-08-29,2995.69,3057.85,2992.21,3042.65,3042.65,
2024-08-30,3068.68,3068.68,3024.56,3044.12,3044.12,
2024-09-02,3044.12,3083.39,3030.94,3041.72,3041.72,
2024-09-03,3041.23,3103.0,3021.87,3064.12,3064.12,
2024-09-04,3003.04,3032.26,2952.26,3028.19,3028.19,
2024-09-05,3048.98,3055.94,3013.09,3027.21,3027.21,
2024-09-06,3037.11,3080.4,2975.54,2991.72,2991.72,
2024-09-09,2991.72,2992.21,2915.74,2935.05,2935.05,
2024-09-10,2970.64,3053.14,2950.35,3020.05,3020.05,
2024-09-11,3025.54,3056.28,2990.25,3006.52,3006.52,
2024-09-12,3047.11,3063.68,3014.22,3037.36,3037.36,
