date,open,high,low,close,adj_close,volume
2024-07-11,1786.94,1805.6,1786.06,1794.58,1794.58,
2024-07-12,1799.77,1826.71,1786.45,1809.13,1809.13,
2024-07-15,1818.14,1818.14,1791.98,1798.74,1798.74,
2024-07-16,1794.68,1830.33,1792.72,1797.27,1797.27,
2024-07-18,1824.21,1847.53,1788.6,1810.5,1810.5,
2024-07-19,1812.31,1812.31,1774.54,1803.74,1803.74,
2024-07-22,1793.01,1801.48,1764.85,1775.13,1775.13,
2024-07-23,1787.82,1788.75,1630.69,1698.62,1698.62,
2024-07-24,1699.75,1724.04,1681.09,1707.15,1707.15,
2024-07-25,1694.75,1714.3,1676.44,1707.0,1707.0,
2024-07-26,1714.35,1757.84,1705.97,1746.87,1746.87,
2024-07-29,1758.43,1776.85,1738.4,1744.76,1744.76,
2024-07-30,1746.67,1793.5,1730.56,1771.56,1771.56,
2024-07-31,1771.56,1809.52,1760.14,1800.65,1800.65,
2024-08-01,1812.31,1837.78,1794.38,1826.37,1826.37,
2024-08-02,1812.31,1856.39,1805.11,1839.4,1839.4,
2024-08-05,1826.07,1831.36,1766.32,1786.99,1786.99,
2024-08-06,1793.65,1802.51,1635.98,1751.52,1751.52,
2024-08-07,1775.52,1820.64,1755.98,1817.6,1817.6,
2024-08-08,1804.67,1825.14,1791.25,1810.4,1810.4,
2024-08-09,1812.55,1845.62,1809.91,1840.91,1840.91,
2024-08-12,1840.91,1865.45,1828.18,1851.59,1851.59,
2024-08-13,1861.29,1866.14,1805.21,1815.35,1815.35,
2024-08-14,1861.29,1861.34,1748.78,1779.44,1779.44,
2024-08-16,1779.44,1841.7,1758.43,1796.59,1796.59,
2024-08-19,1795.66,1822.94,1794.92,1802.86,1802.86,
2024-08-20,1802.86,1839.74,1796.39,1837.09,1837.09,
2024-08-21,1861.29,1909.19,1841.7,1876.52,1876.52,
2024-08-22,1880.05,1892.83,1863.15,1888.92,1888.92,
2024-08-23,1884.85,1893.03,1857.62,1862.07,1862.07,
2024-08-26,1871.04,1904.39,1864.96,1896.8,1896.8,
2024-08-27,1901.36,1960.82,1882.35,1945.78,1945.78,
2024-08-28,1944.56,1947.94,1887.74,1918.55,1918.55,
2024-08-29,1932.41,1939.66,1910.37,1933.54,1933.54,
2024-08-30,1933.83,1948.23,1920.12,1925.8,1925.8,
2024-09-02,1931.82,1938.68,1917.33,1924.97,1924.97,
2024-09-03,1948.28,1949.16,1903.02,1938.24,1938.24,
2024-09-04,1910.27,1947.5,1910.22,1918.11,1918.11,
2024-09-05,1920.07,1971.11,1913.46,1948.72,1948.72,
2024-09-06,1963.17,1963.17,1925.46,1936.28,1936.28,
2024-09-09,1937.16,1953.87,1926.44,1948.77,1948.77,
2024-09-10,1952.4,1960.67,1911.35,1919.82,1919.82,
2024-09-11,1919.09,1939.56,1903.41,1908.9,1908.9,
2024-09-12,1926.48,1949.7,1916.98,1945.93,1945.93,
2024-09-13,1993.54,2036.4,1959.25,1972.04,1972.04,
2024-09-16,1983.74,1991.29,1963.17,1972.58,1972.58,
2024-09-17,1977.92,1998.34,1950.88,1982.62,1982.62,
2024-09-18,1991.58,2001.87,1965.42,1975.91,1975.91,
2024-09-19,1988.54,2018.03,1968.22,1993.98,1993.98,
2024-09-20,1960.23,1974.05,1887.89,1949.11,1949.11,
2024-09-23,1963.17,1991.92,1945.78,1983.65,1983.65,
2024-09-24,1979.63,1988.64,1945.59,1950.44,1950.44,
2024-09-25,1973.41,2003.34,1945.73,2000.99,2000.99,
2024-09-26,2000.99,2017.05,1971.4,2005.79,2005.79,
2024-09-27,1993.64,2027.63,1990.8,2015.83,2015.83,
2024-09-30,2009.21,2022.93,1983.79,1990.45,1990.45,
