date,open,high,low,close,adj_close,volume
2024-07-11,649.15,654.33,641.81,643.35,643.35,414215
2024-07-12,643.4,651.47,637.46,640.99,640.99,1684615
2024-07-15,644.03,655.82,635.43,648.82,648.82,411128
2024-07-16,651.47,658.14,636.49,640.26,640.26,679402
2024-07-18,644.42,651.47,628.28,630.11,630.11,558109
2024-07-19,630.11,631.9,604.98,613.97,613.97,430800
2024-07-22,614.74,653.12,614.74,617.4,617.4,2384814
2024-07-23,623.59,640.36,560.23,607.4,607.4,2686007
2024-07-24,604.11,619.48,600.44,611.41,611.41,758700
2024-07-25,599.28,626.29,597.49,617.69,617.69,868815
2024-07-26,616.53,642.73,614.02,630.45,630.45,1955484
2024-07-29,649.54,649.54,626.05,629.1,629.1,1209618
2024-07-30,631.47,637.89,619.24,625.09,625.09,1398029
2024-07-31,625.18,637.89,620.93,623.44,623.44,702769
2024-08-01,626.73,650.85,625.42,636.25,636.25,1568574
2024-08-02,636.78,643.4,616.87,618.95,618.95,599317
2024-08-05,613.78,616.63,579.03,581.69,581.69,1075043
2024-08-06,591.55,603.14,577.05,581.16,581.16,635508
2024-08-07,598.31,615.23,584.1,614.07,614.07,781581
2024-08-08,617.21,628.28,607.98,621.56,621.56,756314
2024-08-09,623.54,639.39,610.88,637.7,637.7,1197134
2024-08-12,633.11,634.08,616.77,618.46,618.46,617906
2024-08-13,623.35,646.54,621.51,623.88,623.88,1562368
2024-08-14,623.93,642.15,613.78,617.64,617.64,821265
2024-08-16,624.31,668.1,624.31,663.89,663.89,3570929
2024-08-19,679.7,702.22,669.02,691.25,691.25,3908264
2024-08-20,696.95,699.22,670.42,680.47,680.47,1320879
2024-08-21,683.27,710.72,683.27,706.62,706.62,1037157
2024-08-22,712.27,714.74,688.25,692.84,692.84,665807
2024-08-23,691.1,699.61,680.47,683.76,683.76,517378
2024-08-26,689.94,694.78,673.41,676.51,676.51,577046
2024-08-27,681.39,689.56,673.32,674.67,674.67,640823
2024-08-28,678.25,691.88,671.87,673.22,673.22,454975
2024-08-29,676.6,678.54,650.51,654.18,654.18,649616
2024-08-30,661.04,664.72,644.85,650.56,650.56,1145374
2024-09-02,653.99,661.91,648.19,661.19,661.19,979648
2024-09-03,665.01,672.84,656.69,667.76,667.76,496505
2024-09-04,666.94,675.64,661.24,664.72,664.72,385421
2024-09-05,666.94,686.27,663.46,684.0,684.0,893559
2024-09-06,686.32,690.14,661.62,664.23,664.23,556681
2024-09-09,664.18,666.02,640.36,649.88,649.88,746567
2024-09-10,657.9,665.25,650.65,651.67,651.67,626347
2024-09-11,655.05,663.31,648.96,652.83,652.83,428468
2024-09-12,656.69,660.8,644.66,649.88,649.88,598760
2024-09-13,651.18,661.38,649.06,651.52,651.52,568517
2024-09-16,651.57,655.97,642.58,645.19,645.19,299417
2024-09-17,646.59,648.38,632.87,636.35,636.35,359369
2024-09-18,636.64,649.2,635.57,646.35,646.35,421526
2024-09-19,650.94,654.66,618.37,630.5,630.5,937542
2024-09-20,637.84,648.14,629.39,643.02,643.02,1336231
2024-09-23,648.62,674.62,644.9,671.19,671.19,1415118
2024-09-24,670.85,672.74,657.85,659.69,659.69,493509
2024-09-25,666.94,674.67,662.44,665.34,665.34,608339
2024-09-26,667.37,667.37,645.67,651.72,651.72,691644
2024-09-27,651.72,664.67,628.57,635.82,635.82,1643965
2024-09-30,639.34,642.48,625.71,629.77,629.77,477686
2024-10-01,633.5,667.52,631.42,662.35,662.35,1083315
2024-10-03,649.15,656.21,631.66,637.02,637.02,1081956
2024-10-04,643.74,658.19,630.64,637.22,637.22,1228661
2024-10-07,646.64,646.64,607.01,609.96,609.96,906027
2024-10-08,608.94,618.61,604.11,612.28,612.28,935890
2024-10-09,626.34,635.96,619.96,623.54,623.54,1496845
2024-10-10,628.18,632.34,617.64,619.87,619.87,799783
2024-10-11,624.65,684.77,622.77,676.85,676.85,3744808
2024-10-14,676.85,686.13,661.86,673.8,673.8,1147065
2024-10-15,678.54,691.1,673.9,683.42,683.42,1013912
2024-10-16,683.47,723.58,680.47,694.68,694.68,4216892
2024-10-17,695.94,702.65,676.51,683.95,683.95,623526
2024-10-18,683.32,691.97,665.92,679.89,679.89,900554
2024-10-21,679.89,692.36,674.67,677.96,677.96,461539
2024-10-22,681.39,684.05,633.11,637.75,637.75,1281673
2024-10-23,637.94,671.68,633.21,667.04,667.04,1220147
2024-10-24,666.94,670.76,640.94,656.5,656.5,944051
2024-10-25,674.62,715.27,647.61,658.77,658.77,4598214
2024-10-28,661.19,679.94,648.14,655.15,655.15,838243
2024-10-29,657.18,660.61,641.71,648.28,648.28,882099
2024-10-30,649.15,673.66,645.67,663.75,663.75,982748
2024-10-31,663.41,686.27,663.02,684.53,684.53,1310313
2024-11-01,688.2,695.94,686.27,689.61,689.61,177784
2024-11-04,691.68,691.68,672.11,679.7,679.7,890257
2024-11-05,681.24,695.89,676.85,693.86,693.86,954874
2024-11-06,699.28,728.22,693.03,720.2,720.2,1467693
2024-11-07,718.29,722.06,694.05,702.85,702.85,926007
2024-11-08,706.42,706.42,682.62,687.36,687.36,655518
2024-11-11,687.36,695.13,679.34,681.84,681.84,484832
2024-11-12,685.4,701.82,671.43,676.41,676.41,1209270
2024-11-13,674.26,684.23,646.26,654.95,654.95,668242
2024-11-14,651.0,672.35,650.26,664.63,664.63,459926
2024-11-18,657.45,672.89,646.01,662.19,662.19,469603
2024-11-19,662.14,686.18,659.79,672.01,672.01,608890
2024-11-21,672.4,674.36,654.08,659.74,659.74,546318
2024-11-22,660.43,670.55,659.01,663.9,663.9,623734
2024-11-25,683.11,688.43,672.5,678.51,678.51,812423
2024-11-26,681.3,692.05,675.73,689.95,689.95,667205
2024-11-27,689.95,700.75,679.44,681.05,681.05,426495
2024-11-28,681.2,691.02,672.55,675.48,675.48,318683
2024-11-29,678.76,680.76,663.21,670.06,670.06,410545
2024-12-02,670.01,679.15,657.84,662.92,662.92,933274
2024-12-03,666.54,676.36,661.36,666.98,666.98,857192
2024-12-04,666.98,694.0,665.76,691.76,691.76,1748889
2024-12-05,692.93,702.8,687.16,691.17,691.17,1183624
2024-12-06,691.76,707.69,683.4,702.9,702.9,864843
2024-12-09,700.11,726.26,690.78,718.0,718.0,1940671
2024-12-10,723.57,794.68,715.7,787.74,787.74,9867184
2024-12-11,794.54,797.86,766.39,771.91,771.91,2264700
2024-12-12,771.66,773.13,756.81,759.69,759.69,995346
2024-12-13,758.66,785.01,746.25,755.63,755.63,1593605
