date,open,high,low,close,adj_close,volume
2024-07-11,183.47,184.03,180.69,181.32,181.32,
2024-07-12,181.51,183.8,178.23,180.1,180.1,
2024-07-15,180.5,183.42,177.55,181.11,181.11,
2024-07-16,181.11,185.22,180.65,182.18,182.18,
2024-07-18,181.46,181.46,174.58,175.26,175.26,
2024-07-19,174.3,174.49,167.55,169.86,169.86,
2024-07-22,168.1,176.4,166.28,173.88,173.88,
2024-07-23,173.89,174.71,159.26,168.81,168.81,
2024-07-24,168.24,171.98,167.57,170.08,170.08,
2024-07-25,166.87,168.75,165.32,167.85,167.85,
2024-07-26,167.88,174.39,167.88,172.75,172.75,
2024-07-29,174.08,176.49,172.49,174.74,174.74,
2024-07-30,174.49,175.4,172.37,174.49,174.49,
2024-07-31,174.81,177.75,173.39,177.06,177.06,
2024-08-01,178.95,182.69,173.79,175.74,175.74,
2024-08-02,172.07,172.69,168.01,168.84,168.84,
2024-08-05,163.18,163.53,156.18,157.66,157.66,
2024-08-06,161.31,162.82,156.85,157.37,157.37,
2024-08-07,161.81,164.46,159.44,163.49,163.49,
2024-08-08,163.18,163.46,156.98,157.41,157.41,
2024-08-09,160.36,162.73,157.76,161.59,161.59,
2024-08-12,160.8,161.98,154.45,158.82,158.82,
2024-08-13,159.99,160.36,154.13,154.87,154.87,
2024-08-14,155.8,157.58,148.74,150.5,150.5,
2024-08-16,154.07,156.06,149.82,150.54,150.54,
2024-08-19,152.15,157.26,150.28,156.23,156.23,
2024-08-20,159.16,159.26,153.37,156.86,156.86,
2024-08-21,156.08,157.71,154.79,155.69,155.69,
2024-08-22,156.53,157.26,154.98,156.21,156.21,
2024-08-23,156.34,158.57,154.84,157.86,157.86,
2024-08-26,160.95,166.33,159.83,165.9,165.9,
2024-08-27,166.56,170.47,165.46,169.13,169.13,
2024-08-28,169.21,170.24,166.65,168.25,168.25,
2024-08-29,166.83,167.14,163.69,166.58,166.58,
2024-08-30,167.19,168.6,165.92,166.46,166.46,
2024-09-02,166.78,166.83,162.09,162.82,162.82,
