date,open,high,low,close,adj_close,volume
2024-07-11,1343.92,1357.97,1301.16,1310.04,1310.04,
2024-07-12,1315.94,1370.58,1315.3,1359.08,1359.08,
2024-07-15,1360.76,1381.56,1348.5,1354.47,1354.47,
2024-07-16,1366.51,1366.69,1335.26,1349.27,1349.27,
2024-07-18,1349.85,1383.54,1349.85,1373.09,1373.09,
2024-07-19,1377.05,1400.37,1343.3,1352.36,1352.36,
2024-07-22,1351.84,1389.89,1339.74,1372.58,1372.58,
2024-07-23,1372.58,1384.04,1328.44,1365.76,1365.76,
2024-07-24,1357.79,1389.28,1352.82,1376.08,1376.08,
2024-07-25,1366.7,1392.63,1352.14,1389.2,1389.2,
2024-07-26,1394.43,1428.11,1388.02,1423.63,1423.63,
2024-07-29,1437.43,1440.51,1404.71,1408.26,1408.26,
2024-07-30,1410.45,1415.93,1386.64,1390.77,1390.77,
2024-07-31,1394.58,1410.17,1390.03,1394.24,1394.24,
2024-08-01,1399.74,1406.69,1362.15,1369.87,1369.87,
2024-08-02,1365.02,1453.86,1358.04,1432.58,1432.58,
2024-08-05,1388.84,1417.39,1351.15,1383.62,1383.62,
2024-08-06,1388.83,1413.63,1345.58,1349.93,1349.93,
2024-08-07,1368.99,1405.48,1356.94,1398.48,1398.48,
2024-08-08,1397.76,1398.96,1367.41,1371.49,1371.49,
2024-08-09,1391.97,1438.43,1381.73,1431.39,1431.39,
2024-08-12,1448.35,1448.35,1402.77,1424.28,1424.28,
2024-08-13,1432.44,1447.36,1396.58,1408.34,1408.34,
2024-08-14,1408.67,1452.12,1402.35,1435.8,1435.8,
2024-08-16,1455.3,1476.13,1433.47,1471.73,1471.73,
2024-08-19,1471.73,1480.72,1460.47,1466.89,1466.89,
2024-08-20,1466.89,1474.79,1460.85,1469.73,1469.73,
2024-08-21,1469.73,1474.92,1463.24,1469.7,1469.7,
2024-08-22,1477.12,1501.93,1452.72,1477.01,1477.01,
2024-08-23,1477.01,1477.6,1451.14,1466.72,1466.72,
2024-08-26,1465.74,1495.78,1465.74,1487.81,1487.81,
2024-08-27,1487.81,1494.71,1479.31,1486.83,1486.83,
2024-08-28,1486.83,1515.94,1482.64,1512.37,1512.37,
2024-08-29,1507.68,1527.71,1498.15,1524.32,1524.32,
2024-08-30,1524.32,1532.67,1511.85,1523.51,1523.51,
