date,open,high,low,close,adj_close,volume
2024-07-11,123.29,128.21,122.05,127.17,127.17,73131990
2024-07-12,127.42,129.19,123.88,124.47,124.47,46663893
2024-07-15,124.93,125.65,122.18,123.35,123.35,26551347
2024-07-16,123.55,127.16,121.32,121.7,121.7,41340081
2024-07-18,121.7,122.31,115.68,117.11,117.11,31610346
2024-07-19,115.62,118.99,112.14,112.71,112.71,37966545
2024-07-22,111.49,122.47,110.67,121.32,121.32,65763505
2024-07-23,121.95,122.5,98.47,116.25,116.25,92121924
2024-07-24,116.01,120.6,115.02,118.79,118.79,33580444
2024-07-25,116.86,119.36,114.11,115.0,115.0,29558314
2024-07-26,115.62,117.97,113.67,114.45,114.45,35797536
2024-07-29,115.09,123.82,114.0,123.03,123.03,77476035
2024-07-30,123.03,124.83,120.73,121.05,121.05,38516814
2024-07-31,121.49,122.24,118.25,118.84,118.84,22297161
2024-08-01,119.82,121.51,116.93,117.71,117.71,24024547
2024-08-02,115.75,120.34,114.31,119.23,119.23,30120447
2024-08-05,113.98,115.58,109.3,110.09,110.09,41287009
2024-08-06,111.49,114.67,106.9,107.41,107.41,26369235
2024-08-07,110.67,113.13,108.35,112.34,112.34,21836148
2024-08-08,112.36,113.72,110.28,110.88,110.88,17733897
2024-08-09,111.8,123.55,111.19,121.19,121.19,145791906
2024-08-12,120.64,123.72,118.77,119.21,119.21,59803599
2024-08-13,119.91,120.31,112.89,113.66,113.66,34956403
2024-08-14,115.09,117.32,113.62,113.86,113.86,41584089
2024-08-16,115.75,121.47,113.73,119.87,119.87,35765364
2024-08-19,120.43,126.8,119.83,121.11,121.11,84199500
2024-08-20,121.78,124.4,119.36,120.61,120.61,38491776
2024-08-21,120.47,121.04,118.31,119.21,119.21,19625559
2024-08-22,119.68,121.77,118.33,119.28,119.28,24805288
2024-08-23,119.49,120.64,116.47,116.86,116.86,17377597
2024-08-26,118.11,118.57,115.14,115.42,115.42,14904096
2024-08-27,115.87,117.59,115.53,116.5,116.5,12746905
2024-08-28,122.7,137.56,122.11,128.35,128.35,446049436
2024-08-29,129.19,134.89,126.73,127.76,127.76,174557769
2024-08-30,128.83,130.11,121.46,122.22,122.22,95443672
2024-09-02,124.28,125.91,121.98,123.02,123.02,67436197
2024-09-03,123.54,123.59,121.89,122.42,122.42,18806166
2024-09-04,120.05,123.68,120.05,121.17,121.17,23794719
2024-09-05,121.82,121.85,119.23,119.62,119.62,12885960
2024-09-06,119.77,120.01,116.68,117.61,117.61,19506184
2024-09-09,116.97,117.14,113.52,114.29,114.29,23438521
2024-09-10,114.8,119.76,114.77,118.7,118.7,24638568
2024-09-11,118.91,118.91,114.93,115.63,115.63,14743015
2024-09-12,116.49,120.86,116.49,118.68,118.68,34717224
2024-09-13,119.15,120.69,117.51,117.97,117.97,16969612
2024-09-16,118.13,118.67,115.83,116.05,116.05,11986888
2024-09-17,115.69,118.39,114.28,117.25,117.25,15524307
2024-09-18,116.87,118.09,115.03,115.29,115.29,10474980
2024-09-19,116.09,116.74,111.35,113.01,113.01,15913452
2024-09-20,113.45,116.14,112.34,114.55,114.55,15027586
2024-09-23,115.2,117.47,114.25,116.34,116.34,14016858
2024-09-24,116.82,116.82,114.24,114.65,114.65,7796161
2024-09-25,114.65,114.83,113.19,113.39,113.39,7216053
2024-09-26,113.22,113.72,110.56,111.27,111.27,12461667
2024-09-27,111.84,118.06,111.52,116.75,116.75,20615419
2024-09-30,117.14,118.67,114.84,117.99,117.99,17611506
2024-10-01,118.45,119.57,116.94,118.58,118.58,11780326
2024-10-03,115.23,117.01,100.19,112.25,112.25,20916118
2024-10-04,112.99,114.78,107.35,111.22,111.22,19936246
2024-10-07,116.58,118.26,109.57,114.34,114.34,22149030
2024-10-08,113.67,114.51,108.96,113.8,113.8,7673783
2024-10-09,114.16,115.89,113.89,114.66,114.66,5609715
2024-10-10,114.9,116.48,112.56,115.47,115.47,9336602
2024-10-11,115.89,116.23,112.28,112.59,112.59,6953397
2024-10-14,112.6,113.11,110.56,111.76,111.76,4309825
2024-10-15,110.07,111.82,109.25,111.21,111.21,4192713
2024-10-16,110.56,112.19,110.09,111.31,111.31,4194334
2024-10-17,111.31,111.77,108.09,108.88,108.88,3361952
2024-10-18,107.35,108.14,105.23,106.58,106.58,4531607
2024-10-21,106.49,106.99,100.69,101.26,101.26,6793852
2024-10-22,99.86,100.19,94.86,95.4,95.4,15613437
2024-10-23,95.4,98.31,91.74,93.34,93.34,13709569
2024-10-24,93.33,94.27,90.52,91.08,91.08,10529971
2024-10-25,90.8,91.35,86.33,86.78,86.78,12734279
2024-10-28,86.43,93.18,84.11,92.11,92.11,17785638
2024-10-29,93.48,94.12,90.01,92.76,92.76,10837160
2024-10-30,92.34,97.59,91.85,95.89,95.89,14376765
2024-10-31,95.55,96.74,94.3,95.94,95.94,7115804
2024-11-01,96.64,99.6,96.29,98.68,98.68,4001836
2024-11-04,99.5,100.39,95.21,96.55,96.55,8543836
2024-11-05,95.28,96.44,94.04,95.61,95.61,8850092
2024-11-06,96.29,100.58,96.29,100.13,100.13,9457810
2024-11-07,100.49,100.49,98.02,98.33,98.33,6924509
2024-11-08,97.72,98.11,95.27,95.77,95.77,3825063
2024-11-11,94.76,95.21,92.7,93.33,93.33,5097204
2024-11-12,93.48,95.16,90.93,92.26,92.26,5050522
2024-11-13,90.93,92.07,87.18,88.36,88.36,9326900
