date,open,high,low,close,adj_close,volume
2024-07-11,1283.69,1289.37,1256.1,1270.56,1270.56,
2024-07-12,1276.34,1283.61,1266.95,1278.3,1278.3,
2024-07-15,1278.32,1283.44,1272.42,1276.39,1276.39,
2024-07-16,1281.68,1288.69,1264.18,1283.0,1283.0,
2024-07-18,1267.11,1296.59,1267.11,1292.72,1292.72,
2024-07-19,1296.56,1301.8,1272.74,1278.35,1278.35,
2024-07-22,1278.35,1294.17,1262.34,1273.16,1273.16,
2024-07-23,1277.74,1282.61,1254.81,1270.33,1270.33,
2024-07-24,1270.06,1270.06,1239.41,1250.58,1250.58,
2024-07-25,1252.25,1258.08,1210.25,1220.68,1220.68,
2024-07-26,1226.56,1226.56,1206.34,1218.84,1218.84,
2024-07-29,1222.13,1223.78,1210.03,1215.59,1215.59,
2024-07-30,1215.61,1220.56,1206.09,1209.36,1209.36,
2024-07-31,1215.44,1218.89,1206.58,1208.72,1208.72,
2024-08-01,1212.98,1226.41,1208.72,1222.33,1222.33,
2024-08-02,1220.36,1237.09,1212.98,1227.79,1227.79,
2024-08-05,1224.3,1244.42,1217.93,1235.57,1235.57,
2024-08-06,1237.04,1243.98,1230.7,1234.39,1234.39,
2024-08-07,1239.33,1244.45,1235.25,1241.42,1241.42,
2024-08-08,1239.33,1242.51,1219.38,1224.84,1224.84,
2024-08-09,1233.45,1236.06,1225.38,1232.52,1232.52,
2024-08-12,1231.09,1235.1,1214.63,1216.97,1216.97,
2024-08-13,1217.41,1226.27,1217.16,1222.67,1222.67,
2024-08-14,1223.76,1226.24,1210.82,1217.7,1217.7,
2024-08-16,1225.28,1246.66,1216.11,1242.73,1242.73,
2024-08-19,1244.97,1252.84,1230.47,1231.75,1231.75,
2024-08-20,1235.42,1243.0,1229.74,1239.31,1239.31,
2024-08-21,1244.92,1257.27,1240.86,1255.67,1255.67,
2024-08-22,1262.19,1262.21,1252.35,1255.3,1255.3,
2024-08-23,1255.28,1255.47,1240.05,1244.57,1244.57,
2024-08-26,1244.57,1252.35,1234.12,1239.82,1239.82,
2024-08-27,1244.3,1246.34,1235.86,1240.76,1240.76,
2024-08-28,1239.55,1239.55,1225.28,1226.51,1226.51,
2024-08-29,1229.66,1239.77,1225.6,1232.44,1232.44,
2024-08-30,1232.44,1238.72,1226.17,1230.57,1230.57,
2024-09-02,1230.2,1238.08,1228.75,1235.08,1235.08,
2024-09-03,1231.19,1259.24,1231.19,1245.34,1245.34,
2024-09-04,1242.53,1250.6,1236.95,1247.3,1247.3,
2024-09-05,1247.3,1247.43,1226.34,1232.61,1232.61,
2024-09-06,1234.44,1239.68,1224.32,1231.78,1231.78,
2024-09-09,1227.82,1240.05,1224.67,1238.45,1238.45,
2024-09-10,1244.47,1253.77,1237.09,1247.67,1247.67,
2024-09-11,1253.33,1260.52,1239.77,1243.42,1243.42,
2024-09-12,1244.92,1249.89,1224.3,1243.91,1243.91,
2024-09-13,1244.97,1260.22,1244.1,1245.65,1245.65,
2024-09-16,1244.97,1257.56,1230.2,1254.61,1254.61,
2024-09-17,1255.37,1272.18,1249.25,1253.26,1253.26,
2024-09-18,1254.78,1279.95,1252.84,1278.01,1278.01,
2024-09-19,1280.89,1317.3,1278.01,1296.24,1296.24,
2024-09-20,1301.06,1330.71,1294.74,1328.4,1328.4,
2024-09-23,1331.15,1343.31,1323.7,1341.0,1341.0,
2024-09-24,1340.92,1361.49,1315.83,1326.85,1326.85,
2024-09-25,1321.36,1330.88,1308.47,1327.32,1327.32,
2024-09-26,1332.53,1359.35,1332.53,1355.93,1355.93,
2024-09-27,1353.22,1367.0,1343.87,1351.11,1351.11,
2024-09-30,1338.46,1348.3,1321.14,1323.67,1323.67,
2024-10-01,1323.7,1333.54,1315.28,1332.09,1332.09,
2024-10-03,1321.24,1326.16,1304.19,1316.24,1316.24,
2024-10-04,1310.41,1317.97,1274.64,1278.5,1278.5,
2024-10-07,1281.85,1289.25,1263.12,1266.54,1266.54,
2024-10-08,1264.94,1276.46,1255.6,1270.43,1270.43,
2024-10-09,1269.08,1269.57,1214.92,1238.08,1238.08,
2024-10-10,1244.47,1245.8,1233.16,1236.33,1236.33,
2024-10-11,1240.05,1241.03,1228.28,1236.01,1236.01,
2024-10-14,1239.9,1239.9,1226.83,1231.21,1231.21,
2024-10-15,1231.21,1231.21,1216.43,1222.45,1222.45,
2024-10-16,1225.28,1226.78,1196.47,1211.63,1211.63,
2024-10-17,1217.88,1217.88,1163.77,1170.51,1170.51,
2024-10-18,1171.15,1172.95,1144.63,1156.51,1156.51,
2024-10-21,1161.31,1168.2,1148.03,1158.68,1158.68,
2024-10-22,1158.61,1173.61,1151.5,1156.51,1156.51,
2024-10-23,1156.42,1168.64,1141.68,1145.15,1145.15,
2024-10-24,1150.98,1151.47,1090.45,1111.44,1111.44,
2024-10-25,1116.53,1125.14,1110.63,1112.45,1112.45,
2024-10-28,1117.49,1141.14,1110.16,1118.03,1118.03,
2024-10-29,1121.95,1124.8,1112.47,1115.75,1115.75,
2024-10-30,1121.33,1130.43,1112.2,1120.12,1120.12,
2024-10-31,1125.39,1125.39,1112.1,1113.56,1113.56,
2024-11-01,1128.29,1128.32,1116.21,1123.08,1123.08,
2024-11-04,1123.42,1125.39,1097.78,1105.31,1105.31,
2024-11-05,1110.14,1115.99,1100.44,1113.31,1113.31,
2024-11-06,1116.04,1121.8,1111.14,1119.78,1119.78,
2024-11-07,1118.5,1124.33,1103.1,1113.51,1113.51,
2024-11-08,1117.03,1130.8,1111.51,1129.65,1129.65,
2024-11-11,1121.95,1129.25,1109.25,1121.48,1121.48,
2024-11-12,1127.09,1127.09,1102.75,1110.23,1110.23,
2024-11-13,1102.88,1108.14,1093.4,1099.93,1099.93,
2024-11-14,1101.8,1104.7,1071.95,1074.12,1074.12,
2024-11-18,1078.0,1091.9,1067.18,1089.07,1089.07,
2024-11-19,1094.88,1104.06,1084.5,1089.54,1089.54,
2024-11-21,1085.31,1107.18,1076.18,1088.09,1088.09,
2024-11-22,1089.57,1108.59,1084.65,1105.85,1105.85,
2024-11-25,1111.39,1123.74,1105.34,1110.6,1110.6,
2024-11-26,1117.02,1125.86,1107.43,1114.69,1114.69,
2024-11-27,1120.27,1120.37,1107.4,1118.97,1118.97,
2024-11-28,1119.02,1126.62,1096.36,1100.42,1100.42,
2024-11-29,1095.87,1113.58,1095.87,1099.63,1099.63,
2024-12-02,1103.64,1110.63,1093.95,1108.09,1108.09,
2024-12-03,1113.09,1115.47,1107.18,1112.94,1112.94,
2024-12-04,1112.6,1119.49,1102.98,1111.02,1111.02,
2024-12-05,1111.02,1120.47,1092.91,1114.81,1114.81,
2024-12-06,1115.28,1127.83,1109.69,1115.94,1115.94,
2024-12-09,1117.02,1120.27,1089.3,1096.78,1096.78,
2024-12-10,1096.85,1102.26,1087.5,1089.69,1089.69,
2024-12-11,1094.88,1109.15,1093.9,1102.78,1102.78,
2024-12-12,1107.16,1109.15,1090.01,1094.41,1094.41,
2024-12-13,1094.88,1111.05,1086.64,1108.91,1108.91,
2024-12-16,1108.91,1110.87,1096.63,1101.65,1101.65,
2024-12-17,1095.37,1099.29,1082.58,1084.03,1084.03,
2024-12-18,1084.03,1089.44,1072.98,1076.7,1076.7,
2024-12-19,1075.2,1079.75,1056.7,1063.09,1063.09,
2024-12-20,1062.9,1070.28,1055.71,1064.62,1064.62,
2024-12-23,1067.82,1072.74,1056.84,1058.76,1058.76,
2024-12-24,1058.81,1070.28,1058.81,1066.19,1066.19,
2024-12-26,1062.01,1070.77,1056.2,1057.93,1057.93,
2024-12-27,1062.4,1067.35,1058.47,1065.65,1065.65,
2024-12-30,1069.79,1071.26,1057.48,1062.85,1062.85,
2024-12-31,1060.44,1070.06,1056.87,1067.84,1067.84,
2025-01-01,1067.82,1072.37,1061.57,1067.45,1067.45,
2025-01-02,1067.32,1086.39,1064.45,1082.68,1082.68,
2025-01-03,1082.68,1101.25,1081.62,1098.67,1098.67,
2025-01-06,1103.98,1104.67,1067.82,1075.2,1075.2,
2025-01-07,1077.76,1090.6,1072.69,1088.8,1088.8,
2025-01-08,1093.9,1094.86,1079.9,1092.37,1092.37,
2025-01-09,1090.18,1117.91,1084.57,1110.16,1110.16,
2025-01-10,1118.03,1120.96,1102.88,1106.15,1106.15,
2025-01-13,1104.72,1112.67,1093.18,1100.96,1100.96,
2025-01-14,1107.77,1110.43,1082.21,1091.95,1091.95,
2025-01-15,1091.95,1092.47,1068.9,1082.41,1082.41,
2025-01-16,1085.09,1091.56,1061.17,1067.47,1067.47,
2025-01-17,1073.06,1095.55,1069.07,1091.04,1091.04,
2025-01-20,1092.03,1094.88,1083.74,1089.47,1089.47,
2025-01-21,1094.88,1102.26,1078.42,1080.83,1080.83,
2025-01-22,1080.83,1088.95,1079.7,1086.42,1086.42,
2025-01-23,1079.7,1087.3,1065.36,1082.06,1082.06,
2025-01-24,1083.56,1093.77,1077.71,1086.47,1086.47,
2025-01-27,1073.75,1098.28,1067.13,1070.15,1070.15,
2025-01-28,1070.15,1073.65,1054.33,1061.08,1061.08,
2025-01-29,1061.08,1075.15,1048.75,1073.08,1073.08,
2025-01-30,1077.17,1098.67,1073.08,1091.12,1091.12,
2025-01-31,1091.12,1174.6,1087.25,1138.28,1138.28,
2025-02-01,1138.18,1168.2,1110.75,1145.17,1145.17,
2025-02-03,1145.17,1168.2,1137.54,1140.2,1140.2,
2025-02-04,1142.81,1143.01,1123.77,1131.52,1131.52,
2025-02-05,1123.82,1130.75,1095.0,1106.67,1106.67,
2025-02-06,1116.53,1116.53,1095.87,1101.99,1101.99,
2025-02-07,1106.35,1108.33,1093.25,1101.94,1101.94,
2025-02-10,1106.85,1115.51,1092.58,1099.94,1099.94,
2025-02-11,1099.94,1105.41,1078.59,1087.28,1087.28,
2025-02-12,1096.45,1096.45,1075.5,1086.42,1086.42,
2025-02-13,1086.42,1094.56,1075.97,1078.39,1078.39,
2025-02-14,1078.39,1101.89,1074.68,1087.46,1087.46,
2025-02-17,1087.46,1099.42,1074.66,1097.68,1097.68,
2025-02-18,1097.68,1104.12,1089.49,1100.61,1100.61,
2025-02-19,1092.48,1101.4,1088.3,1091.96,1091.96,
2025-02-20,1091.96,1096.92,1082.97,1092.85,1092.85,
2025-02-21,1097.91,1098.48,1084.21,1096.92,1096.92,
2025-02-24,1089.02,1108.26,1087.56,1099.61,1099.61,
2025-02-25,1100.63,1117.44,1096.37,1114.47,1114.47,
2025-02-27,1119.32,1130.02,1114.27,1128.24,1128.24,
