date,open,high,low,close,adj_close,volume
2024-07-11,104.3,109.11,103.88,108.71,108.71,
2024-07-12,109.6,111.46,107.26,107.71,107.71,
2024-07-15,108.45,112.84,106.41,110.37,110.37,
2024-07-16,110.75,111.79,107.69,107.89,107.89,
2024-07-18,108.12,109.22,102.45,103.21,103.21,
2024-07-19,103.36,104.57,100.54,101.28,101.28,
2024-07-22,100.83,103.55,99.4,102.26,102.26,
2024-07-23,103.1,103.76,92.13,98.88,98.88,
2024-07-24,98.52,100.86,97.04,97.57,97.57,
2024-07-25,96.64,98.92,96.26,97.17,97.17,
2024-07-26,98.64,102.35,98.64,99.71,99.71,
2024-07-29,100.31,100.81,99.36,100.41,100.41,
2024-07-30,100.41,101.64,100.31,100.53,100.53,
2024-07-31,100.54,101.0,99.83,100.11,100.11,
2024-08-01,100.73,101.31,98.92,100.12,100.12,
2024-08-02,98.16,99.07,97.55,98.46,98.46,
2024-08-05,95.3,96.49,93.14,93.69,93.69,
2024-08-06,94.35,96.73,92.84,93.22,93.22,
2024-08-07,96.26,96.83,93.42,95.83,95.83,
2024-08-08,95.49,95.49,93.64,94.14,94.14,
2024-08-09,94.62,95.11,92.82,93.18,93.18,
2024-08-12,92.77,93.11,91.43,92.79,92.79,
2024-08-13,92.92,93.68,90.66,91.12,91.12,
2024-08-14,91.6,92.01,89.13,89.74,89.74,
2024-08-16,90.14,90.9,88.61,90.17,90.17,
2024-08-19,90.67,93.25,90.52,92.14,92.14,
2024-08-20,92.68,92.9,91.82,92.73,92.73,
2024-08-21,91.34,92.54,91.34,91.9,91.9,
2024-08-22,92.34,94.02,92.06,93.81,93.81,
2024-08-23,94.31,94.45,92.92,93.0,93.0,
2024-08-26,93.49,95.12,92.35,92.58,92.58,
2024-08-27,92.54,92.88,90.81,91.03,91.03,
2024-08-28,91.1,91.94,90.74,91.06,91.06,
2024-08-29,91.0,93.21,90.83,91.02,91.02,
2024-08-30,91.48,93.64,89.17,92.08,92.08,
2024-09-02,95.79,96.27,93.34,93.72,93.72,
2024-09-03,93.88,95.17,93.17,94.9,94.9,
2024-09-04,94.64,95.12,93.8,94.59,94.59,
2024-09-05,94.74,94.82,93.45,94.08,94.08,
2024-09-06,93.87,94.29,91.48,92.05,92.05,
2024-09-09,91.96,92.01,89.86,90.88,90.88,
2024-09-10,91.18,92.23,90.88,91.05,91.05,
2024-09-11,91.05,91.84,90.14,90.41,90.41,
2024-09-12,91.19,91.86,90.67,91.29,91.29,
2024-09-13,91.67,92.44,90.04,90.31,90.31,
2024-09-16,90.71,92.9,90.52,92.14,92.14,
2024-09-17,92.34,92.34,91.17,91.48,91.48,
2024-09-18,91.1,91.91,90.1,90.42,90.42,
2024-09-19,90.95,91.21,87.54,88.54,88.54,
2024-09-20,88.66,92.15,87.94,90.67,90.67,
2024-09-23,90.62,91.0,89.9,90.27,90.27,
2024-09-24,90.27,90.36,89.37,89.53,89.53,
2024-09-25,89.76,90.11,88.42,89.01,89.01,
2024-09-26,89.37,89.9,88.32,89.5,89.5,
2024-09-27,90.04,91.96,89.23,91.33,91.33,
2024-09-30,91.33,92.14,90.44,90.95,90.95,
2024-10-01,91.29,91.53,90.62,91.05,91.05,
2024-10-03,89.23,90.33,88.87,89.05,89.05,
2024-10-04,88.46,89.47,87.22,89.25,89.25,
2024-10-07,89.23,89.33,84.03,86.66,86.66,
2024-10-08,85.78,87.73,84.03,86.83,86.83,
2024-10-09,87.52,89.27,87.03,88.26,88.26,
2024-10-10,88.72,88.99,86.69,86.99,86.99,
2024-10-11,86.81,87.41,86.21,87.09,87.09,
2024-10-14,87.17,87.79,86.94,87.23,87.23,
2024-10-15,87.23,87.98,85.96,86.22,86.22,
2024-10-16,86.21,86.45,84.11,84.29,84.29,
2024-10-17,84.39,85.02,81.18,81.38,81.38,
2024-10-18,81.28,81.28,79.52,80.59,80.59,
2024-10-21,80.94,80.99,78.21,78.6,78.6,
2024-10-22,78.55,78.73,74.81,75.29,75.29,
2024-10-23,75.28,76.99,71.94,74.89,74.89,
2024-10-24,75.09,78.5,75.01,76.68,76.68,
2024-10-25,76.97,77.51,73.82,75.2,75.2,
2024-10-28,75.68,76.73,74.43,75.62,75.62,
2024-10-29,75.96,77.5,74.97,77.28,77.28,
2024-10-30,77.28,79.46,76.51,78.58,78.58,
2024-10-31,78.74,79.8,78.2,79.12,79.12,
2024-11-01,80.27,80.83,79.52,80.59,80.59,
2024-11-04,80.94,80.94,78.56,79.8,79.8,
2024-11-05,79.82,79.85,76.15,76.81,76.81,
2024-11-06,77.59,81.08,77.28,80.41,80.41,
2024-11-07,81.04,81.99,80.27,80.96,80.96,
2024-11-08,78.07,79.31,77.02,78.88,78.88,
2024-11-11,78.88,79.11,76.68,77.67,77.67,
2024-11-12,78.26,78.59,77.11,77.39,77.39,
2024-11-13,77.39,77.39,74.47,74.66,74.66,
2024-11-14,74.67,75.43,74.01,75.08,75.08,
2024-11-18,75.32,75.63,73.19,74.87,74.87,
2024-11-19,75.01,77.09,74.96,76.64,76.64,
2024-11-21,76.63,77.06,74.82,76.04,76.04,
2024-11-22,76.63,77.15,75.54,75.83,75.83,
2024-11-25,77.58,80.08,77.43,78.96,78.96,
2024-11-26,79.32,79.41,77.5,77.81,77.81,
2024-11-27,77.81,79.89,77.43,79.5,79.5,
2024-11-28,79.3,81.12,78.92,80.0,80.0,
2024-11-29,80.03,80.22,77.5,78.01,78.01,
2024-12-02,78.45,79.47,77.83,78.05,78.05,
2024-12-03,78.44,79.22,78.17,78.53,78.53,
2024-12-04,78.88,79.77,78.26,78.5,78.5,
2024-12-05,78.93,79.84,77.89,78.72,78.72,
2024-12-06,78.93,83.19,78.52,81.3,81.3,
2024-12-09,83.34,85.05,82.57,83.12,83.12,
2024-12-10,83.62,83.62,81.95,82.36,82.36,
2024-12-11,82.38,83.44,82.19,82.49,82.49,
2024-12-12,82.59,83.15,81.18,81.46,81.46,
2024-12-13,81.46,82.29,79.66,81.84,81.84,
2024-12-16,82.38,82.75,81.42,81.64,81.64,
2024-12-17,81.71,82.29,81.04,81.39,81.39,
2024-12-18,81.23,81.6,79.99,80.12,80.12,
2024-12-19,77.88,81.14,77.88,80.89,80.89,
2024-12-20,80.89,80.94,77.45,78.04,78.04,
2024-12-23,79.27,79.28,77.8,78.58,78.58,
2024-12-24,78.93,79.06,78.02,78.6,78.6,
2024-12-26,79.02,79.41,78.07,78.59,78.59,
2024-12-27,78.64,78.94,76.68,76.95,76.95,
2024-12-30,77.28,77.97,75.47,76.39,76.39,
2024-12-31,76.38,77.64,75.07,77.29,77.29,
2025-01-01,77.59,79.0,77.29,78.49,78.49,
2025-01-02,78.74,79.24,77.86,79.0,79.0,
2025-01-03,79.89,80.94,79.04,79.59,79.59,
2025-01-06,79.51,79.58,75.58,75.93,75.93,
2025-01-07,76.1,76.89,75.34,75.86,75.86,
2025-01-08,75.95,76.34,74.32,75.67,75.67,
2025-01-09,75.76,75.87,74.34,74.82,74.82,
2025-01-10,74.82,75.24,73.21,73.38,73.38,
2025-01-13,70.75,72.13,69.11,69.52,69.52,
2025-01-14,69.64,73.76,69.64,73.18,73.18,
2025-01-15,74.08,75.39,73.15,73.93,73.93,
2025-01-16,74.72,75.96,74.66,75.51,75.51,
2025-01-17,75.11,77.59,74.72,77.02,77.02,
2025-01-20,77.15,77.3,76.35,76.6,76.6,
2025-01-21,76.55,76.86,75.48,75.7,75.7,
2025-01-22,75.71,75.95,73.41,74.49,74.49,
2025-01-23,74.24,76.28,73.82,75.16,75.16,
2025-01-24,75.1,75.49,73.52,73.65,73.65,
2025-01-27,73.28,73.45,70.98,71.62,71.62,
2025-01-28,71.84,72.87,69.38,70.01,70.01,
2025-01-29,70.02,72.45,70.02,71.44,71.44,
2025-01-30,71.75,73.52,71.11,72.29,72.29,
2025-01-31,72.51,78.65,72.0,77.16,77.16,
2025-02-01,78.55,79.12,73.99,75.52,75.52,
2025-02-03,73.88,74.35,71.39,73.5,73.5,
2025-02-04,74.44,75.82,73.52,75.59,75.59,
2025-02-05,75.48,76.76,75.24,76.18,76.18,
2025-02-06,76.63,77.44,74.0,74.34,74.34,
2025-02-07,74.43,75.19,73.66,74.17,74.17,
2025-02-10,72.8,75.54,71.76,72.97,72.97,
2025-02-11,73.28,73.61,70.76,71.26,71.26,
2025-02-12,70.91,71.46,68.01,70.98,70.98,
2025-02-13,71.18,74.45,71.08,73.52,73.52,
2025-02-14,73.73,74.02,70.64,71.56,71.56,
2025-02-17,70.79,71.86,69.42,71.48,71.48,
2025-02-18,71.35,71.68,69.46,71.28,71.28,
2025-02-19,71.23,73.06,70.45,72.86,72.86,
2025-02-20,73.72,78.51,73.23,77.91,77.91,
2025-02-21,78.21,80.22,77.65,78.0,78.0,
2025-02-24,77.04,77.08,75.23,75.41,75.41,
2025-02-25,75.48,76.94,74.11,74.21,74.21,
2025-02-27,74.55,75.17,71.77,72.55,72.55,
2025-02-28,71.76,72.11,69.32,71.18,71.18,
2025-03-03,71.85,72.49,69.81,71.64,71.64,
2025-03-04,71.26,72.64,70.72,71.83,71.83,
2025-03-05,72.25,74.75,72.25,74.55,74.55,
2025-03-06,75.18,75.98,74.69,75.68,75.68,
2025-03-07,75.58,76.3,74.82,75.21,75.21,
2025-03-10,75.57,76.65,73.53,74.01,74.01,
2025-03-11,73.23,75.13,72.56,74.77,74.77,
2025-03-12,75.18,76.65,74.88,76.51,76.51,
2025-03-13,76.94,77.13,75.47,75.74,75.74,
2025-03-17,75.77,77.33,75.77,76.48,76.48,
2025-03-18,76.48,76.48,76.48,76.48,76.48,
2025-03-19,77.43,78.7,77.19,78.3,78.3,
2025-03-20,79.46,79.87,77.79,78.15,78.15,
2025-03-21,78.3,82.1,78.13,80.61,80.61,
2025-03-24,81.32,82.98,81.22,81.64,81.64,
2025-03-25,82.31,82.65,78.84,79.39,79.39,
2025-03-26,79.53,80.89,78.65,79.03,79.03,
2025-03-27,78.7,80.33,78.11,79.36,79.36,
2025-03-28,80.5,84.89,80.06,80.26,80.26,
2025-04-01,80.14,81.52,79.61,80.2,80.2,
2025-04-02,80.26,82.29,78.9,81.71,81.71,
2025-04-03,81.04,82.85,80.7,82.53,82.53,
2025-04-04,82.5,82.89,80.76,81.08,81.08,
2025-04-07,74.69,81.07,73.96,80.63,80.63,
2025-04-08,82.21,82.64,79.94,81.61,81.61,
2025-04-09,81.19,83.19,80.61,82.41,82.41,
2025-04-11,83.19,83.87,81.23,82.21,82.21,
2025-04-15,83.19,83.77,82.7,83.4,83.4,
2025-04-16,83.2,84.22,82.84,83.3,83.3,
2025-04-17,83.38,83.92,82.85,82.97,82.97,
2025-04-21,82.99,86.16,82.85,85.64,85.64,
2025-04-22,86.3,88.73,85.19,87.76,87.76,
2025-04-23,88.36,89.33,86.57,88.23,88.23,
2025-04-24,88.25,89.01,86.82,86.98,86.98,
2025-04-25,87.48,87.76,83.11,84.04,84.04,
2025-04-28,84.01,85.2,83.67,84.72,84.72,
2025-04-29,85.63,86.05,84.07,84.48,84.48,
2025-04-30,84.89,85.29,83.19,83.76,83.76,
2025-05-02,83.76,84.94,82.75,82.88,82.88,
2025-05-05,83.87,83.89,82.16,82.63,82.63,
2025-05-06,82.8,82.87,78.79,79.78,79.78,
2025-05-07,78.19,81.82,78.12,81.44,81.44,
2025-05-08,82.5,82.5,77.62,78.3,78.3,
2025-05-09,75.77,77.36,74.45,76.13,76.13,
2025-05-12,79.66,81.92,79.48,81.33,81.33,
2025-05-13,81.33,82.23,80.65,81.56,81.56,
2025-05-14,81.8,84.23,81.43,83.93,83.93,
2025-05-15,84.26,85.37,83.78,84.9,84.9,
2025-05-16,85.02,88.63,85.02,87.59,87.59,
2025-05-19,88.05,88.51,86.74,86.89,86.89,
2025-05-20,87.35,87.81,84.12,84.56,84.56,
2025-05-21,86.8,87.14,84.21,85.55,85.55,
2025-05-22,85.92,87.28,84.94,85.43,85.43,
2025-05-23,85.92,85.97,83.72,83.94,83.94,
2025-05-26,84.25,85.22,83.63,85.0,85.0,
2025-05-27,85.0,85.33,84.46,85.16,85.16,
2025-05-28,85.43,86.21,84.55,84.69,84.69,
2025-05-29,85.09,85.24,84.44,85.02,85.02,
2025-05-30,84.95,85.74,83.89,85.34,85.34,
2025-06-02,85.31,85.72,84.59,85.26,85.26,
2025-06-03,85.26,85.65,82.84,83.08,83.08,
2025-06-04,83.46,85.29,82.68,85.05,85.05,
2025-06-05,85.55,87.09,85.09,85.56,85.56,
2025-06-06,85.98,87.51,85.74,87.2,87.2,
2025-06-09,88.17,90.16,88.04,88.78,88.78,
