date,open,high,low,close,adj_close,volume
2024-07-11,75.36,75.74,74.8,75.4,75.4,21017598
2024-07-12,75.71,76.22,74.79,75.42,75.42,14538876
2024-07-15,75.65,76.03,74.62,75.68,75.68,17760150
2024-07-16,75.95,76.79,75.39,75.56,75.56,20174739
2024-07-18,75.46,75.46,73.72,74.09,74.09,18943977
2024-07-19,74.07,74.07,69.83,70.06,70.06,34677240
2024-07-22,69.83,72.16,68.91,71.63,71.63,20965680
2024-07-23,71.94,72.34,67.65,71.87,71.87,39099774
2024-07-24,71.79,72.72,70.99,71.28,71.28,17058228
2024-07-25,70.44,71.96,69.69,70.4,70.4,32279262
2024-07-26,71.19,73.3,71.07,73.06,73.06,25187640
2024-07-29,73.53,75.33,73.27,74.79,74.79,30854370
2024-07-30,74.36,74.99,73.63,74.43,74.43,15006963
2024-07-31,74.88,75.32,73.78,74.0,74.0,19700181
2024-08-01,74.33,76.3,73.93,74.34,74.34,38141133
2024-08-02,73.44,73.58,71.83,72.25,72.25,16851843
2024-08-05,70.74,70.87,67.87,68.69,68.69,25596654
2024-08-06,68.83,70.89,67.95,68.22,68.22,18329937
2024-08-07,69.22,70.33,68.64,70.0,70.0,21138498
2024-08-08,70.2,70.36,67.96,68.14,68.14,18491904
2024-08-09,68.91,69.28,66.92,67.85,67.85,22589694
2024-08-12,67.07,70.66,66.49,70.33,70.33,28976304
2024-08-13,71.96,71.96,68.33,68.74,68.74,42773148
2024-08-14,68.91,69.14,64.33,64.6,64.6,70788720
2024-08-16,65.85,66.77,64.36,66.6,66.6,45608541
2024-08-19,67.29,67.75,66.52,67.34,67.34,20968632
2024-08-20,67.64,69.02,67.27,68.78,68.78,29725110
2024-08-21,68.91,69.64,68.02,68.2,68.2,30325380
2024-08-22,68.76,69.79,68.53,69.32,69.32,23108352
2024-08-23,69.49,69.49,67.81,67.92,67.92,14065443
2024-08-26,68.3,70.5,67.92,70.2,70.2,25270356
2024-08-27,70.46,71.39,70.08,70.33,70.33,22519920
2024-08-28,70.44,70.72,69.16,69.29,69.29,15852960
2024-08-29,69.15,69.43,67.55,68.58,68.58,16571922
2024-08-30,68.76,69.26,68.01,68.19,68.19,18513903
