date,open,high,low,close,adj_close,volume
2024-07-11,364.54,365.4,357.11,359.49,359.49,
2024-07-12,361.26,361.68,354.63,359.54,359.54,
2024-07-15,360.92,370.79,359.3,367.64,367.64,
2024-07-16,368.6,370.6,362.26,362.69,362.69,
2024-07-18,365.02,365.02,356.73,360.11,360.11,
2024-07-19,360.11,360.35,345.95,347.62,347.62,
2024-07-22,347.72,359.63,345.43,356.06,356.06,
2024-07-23,359.11,367.64,344.67,364.59,364.59,
2024-07-24,366.16,376.56,363.88,374.27,374.27,
2024-07-25,372.69,377.79,368.21,373.84,373.84,
2024-07-26,376.51,380.85,371.5,377.79,377.79,
2024-07-29,385.14,389.23,374.32,375.51,375.51,
2024-07-30,378.46,393.43,378.46,387.95,387.95,
2024-07-31,390.38,397.91,389.47,396.58,396.58,
2024-08-01,400.29,404.54,396.19,403.68,403.68,
2024-08-02,396.81,406.39,394.05,400.1,400.1,
2024-08-05,388.61,396.24,385.76,393.95,393.95,
2024-08-06,393.95,405.11,393.95,395.62,395.62,
2024-08-07,404.51,404.51,398.74,399.99,399.99,
2024-08-08,400.04,400.67,389.9,391.73,391.73,
2024-08-09,397.59,400.04,392.21,394.56,394.56,
2024-08-12,393.94,393.94,384.43,385.15,385.15,
2024-08-13,387.21,388.66,379.53,380.68,380.68,
2024-08-14,383.28,384.33,378.23,380.83,380.83,
2024-08-16,382.46,385.24,377.89,382.46,382.46,
2024-08-19,386.54,391.54,385.73,387.31,387.31,
2024-08-20,388.7,392.21,387.31,390.34,390.34,
2024-08-21,391.54,393.65,389.33,392.93,392.93,
2024-08-22,393.75,393.99,386.49,387.55,387.55,
2024-08-23,387.55,390.0,383.9,386.21,386.21,
2024-08-26,386.69,399.66,386.21,398.6,398.6,
2024-08-27,399.22,399.9,393.08,393.6,393.6,
2024-08-28,393.99,398.17,391.39,393.03,393.03,
2024-08-29,393.03,396.44,387.94,393.84,393.84,
2024-08-30,396.53,402.78,395.38,399.9,399.9,
2024-09-02,401.43,402.68,391.73,393.94,393.94,
2024-09-03,394.42,395.43,389.71,390.48,390.48,
2024-09-04,384.33,392.26,384.24,389.23,389.23,
2024-09-05,389.47,392.4,386.11,387.45,387.45,
2024-09-06,387.45,388.8,377.32,379.34,379.34,
2024-09-09,375.88,377.37,370.21,374.58,374.58,
2024-09-10,374.82,383.76,374.48,380.78,380.78,
2024-09-11,383.37,383.66,372.32,374.39,374.39,
2024-09-12,375.68,390.34,375.35,388.99,388.99,
2024-09-13,388.99,391.35,383.71,385.68,385.68,
2024-09-16,386.69,395.86,386.25,395.0,395.0,
2024-09-17,395.72,401.29,394.04,399.99,399.99,
2024-09-18,402.11,403.31,396.82,397.93,397.93,
2024-09-19,407.39,414.93,404.08,407.34,407.34,
2024-09-20,411.28,413.01,400.23,407.34,407.34,
2024-09-23,410.75,413.64,408.35,411.57,411.57,
2024-09-24,414.55,414.55,410.27,411.33,411.33,
2024-09-25,411.33,419.88,408.98,419.02,419.02,
2024-09-26,420.8,420.8,413.69,417.58,417.58,
2024-09-27,418.92,425.17,416.52,419.79,419.79,
2024-09-30,419.79,430.88,416.62,425.84,425.84,
2024-10-01,428.53,430.21,421.61,422.86,422.86,
2024-10-03,415.08,425.17,415.08,418.3,418.3,
2024-10-04,415.94,422.14,409.6,413.59,413.59,
2024-10-07,413.73,416.04,393.03,399.18,399.18,
2024-10-08,397.78,410.95,395.19,404.46,404.46,
2024-10-09,407.82,408.11,400.67,402.06,402.06,
2024-10-10,404.22,413.06,404.03,406.14,406.14,
2024-10-11,407.34,409.94,403.16,405.95,405.95,
2024-10-14,407.97,409.31,403.55,407.87,407.87,
2024-10-15,409.94,410.47,406.96,409.89,409.89,
2024-10-16,408.64,412.58,404.75,407.63,407.63,
2024-10-17,407.06,408.93,400.28,401.39,401.39,
2024-10-18,401.34,409.27,398.22,408.3,408.3,
2024-10-21,409.36,411.96,402.68,408.35,408.35,
2024-10-22,406.29,409.6,397.26,399.47,399.47,
2024-10-23,397.78,398.5,385.97,392.31,392.31,
2024-10-24,393.22,398.98,390.87,395.77,395.77,
2024-10-25,386.73,391.54,376.26,383.28,383.28,
2024-10-28,383.28,390.58,382.22,388.08,388.08,
2024-10-29,392.98,398.07,388.61,396.01,396.01,
2024-10-30,397.93,398.55,389.9,392.5,392.5,
2024-10-31,395.4,396.99,390.08,394.58,394.58,
2024-11-01,398.3,401.63,396.7,397.67,397.67,
2024-11-04,400.09,400.52,380.61,387.62,387.62,
2024-11-05,386.7,390.66,383.94,389.7,389.7,
2024-11-06,393.18,397.14,389.74,395.3,395.3,
2024-11-07,397.24,397.24,388.63,390.37,390.37,
2024-11-08,389.74,390.76,382.4,384.43,384.43,
2024-11-11,384.91,387.57,378.77,379.5,379.5,
2024-11-12,380.08,381.67,366.45,367.65,367.65,
2024-11-13,371.23,374.71,366.74,368.67,368.67,
2024-11-14,367.41,372.39,359.0,360.11,360.11,
2024-11-18,367.36,367.36,350.59,354.51,354.51,
2024-11-19,355.76,365.91,352.91,354.51,354.51,
2024-11-21,351.61,352.23,343.0,344.31,344.31,
2024-11-22,345.18,354.89,343.87,353.3,353.3,
2024-11-25,361.56,364.66,355.28,356.15,356.15,
2024-11-26,357.7,358.08,348.27,349.62,349.62,
2024-11-27,351.7,359.24,349.33,357.02,357.02,
2024-11-28,357.41,359.48,347.64,350.01,350.01,
2024-11-29,351.17,353.25,348.22,351.56,351.56,
2024-12-02,351.56,351.8,345.13,346.29,346.29,
2024-12-03,347.06,357.7,346.29,355.23,355.23,
2024-12-04,356.68,362.67,355.76,360.35,360.35,
2024-12-05,360.35,361.51,352.28,356.87,356.87,
2024-12-06,357.16,358.86,355.81,357.21,357.21,
2024-12-09,358.57,360.89,355.52,357.55,357.55,
2024-12-10,356.73,358.86,354.22,356.87,356.87,
2024-12-11,356.97,358.42,352.57,353.35,353.35,
2024-12-12,353.83,354.8,341.26,343.78,343.78,
2024-12-13,343.92,346.39,336.48,345.27,345.27,
2024-12-16,345.27,346.97,340.0,341.16,341.16,
2024-12-17,340.29,342.08,335.7,337.44,337.44,
2024-12-18,337.93,339.33,328.69,330.39,330.39,
2024-12-19,325.79,329.27,323.91,326.18,326.18,
2024-12-20,326.57,332.46,319.99,322.17,322.17,
2024-12-23,324.73,327.0,319.51,322.55,322.55,
2024-12-24,323.96,325.65,320.72,324.15,324.15,
2024-12-26,324.15,326.18,321.2,323.52,323.52,
2024-12-27,325.46,328.69,323.09,323.86,323.86,
2024-12-30,323.86,325.6,316.51,320.38,320.38,
2024-12-31,319.12,323.47,315.35,322.26,322.26,
2025-01-01,321.93,323.52,317.87,322.55,322.55,
2025-01-02,322.55,327.34,319.03,326.76,326.76,
2025-01-03,326.81,333.04,325.84,328.55,328.55,
2025-01-06,330.34,330.34,315.59,316.61,316.61,
2025-01-07,316.13,319.36,314.29,317.67,317.67,
2025-01-08,319.51,319.51,311.15,314.58,314.58,
2025-01-09,313.27,315.11,309.17,309.7,309.7,
2025-01-10,309.7,310.33,297.37,298.0,298.0,
2025-01-13,291.09,299.64,286.98,288.28,288.28,
2025-01-14,290.46,302.3,290.22,300.08,300.08,
2025-01-15,302.16,313.52,302.16,310.66,310.66,
2025-01-16,313.9,316.42,310.95,314.68,314.68,
2025-01-17,314.48,318.06,312.6,315.3,315.3,
2025-01-20,315.35,325.79,313.76,324.88,324.88,
2025-01-21,326.57,327.0,313.03,313.52,313.52,
2025-01-22,316.13,316.13,306.8,311.68,311.68,
2025-01-23,310.33,314.29,308.92,312.89,312.89,
2025-01-24,314.0,318.93,311.39,312.89,312.89,
2025-01-27,312.89,314.24,304.53,311.49,311.49,
2025-01-28,311.78,313.08,297.9,307.67,307.67,
2025-01-29,309.36,312.16,302.88,310.57,310.57,
2025-01-30,311.53,315.93,310.47,312.26,312.26,
2025-01-31,314.16,317.86,309.38,315.67,315.67,
2025-02-01,317.67,322.29,308.61,309.53,309.53,
2025-02-03,302.13,305.98,296.18,303.25,303.25,
2025-02-04,306.75,312.21,302.32,310.9,310.9,
2025-02-05,312.75,314.74,310.21,311.38,311.38,
2025-02-06,314.31,314.4,303.39,304.76,304.76,
2025-02-07,305.44,311.04,304.08,308.8,308.8,
2025-02-10,308.36,308.7,301.05,302.52,302.52,
2025-02-11,304.32,304.32,296.33,297.74,297.74,
2025-02-12,298.33,299.59,292.29,298.38,298.38,
2025-02-13,298.28,300.67,295.31,298.81,298.81,
2025-02-14,298.96,300.32,290.68,292.63,292.63,
2025-02-17,289.85,295.4,285.27,294.58,294.58,
2025-02-18,293.41,304.37,289.85,303.2,303.2,
2025-02-19,303.2,308.22,302.61,306.71,306.71,
2025-02-20,304.51,318.74,303.49,316.79,316.79,
2025-02-21,314.99,321.27,313.28,317.86,317.86,
2025-02-24,313.82,317.03,311.24,311.87,311.87,
2025-02-25,311.87,313.23,307.63,310.51,310.51,
2025-02-27,307.24,311.09,306.41,307.58,307.58,
2025-02-28,305.93,307.53,298.67,303.44,303.44,
2025-03-03,303.3,309.63,299.79,306.32,306.32,
2025-03-04,303.3,306.8,300.08,305.68,305.68,
2025-03-05,305.49,318.88,305.44,317.81,317.81,
2025-03-06,320.54,330.09,314.89,329.21,329.21,
2025-03-07,327.21,330.04,320.25,321.08,321.08,
2025-03-10,320.98,326.34,317.91,320.93,320.93,
2025-03-11,318.59,324.68,315.38,321.81,321.81,
2025-03-12,322.49,326.19,318.01,321.66,321.66,
2025-03-13,323.46,325.95,320.0,323.37,323.37,
2025-03-17,324.39,325.9,322.0,323.12,323.12,
2025-03-18,323.12,323.12,323.12,323.12,323.12,
2025-03-19,330.28,335.06,327.7,332.52,332.52,
2025-03-20,335.84,335.84,331.55,332.96,332.96,
2025-03-21,333.21,344.75,332.96,342.27,342.27,
2025-03-24,347.82,358.54,344.56,357.51,357.51,
2025-03-25,359.51,361.9,354.79,357.51,357.51,
2025-03-26,357.51,359.51,344.22,345.53,345.53,
2025-03-27,344.8,355.08,341.97,351.38,351.38,
2025-03-28,352.69,354.93,347.28,348.41,348.41,
2025-04-01,343.29,353.57,341.83,343.1,343.1,
2025-04-02,343.1,344.36,338.13,342.71,342.71,
2025-04-03,342.71,352.06,342.71,349.67,349.67,
2025-04-04,349.62,349.62,339.59,341.39,341.39,
2025-04-07,319.57,342.36,315.67,340.81,340.81,
2025-04-08,347.67,349.04,341.0,343.87,343.87,
2025-04-09,344.9,345.68,339.25,340.37,340.37,
2025-04-11,341.97,352.2,341.97,350.84,350.84,
2025-04-15,357.56,358.98,352.25,353.18,353.18,
2025-04-16,353.18,353.67,348.7,350.06,350.06,
2025-04-17,350.01,356.05,348.06,354.64,354.64,
2025-04-21,356.39,358.73,352.5,355.18,355.18,
2025-04-22,357.61,357.61,350.45,350.99,350.99,
2025-04-23,353.62,354.88,348.7,354.45,354.45,
2025-04-24,354.4,357.03,352.3,353.86,353.86,
2025-04-25,353.86,356.39,342.07,347.28,347.28,
2025-04-28,344.61,353.57,344.61,352.2,352.2,
2025-04-29,354.64,354.98,345.0,347.77,347.77,
2025-04-30,347.82,351.72,342.95,345.43,345.43,
2025-05-02,345.43,348.79,338.66,339.73,339.73,
2025-05-05,341.97,342.95,336.67,339.64,339.64,
2025-05-06,340.03,340.51,331.26,333.01,333.01,
2025-05-07,329.31,334.86,328.33,333.26,333.26,
2025-05-08,332.28,334.28,329.7,331.26,331.26,
2025-05-09,325.61,330.04,322.1,326.14,326.14,
2025-05-12,331.65,340.22,329.41,339.59,339.59,
2025-05-13,339.64,340.81,331.74,332.72,332.72,
2025-05-14,333.64,335.01,329.07,329.85,329.85,
2025-05-15,330.77,334.91,324.1,333.16,333.16,
2025-05-16,334.18,338.66,333.21,334.28,334.28,
2025-05-19,334.28,338.76,333.6,336.28,336.28,
2025-05-20,337.98,340.71,332.77,333.79,333.79,
2025-05-21,333.74,338.47,331.11,337.25,337.25,
2025-05-22,337.25,338.08,329.55,332.62,332.62,
2025-05-23,333.21,336.08,331.4,335.74,335.74,
2025-05-26,341.97,342.17,333.74,334.67,334.67,
2025-05-27,335.15,335.64,328.14,329.85,329.85,
2025-05-28,329.89,331.94,328.43,331.31,331.31,
2025-05-29,332.23,333.45,329.36,330.62,330.62,
2025-05-30,328.82,331.99,324.29,325.31,325.31,
2025-06-02,325.31,326.19,321.81,324.0,324.0,
