date,open,high,low,close,adj_close,volume
2024-07-11,921.68,926.44,904.11,906.82,906.82,208730
2024-07-12,919.27,922.77,898.46,912.9,912.9,314475
2024-07-15,921.69,921.69,893.18,912.11,912.11,162285
2024-07-16,913.03,940.79,907.18,938.59,938.59,277055
2024-07-18,936.89,946.4,922.64,935.45,935.45,175420
2024-07-19,940.69,944.12,897.95,912.56,912.56,203480
2024-07-22,907.44,916.43,884.47,901.48,901.48,225180
2024-07-23,912.19,935.32,874.18,930.43,930.43,297680
2024-07-24,930.43,1007.2,925.72,999.88,999.88,1104200
2024-07-25,997.71,1072.39,988.2,1054.37,1054.37,1044510
2024-07-26,1068.97,1092.73,1031.1,1083.84,1083.84,728885
2024-07-29,1111.73,1166.45,1087.03,1142.14,1142.14,1563125
2024-07-30,1156.39,1223.66,1144.5,1204.5,1204.5,1288615
2024-07-31,1196.63,1233.36,1185.47,1205.23,1205.23,727370
2024-08-01,1204.86,1276.87,1202.95,1262.79,1262.79,829360
2024-08-02,1260.91,1260.91,1216.25,1218.99,1218.99,393960
2024-08-05,1209.59,1212.45,1094.38,1122.8,1122.8,779715
2024-08-06,1172.53,1197.06,1102.23,1105.37,1105.37,426740
2024-08-07,1136.96,1185.16,1132.67,1175.82,1175.82,268980
2024-08-08,1183.42,1196.9,1148.73,1187.74,1187.74,216540
2024-08-09,1202.75,1255.12,1198.14,1219.76,1219.76,578025
2024-08-12,1209.44,1243.91,1182.46,1185.5,1185.5,338715
2024-08-13,1200.77,1208.48,1179.57,1185.49,1185.49,189090
2024-08-14,1194.99,1197.67,1151.4,1178.35,1178.35,224325
2024-08-16,1178.35,1195.37,1166.11,1185.06,1185.06,282610
2024-08-19,1204.5,1262.54,1189.42,1255.28,1255.28,660300
2024-08-20,1271.89,1329.68,1247.99,1259.45,1259.45,826990
2024-08-21,1265.34,1265.34,1189.21,1205.79,1205.79,5461340
2024-08-22,1206.64,1209.83,1189.4,1196.7,1196.7,595940
2024-08-23,1202.7,1225.63,1192.11,1217.64,1217.64,598625
2024-08-26,1216.51,1226.4,1195.2,1216.19,1216.19,567260
2024-08-27,1223.96,1290.2,1218.12,1286.24,1286.24,1038495
2024-08-28,1291.36,1310.52,1236.88,1243.06,1243.06,489625
2024-08-29,1245.7,1266.88,1236.43,1241.14,1241.14,303480
2024-08-30,1272.08,1277.87,1233.34,1242.54,1242.54,240145
2024-09-02,1251.72,1298.37,1237.08,1243.0,1243.0,936005
2024-09-03,1252.81,1313.52,1243.76,1305.22,1305.22,739765
2024-09-04,1299.07,1325.09,1272.4,1284.37,1284.37,502775
2024-09-05,1289.44,1309.63,1268.74,1278.61,1278.61,356255
2024-09-06,1278.44,1285.58,1247.95,1262.15,1262.15,294270
2024-09-09,1271.98,1313.13,1241.25,1301.84,1301.84,526135
2024-09-10,1301.84,1312.72,1279.79,1293.06,1293.06,327650
2024-09-11,1300.99,1346.29,1283.66,1315.18,1315.18,640530
2024-09-12,1320.85,1348.77,1313.78,1323.11,1323.11,356660
2024-09-13,1327.98,1359.2,1317.88,1341.38,1341.38,292670
2024-09-16,1353.78,1353.79,1272.99,1283.15,1283.15,312170
2024-09-17,1286.52,1295.97,1266.88,1282.15,1282.15,225060
2024-09-18,1283.64,1310.05,1267.34,1287.12,1287.12,220985
2024-09-19,1300.03,1305.81,1249.92,1266.72,1266.72,278015
2024-09-20,1272.07,1349.06,1267.27,1339.1,1339.1,674840
2024-09-23,1339.1,1352.07,1320.27,1327.16,1327.16,344995
2024-09-24,1331.83,1368.45,1287.95,1310.79,1310.79,530605
2024-09-25,1314.48,1321.8,1291.37,1301.13,1301.13,158760
2024-09-26,1306.52,1327.17,1274.2,1307.53,1307.53,483505
2024-09-27,1330.47,1363.44,1312.57,1318.85,1318.85,1520020
2024-09-30,1326.05,1349.18,1292.32,1302.78,1302.78,479715
2024-10-01,1304.66,1304.66,1252.83,1256.67,1256.67,1277395
2024-10-03,1247.8,1247.8,1181.89,1189.0,1189.0,1466730
2024-10-04,1194.99,1194.99,1127.52,1136.38,1136.38,1819725
2024-10-07,1156.25,1192.67,1127.63,1166.09,1166.09,1517590
2024-10-08,1175.71,1228.61,1155.2,1219.39,1219.39,752750
2024-10-09,1213.48,1239.32,1199.23,1226.65,1226.65,476140
2024-10-10,1236.09,1247.02,1224.28,1228.77,1228.77,226270
2024-10-11,1224.86,1300.61,1224.86,1289.68,1289.68,847630
2024-10-14,1296.95,1326.24,1277.59,1313.68,1313.68,615330
2024-10-15,1324.75,1343.39,1308.74,1332.27,1332.27,747655
2024-10-16,1332.27,1425.41,1322.21,1414.08,1414.08,1487710
2024-10-17,1412.78,1412.98,1351.11,1384.82,1384.82,654105
2024-10-18,1374.26,1392.92,1325.94,1374.02,1374.02,510635
2024-10-21,1379.83,1394.18,1329.91,1345.98,1345.98,366955
2024-10-22,1339.74,1391.39,1259.56,1276.43,1276.43,1366195
2024-10-23,1290.2,1347.25,1263.81,1322.4,1322.4,875010
2024-10-24,1329.9,1347.87,1292.67,1333.54,1333.54,634960
2024-10-25,1333.54,1342.05,1249.33,1287.4,1287.4,953015
2024-10-28,1320.27,1325.76,1256.66,1263.94,1263.94,1060540
2024-10-29,1270.16,1300.99,1257.07,1264.6,1264.6,640965
2024-10-30,1274.33,1310.61,1274.2,1291.9,1291.9,484045
2024-10-31,1299.07,1354.0,1287.5,1347.28,1347.28,584845
2024-11-01,1358.82,1373.08,1353.03,1367.19,1367.19,168815
2024-11-04,1378.47,1382.89,1336.17,1348.55,1348.55,571830
2024-11-05,1348.55,1372.84,1327.98,1358.13,1358.13,431565
2024-11-06,1368.42,1437.84,1358.13,1420.69,1420.69,872870
2024-11-07,1429.82,1456.02,1407.67,1437.4,1437.4,484905
2024-11-08,1437.4,1437.4,1341.27,1359.48,1359.48,498720
2024-11-11,1360.81,1364.29,1316.1,1324.53,1324.53,392800
2024-11-12,1324.86,1338.08,1271.39,1278.31,1278.31,382055
2024-11-13,1278.19,1278.19,1219.49,1236.52,1236.52,751190
2024-11-14,1240.41,1314.15,1238.34,1307.86,1307.86,697265
2024-11-18,1310.25,1327.7,1265.75,1284.22,1284.22,385105
2024-11-19,1286.73,1302.28,1271.05,1285.26,1285.26,191005
2024-11-21,1250.0,1278.18,1234.45,1258.91,1258.91,508915
2024-11-22,1263.6,1280.13,1255.8,1260.71,1260.71,210925
2024-11-25,1277.22,1296.41,1259.72,1284.03,1284.03,848405
2024-11-26,1280.03,1306.36,1264.58,1269.25,1269.25,232625
2024-11-27,1277.8,1301.71,1261.67,1285.03,1285.03,281485
2024-11-28,1291.8,1321.93,1275.77,1282.97,1282.97,170600
2024-11-29,1291.21,1296.17,1258.94,1276.28,1276.28,365065
2024-12-02,1281.14,1305.4,1274.89,1298.71,1298.71,297000
2024-12-03,1304.04,1316.06,1294.1,1305.8,1305.8,259750
2024-12-04,1309.88,1331.69,1304.35,1310.65,1310.65,406990
2024-12-05,1315.68,1365.66,1300.94,1330.89,1330.89,603740
2024-12-06,1335.53,1381.22,1321.95,1366.27,1366.27,391355
2024-12-09,1364.7,1382.39,1342.73,1349.67,1349.67,323370
2024-12-10,1353.03,1453.15,1349.16,1431.04,1431.04,1629565
2024-12-11,1442.07,1486.78,1411.71,1418.62,1418.62,1206950
2024-12-12,1370.02,1385.16,1326.79,1350.2,1350.2,26977865
2024-12-13,1337.48,1351.73,1329.32,1342.46,1342.46,3145640
2024-12-16,1342.73,1359.45,1332.66,1354.43,1354.43,949125
2024-12-17,1354.43,1360.42,1326.98,1338.59,1338.59,570305
2024-12-18,1338.26,1352.93,1331.15,1335.53,1335.53,530150
2024-12-19,1326.6,1346.11,1317.6,1335.73,1335.73,664870
2024-12-20,1335.73,1348.95,1321.93,1331.79,1331.79,1739185
2024-12-23,1326.6,1340.4,1312.21,1328.12,1328.12,380285
2024-12-24,1335.09,1339.43,1319.7,1330.96,1330.96,291815
2024-12-26,1325.84,1342.23,1321.93,1331.55,1331.55,454540
2024-12-27,1332.27,1338.26,1326.61,1330.04,1330.04,207005
2024-12-30,1332.56,1340.28,1323.59,1335.67,1335.67,359755
2024-12-31,1335.48,1349.92,1326.21,1346.1,1346.1,314260
2025-01-01,1348.89,1377.11,1347.46,1358.8,1358.8,417640
2025-01-02,1364.12,1414.08,1360.34,1404.13,1404.13,961970
2025-01-03,1407.48,1419.13,1355.61,1363.14,1363.14,347925
2025-01-06,1372.86,1378.37,1316.55,1322.8,1322.8,1479200
2025-01-07,1326.79,1343.9,1325.43,1339.96,1339.96,208990
2025-01-08,1344.29,1344.29,1283.24,1296.63,1296.63,647160
2025-01-09,1299.25,1307.15,1283.63,1286.84,1286.84,178915
2025-01-10,1288.69,1311.81,1263.41,1293.67,1293.67,837685
2025-01-13,1294.53,1308.13,1170.75,1187.35,1187.35,1148080
2025-01-14,1199.4,1219.87,1169.0,1198.01,1198.01,462170
2025-01-15,1202.96,1247.67,1196.15,1204.78,1204.78,587200
2025-01-16,1224.73,1243.84,1177.6,1180.87,1180.87,373480
2025-01-17,1180.87,1197.51,1153.73,1177.19,1177.19,532050
2025-01-20,1177.19,1216.94,1170.75,1200.22,1200.22,264610
2025-01-21,1199.68,1208.4,1128.28,1133.59,1133.59,561390
2025-01-22,1138.43,1146.01,1058.84,1077.48,1077.48,1052695
2025-01-23,1080.87,1117.61,1077.51,1101.06,1101.06,694530
2025-01-24,1103.23,1121.7,1075.02,1088.44,1088.44,419255
2025-01-27,1074.85,1074.85,972.23,995.34,995.34,1003060
2025-01-28,981.73,1029.36,966.31,1008.62,1008.62,1036105
2025-01-29,995.33,1078.54,979.4,1071.97,1071.97,797915
2025-01-30,1073.87,1082.22,1021.85,1039.87,1039.87,415860
2025-01-31,1043.94,1097.15,1043.94,1087.73,1087.73,436700
2025-02-01,1078.93,1093.02,1028.05,1059.47,1059.47,612160
2025-02-03,1049.77,1049.77,987.03,993.13,993.13,643215
2025-02-04,1003.11,1135.02,1003.11,1107.12,1107.12,3129410
2025-02-05,1108.09,1176.13,1105.97,1165.97,1165.97,991135
2025-02-06,1162.33,1164.47,1124.12,1148.09,1148.09,565510
2025-02-07,1146.95,1146.95,1097.81,1105.21,1105.21,410395
2025-02-10,1103.23,1103.23,1063.98,1096.76,1096.76,361285
2025-02-11,1098.36,1098.36,1054.24,1064.36,1064.36,315005
2025-02-12,1063.39,1065.18,1019.16,1052.43,1052.43,391935
2025-02-13,1064.07,1090.88,1054.68,1069.67,1069.67,310355
2025-02-14,1074.07,1083.79,1012.84,1027.95,1027.95,301510
2025-02-17,1027.95,1040.2,994.04,1031.37,1031.37,413590
2025-02-18,1041.8,1045.52,1008.59,1025.53,1025.53,400640
2025-02-19,1022.16,1076.58,1010.89,1066.93,1066.93,378160
2025-02-20,1056.2,1106.14,1050.74,1098.18,1098.18,275105
2025-02-21,1094.3,1115.83,1071.36,1091.73,1091.73,210710
2025-02-24,1083.77,1084.76,1047.48,1056.05,1056.05,644410
2025-02-25,1053.66,1091.56,1050.51,1084.32,1084.32,261495
2025-02-27,1073.91,1098.17,1022.77,1043.21,1043.21,490415
2025-02-28,1033.84,1066.65,1001.27,1049.87,1049.87,763585
2025-03-03,1060.49,1066.1,974.16,990.41,990.41,525915
2025-03-04,952.57,1019.15,952.57,1004.41,1004.41,376640
2025-03-05,1013.91,1048.0,1002.77,1040.97,1040.97,332630
2025-03-06,1044.91,1076.96,1041.05,1065.87,1065.87,510625
2025-03-07,1065.87,1080.2,1049.77,1061.98,1061.98,372315
2025-03-10,1065.13,1111.59,1061.24,1074.97,1074.97,647790
2025-03-11,1063.36,1063.36,992.42,997.55,997.55,748950
2025-03-12,1001.15,1030.42,1000.65,1006.86,1006.86,513205
2025-03-13,1009.29,1010.3,976.87,982.54,982.54,470575
2025-03-17,983.13,1058.49,982.87,1040.4,1040.4,781995
2025-03-18,1040.4,1040.4,1040.4,1040.4,1040.4,0
2025-03-19,1069.6,1112.28,1069.6,1095.03,1095.03,944100
2025-03-20,1098.37,1176.12,1094.33,1165.49,1165.49,950070
2025-03-21,1166.41,1243.98,1164.57,1233.39,1233.39,2378260
2025-03-24,1235.1,1237.33,1211.62,1214.34,1214.34,429220
2025-03-25,1216.95,1227.22,1189.48,1203.12,1203.12,376545
2025-03-26,1205.29,1231.22,1184.55,1196.81,1196.81,331960
2025-03-27,1190.19,1202.75,1161.59,1180.39,1180.39,937220
2025-03-28,1187.19,1202.17,1176.86,1181.13,1181.13,457330
2025-04-01,1184.89,1195.24,1144.82,1151.31,1151.31,478820
2025-04-02,1148.14,1171.25,1111.08,1119.61,1119.61,537720
2025-04-03,1109.89,1178.05,1108.79,1171.01,1171.01,321855
2025-04-04,1169.61,1169.95,1085.73,1099.32,1099.32,489370
2025-04-07,920.58,1061.72,920.58,1036.07,1036.07,1064540
2025-04-08,1078.93,1088.63,1039.04,1047.23,1047.23,290375
2025-04-09,1049.77,1056.75,1024.35,1046.81,1046.81,174240
2025-04-11,1082.13,1101.87,1044.64,1071.97,1071.97,368755
2025-04-15,1109.84,1129.47,1096.52,1109.16,1109.16,250775
2025-04-16,1119.27,1172.73,1105.17,1142.79,1142.79,718985
2025-04-17,1145.41,1166.41,1137.44,1159.8,1159.8,215540
2025-04-21,1166.21,1191.68,1137.44,1171.85,1171.85,334020
2025-04-22,1178.07,1207.62,1158.34,1182.93,1182.93,339955
2025-04-23,1197.51,1203.15,1166.41,1199.55,1199.55,246645
2025-04-24,1199.55,1202.57,1186.53,1191.39,1191.39,154515
2025-04-25,1191.78,1234.55,1188.18,1218.51,1218.51,1608980
2025-04-28,1218.51,1248.25,1207.23,1216.18,1216.18,324255
2025-04-29,1213.45,1222.69,1200.43,1208.3,1208.3,289660
2025-04-30,1190.22,1210.93,1162.04,1184.78,1184.78,362130
2025-05-02,1170.98,1203.25,1165.44,1177.1,1177.1,157205
2025-05-05,1149.3,1156.59,1098.56,1145.51,1145.51,612750
2025-05-06,1149.79,1162.04,1108.09,1113.63,1113.63,235295
2025-05-07,1109.26,1164.85,1102.26,1159.02,1159.02,306380
2025-05-08,1164.76,1178.27,1136.47,1141.91,1141.91,240140
2025-05-09,1118.97,1174.09,1112.56,1153.38,1153.38,324085
2025-05-12,1175.74,1195.57,1166.8,1183.13,1183.13,285280
2025-05-13,1189.74,1235.13,1177.3,1218.02,1218.02,277710
2025-05-14,1230.08,1321.93,1219.09,1311.82,1311.82,1226135
2025-05-15,1311.63,1321.74,1292.77,1308.42,1308.42,219120
2025-05-16,1308.42,1314.74,1293.06,1303.85,1303.85,159100
2025-05-19,1303.85,1329.71,1251.07,1325.43,1325.43,484445
2025-05-20,1340.3,1349.15,1317.65,1325.33,1325.33,763885
2025-05-21,1326.01,1343.31,1309.49,1340.4,1340.4,182525
2025-05-22,1338.65,1355.17,1295.1,1322.32,1322.32,310810
2025-05-23,1327.76,1336.51,1304.05,1323.1,1323.1,233575
2025-05-26,1327.76,1354.98,1318.92,1338.65,1338.65,281315
2025-05-27,1338.65,1355.95,1332.82,1346.72,1346.72,291975
2025-05-28,1354.01,1359.55,1342.15,1345.94,1345.94,153580
2025-05-29,1360.81,1388.8,1345.26,1352.94,1352.94,830200
2025-05-30,1355.46,1421.08,1352.94,1398.62,1398.62,2110870
2025-06-02,1408.34,1428.66,1384.14,1425.16,1425.16,984095
2025-06-03,1436.54,1455.18,1411.13,1422.41,1422.41,753225
2025-06-04,1432.62,1447.92,1405.43,1437.03,1437.03,351850
2025-06-05,1448.51,1448.51,1409.16,1415.64,1415.64,435800
2025-06-06,1429.08,1447.92,1412.99,1445.47,1445.47,565135
2025-06-09,1452.53,1530.74,1447.82,1491.29,1491.29,1039520
2025-06-10,1494.53,1520.93,1462.44,1482.85,1482.85,432575
2025-06-11,1503.26,1508.86,1435.46,1455.09,1455.09,726610
2025-06-12,1454.99,1457.15,1415.64,1420.55,1420.55,333180
2025-06-13,1393.17,1406.71,1367.46,1391.01,1391.01,521785
2025-06-16,1395.92,1401.12,1369.82,1385.91,1385.91,399545
2025-06-17,1385.91,1456.16,1375.9,1451.26,1451.26,1131420
2025-06-18,1451.26,1459.6,1422.61,1427.12,1427.12,274285
2025-06-19,1434.58,1437.42,1361.57,1367.07,1367.07,481825
2025-06-20,1367.07,1392.97,1339.99,1350.68,1350.68,798530
2025-06-23,1348.23,1393.17,1335.57,1385.61,1385.61,338160
2025-06-24,1390.52,1411.81,1380.51,1403.08,1403.08,326145
2025-06-25,1411.03,1478.73,1407.0,1472.75,1472.75,692105
2025-06-26,1471.86,1559.2,1469.51,1550.56,1550.56,1788660
2025-06-27,1550.56,1669.68,1535.65,1626.41,1626.41,1401775
2025-06-30,1643.88,1669.78,1604.53,1615.32,1615.32,800585
2025-07-01,1609.24,1628.67,1582.16,1621.21,1621.21,578070
2025-07-02,1599.43,1659.09,1576.37,1583.73,1583.73,677955
2025-07-03,1589.61,1645.35,1557.23,1604.43,1604.43,867765
2025-07-04,1558.21,1558.21,1413.97,1424.96,1424.96,4094825
2025-07-07,1423.0,1487.56,1400.33,1471.47,1471.47,3092085
2025-07-08,1480.6,1501.3,1444.78,1465.39,1465.39,1368490
2025-07-09,1465.29,1477.75,1428.89,1434.58,1434.58,604335
2025-07-10,1447.04,1480.4,1438.7,1446.84,1446.84,803950
2025-07-11,1446.84,1459.4,1432.71,1436.15,1436.15,348145
2025-07-14,1456.66,1472.94,1444.98,1455.87,1455.87,734205
2025-07-15,1463.03,1486.58,1444.39,1478.05,1478.05,501555
2025-07-16,1477.56,1514.06,1453.32,1472.65,1472.65,753945
2025-07-17,1479.32,1549.38,1477.85,1534.37,1534.37,2197515
2025-07-18,1544.48,1544.48,1509.15,1516.71,1516.71,421205
2025-07-21,1518.96,1524.95,1469.22,1497.08,1497.08,508470
2025-07-22,1526.23,1547.62,1511.41,1526.72,1526.72,859220
2025-07-23,1532.7,1532.7,1498.36,1517.89,1517.89,342425
2025-07-24,1540.55,1540.55,1507.19,1524.36,1524.36,424475
2025-07-25,1517.1,1518.57,1435.75,1441.74,1441.74,810760
2025-07-28,1427.12,1469.71,1413.97,1419.76,1419.76,510640
2025-07-29,1428.3,1434.68,1400.43,1414.95,1414.95,367885
2025-07-30,1426.92,1460.09,1413.09,1454.69,1454.69,423120
2025-07-31,1447.33,1448.51,1401.12,1420.74,1420.74,889340
2025-08-01,1416.92,1420.74,1354.12,1357.35,1357.35,837070
2025-08-04,1355.0,1361.18,1326.25,1350.09,1350.09,644970
2025-08-05,1361.87,1408.67,1353.13,1372.37,1372.37,1002005
2025-08-06,1373.74,1378.65,1344.3,1366.09,1366.09,501915
2025-08-07,1360.3,1387.97,1343.32,1363.24,1363.24,537060
2025-08-08,1366.87,1371.58,1323.3,1328.6,1328.6,358615
2025-08-11,1343.91,1351.17,1328.9,1342.14,1342.14,368270
2025-08-12,1343.42,1367.26,1335.77,1344.89,1344.89,426140
2025-08-13,1359.81,1373.74,1318.79,1360.0,1360.0,665705
2025-08-14,1369.82,1401.9,1329.29,1365.69,1365.69,1607330
2025-08-18,1387.48,1387.48,1329.88,1350.39,1350.39,825395
2025-08-19,1359.22,1359.41,1315.16,1332.43,1332.43,756520
2025-08-20,1340.18,1349.7,1308.98,1345.19,1345.19,804720
2025-08-21,1350.19,1402.88,1338.51,1355.98,1355.98,2156140
2025-08-22,1359.81,1383.45,1354.9,1369.91,1369.91,443295
2025-08-25,1375.9,1377.27,1341.46,1345.78,1345.78,410770
2025-08-26,1343.32,1346.27,1308.98,1320.46,1320.46,491370
2025-08-28,1317.81,1319.87,1280.72,1285.23,1285.23,531115
2025-08-29,1290.53,1298.18,1250.4,1252.85,1252.85,649000
2025-09-01,1247.65,1273.06,1239.02,1265.71,1265.71,509140
2025-09-02,1268.35,1278.85,1256.58,1265.51,1265.51,484465
2025-09-03,1271.69,1295.24,1266.49,1281.5,1281.5,573260
2025-09-04,1299.46,1301.03,1263.84,1265.9,1265.9,577245
2025-09-05,1267.57,1302.11,1258.93,1277.48,1277.48,588320
2025-09-08,1280.52,1283.86,1259.92,1261.68,1261.68,292555
2025-09-09,1266.1,1271.89,1245.39,1250.69,1250.69,419600
2025-09-10,1261.88,1274.63,1247.65,1251.67,1251.67,458710
2025-09-11,1257.95,1262.66,1207.91,1210.76,1210.76,923055
2025-09-12,1214.09,1279.54,1208.7,1264.53,1264.53,1779320
2025-09-15,1264.43,1281.11,1243.92,1257.86,1257.86,549285
2025-09-16,1258.15,1265.8,1245.2,1251.77,1251.77,470885
2025-09-17,1252.07,1255.5,1236.76,1249.12,1249.12,761530
2025-09-18,1253.44,1276.11,1241.08,1256.78,1256.78,603595
2025-09-19,1261.78,1267.37,1254.52,1257.17,1257.17,511895
2025-09-22,1262.86,1264.63,1226.55,1232.54,1232.54,715760
2025-09-23,1236.37,1236.96,1207.91,1221.16,1221.16,566075
2025-09-24,1221.06,1222.63,1202.02,1212.03,1212.03,431810
2025-09-25,1206.14,1211.74,1181.02,1183.87,1183.87,532255
2025-09-26,1193.19,1224.1,1177.1,1200.06,1200.06,1072275
2025-09-29,1211.64,1236.17,1199.08,1233.82,1233.82,704505
2025-09-30,1233.82,1244.81,1226.06,1237.35,1237.35,612780
2025-10-01,1237.35,1274.63,1231.46,1273.46,1273.46,673735
2025-10-03,1281.11,1334.29,1279.74,1325.56,1325.56,2888405
2025-10-06,1334.49,1362.75,1313.98,1359.61,1359.61,898835
2025-10-07,1359.71,1380.61,1354.9,1365.79,1365.79,767215
2025-10-08,1363.93,1386.5,1356.86,1375.6,1375.6,554160
2025-10-09,1375.7,1401.61,1367.75,1398.66,1398.66,454525
2025-10-10,1401.9,1435.46,1396.8,1419.96,1419.96,724355
2025-10-13,1414.95,1424.77,1398.17,1412.89,1412.89,651720
2025-10-14,1409.85,1432.61,1398.27,1402.29,1402.29,418020
2025-10-15,1401.9,1423.49,1390.42,1416.42,1416.42,514540
2025-10-16,1416.92,1432.61,1412.99,1417.99,1417.99,257635
2025-10-17,1416.72,1416.72,1373.94,1377.76,1377.76,422825
2025-10-20,1385.32,1392.97,1356.18,1377.57,1377.57,415315
2025-10-21,1377.57,1430.65,1373.74,1424.77,1424.77,452915
2025-10-23,1425.75,1440.27,1409.36,1415.05,1415.05,635405
