date,open,high,low,close,adj_close,volume
2024-07-11,176.45,179.99,175.79,177.94,177.94,
2024-07-12,177.3,181.0,177.3,180.29,180.29,
2024-07-15,181.35,182.1,178.4,180.51,180.51,
2024-07-16,180.52,184.8,179.8,181.21,181.21,
2024-07-18,181.2,181.72,177.11,180.69,180.69,
2024-07-19,180.67,181.0,175.0,177.45,177.45,
2024-07-22,174.98,177.92,172.0,175.3,175.3,
2024-07-23,176.0,180.25,172.0,178.0,178.0,
2024-07-24,178.0,185.7,176.03,184.77,184.77,
2024-07-25,183.71,185.01,181.09,181.88,181.88,
2024-07-26,182.0,186.49,180.2,182.98,182.98,
2024-07-29,183.51,185.33,182.29,182.85,182.85,
2024-07-30,183.36,201.93,182.34,200.03,200.03,
2024-07-31,200.0,200.0,192.0,192.99,192.99,
2024-08-01,194.0,201.99,191.5,192.36,192.36,
2024-08-02,190.0,204.44,188.62,200.12,200.12,
2024-08-05,195.11,196.0,183.63,189.7,189.7,
2024-08-06,191.5,195.84,185.11,187.11,187.11,
2024-08-07,190.5,195.5,188.07,192.26,192.26,
2024-08-08,193.38,194.7,187.81,189.78,189.78,
2024-08-09,190.85,193.86,189.77,192.04,192.04,
2024-08-12,192.0,196.6,188.31,194.59,194.59,
2024-08-13,191.69,192.8,182.77,187.26,187.26,
2024-08-14,192.0,197.45,184.12,189.27,189.27,
2024-08-16,191.4,195.8,184.13,193.9,193.9,
2024-08-19,194.97,197.68,191.29,192.63,192.63,
2024-08-20,192.63,194.3,191.11,192.62,192.62,
2024-08-21,191.0,228.3,190.62,210.79,210.79,
2024-08-22,213.9,221.0,207.56,210.42,210.42,
2024-08-23,217.0,229.8,213.7,226.77,226.77,
2024-08-26,227.5,227.5,217.8,219.52,219.52,
2024-08-27,220.68,227.8,219.26,225.55,225.55,
2024-08-28,226.3,226.7,215.37,217.15,217.15,
2024-08-29,218.0,218.35,208.64,209.55,209.55,
2024-08-30,210.06,211.48,206.32,207.7,207.7,
2024-09-02,207.98,211.5,206.66,209.43,209.43,
2024-09-03,209.0,210.45,204.24,209.19,209.19,
2024-09-04,205.0,210.6,204.31,209.49,209.49,
2024-09-05,210.0,216.78,209.75,215.4,215.4,
2024-09-06,216.99,220.8,210.08,216.49,216.49,
2024-09-09,217.15,219.45,213.56,217.85,217.85,
2024-09-10,218.0,219.95,214.5,215.56,215.56,
2024-09-11,215.8,216.51,210.61,211.93,211.93,
2024-09-12,211.4,212.19,206.8,207.69,207.69,
2024-09-13,208.0,212.77,205.13,206.14,206.14,
2024-09-16,206.5,209.34,201.76,205.13,205.13,
2024-09-17,205.0,205.13,198.3,199.26,199.26,
2024-09-18,200.0,206.98,198.9,199.67,199.67,
2024-09-19,200.9,204.25,194.34,201.1,201.1,
2024-09-20,201.88,207.28,197.36,199.33,199.33,
2024-09-23,201.0,202.83,199.0,202.01,202.01,
2024-09-24,202.01,202.47,195.4,196.61,196.61,
2024-09-25,198.0,199.33,195.22,198.21,198.21,
2024-09-26,199.35,203.0,197.8,201.11,201.11,
2024-09-27,201.1,205.39,199.21,200.02,200.02,
2024-09-30,199.79,199.79,195.03,195.61,195.61,
2024-10-01,196.0,197.9,195.46,197.34,197.34,
2024-10-03,195.6,196.5,193.05,194.96,194.96,
2024-10-04,194.7,195.18,190.1,192.27,192.27,
