date,open,high,low,close,adj_close,volume
2024-07-11,1711.38,1718.81,1687.71,1695.58,1695.58,
2024-07-12,1699.05,1708.96,1671.11,1681.91,1681.91,
2024-07-15,1698.95,1713.96,1665.02,1699.4,1699.4,
2024-07-16,1701.53,1728.77,1699.54,1711.38,1711.38,
2024-07-18,1715.35,1715.35,1669.53,1702.57,1702.57,
2024-07-19,1707.67,1708.06,1628.71,1655.76,1655.76,
2024-07-22,1668.34,1765.43,1666.36,1727.78,1727.78,
2024-07-23,1759.09,1797.82,1656.5,1671.41,1671.41,
2024-07-24,1674.28,1752.55,1674.28,1726.64,1726.64,
2024-07-25,1713.91,1735.31,1695.28,1713.17,1713.17,
2024-07-26,1717.87,1785.24,1716.93,1768.4,1768.4,
2024-07-29,1775.38,1812.83,1766.52,1777.22,1777.22,
2024-07-30,1791.18,1822.19,1775.98,1810.11,1810.11,
2024-07-31,1824.77,1861.52,1813.57,1845.08,1845.08,
2024-08-01,1849.64,1854.6,1800.55,1824.15,1824.15,
2024-08-02,1785.37,1809.77,1758.7,1764.7,1764.7,
2024-08-05,1735.59,1740.3,1673.11,1691.95,1691.95,
2024-08-06,1715.85,1760.38,1696.76,1701.97,1701.97,
2024-08-07,1760.38,1764.2,1731.82,1756.66,1756.66,
2024-08-08,1744.12,1771.24,1726.46,1730.23,1730.23,
2024-08-09,1764.3,1793.95,1755.03,1773.52,1773.52,
2024-08-12,1771.79,1812.7,1743.32,1799.21,1799.21,
2024-08-13,1778.68,1779.08,1720.76,1730.83,1730.83,
2024-08-14,1741.44,1756.41,1690.96,1701.32,1701.32,
2024-08-16,1710.2,1755.87,1709.8,1751.6,1751.6,
2024-08-19,1765.34,1765.34,1732.12,1752.4,1752.4,
2024-08-20,1750.76,1755.72,1730.08,1740.89,1740.89,
2024-08-21,1742.78,1751.9,1719.07,1730.48,1730.48,
2024-08-22,1732.27,1742.48,1707.97,1719.82,1719.82,
2024-08-23,1719.82,1730.53,1681.64,1689.07,1689.07,
2024-08-26,1694.88,1731.67,1685.95,1724.33,1724.33,
2024-08-27,1724.33,1733.01,1702.17,1713.92,1713.92,
2024-08-28,1720.51,1724.58,1692.99,1697.16,1697.16,
2024-08-29,1694.93,1717.14,1677.82,1708.96,1708.96,
2024-08-30,1714.17,1774.27,1714.17,1757.75,1757.75,
2024-09-02,1765.34,1774.22,1736.58,1743.92,1743.92,
2024-09-03,1740.74,1774.27,1737.77,1753.64,1753.64,
2024-09-04,1753.69,1775.7,1728.74,1768.91,1768.91,
2024-09-05,1777.14,1782.8,1761.62,1775.61,1775.61,
2024-09-06,1772.78,1772.78,1704.89,1732.86,1732.86,
2024-09-09,1730.53,1741.98,1711.79,1728.25,1728.25,
2024-09-10,1721.11,1755.27,1718.33,1743.37,1743.37,
2024-09-11,1754.03,1774.56,1730.33,1737.22,1737.22,
2024-09-12,1748.13,1761.82,1730.13,1752.94,1752.94,
2024-09-13,1763.95,1804.56,1753.34,1799.51,1799.51,
2024-09-16,1810.96,1831.44,1778.73,1787.06,1787.06,
2024-09-17,1794.1,1809.97,1784.18,1799.16,1799.16,
2024-09-18,1809.13,1809.13,1766.43,1793.51,1793.51,
2024-09-19,1803.03,1847.66,1766.68,1826.48,1826.48,
2024-09-20,1844.63,1856.58,1821.33,1841.56,1841.56,
2024-09-23,1848.65,1898.24,1830.95,1884.01,1884.01,
2024-09-24,1900.91,1910.14,1861.14,1884.4,1884.4,
2024-09-25,1881.97,1931.96,1861.1,1925.51,1925.51,
2024-09-26,1936.92,1953.78,1913.81,1937.11,1937.11,
2024-09-27,1948.02,1948.82,1873.0,1881.23,1881.23,
2024-09-30,1894.27,1911.87,1859.56,1876.62,1876.62,
2024-10-01,1887.92,1896.2,1843.05,1872.3,1872.3,
2024-10-03,1834.76,1869.48,1811.06,1830.0,1830.0,
2024-10-04,1826.33,1835.66,1780.12,1793.51,1793.51,
2024-10-07,1803.62,1804.32,1721.01,1733.7,1733.7,
2024-10-08,1731.03,1753.44,1699.93,1745.11,1745.11,
2024-10-09,1760.08,1831.39,1746.7,1819.54,1819.54,
2024-10-10,1831.79,1878.0,1830.0,1863.77,1863.77,
2024-10-11,1865.11,1908.95,1833.57,1903.34,1903.34,
2024-10-14,1909.74,1996.32,1909.15,1981.35,1981.35,
2024-10-15,1983.53,2023.7,1954.77,2012.19,2012.19,
2024-10-16,2011.2,2037.93,1971.13,2013.88,2013.88,
2024-10-17,2047.99,2048.19,1883.26,1888.02,1888.02,
2024-10-18,1894.22,1926.01,1868.73,1915.59,1915.59,
2024-10-21,1963.74,2001.83,1940.04,1979.12,1979.12,
2024-10-22,1964.69,1991.66,1913.86,1934.39,1934.39,
2024-10-23,1948.67,1973.31,1903.29,1941.43,1941.43,
2024-10-24,1958.68,1997.41,1914.11,1968.55,1968.55,
2024-10-25,1983.43,1983.43,1900.67,1925.76,1925.76,
2024-10-28,1925.76,1988.49,1915.94,1954.27,1954.27,
2024-10-29,1973.41,1973.61,1929.43,1968.4,1968.4,
2024-10-30,1947.83,1978.17,1904.73,1911.87,1911.87,
2024-10-31,1911.87,1971.23,1891.34,1950.6,1950.6,
2024-11-01,1963.59,1981.15,1945.79,1957.05,1957.05,
2024-11-04,1958.19,1965.69,1899.62,1922.05,1922.05,
2024-11-05,1911.08,1995.47,1903.24,1984.25,1984.25,
2024-11-06,1995.47,2029.17,1986.78,2007.83,2007.83,
2024-11-07,2022.27,2074.79,2006.59,2017.56,2017.56,
2024-11-08,2030.76,2057.67,1991.5,2002.22,2002.22,
2024-11-11,2005.99,2026.15,1968.96,1998.2,1998.2,
2024-11-12,2010.96,2029.22,1966.68,1975.27,1975.27,
2024-11-13,1974.62,1996.61,1897.58,1913.22,1913.22,
2024-11-14,1922.0,1990.7,1908.85,1965.98,1965.98,
2024-11-18,1962.76,1974.92,1891.23,1897.58,1897.58,
2024-11-19,1901.65,1965.44,1901.65,1918.78,1918.78,
2024-11-21,1923.99,1950.25,1886.41,1903.49,1903.49,
2024-11-22,1914.66,1947.72,1877.48,1927.81,1927.81,
2024-11-25,1992.19,2031.95,1904.33,1932.78,1932.78,
2024-11-26,1916.05,1990.26,1911.63,1964.94,1964.94,
2024-11-27,1980.58,2028.23,1936.7,1978.05,1978.05,
2024-11-28,1982.17,2010.86,1958.09,2004.7,2004.7,
2024-11-29,2004.7,2004.9,1941.46,1992.84,1992.84,
2024-12-02,1999.44,2069.43,1979.49,2054.69,2054.69,
2024-12-03,2076.73,2103.93,2016.32,2045.45,2045.45,
2024-12-04,2084.77,2161.26,2072.16,2149.1,2149.1,
2024-12-05,2166.23,2176.15,2098.77,2114.8,2114.8,
2024-12-06,2131.38,2141.85,2101.7,2127.8,2127.8,
2024-12-09,2131.92,2161.61,2117.18,2124.43,2124.43,
2024-12-10,2124.43,2132.92,2106.51,2114.35,2114.35,
2024-12-11,2117.58,2126.27,2103.68,2119.12,2119.12,
2024-12-12,2119.86,2139.07,2100.55,2112.47,2112.47,
