date,open,high,low,close,adj_close,volume
2024-07-11,9591.09,9600.37,9305.73,9416.66,9416.66,
2024-07-12,9544.72,9934.25,9394.63,9792.24,9792.24,
2024-07-15,9917.55,10360.24,9816.03,10131.64,10131.64,
2024-07-16,10156.91,10425.91,10133.72,10289.18,10289.18,
2024-07-18,10244.15,10392.7,10043.15,10149.45,10149.45,
2024-07-19,10407.36,10412.0,9924.65,10038.46,10038.46,
2024-07-22,9925.02,10254.31,9847.1,10021.53,10021.53,
2024-07-23,10064.11,10264.0,9618.92,10194.43,10194.43,
2024-07-24,10239.47,10570.56,10204.22,10303.84,10303.84,
2024-07-25,10017.78,10546.49,9943.94,10281.3,10281.3,
2024-07-26,10388.81,10500.11,10250.6,10290.16,10290.16,
2024-07-29,10392.19,10614.76,10293.73,10476.42,10476.42,
2024-07-30,10481.56,10481.56,10263.58,10300.5,10300.5,
2024-07-31,10307.18,10390.75,10149.49,10244.89,10244.89,
2024-08-01,10370.44,10410.09,10020.14,10120.64,10120.64,
2024-08-02,10018.52,10062.86,9580.24,9637.1,9637.1,
2024-08-05,9192.84,9486.69,8909.37,9166.82,9166.82,
2024-08-06,9410.03,9532.42,9051.99,9089.51,9089.51,
2024-08-07,9266.44,9366.62,9230.27,9311.52,9311.52,
2024-08-08,9386.1,9665.3,9239.22,9332.62,9332.62,
2024-08-09,9520.09,9822.99,9520.09,9798.96,9798.96,
2024-08-12,9837.09,10004.05,9697.81,9957.07,9957.07,
2024-08-13,10044.68,10152.27,9832.26,9954.7,9954.7,
2024-08-14,10005.26,10107.75,9838.66,9862.08,9862.08,
2024-08-16,10017.59,10209.78,9980.77,10109.1,10109.1,
2024-08-19,10174.81,10329.35,10110.53,10151.49,10151.49,
2024-08-20,10231.12,10318.68,10157.65,10255.88,10255.88,
2024-08-21,10294.19,10386.95,10204.54,10349.85,10349.85,
2024-08-22,10411.07,10488.05,10221.84,10301.66,10301.66,
2024-08-23,10353.18,10353.18,10110.53,10139.75,10139.75,
2024-08-26,10248.74,10376.89,10199.39,10210.2,10210.2,
2024-08-27,10244.75,10248.7,10049.08,10157.0,10157.0,
2024-08-28,10161.13,10335.7,10105.85,10222.31,10222.31,
2024-08-29,10202.36,10211.64,9982.53,10024.97,10024.97,
2024-08-30,10100.14,10450.91,9950.81,10192.81,10192.81,
2024-09-02,10086.46,10225.55,9944.27,10145.55,10145.55,
2024-09-03,10184.74,10736.65,10136.69,10625.57,10625.57,
2024-09-04,10527.01,10527.94,10326.66,10411.07,10411.07,
2024-09-05,10481.47,10499.19,10351.84,10451.04,10451.04,
2024-09-06,10435.23,10512.17,10022.83,10062.11,10062.11,
2024-09-09,10064.16,10225.74,9980.12,10131.36,10131.36,
2024-09-10,10481.56,10620.51,10231.12,10441.96,10441.96,
2024-09-11,10576.17,10728.85,10402.67,10539.67,10539.67,
2024-09-12,10673.66,10868.36,10645.97,10737.2,10737.2,
2024-09-13,10796.01,11421.7,10750.88,11373.79,11373.79,
2024-09-16,11362.76,11464.79,11114.31,11352.65,11352.65,
2024-09-17,11362.76,11705.03,11334.23,11391.0,11391.0,
2024-09-18,11408.21,11408.21,10273.09,10444.0,10444.0,
2024-09-19,10711.23,10713.41,9879.8,10244.06,10244.06,
2024-09-20,10309.96,10584.75,10214.61,10547.98,10547.98,
2024-09-23,10569.68,10697.96,10455.22,10602.98,10602.98,
2024-09-24,10574.32,10827.55,10529.15,10787.66,10787.66,
2024-09-25,10784.92,10818.55,10287.75,10377.58,10377.58,
2024-09-26,10417.51,10530.72,10408.1,10462.69,10462.69,
2024-09-27,10590.09,10801.57,10506.42,10567.64,10567.64,
2024-09-30,10566.9,10655.02,10449.61,10628.77,10628.77,
2024-10-01,10574.41,10664.29,10496.54,10613.88,10613.88,
2024-10-03,10463.01,10660.49,10258.95,10364.46,10364.46,
