date,open,high,low,close,adj_close,volume
2024-07-11,487.42,552.53,486.28,521.8,521.8,10303383
2024-07-12,541.68,618.39,532.21,581.88,581.88,28989089
2024-07-15,566.31,610.34,560.72,604.85,604.85,15786984
2024-07-16,606.08,606.08,582.41,585.72,585.72,11050736
2024-07-18,589.03,591.59,549.26,553.9,553.9,12569307
2024-07-19,549.26,549.26,527.15,540.83,540.83,9200372
2024-07-22,532.21,535.24,517.11,525.82,525.82,8938610
2024-07-23,533.26,545.28,484.86,519.29,519.29,14343791
2024-07-24,520.66,531.08,512.71,514.69,514.69,5933103
2024-07-25,513.27,562.99,509.87,536.85,536.85,21807623
2024-07-26,544.53,546.32,527.91,530.94,530.94,6875211
2024-07-29,535.72,561.48,527.2,549.64,549.64,9295179
2024-07-30,551.49,573.41,544.95,552.15,552.15,9656804
2024-07-31,557.55,557.55,545.47,546.94,546.94,5839253
2024-08-01,552.48,582.41,551.15,567.3,567.3,18687167
2024-08-02,564.37,582.31,558.73,573.88,573.88,10032774
2024-08-05,559.58,566.12,538.18,545.14,545.14,6908025
2024-08-06,543.58,560.15,539.89,541.02,541.02,5409173
2024-08-07,558.73,591.78,554.56,585.06,585.06,23272182
2024-08-08,585.06,585.72,565.6,580.37,580.37,7145183
2024-08-09,586.19,621.14,578.81,609.82,609.82,19857286
2024-08-12,608.45,645.85,597.13,631.89,631.89,13026500
2024-08-13,642.73,655.32,638.28,650.92,650.92,14550940
2024-08-14,655.32,676.44,611.0,623.98,623.98,19816227
2024-08-16,629.71,650.16,625.59,641.78,641.78,7469028
2024-08-19,653.43,665.08,648.79,653.0,653.0,6055414
2024-08-20,657.98,658.4,634.54,637.05,637.05,4232327
2024-08-21,639.7,646.8,634.54,635.72,635.72,3726311
2024-08-22,641.83,648.41,637.09,645.05,645.05,3506656
2024-08-23,644.72,650.49,639.51,645.62,645.62,3227594
2024-08-26,650.59,676.16,650.07,665.13,665.13,9749464
2024-08-27,672.37,691.12,670.48,680.47,680.47,6716477
2024-08-28,683.73,691.22,666.22,687.9,687.9,5658011
2024-08-29,689.32,705.52,669.96,695.0,695.0,6785969
2024-08-30,698.42,729.69,685.12,704.13,704.13,79429798
2024-09-02,689.25,698.14,681.56,690.11,690.11,5735191
2024-09-03,684.17,697.47,675.67,693.53,693.53,5884801
2024-09-04,687.88,691.11,643.88,648.3,648.3,7645313
2024-09-05,654.67,660.75,619.32,622.31,622.31,8018321
2024-09-06,627.01,632.81,594.37,595.75,595.75,7382176
2024-09-09,594.94,608.15,576.37,602.5,602.5,8052402
2024-09-10,609.96,612.9,575.84,578.6,578.6,5509452
2024-09-11,577.55,577.74,541.64,552.75,552.75,12283035
2024-09-12,554.94,558.64,537.17,550.14,550.14,9441722
2024-09-13,549.24,558.74,545.44,556.46,556.46,5434486
2024-09-16,555.89,579.6,548.95,577.36,577.36,6438482
2024-09-17,581.59,596.65,567.81,584.82,584.82,9251355
2024-09-18,594.85,595.8,561.45,565.39,565.39,7376182
2024-09-19,565.39,572.52,526.29,543.01,543.01,9094949
2024-09-20,551.14,553.51,532.13,534.79,534.79,9500390
2024-09-23,536.88,557.31,529.42,553.09,553.09,5005764
2024-09-24,557.79,565.3,552.09,563.11,563.11,3796775
2024-09-25,565.34,574.89,548.29,549.9,549.9,4262021
2024-09-26,550.9,550.9,527.19,536.12,536.12,5512784
2024-09-27,535.93,565.39,530.23,557.55,557.55,5855512
2024-09-30,557.74,560.64,544.77,551.76,551.76,3318663
2024-10-01,544.01,554.84,539.64,540.45,540.45,1959496
2024-10-03,545.82,548.29,508.28,511.99,511.99,7687449
2024-10-04,517.07,549.24,516.83,544.25,544.25,11396936
2024-10-07,541.64,546.39,515.31,520.11,520.11,4426253
2024-10-08,522.11,539.5,513.98,537.45,537.45,3810847
2024-10-09,534.98,548.29,530.28,545.77,545.77,3379666
2024-10-10,551.14,564.44,541.83,544.01,544.01,3260024
2024-10-11,546.39,559.69,542.68,555.46,555.46,1855197
2024-10-14,558.74,561.54,544.68,557.12,557.12,1986479
2024-10-15,555.65,555.65,524.63,531.61,531.61,4514251
2024-10-16,531.56,532.7,492.22,500.97,500.97,12606593
2024-10-17,502.39,506.95,493.51,498.97,498.97,4053280
2024-10-18,498.97,519.73,496.74,506.86,506.86,4624545
2024-10-21,506.86,506.86,495.41,503.53,503.53,2331311
2024-10-22,503.63,508.04,487.0,490.89,490.89,2206145
2024-10-23,490.89,497.5,468.51,479.82,479.82,3453696
2024-10-24,481.77,492.75,478.44,484.86,484.86,2688448
2024-10-25,488.23,490.32,457.97,461.2,461.2,3417307
2024-10-28,455.73,467.47,444.9,452.36,452.36,3722104
2024-10-29,454.21,464.48,449.13,455.59,455.59,2136430
2024-10-30,458.68,463.67,445.28,447.75,447.75,1866841
2024-10-31,450.41,454.12,439.53,448.27,448.27,2491383
2024-11-01,448.23,454.45,445.66,449.46,449.46,418453
2024-11-04,450.08,452.88,436.21,448.8,448.8,2993901
2024-11-05,446.61,473.69,443.9,470.94,470.94,3876641
2024-11-06,477.97,504.77,470.65,498.97,498.97,5991131
2024-11-07,502.25,509.18,487.61,498.45,498.45,3523566
2024-11-08,498.45,498.45,476.83,483.24,483.24,2521219
2024-11-11,479.87,485.43,468.37,481.3,481.3,1196906
2024-11-12,481.3,486.38,468.18,471.94,471.94,1152726
2024-11-13,469.8,476.45,451.36,456.92,456.92,2249137
2024-11-14,455.15,461.46,444.01,454.63,454.63,2114574
2024-11-18,454.63,460.75,443.68,451.76,451.76,999530
2024-11-19,456.4,469.93,456.11,464.19,464.19,1270704
2024-11-21,458.98,466.87,454.29,464.76,464.76,1209903
2024-11-22,466.15,487.23,466.15,484.94,484.94,1956028
2024-11-25,495.74,505.83,487.71,496.03,496.03,4179863
2024-11-26,496.75,501.53,480.01,482.21,482.21,1448543
2024-11-27,484.8,485.27,468.54,482.88,482.88,1705641
2024-11-28,478.63,489.05,471.5,482.64,482.64,2538775
2024-11-29,473.42,481.69,466.91,469.11,469.11,3714719
2024-12-02,463.95,471.65,457.07,458.36,458.36,3993058
2024-12-03,463.57,470.98,460.89,468.83,468.83,2086164
2024-12-04,471.41,480.92,465.72,467.68,467.68,2969020
2024-12-05,470.45,470.45,449.46,453.0,453.0,4375627
2024-12-06,455.73,456.87,452.57,454.1,454.1,1982279
2024-12-09,454.29,455.73,445.64,447.36,447.36,2305005
2024-12-10,448.56,452.24,443.06,448.75,448.75,1733645
2024-12-11,449.42,454.2,448.08,448.99,448.99,1181212
2024-12-12,451.28,451.33,445.35,445.78,445.78,1011901
2024-12-13,447.5,450.75,431.34,434.45,434.45,2862359
2024-12-16,435.07,442.39,434.59,441.0,441.0,1766363
2024-12-17,439.28,440.95,424.55,425.32,425.32,1768145
2024-12-18,427.23,431.25,420.92,425.89,425.89,2568119
2024-12-19,416.9,427.76,415.18,419.73,419.73,3369177
2024-12-20,419.77,422.45,398.74,403.33,403.33,3345519
2024-12-23,403.57,408.2,395.87,402.23,402.23,2754816
2024-12-24,404.47,409.92,400.22,406.96,406.96,1408323
2024-12-26,407.68,410.21,403.61,408.35,408.35,1140246
2024-12-27,409.26,410.74,403.33,406.53,406.53,994577
2024-12-30,407.15,414.94,397.02,402.85,402.85,6466718
2024-12-31,402.32,418.0,399.6,411.88,411.88,3137020
2025-01-01,414.99,419.25,409.54,417.96,417.96,1408767
2025-01-02,416.57,446.55,416.47,443.01,443.01,8809869
2025-01-03,447.5,469.73,445.59,460.03,460.03,12072883
2025-01-06,462.85,464.28,435.6,437.65,437.65,2853849
2025-01-07,439.85,457.69,439.85,453.58,453.58,5339442
2025-01-08,454.48,472.89,452.91,470.17,470.17,7307026
2025-01-09,468.54,468.54,434.12,446.55,446.55,9333706
2025-01-10,449.42,450.99,434.59,435.89,435.89,3609946
2025-01-13,444.63,457.69,429.19,432.59,432.59,9815743
2025-01-14,432.59,447.46,432.59,444.78,444.78,2788151
2025-01-15,445.59,453.24,440.81,443.73,443.73,1858906
2025-01-16,458.02,463.18,445.69,450.18,450.18,2574384
2025-01-17,449.42,457.02,448.94,454.01,454.01,1688995
2025-01-20,454.01,466.01,449.56,462.61,462.61,2542513
2025-01-21,462.66,468.44,451.66,453.48,453.48,2543729
2025-01-22,453.48,454.24,428.67,434.45,434.45,4206722
2025-01-23,432.25,449.42,422.88,431.53,431.53,3508784
2025-01-24,430.05,433.83,404.52,405.91,405.91,4061399
2025-01-27,405.91,405.91,387.69,388.84,388.84,2668031
2025-01-28,391.09,393.67,373.4,379.66,379.66,2714364
2025-01-29,380.57,390.9,374.93,389.7,389.7,2555776
2025-01-30,390.13,402.56,384.54,399.45,399.45,3432662
2025-01-31,399.45,406.43,393.1,402.04,402.04,2624269
2025-02-01,402.56,408.25,388.7,392.71,392.71,1123769
2025-02-03,392.57,395.87,372.3,377.51,377.51,2667713
2025-02-04,383.82,389.13,379.42,387.69,387.69,1597972
2025-02-05,389.17,413.94,389.13,412.7,412.7,4779988
2025-02-06,417.38,417.38,402.9,406.39,406.39,2345991
2025-02-07,406.39,409.02,393.67,406.2,406.2,2037690
2025-02-10,396.63,397.35,380.09,387.5,387.5,5734994
2025-02-11,387.31,396.2,377.8,394.15,394.15,4121580
2025-02-12,394.43,402.66,386.31,399.26,399.26,4836753
2025-02-13,399.26,399.69,387.93,394.82,394.82,3027874
2025-02-14,396.82,399.26,373.01,378.99,378.99,3299511
2025-02-17,374.71,391.06,365.02,389.89,389.89,2989496
2025-02-18,393.88,393.88,375.83,387.95,387.95,3238537
2025-02-19,384.49,395.44,381.23,385.8,385.8,2327087
2025-02-20,387.41,398.61,381.18,394.86,394.86,2790526
2025-02-21,394.32,401.38,380.21,381.96,381.96,2221369
2025-02-24,381.96,382.98,367.07,368.72,368.72,2394354
2025-02-25,368.97,375.73,358.5,362.49,362.49,2575940
2025-02-27,363.95,366.39,352.51,356.17,356.17,2591172
2025-02-28,355.24,357.67,331.88,333.58,333.58,5947063
2025-03-03,335.92,341.32,330.03,332.56,332.56,3001287
2025-03-04,326.57,343.71,319.42,341.86,341.86,3464023
2025-03-05,343.75,366.48,342.63,358.4,358.4,4917698
2025-03-06,361.42,366.14,355.58,362.3,362.3,3232955
2025-03-07,362.1,362.1,355.09,359.91,359.91,3422495
2025-03-10,361.13,367.7,349.69,353.2,353.2,2691390
2025-03-11,350.42,361.76,344.34,359.33,359.33,1942431
2025-03-12,361.13,364.54,352.13,357.04,357.04,1926697
2025-03-13,360.16,371.84,358.31,365.51,365.51,4620549
2025-03-17,366.97,374.46,366.05,368.09,368.09,1959640
2025-03-18,368.09,368.09,368.09,368.09,368.09,0
2025-03-19,375.73,377.68,370.52,375.58,375.58,2152373
2025-03-20,378.5,383.42,373.35,380.89,380.89,2113205
2025-03-21,382.54,389.84,379.23,383.13,383.13,3858351
2025-03-24,387.41,393.64,385.9,387.51,387.51,1611951
2025-03-25,392.13,392.13,373.49,379.92,379.92,2899258
2025-03-26,379.92,386.34,369.06,370.77,370.77,3544394
2025-03-27,371.84,381.38,370.86,375.78,375.78,6258419
2025-03-28,378.07,386.05,371.93,376.46,376.46,3059820
2025-04-01,376.46,384.34,374.27,375.2,375.2,1893089
2025-04-02,375.93,383.13,364.05,381.67,381.67,2198587
2025-04-03,377.39,382.01,371.84,375.78,375.78,1896611
2025-04-04,371.84,374.66,345.17,348.23,348.23,5358396
2025-04-07,319.13,336.6,316.35,334.12,334.12,4117814
2025-04-08,339.71,345.36,333.05,344.05,344.05,2609456
2025-04-09,339.71,342.39,327.45,340.35,340.35,3883921
2025-04-11,345.56,351.49,341.66,349.35,349.35,2046609
2025-04-15,357.24,358.21,351.69,356.21,356.21,1484895
2025-04-16,360.16,369.4,356.51,368.24,368.24,3321597
2025-04-17,369.89,376.41,367.16,374.17,374.17,2432713
2025-04-21,375.83,387.9,371.2,385.32,385.32,2997217
2025-04-22,385.32,395.98,381.28,393.25,393.25,2872315
2025-04-23,394.22,401.82,388.58,396.03,396.03,2391063
2025-04-24,393.25,395.78,386.63,391.89,391.89,2916837
2025-04-25,390.23,393.79,378.75,388.73,388.73,2820294
2025-04-28,387.17,395.93,383.03,394.37,394.37,1727973
2025-04-29,394.81,401.87,390.82,393.69,393.69,3607844
2025-04-30,393.69,402.99,387.22,399.82,399.82,3621149
2025-05-02,397.15,405.42,394.42,395.1,395.1,1654410
2025-05-05,389.36,394.95,378.36,393.84,393.84,3367921
2025-05-06,395.15,397.58,384.98,387.65,387.65,2022615
2025-05-07,379.62,397.78,378.65,396.03,396.03,2358373
2025-05-08,395.39,403.96,383.32,388.24,388.24,1905734
2025-05-09,379.62,393.25,378.65,392.57,392.57,1994556
2025-05-12,398.61,410.97,398.17,405.37,405.37,3053060
2025-05-13,405.42,407.07,395.73,396.61,396.61,1331889
2025-05-14,401.04,414.18,399.68,407.71,407.71,3578800
2025-05-15,407.76,412.72,402.01,411.26,411.26,2371184
2025-05-16,411.26,417.44,409.56,412.62,412.62,2335245
2025-05-19,414.71,418.51,410.29,411.7,411.7,1823984
2025-05-20,414.13,422.45,409.8,412.04,412.04,2609402
2025-05-21,415.64,417.25,409.85,415.15,415.15,1356827
2025-05-22,411.26,411.26,393.35,407.22,407.22,7564155
2025-05-23,406.88,419.0,405.32,414.62,414.62,2120628
2025-05-26,416.66,420.99,415.15,416.32,416.32,1189416
2025-05-27,416.37,421.09,414.23,419.83,419.83,1061214
2025-05-28,423.28,424.16,417.15,418.71,418.71,2023901
2025-05-29,422.45,436.32,418.71,432.43,432.43,3572959
2025-05-30,435.11,435.11,413.01,415.44,415.44,5966660
2025-06-02,416.61,417.49,408.05,412.33,412.33,1873611
2025-06-03,416.52,417.93,405.76,407.02,407.02,1876719
2025-06-04,406.39,414.08,403.28,413.69,413.69,1609449
2025-06-05,414.18,418.27,407.66,411.26,411.26,2710704
2025-06-06,411.21,415.35,408.97,413.16,413.16,1215059
