date,open,high,low,close,adj_close,volume
2024-07-11,270.26,276.75,265.89,274.54,274.54,
2024-07-12,276.39,280.85,274.05,276.66,276.66,
2024-07-15,280.89,291.57,278.05,290.53,290.53,
2024-07-16,291.52,295.13,288.05,290.67,290.67,
2024-07-18,292.87,300.26,289.77,298.82,298.82,
2024-07-19,299.99,300.17,286.52,287.96,287.96,
2024-07-22,288.28,291.3,283.32,289.0,289.0,
2024-07-23,288.32,289.54,267.92,283.01,283.01,
2024-07-24,282.02,293.46,281.16,287.87,287.87,
2024-07-25,286.52,304.09,284.77,302.51,302.51,
2024-07-26,303.14,304.95,297.38,298.73,298.73,
2024-07-29,300.71,305.89,297.96,299.9,299.9,
2024-07-30,299.09,304.72,298.19,299.0,299.0,
2024-07-31,299.14,304.0,297.06,301.07,301.07,
2024-08-01,304.32,310.53,303.73,307.87,307.87,
2024-08-02,304.5,304.5,296.07,297.38,297.38,
2024-08-05,288.59,291.25,275.67,279.5,279.5,
2024-08-06,283.6,290.49,274.9,275.76,275.76,
2024-08-07,281.43,298.14,281.07,296.48,296.48,
2024-08-08,296.39,296.39,289.81,290.71,290.71,
2024-08-09,300.85,302.56,295.67,299.59,299.59,
2024-08-12,299.77,310.53,297.2,307.47,307.47,
2024-08-13,309.99,310.8,299.95,302.6,302.6,
2024-08-14,302.56,303.14,294.41,295.62,295.62,
2024-08-16,299.59,302.47,296.07,296.93,296.93,
2024-08-19,301.79,305.17,300.49,302.06,302.06,
2024-08-20,302.56,302.69,295.53,297.38,297.38,
2024-08-21,297.87,298.64,294.14,295.22,295.22,
2024-08-22,295.98,297.74,291.52,292.2,292.2,
2024-08-23,294.51,294.88,288.29,289.52,289.52,
2024-08-26,293.7,298.78,293.06,297.65,297.65,
2024-08-27,299.05,301.91,295.97,298.55,298.55,
2024-08-28,298.37,299.87,294.74,297.6,297.6,
2024-08-29,296.06,299.73,295.01,299.23,299.23,
2024-08-30,300.01,303.59,299.19,300.28,300.28,
2024-09-02,299.6,301.37,295.78,296.15,296.15,
2024-09-03,296.87,297.78,292.02,292.52,292.52,
2024-09-04,285.98,287.07,279.99,285.43,285.43,
2024-09-05,287.75,287.75,281.58,282.71,282.71,
2024-09-06,282.8,284.3,275.72,280.35,280.35,
2024-09-09,280.26,280.26,267.5,271.36,271.36,
2024-09-10,272.45,273.72,267.82,268.37,268.37,
2024-09-11,265.46,265.46,257.15,259.02,259.02,
2024-09-12,261.47,267.6,260.11,266.96,266.96,
2024-09-13,268.46,269.86,264.24,264.6,264.6,
2024-09-16,267.64,268.19,264.51,265.55,265.55,
2024-09-17,266.64,269.27,265.23,267.5,267.5,
2024-09-18,270.18,270.36,261.38,263.65,263.65,
2024-09-19,260.92,262.56,256.47,258.97,258.97,
2024-09-20,260.56,262.42,258.92,259.88,259.88,
2024-09-23,261.83,269.09,261.06,268.23,268.23,
2024-09-24,269.0,274.18,267.55,271.86,271.86,
2024-09-25,271.86,273.45,269.37,271.18,271.18,
2024-09-26,269.68,271.18,264.64,268.0,268.0,
2024-09-27,265.73,270.95,263.01,269.82,269.82,
2024-09-30,269.64,274.0,266.69,270.18,270.18,
2024-10-01,269.64,271.59,263.92,265.05,265.05,
2024-10-03,267.82,270.55,263.78,265.14,265.14,
2024-10-04,269.64,272.09,266.19,268.05,268.05,
2024-10-07,268.73,269.0,255.57,262.78,262.78,
2024-10-08,261.6,266.82,254.7,266.41,266.41,
2024-10-09,264.42,265.01,260.42,261.92,261.92,
2024-10-10,262.1,265.23,261.06,262.15,262.15,
2024-10-11,264.46,266.6,262.83,265.6,265.6,
2024-10-14,265.73,265.92,258.88,260.11,260.11,
2024-10-15,260.01,260.01,254.98,257.56,257.56,
2024-10-16,256.93,260.79,254.79,259.11,259.11,
2024-10-17,258.74,261.1,255.07,255.66,255.66,
2024-10-18,256.02,258.29,253.48,257.2,257.2,
2024-10-21,255.25,257.84,249.26,251.12,251.12,
2024-10-22,252.39,252.52,245.13,245.85,245.85,
2024-10-23,245.13,249.12,240.63,245.9,245.9,
2024-10-24,246.85,247.35,243.63,244.31,244.31,
2024-10-25,245.13,245.4,237.5,239.72,239.72,
2024-10-28,236.64,240.63,231.78,239.09,239.09,
2024-10-29,239.09,241.09,235.5,240.59,240.59,
2024-10-30,240.59,241.68,237.0,237.54,237.54,
2024-10-31,239.13,243.58,237.09,241.63,241.63,
2024-11-01,244.94,248.76,243.9,246.71,246.71,
2024-11-04,248.76,249.07,236.18,240.86,240.86,
2024-11-05,240.77,243.85,239.31,242.76,242.76,
2024-11-06,243.04,245.67,240.04,244.26,244.26,
2024-11-07,245.58,245.58,240.4,240.77,240.77,
2024-11-08,241.45,241.95,235.73,238.36,238.36,
2024-11-11,238.18,238.18,232.42,233.23,233.23,
2024-11-12,236.82,238.95,231.87,232.55,232.55,
2024-11-13,232.55,233.28,226.06,229.28,229.28,
2024-11-14,229.28,230.87,226.06,227.69,227.69,
2024-11-18,227.97,228.87,224.34,227.56,227.56,
2024-11-19,232.53,237.56,229.84,230.67,230.67,
2024-11-21,230.67,230.67,223.98,225.23,225.23,
2024-11-22,227.7,229.7,226.49,228.44,228.44,
2024-11-25,231.14,242.3,230.63,239.88,239.88,
2024-11-26,239.0,240.21,234.91,236.49,236.49,
2024-11-27,237.18,237.65,233.05,236.53,236.53,
2024-11-28,237.18,239.42,233.65,234.58,234.58,
2024-11-29,236.07,240.58,234.63,238.77,238.77,
2024-12-02,237.65,240.25,235.05,239.56,239.56,
2024-12-03,242.21,246.21,240.77,244.02,244.02,
2024-12-04,245.42,245.84,241.84,242.49,242.49,
2024-12-05,242.49,244.86,238.95,243.04,243.04,
2024-12-06,242.58,244.63,241.42,241.88,241.88,
2024-12-09,241.88,243.09,239.7,240.81,240.81,
2024-12-10,239.65,240.67,236.72,238.95,238.95,
2024-12-11,239.51,240.63,237.79,238.67,238.67,
2024-12-12,239.98,240.53,235.88,236.3,236.3,
2024-12-13,235.32,238.86,232.07,236.49,236.49,
2024-12-16,236.25,238.39,233.65,234.21,234.21,
2024-12-17,234.16,234.81,229.28,230.12,230.12,
2024-12-18,230.12,230.21,226.4,227.09,227.09,
2024-12-19,223.23,226.91,221.88,224.95,224.95,
2024-12-20,224.63,227.09,218.86,220.54,220.54,
2024-12-23,221.61,225.37,220.3,224.02,224.02,
2024-12-24,224.16,226.26,221.93,222.26,222.26,
2024-12-26,223.23,225.09,222.3,223.47,223.47,
2024-12-27,223.23,224.16,219.79,220.35,220.35,
2024-12-30,219.56,220.44,215.0,216.4,216.4,
2024-12-31,216.4,223.14,216.12,222.54,222.54,
2025-01-01,221.2,222.53,219.84,220.4,220.4,
2025-01-02,220.49,229.54,220.44,228.88,228.88,
2025-01-03,231.09,244.39,230.66,240.8,240.8,
2025-01-06,241.01,241.37,233.88,236.59,236.59,
2025-01-07,241.04,248.72,240.02,245.08,245.08,
2025-01-08,247.83,254.39,247.18,252.37,252.37,
2025-01-09,253.03,253.55,243.43,244.79,244.79,
2025-01-10,245.56,247.88,240.41,244.64,244.64,
2025-01-13,247.44,249.83,236.82,237.86,237.86,
