date,open,high,low,close,adj_close,volume
2024-07-11,38130.9,38399.02,37825.75,38035.87,38035.87,11552
2024-07-12,38035.87,38525.5,37727.96,38396.12,38396.12,11026
2024-07-15,38299.54,39357.5,37794.89,39156.18,39156.18,40603
2024-07-16,39117.02,39937.01,39000.2,39553.57,39553.57,30665
2024-07-18,39193.31,39543.38,38333.73,38771.3,38771.3,27609
2024-07-19,38480.53,39333.26,38439.97,39120.98,39120.98,40304
2024-07-22,38681.67,39469.55,38187.85,38826.6,38826.6,41263
2024-07-23,38826.59,39647.26,38733.63,39502.77,39502.77,19072
2024-07-24,39502.39,40043.49,38874.6,39602.93,39602.93,21988
2024-07-25,39502.38,40081.88,38826.3,39908.27,39908.27,16055
2024-07-26,40072.22,40197.78,39773.88,40027.75,40027.75,6425
2024-07-29,40026.83,40315.13,39521.7,39727.9,39727.9,31835
2024-07-30,39727.9,41240.87,39724.52,41054.81,41054.81,29267
2024-07-31,40999.46,41400.43,40779.21,40947.98,40947.98,18411
2024-08-01,40897.04,41083.98,40339.76,40578.66,40578.66,13056
2024-08-02,40324.3,41455.29,40163.83,41339.39,41339.39,18905
2024-08-05,40762.92,40938.42,39840.42,40013.78,40013.78,23362
2024-08-06,39846.21,40824.06,39499.48,39633.97,39633.97,16947
2024-08-07,40082.84,40323.33,39415.65,39880.12,39880.12,14050
2024-08-08,39792.13,40540.8,38890.05,39342.06,39342.06,33948
2024-08-09,39550.67,39550.67,38233.76,38831.95,38831.95,60060
2024-08-12,38796.36,39647.26,38235.84,39426.37,39426.37,26469
2024-08-13,39426.37,40108.88,39162.41,39679.18,39679.18,8575
2024-08-14,39600.94,39788.46,39029.03,39238.9,39238.9,11054
2024-08-16,39358.88,40042.18,39358.88,39842.46,39842.46,5230
2024-08-19,39860.52,40230.99,39457.74,39945.17,39945.17,23708
2024-08-20,39945.17,40211.43,39733.05,39819.89,39819.89,9306
2024-08-21,39893.55,40574.51,39771.97,40447.0,40447.0,8417
2024-08-22,40389.97,41278.19,40389.97,41038.2,41038.2,14188
2024-08-23,40920.08,41316.53,40243.3,40392.32,40392.32,18586
2024-08-26,40691.37,41202.26,40432.75,40782.35,40782.35,15955
2024-08-27,40584.48,41177.92,40291.51,40407.64,40407.64,10982
2024-08-28,40258.42,40602.33,39998.97,40212.98,40212.98,8848
2024-08-29,40511.42,40769.26,40307.52,40638.64,40638.64,11821
2024-08-30,40482.22,41733.66,40477.35,41373.06,41373.06,29592
2024-09-02,41373.06,41465.5,40581.46,40715.35,40715.35,15302
2024-09-03,40685.14,41016.41,40578.06,40829.78,40829.78,7055
2024-09-04,40496.81,40835.27,39971.48,40152.22,40152.22,12986
2024-09-05,40136.8,40484.36,39844.85,39944.34,39944.34,17009
2024-09-06,40156.26,40156.26,39176.05,39271.2,39271.2,17008
2024-09-09,39455.69,39455.69,38959.45,39228.1,39228.1,11177
2024-09-10,39309.74,39732.9,39228.1,39289.21,39289.21,8622
2024-09-11,39309.74,41403.61,39212.44,40694.53,40694.53,54335
2024-09-12,40687.53,42407.86,40653.47,42093.24,42093.24,56171
2024-09-13,42034.18,42563.74,41839.57,42193.31,42193.31,25427
2024-09-16,42559.6,42757.61,41644.0,41893.68,41893.68,21161
2024-09-17,41907.69,42371.38,41793.16,42210.29,42210.29,12632
2024-09-18,42326.08,42909.89,41454.16,41890.17,41890.17,29499
2024-09-19,41946.8,42703.56,41311.91,41854.37,41854.37,16911
2024-09-20,42130.51,42326.08,41645.99,41891.14,41891.14,58654
2024-09-23,41931.62,42265.12,41645.02,41856.75,41856.75,47600
2024-09-24,42170.21,42170.21,40676.88,40826.33,40826.33,36371
2024-09-25,40866.56,40963.81,40107.61,40788.77,40788.77,15582
2024-09-26,40788.77,41080.73,40263.3,40898.87,40898.87,15182
2024-09-27,40817.9,41464.96,40727.66,40899.69,40899.69,30027
2024-09-30,40890.89,41802.22,40601.71,41746.36,41746.36,22288
2024-10-01,41421.27,41785.08,41088.94,41561.53,41561.53,16016
2024-10-03,41337.74,41436.75,40328.48,40539.19,40539.19,22241
2024-10-04,40671.95,41141.73,40006.85,40272.58,40272.58,22836
2024-10-07,40872.84,40872.84,39703.81,40301.19,40301.19,27657
2024-10-08,40175.72,41222.68,40001.55,41126.45,41126.45,19405
2024-10-09,41129.23,42986.76,41129.23,42749.73,42749.73,49967
2024-10-10,42749.73,43055.74,42605.24,42973.18,42973.18,20708
2024-10-11,43398.34,44855.92,43398.34,44145.76,44145.76,57301
2024-10-14,43591.0,44760.56,43591.0,44416.6,44416.6,35069
2024-10-15,44422.88,45242.11,44330.49,45009.36,45009.36,51464
2024-10-16,45050.52,45547.14,44768.34,45335.75,45335.75,33728
2024-10-17,45196.47,45487.69,44098.47,44236.84,44236.84,16313
2024-10-18,44238.05,44644.19,43801.95,44340.85,44340.85,9883
2024-10-21,44224.43,44661.31,43113.35,43314.32,43314.32,19251
2024-10-22,43397.37,43716.9,42730.42,42872.09,42872.09,18560
2024-10-23,42617.99,43052.73,41699.51,41980.91,41980.91,14438
2024-10-24,41888.23,43128.82,41688.76,42269.26,42269.26,9914
2024-10-25,42462.3,43038.23,41488.32,41877.13,41877.13,17424
2024-10-28,41644.97,42310.41,41158.46,41346.74,41346.74,10711
2024-10-29,41722.81,42658.71,41431.01,42182.56,42182.56,19209
2024-10-30,42131.47,42588.79,41699.55,42089.05,42089.05,10872
2024-10-31,42107.15,42326.08,41565.28,41998.95,41998.95,18604
2024-11-01,42155.8,42326.03,41998.95,42228.48,42228.48,934
2024-11-04,42326.08,42442.84,41470.85,41875.62,41875.62,15803
2024-11-05,41602.16,42326.03,41518.58,42204.65,42204.65,13556
2024-11-06,42227.81,43100.6,42158.43,42961.8,42961.8,12241
2024-11-07,43201.79,44262.38,42603.29,43847.97,43847.97,55886
2024-11-08,43639.65,47028.65,43591.19,46707.46,46707.46,175762
2024-11-11,46510.04,47087.72,45965.79,46067.61,46067.61,26937
2024-11-12,46289.21,46704.64,45752.44,45835.93,45835.93,30704
2024-11-13,45867.41,46057.15,44381.14,44619.28,44619.28,41753
2024-11-14,44984.34,45158.54,44234.39,44394.7,44394.7,23936
2024-11-18,44465.87,44657.78,43017.48,43143.2,43143.2,15803
2024-11-19,43340.78,44299.56,43340.78,43640.99,43640.99,34629
2024-11-21,43732.12,44231.27,43156.01,43485.28,43485.28,24893
2024-11-22,43536.15,44181.76,43439.64,43796.14,43796.14,97797
2024-11-25,44124.43,45189.36,44124.43,44503.15,44503.15,59101
2024-11-26,44612.63,44931.87,44343.0,44502.42,44502.42,23772
2024-11-27,44778.95,44778.95,43855.73,43997.64,43997.64,22236
2024-11-28,44035.4,44469.25,43683.49,43845.55,43845.55,24610
2024-11-29,43682.22,44319.12,43520.74,43678.21,43678.21,42304
2024-12-02,43781.03,45425.87,43634.33,44871.84,44871.84,65013
2024-12-03,45101.8,45485.61,44089.46,45144.12,45144.12,73602
2024-12-04,45299.92,45434.44,44578.39,44938.76,44938.76,49127
2024-12-05,44938.71,45786.59,44771.46,44951.18,44951.18,63726
2024-12-06,45101.79,45590.92,44920.8,45108.4,45108.4,26817
2024-12-09,45238.77,45479.39,44906.03,45122.34,45122.34,35904
2024-12-10,45373.29,45993.8,44920.8,45790.8,45790.8,54641
2024-12-11,45835.56,46256.2,45642.53,46040.91,46040.91,29440
2024-12-12,45902.28,46546.43,45835.56,46397.47,46397.47,47214
2024-12-13,46422.57,47754.88,46288.83,47686.84,47686.84,42994
2024-12-16,47689.53,48330.34,47523.26,48170.77,48170.77,41627
2024-12-17,48009.06,48770.55,48009.06,48147.25,48147.25,53695
2024-12-18,48086.35,48312.59,47498.45,48042.66,48042.66,39776
2024-12-19,47939.0,48392.96,47670.99,48108.31,48108.31,36876
2024-12-20,48134.68,48526.02,47567.23,47798.47,47798.47,32345
2024-12-23,47797.68,48085.76,47317.75,47557.74,47557.74,14370
2024-12-24,47832.27,48002.5,47596.59,47803.07,47803.07,7524
2024-12-26,47803.07,47914.5,45835.56,46063.86,46063.86,21533
2024-12-27,46334.42,46416.6,45483.46,45917.3,45917.3,23819
2024-12-30,46197.55,46667.11,45486.44,45987.5,45987.5,48343
2024-12-31,45738.02,46820.41,45737.72,46485.57,46485.57,37902
2025-01-01,46485.58,46862.83,46047.23,46753.55,46753.55,9446
2025-01-02,46753.54,47221.98,46417.43,47105.99,47105.99,13143
2025-01-03,47400.91,47542.72,46731.72,46903.13,46903.13,18525
2025-01-06,46903.18,47154.32,46555.62,46960.55,46960.55,34830
