date,open,high,low,close,adj_close,volume
2024-07-11,539.81,544.24,533.42,535.81,535.81,1181406
2024-07-12,536.73,539.55,522.23,524.5,524.5,1040784
2024-07-15,524.85,528.39,511.73,513.62,513.62,939912
2024-07-16,515.12,518.23,508.07,513.37,513.37,1845885
2024-07-18,513.01,533.1,507.43,527.02,527.02,4736178
2024-07-19,526.43,528.81,509.39,524.96,524.96,2233107
2024-07-22,523.88,540.01,514.05,529.95,529.95,5744034
2024-07-23,529.47,532.78,511.92,530.43,530.43,1824234
2024-07-24,530.13,544.95,528.22,542.94,542.94,1708809
2024-07-25,535.07,544.93,534.73,539.99,539.99,981588
2024-07-26,537.05,551.53,537.05,549.21,549.21,1682616
2024-07-29,551.53,563.06,550.25,559.98,559.98,2554689
2024-07-30,557.59,566.35,554.51,562.47,562.47,953571
2024-07-31,562.47,567.64,557.79,566.39,566.39,2917629
2024-08-01,566.35,569.64,561.41,567.11,567.11,1467687
2024-08-02,556.8,564.71,555.24,561.63,561.63,1896504
2024-08-05,544.95,558.33,538.0,555.07,555.07,1330791
2024-08-06,566.35,591.81,563.62,580.15,580.15,7823577
2024-08-07,582.82,600.93,578.24,596.81,596.81,2878158
2024-08-08,595.02,605.54,576.23,590.18,590.18,2311179
2024-08-09,590.88,596.65,579.57,592.84,592.84,1187145
2024-08-12,589.4,597.57,578.22,584.08,584.08,827526
2024-08-13,587.66,600.89,576.89,589.02,589.02,2243478
2024-08-14,591.38,591.38,577.55,580.94,580.94,1508019
2024-08-16,583.47,607.18,580.97,600.98,600.98,3062892
2024-08-19,603.03,607.51,590.08,593.07,593.07,931260
2024-08-20,594.34,602.9,584.79,599.91,599.91,702453
2024-08-21,597.32,630.56,596.07,626.07,626.07,8285535
2024-08-22,629.9,638.25,617.42,628.82,628.82,1936431
2024-08-23,625.64,640.44,622.02,625.44,625.44,827589
2024-08-26,624.96,626.61,619.51,622.21,622.21,433539
2024-08-27,623.32,633.1,618.46,629.59,629.59,727203
2024-08-28,629.56,635.14,614.13,632.22,632.22,1671675
2024-08-29,633.85,635.5,622.67,632.19,632.19,1259784
2024-08-30,633.16,644.39,631.02,639.5,639.5,1152168
2024-09-02,641.74,650.28,638.79,648.49,648.49,2777580
2024-09-03,645.43,655.98,632.27,642.27,642.27,1876017
2024-09-04,638.84,649.81,624.62,634.82,634.82,1634181
2024-09-05,641.61,642.09,629.11,636.45,636.45,2758176
2024-09-06,632.21,635.5,622.36,632.55,632.55,2241381
2024-09-09,630.68,636.16,618.3,633.59,633.59,2202183
2024-09-10,635.5,640.77,631.47,639.04,639.04,1740573
2024-09-11,632.6,638.64,625.29,630.96,630.96,1559790
2024-09-12,630.96,636.82,630.63,635.94,635.94,1941219
2024-09-13,620.72,624.37,609.16,612.76,612.76,42290799
2024-09-16,613.04,617.19,606.92,609.88,609.88,2169822
2024-09-17,610.15,612.12,601.58,609.59,609.59,796005
2024-09-18,609.82,610.43,587.76,595.71,595.71,876675
2024-09-19,597.63,599.08,572.94,575.85,575.85,1514820
2024-09-20,575.85,582.82,567.7,569.83,569.83,1583238
2024-09-23,577.88,577.88,567.69,573.33,573.33,1087845
2024-09-24,575.57,575.57,563.06,565.71,565.71,1740597
2024-09-25,565.36,573.3,559.88,571.08,571.08,1290213
2024-09-26,568.33,571.79,561.1,563.67,563.67,2287560
2024-09-27,568.33,570.63,557.13,560.26,560.26,1131768
2024-09-30,559.77,564.89,547.91,554.32,554.32,1707420
2024-10-01,552.52,563.72,550.17,559.78,559.78,902700
2024-10-03,551.73,558.12,543.32,548.0,548.0,1718004
2024-10-04,548.0,549.89,534.08,537.41,537.41,1501578
2024-10-07,537.74,540.34,524.78,536.82,536.82,1766946
2024-10-08,533.42,559.77,529.01,556.51,556.51,1413192
2024-10-09,563.06,564.71,554.14,561.79,561.79,2880783
2024-10-10,564.71,575.57,558.07,573.04,573.04,1736862
2024-10-11,573.0,576.23,560.26,574.09,574.09,1271322
2024-10-14,574.09,574.09,559.31,569.18,569.18,1240203
2024-10-15,568.03,573.27,558.12,569.66,569.66,1283475
2024-10-16,566.35,585.55,565.05,581.05,581.05,1587255
2024-10-17,581.17,582.82,566.71,573.5,573.5,727179
2024-10-18,566.37,589.71,560.64,581.17,581.17,1874736
2024-10-21,585.45,586.77,573.12,584.66,584.66,1827921
2024-10-22,582.24,587.59,568.02,581.6,581.6,1177338
2024-10-23,579.92,595.95,565.73,585.27,585.27,2593944
2024-10-24,589.32,592.04,573.17,585.98,585.98,1706895
2024-10-25,586.11,586.11,539.35,545.33,545.33,2126616
2024-10-28,541.66,581.83,541.66,578.77,578.77,2257674
2024-10-29,578.77,592.69,569.92,588.31,588.31,1814706
2024-10-30,583.15,594.34,576.97,581.89,581.89,1987452
2024-10-31,582.01,593.02,577.58,590.47,590.47,953877
2024-11-01,591.05,600.79,589.93,596.35,596.35,175584
2024-11-04,598.3,598.63,583.65,592.48,592.48,855108
2024-11-05,598.3,616.16,593.6,613.83,613.83,3987189
2024-11-06,622.21,628.4,610.47,625.12,625.12,2496411
2024-11-07,625.14,632.37,617.17,628.66,628.66,2279919
2024-11-08,625.17,625.47,606.55,616.56,616.56,1457607
2024-11-11,606.9,624.41,606.9,614.11,614.11,2190018
2024-11-12,615.17,620.31,605.58,615.63,615.63,819159
2024-11-13,608.92,616.33,607.4,609.55,609.55,1463919
2024-11-14,607.89,613.15,604.58,609.81,609.81,898587
2024-11-18,608.55,614.82,603.77,613.37,613.37,815415
2024-11-19,609.56,616.82,605.25,612.72,612.72,2226522
2024-11-21,612.7,613.5,573.16,581.07,581.07,1678056
2024-11-22,580.9,595.32,577.15,592.83,592.83,1371972
2024-11-25,595.8,601.86,579.43,582.71,582.71,1868106
2024-11-26,580.44,584.41,578.72,580.41,580.41,1146546
2024-11-27,582.76,583.75,578.56,579.58,579.58,785634
2024-11-28,579.58,595.49,579.58,593.03,593.03,1719531
2024-11-29,595.34,608.75,590.88,598.73,598.73,1381137
2024-12-02,601.92,623.42,598.63,616.21,616.21,2222439
2024-12-03,616.82,621.72,612.19,617.47,617.47,357378
2024-12-04,620.72,620.72,609.23,614.72,614.72,438192
2024-12-05,613.51,618.48,608.9,618.09,618.09,1317216
2024-12-06,619.14,635.34,605.91,616.85,616.85,4915974
2024-12-09,613.18,618.14,606.06,613.66,613.66,828084
2024-12-10,611.91,614.62,603.61,611.3,611.3,1132299
2024-12-11,609.02,614.84,604.14,607.13,607.13,372555
2024-12-12,606.57,607.03,598.96,603.77,603.77,823365
2024-12-13,601.97,603.56,591.69,601.54,601.54,515490
2024-12-16,601.54,614.54,600.96,606.85,606.85,521652
2024-12-17,608.55,610.84,588.03,591.06,591.06,646917
2024-12-18,588.71,598.3,585.75,595.14,595.14,2126148
2024-12-19,580.28,598.56,580.21,592.94,592.94,852081
2024-12-20,592.94,605.18,564.9,581.63,581.63,2402604
2024-12-23,576.44,580.77,565.57,576.9,576.9,1001769
2024-12-24,572.11,575.48,561.7,574.32,574.32,1109139
2024-12-26,572.34,574.32,562.99,568.96,568.96,2879901
2024-12-27,574.16,581.1,567.06,578.31,578.31,1860681
2024-12-30,577.13,590.2,567.48,586.66,586.66,418839
2024-12-31,583.4,595.32,575.74,589.35,589.35,880551
2025-01-01,582.29,603.59,582.29,598.53,598.53,845361
2025-01-02,598.3,613.86,596.7,607.91,607.91,754530
2025-01-03,606.4,620.13,603.82,616.77,616.77,2510709
2025-01-06,618.14,629.06,602.93,614.29,614.29,1960917
2025-01-07,612.57,623.44,609.55,617.0,617.0,987075
2025-01-08,622.06,623.11,606.92,613.71,613.71,1903611
2025-01-09,610.19,618.97,607.25,614.66,614.66,964644
2025-01-10,618.13,618.13,592.02,600.22,600.22,1940754
2025-01-13,593.01,595.32,579.25,587.52,587.52,1470954
2025-01-14,594.99,604.58,588.76,604.07,604.07,1586763
