date,open,high,low,close,adj_close,volume
2024-07-11,4551.09,4592.74,4477.4,4574.07,4574.07,
2024-07-12,4655.18,4881.95,4585.06,4762.65,4762.65,
2024-07-15,4828.52,4828.52,4722.78,4748.78,4748.78,
2024-07-16,4754.23,4826.68,4717.24,4774.49,4774.49,
2024-07-18,4781.96,4870.07,4694.36,4849.46,4849.46,
2024-07-19,4754.08,4754.08,4491.76,4539.75,4539.75,
2024-07-22,4539.75,4758.29,4449.17,4713.62,4713.62,
2024-07-23,4706.69,4800.78,4512.36,4764.28,4764.28,
2024-07-24,4745.32,4791.32,4714.61,4772.56,4772.56,
2024-07-25,4694.8,4769.09,4650.23,4672.07,4672.07,
2024-07-26,4674.99,4786.92,4674.99,4727.44,4727.44,
2024-07-29,4777.66,4798.8,4709.66,4733.04,4733.04,
2024-07-30,4741.36,4753.19,4682.82,4731.06,4731.06,
2024-07-31,4776.22,4917.46,4744.33,4786.22,4786.22,
2024-08-01,4833.42,4836.89,4709.81,4750.72,4750.72,
2024-08-02,4699.76,4740.27,4582.83,4592.14,4592.14,
2024-08-05,4401.63,4544.25,4367.06,4493.34,4493.34,
2024-08-06,4467.0,4592.14,4436.99,4456.55,4456.55,
2024-08-07,4516.52,4649.19,4490.77,4631.56,4631.56,
2024-08-08,4614.72,4654.2,4556.14,4567.43,4567.43,
2024-08-09,4605.66,4696.69,4590.81,4654.24,4654.24,
2024-08-12,4615.57,4701.44,4556.14,4631.31,4631.31,
2024-08-13,4645.28,4734.42,4625.97,4667.62,4667.62,
2024-08-14,4699.76,4742.35,4636.71,4718.67,4718.67,
2024-08-16,4803.75,4891.71,4779.04,4810.84,4810.84,
2024-08-19,4858.23,4875.07,4772.95,4828.02,4828.02,
2024-08-20,4873.09,4949.25,4858.28,4888.09,4888.09,
2024-08-21,4887.94,4902.11,4843.37,4865.76,4865.76,
2024-08-22,4897.85,4950.05,4875.61,4912.46,4912.46,
2024-08-23,4912.71,4920.63,4808.71,4835.95,4835.95,
2024-08-26,4912.71,4996.6,4882.99,4945.79,4945.79,
2024-08-27,4957.28,5020.12,4853.28,4862.74,4862.74,
2024-08-28,4878.04,5001.85,4793.95,4950.29,4950.29,
2024-08-29,4934.5,5046.72,4911.67,5029.53,5029.53,
2024-08-30,5041.47,5214.75,5017.5,5121.55,5121.55,
2024-09-02,5164.78,5219.75,5126.7,5157.15,5157.15,
2024-09-03,5157.15,5271.9,5137.64,5240.2,5240.2,
2024-09-04,5199.59,5218.61,5097.58,5199.69,5199.69,
2024-09-05,5238.57,5238.57,5180.33,5214.45,5214.45,
