date,open,high,low,close,adj_close,volume
2024-07-11,523.36,530.71,517.76,527.75,527.75,
2024-07-12,530.53,536.45,506.9,513.46,513.46,
2024-07-15,518.78,523.82,511.89,516.1,516.1,
2024-07-16,517.02,519.48,505.0,508.28,508.28,
2024-07-18,506.85,515.04,493.95,506.48,506.48,
2024-07-19,503.15,510.55,492.05,493.62,493.62,
2024-07-22,488.35,506.57,486.69,503.71,503.71,
2024-07-23,505.46,510.41,467.08,484.24,484.24,
2024-07-24,484.24,496.91,481.0,485.67,485.67,
2024-07-25,481.88,487.71,476.1,485.62,485.62,
2024-07-26,492.5,503.1,484.28,500.87,500.87,
2024-07-29,500.91,515.64,499.05,513.78,513.78,
2024-07-30,514.67,522.75,508.58,515.5,515.5,
2024-07-31,516.01,519.22,512.06,517.45,517.45,
2024-08-01,513.04,519.96,503.23,504.49,504.49,
2024-08-02,497.19,501.66,488.23,489.11,489.11,
2024-08-05,469.41,487.11,456.02,462.86,462.86,
2024-08-06,470.24,490.32,438.04,440.55,440.55,
2024-08-07,459.56,466.25,444.22,457.65,457.65,
2024-08-08,460.02,467.83,451.98,457.37,457.37,
2024-08-09,464.3,472.89,460.07,465.27,465.27,
2024-08-12,464.57,467.87,456.02,461.55,461.55,
2024-08-13,456.3,462.72,447.01,448.54,448.54,
2024-08-14,450.73,453.75,445.01,450.4,450.4,
2024-08-16,458.63,469.45,454.49,468.62,468.62,
2024-08-19,471.17,476.7,467.59,469.27,469.27,
2024-08-20,472.94,485.72,468.52,484.37,484.37,
2024-08-21,484.37,487.25,475.45,479.21,479.21,
2024-08-22,482.14,482.37,477.91,480.93,480.93,
2024-08-23,483.72,486.04,477.21,478.42,478.42,
2024-08-26,483.39,484.69,475.35,478.05,478.05,
2024-08-27,478.61,499.98,476.05,498.54,498.54,
2024-08-28,500.45,506.95,493.99,501.14,501.14,
2024-08-29,507.42,517.18,502.26,515.27,515.27,
2024-08-30,518.64,523.5,511.44,513.73,513.73,
2024-09-02,516.58,517.93,504.89,511.48,511.48,
2024-09-03,511.34,525.18,504.94,522.42,522.42,
2024-09-04,512.75,520.13,510.41,519.1,519.1,
2024-09-05,520.69,529.48,519.15,521.86,521.86,
2024-09-06,518.82,522.42,506.25,509.75,509.75,
2024-09-09,505.73,508.96,479.75,489.47,489.47,
2024-09-10,494.05,494.05,475.4,477.46,477.46,
2024-09-11,477.69,481.9,466.75,468.72,468.72,
2024-09-12,472.5,476.24,461.8,473.3,473.3,
2024-09-13,477.41,477.97,464.6,466.94,466.94,
