date,open,high,low,close,adj_close,volume
2024-07-11,391.7,397.69,373.71,393.6,393.6,1951550
2024-07-12,397.69,397.69,370.52,376.31,376.31,1722175
2024-07-15,377.71,379.61,356.93,364.37,364.37,1390868
2024-07-16,364.37,376.51,359.82,363.47,363.47,479618
2024-07-18,364.52,365.67,350.63,356.68,356.68,753988
2024-07-19,356.73,365.72,343.89,350.03,350.03,950576
2024-07-22,346.73,376.71,343.79,370.02,370.02,803207
2024-07-23,372.01,381.61,336.74,370.42,370.42,1639889
2024-07-24,387.7,407.64,384.31,400.34,400.34,1667110
2024-07-25,448.36,463.64,423.18,449.21,449.21,9312806
2024-07-26,461.75,468.54,434.17,441.26,441.26,2060383
2024-07-29,443.26,466.64,439.71,461.6,461.6,1455470
2024-07-30,461.6,462.35,439.66,443.01,443.01,1155328
2024-07-31,444.56,448.66,429.67,444.16,444.16,883448
2024-08-01,443.21,450.65,429.72,434.37,434.37,717908
2024-08-02,422.68,437.56,420.03,434.07,434.07,696801
2024-08-05,407.69,429.67,403.69,410.14,410.14,1170709
2024-08-06,421.73,433.67,416.73,427.92,427.92,637855
2024-08-07,437.46,437.46,419.73,426.42,426.42,610734
2024-08-08,421.68,434.67,421.33,424.62,424.62,391006
2024-08-09,427.67,440.26,421.18,430.12,430.12,442223
2024-08-12,430.77,451.45,424.72,441.81,441.81,1085385
2024-08-13,445.76,450.65,428.67,432.67,432.67,707466
2024-08-14,432.67,444.66,414.13,435.82,435.82,1003211
2024-08-16,441.51,494.62,439.66,489.72,489.72,3280659
2024-08-19,499.62,534.59,498.67,519.45,519.45,2956466
2024-08-20,524.8,541.38,511.86,531.34,531.34,1469087
2024-08-21,533.69,538.49,521.35,525.5,525.5,752854
2024-08-22,532.94,559.57,526.85,555.12,555.12,1430401
2024-08-23,566.57,591.55,552.93,557.72,557.72,2338007
2024-08-26,563.67,566.47,516.6,520.75,520.75,2424946
2024-08-27,523.6,534.54,502.81,504.81,504.81,1290041
2024-08-28,505.11,518.3,500.62,507.51,507.51,752372
2024-08-29,508.46,509.76,486.78,489.62,489.62,1369619
2024-08-30,493.37,534.54,487.53,524.75,524.75,1988390
2024-09-02,536.59,539.59,510.61,513.46,513.46,1312811
2024-09-03,519.6,545.98,517.6,541.28,541.28,1296785
2024-09-04,537.59,570.66,531.99,567.02,567.02,1642020
2024-09-05,571.56,606.53,569.61,590.65,590.65,1860013
2024-09-06,596.44,622.52,591.85,601.39,601.39,1994407
2024-09-09,609.83,623.52,580.75,613.43,613.43,1891101
2024-09-10,619.52,647.2,603.64,617.48,617.48,1762238
2024-09-11,623.52,646.15,604.74,609.73,609.73,1471637
2024-09-12,615.43,629.52,608.43,614.33,614.33,841361
2024-09-13,634.51,637.51,604.59,613.93,613.93,1519168
2024-09-16,618.48,636.51,607.53,614.23,614.23,1087873
2024-09-17,612.48,623.52,593.64,620.77,620.77,1370881
2024-09-18,622.42,647.5,620.62,638.91,638.91,1398668
2024-09-19,640.51,642.21,603.54,616.08,616.08,1490709
2024-09-20,618.48,629.52,596.19,613.03,613.03,5480244
2024-09-23,617.83,621.63,609.73,611.73,611.73,562280
2024-09-24,614.13,636.72,612.73,633.72,633.72,798176
2024-09-25,638.72,693.69,638.72,674.45,674.45,3166575
2024-09-26,676.55,680.3,659.66,673.45,673.45,1000662
2024-09-27,672.95,679.35,660.86,663.91,663.91,1508392
2024-09-30,662.56,666.76,638.72,642.82,642.82,789897
2024-10-01,642.77,648.11,612.83,631.77,631.77,1158293
