date,open,high,low,close,adj_close,volume
2024-07-11,1988.95,2040.79,1949.57,1960.79,1960.79,1121012
2024-07-12,1969.01,1969.01,1912.68,1945.51,1945.51,830250
2024-07-15,1949.57,2013.87,1899.75,1988.2,1988.2,1153836
2024-07-16,2023.84,2043.28,1992.91,2032.09,2032.09,624238
2024-07-18,2026.34,2062.23,2001.41,2041.44,2041.44,577772
2024-07-19,2036.8,2036.8,1949.62,1974.92,1974.92,383838
2024-07-22,1969.01,1969.01,1797.53,1855.85,1855.85,1052886
2024-07-23,1853.36,1907.12,1787.06,1885.02,1885.02,594452
2024-07-24,1879.33,1881.78,1769.12,1777.24,1777.24,734750
2024-07-25,1769.54,1769.54,1710.62,1744.82,1744.82,1120652
2024-07-26,1758.03,1791.05,1740.21,1762.76,1762.76,634448
2024-07-29,1829.44,1831.5,1772.11,1808.57,1808.57,583704
2024-07-30,1808.95,1939.15,1807.03,1844.02,1844.02,1185886
2024-07-31,1862.56,1871.68,1784.7,1793.15,1793.15,738010
2024-08-01,1793.3,1804.84,1744.59,1797.98,1797.98,949472
2024-08-02,1784.07,1793.37,1712.29,1730.91,1730.91,719368
2024-08-05,1644.5,1687.34,1553.77,1670.77,1670.77,2104614
2024-08-06,1653.97,1717.77,1607.36,1618.48,1618.48,982506
2024-08-07,1639.96,1663.89,1600.41,1630.14,1630.14,461584
2024-08-08,1634.53,1658.95,1617.06,1647.59,1647.59,610052
2024-08-09,1656.96,1689.86,1651.8,1676.35,1676.35,459606
2024-08-12,1675.95,1706.76,1650.03,1659.6,1659.6,530716
2024-08-13,1680.39,1721.76,1651.85,1709.15,1709.15,530164
2024-08-14,1699.8,1703.92,1651.38,1677.47,1677.47,303134
2024-08-16,1685.82,1700.13,1668.6,1682.23,1682.23,327018
2024-08-19,1687.97,1744.69,1682.88,1740.16,1740.16,187004
2024-08-20,1747.22,1795.12,1731.3,1787.23,1787.23,384552
2024-08-21,1766.19,1789.58,1731.35,1751.49,1751.49,405714
2024-08-22,1753.96,1852.03,1745.52,1842.07,1842.07,707120
2024-08-23,1842.07,1865.73,1773.15,1778.82,1778.82,847008
2024-08-26,1783.56,1811.09,1760.85,1803.48,1803.48,505482
2024-08-27,1803.48,1829.56,1794.15,1824.95,1824.95,328990
2024-08-28,1824.95,1852.63,1792.12,1836.13,1836.13,437252
2024-08-29,1811.34,1837.95,1797.61,1818.21,1818.21,298172
2024-08-30,1812.09,1915.9,1798.79,1881.68,1881.68,2094294
2024-09-02,1888.97,1904.02,1832.06,1855.4,1855.4,325222
2024-09-03,1847.04,1865.13,1807.1,1815.94,1815.94,372218
2024-09-04,1818.73,1827.02,1789.78,1809.32,1809.32,348322
2024-09-05,1802.11,1818.08,1782.16,1793.6,1793.6,787150
2024-09-06,1824.55,1892.91,1792.75,1800.49,1800.49,1477830
2024-09-09,1814.66,1834.28,1728.53,1746.1,1746.1,495350
2024-09-10,1759.63,1803.11,1759.2,1780.07,1780.07,392166
2024-09-11,1790.63,1801.61,1712.28,1717.09,1717.09,382846
2024-09-12,1732.24,1743.65,1669.32,1679.4,1679.4,476524
2024-09-13,1694.28,1697.18,1642.56,1668.72,1668.72,1086434
2024-09-16,1686.77,1772.16,1645.16,1763.29,1763.29,716332
2024-09-17,1774.63,1786.83,1736.84,1743.55,1743.55,502892
2024-09-18,1757.1,1779.64,1677.93,1720.09,1720.09,457888
2024-09-19,1742.2,1774.65,1684.15,1763.07,1763.07,526008
2024-09-20,1817.08,1946.88,1719.29,1841.09,1841.09,1296237
2024-09-23,1877.89,1886.97,1786.78,1801.41,1801.41,477663
2024-09-24,1798.61,1862.96,1766.22,1817.43,1817.43,555747
2024-09-25,1816.98,1817.93,1783.44,1789.23,1789.23,297607
2024-09-26,1802.01,1824.87,1777.15,1810.19,1810.19,362455
2024-09-27,1787.13,1964.85,1698.87,1855.57,1855.57,1288402
2024-09-30,1807.65,1866.95,1748.29,1842.69,1842.69,1349743
2024-10-01,1847.04,1847.88,1730.67,1750.34,1750.34,876644
2024-10-03,1689.14,1714.95,1637.72,1655.89,1655.89,1478637
2024-10-04,1677.31,1685.39,1557.5,1669.62,1669.62,1828038
2024-10-07,1677.36,1707.26,1652.35,1671.07,1671.07,708402
2024-10-08,1642.66,1708.41,1637.37,1653.75,1653.75,1238984
2024-10-09,1682.3,1753.93,1655.54,1725.98,1725.98,1134548
2024-10-10,1712.25,1732.12,1656.04,1665.33,1665.33,493406
2024-10-11,1664.83,1664.83,1619.45,1626.34,1626.34,410264
2024-10-14,1632.38,1643.66,1600.43,1612.56,1612.56,337036
2024-10-15,1612.56,1667.32,1593.54,1653.1,1653.1,848755
2024-10-16,1653.1,1682.25,1638.07,1675.26,1675.26,249539
2024-10-17,1675.26,1680.05,1607.42,1621.0,1621.0,244018
2024-10-18,1599.43,1627.69,1596.19,1608.22,1608.22,297435
2024-10-21,1597.29,1627.39,1560.2,1569.68,1569.68,398951
2024-10-22,1566.29,1602.43,1488.76,1581.31,1581.31,1257228
2024-10-23,1534.54,1577.27,1508.03,1563.39,1563.39,783120
2024-10-24,1563.39,1566.09,1510.58,1521.16,1521.16,712236
2024-10-25,1521.26,1532.39,1451.77,1480.22,1480.22,828963
2024-10-28,1425.71,1493.25,1335.91,1461.5,1461.5,2617068
2024-10-29,1458.61,1546.62,1427.41,1515.82,1515.82,1216356
2024-10-30,1517.56,1600.73,1489.81,1563.89,1563.89,1048699
2024-10-31,1558.5,1607.42,1509.43,1519.71,1519.71,830897
2024-11-01,1556.5,1557.5,1527.5,1547.72,1547.72,42893
2024-11-04,1550.51,1551.01,1471.19,1494.0,1494.0,900261
2024-11-05,1492.45,1517.02,1461.25,1498.35,1498.35,614202
2024-11-06,1507.48,1544.47,1492.6,1509.68,1509.68,478473
2024-11-07,1517.36,1552.46,1508.18,1512.92,1512.92,293710
2024-11-08,1503.59,1513.12,1469.64,1474.53,1474.53,298399
2024-11-11,1463.65,1482.22,1436.0,1460.01,1460.01,570537
2024-11-12,1468.69,1516.52,1448.67,1490.66,1490.66,448658
2024-11-13,1468.64,1477.63,1430.7,1443.68,1443.68,361711
2024-11-14,1457.51,1459.61,1389.87,1395.71,1395.71,638027
2024-11-18,1417.97,1481.12,1404.05,1459.46,1459.46,990291
2024-11-19,1461.06,1497.5,1448.53,1478.98,1478.98,355739
2024-11-21,1457.71,1542.37,1457.71,1531.79,1531.79,745805
2024-11-22,1522.56,1635.18,1512.57,1624.74,1624.74,943118
2024-11-25,1646.41,1688.29,1631.83,1668.07,1668.07,1953750
2024-11-26,1672.37,1686.29,1634.73,1641.37,1641.37,453361
2024-11-27,1658.14,1690.89,1647.41,1682.45,1682.45,521726
2024-11-28,1698.72,1724.93,1672.47,1689.24,1689.24,956353
2024-11-29,1688.04,1707.31,1648.6,1653.6,1653.6,821179
2024-12-02,1653.6,1721.84,1648.45,1715.0,1715.0,1296140
2024-12-03,1722.24,1757.08,1693.28,1742.7,1742.7,848890
2024-12-04,1742.7,1806.65,1737.21,1759.53,1759.53,829615
2024-12-05,1777.65,1815.09,1735.41,1802.11,1802.11,391675
2024-12-06,1797.17,1797.17,1742.3,1768.51,1768.51,414738
2024-12-09,1767.16,1807.1,1758.73,1794.27,1794.27,695470
2024-12-10,1790.13,1898.95,1786.33,1860.66,1860.66,1382873
2024-12-11,1857.12,1876.99,1834.66,1865.11,1865.11,244866
2024-12-12,1856.02,1887.87,1812.09,1842.89,1842.89,359511
2024-12-13,1816.23,1846.99,1755.18,1772.46,1772.46,701301
2024-12-16,1778.15,1829.06,1765.67,1821.63,1821.63,329657
2024-12-17,1817.08,1854.02,1762.17,1768.76,1768.76,521347
2024-12-18,1777.15,1792.77,1702.87,1712.2,1712.2,332903
