date,open,high,low,close,adj_close,volume
2024-07-11,1563.77,1568.24,1543.22,1562.04,1562.04,
2024-07-12,1562.04,1568.19,1549.79,1555.22,1555.22,
2024-07-15,1556.39,1577.78,1551.44,1566.76,1566.76,
2024-07-16,1570.69,1578.62,1555.67,1568.81,1568.81,
2024-07-18,1573.18,1594.43,1556.83,1577.83,1577.83,
2024-07-19,1577.83,1602.36,1542.28,1548.85,1548.85,
2024-07-22,1551.44,1558.86,1534.94,1556.56,1556.56,
2024-07-23,1556.56,1581.58,1531.31,1569.43,1569.43,
2024-07-24,1571.27,1576.18,1538.07,1543.85,1543.85,
2024-07-25,1539.93,1546.96,1530.2,1544.18,1544.18,
2024-07-26,1547.16,1563.74,1544.48,1556.99,1556.99,
2024-07-29,1560.49,1570.2,1554.36,1565.18,1565.18,
2024-07-30,1565.75,1603.99,1559.87,1567.24,1567.24,
2024-07-31,1569.23,1596.47,1567.24,1582.34,1582.34,
2024-08-01,1585.15,1592.5,1547.01,1550.01,1550.01,
2024-08-02,1549.32,1566.75,1544.4,1556.34,1556.34,
2024-08-05,1539.44,1558.03,1520.96,1526.0,1526.0,
2024-08-06,1522.13,1555.8,1511.43,1517.21,1517.21,
2024-08-07,1531.27,1587.11,1517.59,1565.68,1565.68,
2024-08-08,1581.27,1628.3,1564.26,1573.35,1573.35,
2024-08-09,1593.02,1595.5,1539.44,1555.9,1555.9,
2024-08-12,1554.33,1554.33,1509.71,1515.5,1515.5,
2024-08-13,1504.92,1523.72,1500.73,1513.17,1513.17,
2024-08-14,1514.11,1519.57,1489.5,1505.05,1505.05,
2024-08-16,1514.61,1520.56,1502.24,1518.26,1518.26,
2024-08-19,1533.48,1533.77,1515.1,1517.88,1517.88,
2024-08-20,1528.51,1531.12,1514.75,1522.77,1522.77,
2024-08-21,1523.82,1531.99,1511.38,1518.45,1518.45,
2024-08-22,1524.04,1560.29,1522.05,1552.89,1552.89,
2024-08-23,1556.77,1556.77,1529.5,1531.81,1531.81,
2024-08-26,1531.81,1545.37,1520.49,1543.73,1543.73,
2024-08-27,1543.38,1546.88,1529.5,1539.01,1539.01,
2024-08-28,1546.88,1546.88,1524.81,1531.07,1531.07,
2024-08-29,1529.55,1536.95,1513.14,1529.93,1529.93,
2024-08-30,1529.93,1558.55,1525.08,1551.01,1551.01,
2024-09-02,1564.26,1580.03,1557.11,1570.32,1570.32,
2024-09-03,1573.18,1597.66,1570.4,1575.96,1575.96,
2024-09-04,1575.19,1612.24,1575.19,1596.52,1596.52,
2024-09-05,1596.52,1601.96,1579.91,1593.66,1593.66,
2024-09-06,1594.06,1618.39,1591.58,1605.83,1605.83,
2024-09-09,1615.91,1639.45,1599.08,1625.82,1625.82,
2024-09-10,1630.81,1633.76,1602.55,1604.71,1604.71,
2024-09-11,1623.83,1637.14,1613.87,1616.06,1616.06,
2024-09-12,1613.92,1628.82,1599.52,1623.68,1623.68,
2024-09-13,1623.36,1654.15,1609.45,1643.72,1643.72,
2024-09-16,1648.69,1648.69,1628.0,1641.11,1641.11,
2024-09-17,1643.69,1644.22,1620.55,1623.41,1623.41,
2024-09-18,1623.88,1624.38,1569.78,1585.27,1585.27,
2024-09-19,1601.51,1613.73,1581.65,1610.94,1610.94,
2024-09-20,1613.53,1637.93,1601.51,1632.35,1632.35,
2024-09-23,1638.21,1641.14,1627.68,1636.44,1636.44,
2024-09-24,1636.44,1652.58,1615.91,1621.4,1621.4,
2024-09-25,1621.4,1623.86,1597.54,1617.25,1617.25,
2024-09-26,1617.25,1640.32,1611.94,1633.61,1633.61,
2024-09-27,1636.27,1673.76,1626.17,1670.26,1670.26,
2024-09-30,1680.47,1695.86,1663.66,1668.25,1668.25,
2024-10-01,1682.03,1686.63,1654.25,1658.69,1658.69,
2024-10-03,1608.96,1650.67,1608.96,1638.65,1638.65,
2024-10-04,1623.86,1638.26,1585.35,1593.46,1593.46,
2024-10-07,1602.5,1602.5,1558.83,1565.9,1565.9,
2024-10-08,1567.87,1585.07,1540.53,1581.77,1581.77,
2024-10-09,1596.22,1608.66,1574.22,1576.33,1576.33,
2024-10-10,1579.16,1585.22,1553.34,1558.16,1558.16,
2024-10-11,1569.18,1569.18,1540.6,1544.5,1544.5,
2024-10-14,1555.82,1563.25,1539.58,1555.05,1555.05,
2024-10-15,1572.21,1597.54,1559.55,1571.09,1571.09,
2024-10-16,1574.2,1584.35,1559.82,1579.21,1579.21,
2024-10-17,1579.16,1591.08,1560.29,1566.47,1566.47,
2024-10-18,1566.47,1640.94,1566.47,1581.15,1581.15,
2024-10-21,1581.15,1591.45,1557.44,1566.0,1566.0,
2024-10-22,1566.75,1580.88,1544.4,1553.07,1553.07,
2024-10-23,1551.35,1566.43,1530.74,1534.82,1534.82,
2024-10-24,1557.31,1599.03,1529.03,1550.14,1550.14,
2024-10-25,1562.48,1595.3,1556.82,1578.64,1578.64,
2024-10-28,1593.07,1593.07,1565.06,1570.05,1570.05,
2024-10-29,1570.05,1575.89,1529.03,1543.9,1543.9,
2024-10-30,1555.8,1576.18,1539.93,1566.05,1566.05,
2024-10-31,1566.05,1583.41,1549.17,1562.2,1562.2,
2024-11-01,1564.24,1573.38,1562.28,1568.61,1568.61,
2024-11-04,1568.61,1573.2,1534.97,1549.64,1549.64,
2024-11-05,1546.96,1561.26,1530.4,1541.69,1541.69,
2024-11-06,1544.4,1585.67,1541.69,1579.56,1579.56,
2024-11-07,1587.6,1599.03,1556.15,1568.41,1568.41,
2024-11-08,1573.38,1576.93,1547.88,1552.2,1552.2,
2024-11-11,1545.02,1554.11,1530.5,1539.26,1539.26,
2024-11-12,1540.43,1549.79,1505.94,1509.79,1509.79,
2024-11-13,1502.19,1508.8,1474.03,1484.09,1484.09,
2024-11-14,1489.78,1509.61,1474.7,1500.55,1500.55,
2024-11-18,1527.02,1527.17,1493.28,1499.36,1499.36,
2024-11-19,1494.39,1505.44,1480.61,1490.72,1490.72,
2024-11-21,1499.21,1499.71,1452.98,1459.01,1459.01,
2024-11-22,1455.29,1483.82,1448.51,1468.2,1468.2,
2024-11-25,1479.84,1505.2,1470.98,1482.92,1482.92,
2024-11-26,1494.74,1504.1,1484.88,1495.76,1495.76,
2024-11-27,1495.76,1522.05,1482.82,1512.5,1512.5,
2024-11-28,1521.06,1521.06,1490.35,1511.58,1511.58,
2024-11-29,1512.12,1526.95,1505.37,1522.65,1522.65,
2024-12-02,1522.68,1561.66,1517.64,1555.57,1555.57,
2024-12-03,1556.15,1571.69,1532.33,1563.77,1563.77,
2024-12-04,1563.27,1593.34,1554.71,1591.45,1591.45,
2024-12-05,1599.03,1608.96,1572.24,1585.1,1585.1,
2024-12-06,1580.16,1587.21,1563.54,1570.35,1570.35,
2024-12-09,1565.75,1573.53,1549.37,1569.6,1569.6,
2024-12-10,1564.76,1598.53,1564.31,1595.62,1595.62,
2024-12-11,1606.4,1606.4,1577.67,1584.72,1584.72,
2024-12-12,1585.42,1596.54,1570.0,1584.18,1584.18,
2024-12-13,1581.05,1589.07,1556.84,1581.74,1581.74,
2024-12-16,1589.09,1596.22,1577.67,1586.04,1586.04,
2024-12-17,1584.4,1584.4,1526.0,1530.17,1530.17,
