date,open,high,low,close,adj_close,volume
2024-07-11,3814.91,3838.08,3775.78,3831.23,3831.23,
2024-07-12,3837.33,3890.8,3813.82,3870.07,3870.07,
2024-07-15,3894.27,3894.27,3809.26,3835.89,3835.89,
2024-07-16,3836.04,3884.6,3829.1,3849.53,3849.53,
2024-07-18,3862.83,3896.85,3818.24,3873.74,3873.74,
2024-07-19,3873.74,3889.21,3781.48,3804.6,3804.6,
2024-07-22,3819.13,3999.72,3746.76,3976.01,3976.01,
2024-07-23,3987.82,4025.81,3800.48,3993.12,3993.12,
2024-07-24,3993.12,3999.72,3919.72,3976.06,3976.06,
2024-07-25,3878.7,3998.73,3878.7,3976.01,3976.01,
2024-07-26,3993.62,4180.76,3977.9,4173.32,4173.32,
2024-07-29,4174.56,4393.59,4174.56,4361.65,4361.65,
2024-07-30,4364.78,4377.67,4316.61,4349.75,4349.75,
2024-07-31,4349.7,4431.29,4318.05,4395.28,4395.28,
2024-08-01,4404.8,4418.15,4334.32,4377.32,4377.32,
2024-08-02,4334.97,4370.58,4217.42,4244.65,4244.65,
2024-08-05,4186.22,4258.63,4151.65,4176.89,4176.89,
2024-08-06,4194.85,4294.44,4190.38,4230.61,4230.61,
2024-08-07,4374.7,4422.61,4291.27,4386.8,4386.8,
2024-08-08,4424.3,4513.57,4356.34,4421.57,4421.57,
2024-08-09,4563.17,4563.17,4429.6,4451.77,4451.77,
2024-08-12,4448.95,4481.68,4330.8,4405.45,4405.45,
2024-08-13,4428.26,4428.26,4325.19,4338.24,4338.24,
2024-08-14,4335.02,4337.74,4259.62,4299.6,4299.6,
2024-08-16,4354.86,4404.45,4268.55,4400.98,4400.98,
2024-08-19,4414.37,4432.63,4262.25,4288.99,4288.99,
2024-08-20,4299.33,4324.18,4231.73,4301.56,4301.56,
2024-08-21,4301.31,4378.3,4280.14,4342.67,4342.67,
2024-08-22,4343.06,4470.4,4340.13,4401.76,4401.76,
2024-08-23,4423.58,4430.34,4349.23,4394.26,4394.26,
2024-08-26,4422.84,4459.77,4366.67,4379.0,4379.0,
2024-08-27,4378.85,4462.7,4357.68,4432.08,4432.08,
2024-08-28,4431.54,4493.17,4395.2,4482.33,4482.33,
2024-08-29,4493.17,4500.08,4412.1,4436.95,4436.95,
2024-08-30,4445.7,4497.64,4434.02,4468.76,4468.76,
2024-09-02,4498.04,4582.63,4466.73,4550.67,4550.67,
2024-09-03,4582.58,4602.96,4495.65,4512.85,4512.85,
2024-09-04,4473.19,4562.75,4450.03,4475.08,4475.08,
2024-09-05,4505.1,4532.88,4463.54,4483.18,4483.18,
2024-09-06,4486.21,4633.28,4456.74,4585.86,4585.86,
2024-09-09,4585.86,4616.58,4538.6,4589.84,4589.84,
2024-09-10,4582.68,4673.09,4582.68,4662.8,4662.8,
2024-09-11,4666.13,4720.71,4583.18,4596.0,4596.0,
2024-09-12,4626.52,4663.35,4579.3,4616.03,4616.03,
2024-09-13,4621.9,4663.15,4609.03,4632.59,4632.59,
2024-09-16,4647.25,4671.2,4593.57,4628.86,4628.86,
2024-09-17,4647.25,4688.95,4584.17,4664.94,4664.94,
2024-09-18,4672.1,4677.02,4570.9,4627.27,4627.27,
2024-09-19,4632.34,4711.22,4580.05,4640.84,4640.84,
2024-09-20,4660.17,4775.53,4618.67,4688.0,4688.0,
2024-09-23,4718.42,4718.47,4637.31,4661.81,4661.81,
2024-09-24,4672.1,4737.66,4558.63,4589.84,4589.84,
2024-09-25,4588.1,4610.86,4495.8,4593.07,4593.07,
2024-09-26,4592.23,4613.25,4552.81,4596.6,4596.6,
2024-09-27,4607.48,4653.21,4562.8,4625.33,4625.33,
2024-09-30,4625.33,4692.97,4604.25,4628.11,4628.11,
2024-10-01,4658.18,4712.91,4628.11,4703.26,4703.26,
2024-10-03,4698.89,4730.75,4594.36,4632.78,4632.78,
2024-10-04,4624.48,4696.25,4543.42,4560.02,4560.02,
2024-10-07,4562.75,4597.54,4448.48,4470.8,4470.8,
2024-10-08,4463.4,4564.69,4446.25,4543.57,4543.57,
2024-10-09,4573.14,4591.38,4522.0,4577.91,4577.91,
2024-10-10,4588.1,4629.95,4498.19,4534.77,4534.77,
2024-10-11,4545.36,4564.69,4468.66,4496.75,4496.75,
2024-10-14,4516.48,4554.8,4453.55,4537.65,4537.65,
2024-10-15,4537.65,4537.65,4477.76,4530.84,4530.84,
2024-10-16,4532.93,4584.97,4501.12,4560.81,4560.81,
2024-10-17,4591.48,4591.48,4421.15,4436.51,4436.51,
2024-10-18,4433.47,4563.55,4380.89,4533.63,4533.63,
2024-10-21,4533.82,4607.58,4340.13,4373.98,4373.98,
2024-10-22,4359.67,4422.59,4277.65,4293.36,4293.36,
2024-10-23,4234.71,4385.01,4233.72,4326.31,4326.31,
2024-10-24,4308.32,4349.33,4273.58,4295.25,4295.25,
2024-10-25,4314.14,4337.99,4245.6,4301.96,4301.96,
2024-10-28,4309.22,4360.11,4285.71,4333.87,4333.87,
2024-10-29,4337.2,4393.81,4263.44,4384.77,4384.77,
2024-10-30,4413.25,4493.76,4379.35,4468.86,4468.86,
2024-10-31,4534.92,4536.11,4411.7,4461.85,4461.85,
2024-11-01,4461.85,4499.53,4365.18,4477.01,4477.01,
2024-11-04,4477.01,4477.01,4388.39,4437.15,4437.15,
2024-11-05,4448.43,4531.04,4414.84,4510.96,4510.96,
2024-11-06,4526.37,4596.85,4522.49,4586.81,4586.81,
2024-11-07,4608.48,4684.48,4561.81,4666.63,4666.63,
2024-11-08,4681.99,4687.01,4505.1,4535.37,4535.37,
2024-11-11,4542.87,4592.37,4439.64,4572.39,4572.39,
2024-11-12,4577.56,4620.76,4489.19,4521.9,4521.9,
2024-11-13,4518.02,4526.32,4374.82,4419.76,4419.76,
2024-11-14,4323.33,4323.33,4021.83,4239.93,4239.93,
2024-11-18,4234.71,4239.68,4114.23,4167.06,4167.06,
2024-11-19,4167.12,4184.96,4096.83,4124.17,4124.17,
2024-11-21,4110.45,4154.89,4049.42,4114.13,4114.13,
2024-11-22,4114.13,4156.18,4067.41,4092.21,4092.21,
2024-11-25,4100.21,4190.38,4088.09,4100.61,4100.61,
2024-11-26,4127.3,4135.26,4070.89,4079.44,4079.44,
2024-11-27,4079.44,4119.85,4042.91,4075.36,4075.36,
2024-11-28,4125.36,4125.41,4009.06,4018.55,4018.55,
2024-11-29,4022.03,4059.66,4018.55,4041.37,4041.37,
2024-12-02,4065.72,4080.63,4008.06,4070.89,4070.89,
2024-12-03,4090.57,4138.29,4072.68,4113.53,4113.53,
2024-12-04,4120.1,4242.12,4069.25,4152.65,4152.65,
2024-12-05,4153.2,4153.2,4091.57,4111.35,4111.35,
2024-12-06,4120.54,4120.54,4071.98,4114.68,4114.68,
2024-12-09,4094.55,4106.53,4027.95,4036.49,4036.49,
2024-12-10,4011.05,4113.14,4008.26,4089.88,4089.88,
2024-12-11,4100.51,4116.47,4069.4,4077.95,4077.95,
2024-12-12,4093.75,4104.44,3979.29,4027.65,4027.65,
2024-12-13,4037.14,4053.79,3930.13,3973.27,3973.27,
2024-12-16,3937.54,3992.11,3920.93,3932.47,3932.47,
2024-12-17,3945.44,3946.33,3856.97,3868.6,3868.6,
2024-12-18,3893.7,3918.5,3837.19,3861.24,3861.24,
2024-12-19,3858.26,3872.52,3802.34,3850.6,3850.6,
2024-12-20,3856.97,3881.17,3778.44,3791.11,3791.11,
2024-12-23,3791.11,3827.69,3766.51,3777.84,3777.84,
2024-12-24,3777.84,3783.75,3729.58,3766.66,3766.66,
2024-12-26,3769.84,3777.29,3705.87,3723.76,3723.76,
2024-12-27,3723.76,3731.02,3689.12,3722.02,3722.02,
2024-12-30,3722.67,3745.43,3653.78,3713.97,3713.97,
2024-12-31,3700.0,3710.69,3654.53,3663.77,3663.77,
2025-01-01,3668.09,3678.23,3625.65,3669.34,3669.34,
2025-01-02,3678.04,3707.86,3639.52,3697.27,3697.27,
2025-01-03,3707.81,3711.88,3604.52,3646.62,3646.62,
2025-01-06,3648.21,3665.41,3559.94,3578.83,3578.83,
2025-01-07,3602.39,3613.42,3564.66,3571.52,3571.52,
2025-01-08,3594.73,3631.17,3553.08,3608.9,3608.9,
2025-01-09,3613.42,3709.1,3608.9,3638.12,3638.12,
2025-01-10,3658.15,3678.04,3579.62,3593.04,3593.04,
2025-01-13,3580.62,3588.57,3374.85,3380.11,3380.11,
2025-01-14,3392.54,3487.13,3392.54,3442.64,3442.64,
2025-01-15,3465.06,3465.6,3419.58,3438.81,3438.81,
2025-01-16,3461.33,3484.74,3423.65,3459.79,3459.79,
2025-01-17,3461.63,3544.48,3458.4,3529.82,3529.82,
2025-01-20,3602.44,3602.44,3515.01,3576.09,3576.09,
2025-01-21,3595.48,3598.51,3483.2,3498.96,3498.96,
2025-01-22,3502.73,3540.76,3444.93,3479.87,3479.87,
2025-01-23,3501.64,3549.75,3461.98,3505.71,3505.71,
2025-01-24,3489.16,3523.51,3460.58,3480.81,3480.81,
2025-01-27,3480.81,3494.13,3337.07,3353.28,3353.28,
2025-01-28,3353.27,3395.47,3313.51,3328.03,3328.03,
2025-01-29,3330.11,3417.89,3307.75,3404.87,3404.87,
2025-01-30,3414.61,3459.29,3404.87,3436.08,3436.08,
2025-01-31,3448.41,3481.86,3366.94,3463.07,3463.07,
2025-02-01,3479.22,3520.48,3411.13,3461.03,3461.03,
2025-02-03,3455.46,3670.58,3455.46,3597.96,3597.96,
2025-02-04,3587.63,3587.63,3507.06,3553.23,3553.23,
2025-02-05,3578.63,3616.95,3516.4,3575.45,3575.45,
2025-02-06,3578.63,3643.14,3548.31,3619.83,3619.83,
2025-02-07,3507.4,3561.08,3430.51,3522.81,3522.81,
2025-02-10,3517.49,3578.58,3454.37,3503.28,3503.28,
2025-02-11,3479.22,3479.22,3355.71,3399.3,3399.3,
2025-02-12,3409.64,3420.18,3295.62,3336.72,3336.72,
