date,open,high,low,close,adj_close,volume
2024-07-11,117.01,117.2,115.72,116.04,116.04,
2024-07-12,116.43,116.43,114.19,114.42,114.42,
2024-07-15,114.77,117.93,114.19,117.52,117.52,
2024-07-16,117.99,118.71,115.84,116.48,116.48,
2024-07-18,116.61,117.5,114.82,115.49,115.49,
2024-07-19,115.99,116.42,112.93,113.23,113.23,
2024-07-22,113.12,115.35,111.53,114.83,114.83,
2024-07-23,115.07,115.6,109.35,114.43,114.43,
2024-07-24,114.2,115.78,112.5,113.27,113.27,
2024-07-25,112.78,114.63,112.09,114.4,114.4,
2024-07-26,113.95,116.91,113.73,116.57,116.57,
2024-07-29,121.34,125.17,120.06,123.42,123.42,
2024-07-30,123.42,124.1,121.38,121.98,121.98,
2024-07-31,122.45,122.45,119.27,120.46,120.46,
2024-08-01,120.99,122.16,118.45,119.49,119.49,
2024-08-02,117.59,118.22,116.19,116.87,116.87,
2024-08-05,114.65,114.65,110.01,110.73,110.73,
2024-08-06,112.73,114.48,110.29,110.61,110.61,
2024-08-07,112.73,112.98,110.82,112.67,112.67,
2024-08-08,112.98,113.02,110.6,110.81,110.81,
2024-08-09,112.49,113.21,110.64,112.02,112.02,
2024-08-12,111.71,112.63,110.61,111.37,111.37,
2024-08-13,112.07,112.72,110.4,111.08,111.08,
2024-08-14,111.32,111.86,109.35,110.37,110.37,
2024-08-16,108.85,110.35,108.75,109.86,109.86,
2024-08-19,111.12,112.61,110.64,111.97,111.97,
2024-08-20,112.25,114.58,111.73,114.05,114.05,
2024-08-21,114.08,114.43,112.02,113.13,113.13,
2024-08-22,113.36,114.66,113.27,114.06,114.06,
2024-08-23,114.37,114.58,112.84,113.0,113.0,
2024-08-26,113.04,113.55,112.55,112.89,112.89,
2024-08-27,112.98,113.37,112.44,112.69,112.69,
2024-08-28,112.78,113.06,111.29,111.52,111.52,
2024-08-29,111.52,112.63,111.28,112.28,112.28,
2024-08-30,112.57,114.24,112.57,113.29,113.29,
2024-09-02,113.65,114.18,112.36,113.24,113.24,
2024-09-03,113.31,113.9,112.05,112.33,112.33,
2024-09-04,110.84,111.3,109.57,109.76,109.76,
2024-09-05,110.47,110.67,108.99,110.21,110.21,
2024-09-06,109.72,109.94,106.66,106.9,106.9,
2024-09-09,106.32,107.09,104.18,106.54,106.54,
2024-09-10,107.09,107.51,106.29,106.5,106.5,
2024-09-11,106.63,107.38,103.84,104.43,104.43,
2024-09-12,105.64,106.39,103.99,105.66,105.66,
2024-09-13,106.42,109.43,105.76,107.98,107.98,
2024-09-16,108.17,109.04,107.15,107.69,107.69,
2024-09-17,107.69,107.78,104.78,104.99,104.99,
2024-09-18,105.25,106.88,104.74,105.69,105.69,
2024-09-19,106.76,107.05,102.63,104.23,104.23,
2024-09-20,104.96,106.09,103.32,105.36,105.36,
2024-09-23,105.53,108.75,105.45,108.37,108.37,
2024-09-24,107.87,108.11,104.57,104.79,104.79,
2024-09-25,104.45,104.45,100.7,102.09,102.09,
2024-09-26,102.24,104.46,101.62,104.27,104.27,
2024-09-27,104.76,106.51,104.27,106.14,106.14,
2024-09-30,105.82,106.18,103.8,104.19,104.19,
2024-10-01,101.07,103.18,100.94,102.25,102.25,
2024-10-03,100.34,103.74,100.1,102.1,102.1,
2024-10-04,101.27,104.38,101.22,102.87,102.87,
2024-10-07,103.17,104.38,97.96,99.2,99.2,
2024-10-08,99.2,100.39,98.3,99.6,99.6,
2024-10-09,100.63,102.45,99.67,101.17,101.17,
2024-10-10,101.9,102.38,100.23,100.77,100.77,
2024-10-11,101.07,102.34,100.39,101.96,101.96,
2024-10-14,102.04,102.72,101.81,102.05,102.05,
2024-10-15,102.24,102.55,101.56,102.02,102.02,
2024-10-16,101.71,102.37,101.54,102.09,102.09,
2024-10-17,102.11,102.28,99.15,99.57,99.57,
2024-10-18,99.86,101.19,99.54,100.36,100.36,
2024-10-21,100.37,101.51,98.89,99.41,99.41,
2024-10-22,99.41,100.23,91.74,92.28,92.28,
2024-10-23,93.3,94.52,89.8,93.96,93.96,
2024-10-24,93.47,97.77,93.42,95.97,95.97,
2024-10-25,96.11,96.57,90.6,93.02,93.02,
2024-10-28,93.54,99.08,93.28,95.86,95.86,
2024-10-29,99.56,99.72,94.56,98.48,98.48,
2024-10-30,98.54,99.03,96.99,97.15,97.15,
2024-10-31,97.18,97.61,93.88,95.14,95.14,
2024-11-01,95.91,98.32,95.83,98.14,98.14,
2024-11-04,97.95,101.05,96.36,100.73,100.73,
2024-11-05,100.81,102.21,99.44,101.76,101.76,
2024-11-06,102.78,104.23,102.25,103.97,103.97,
2024-11-07,103.39,104.86,103.05,103.7,103.7,
2024-11-08,103.94,103.94,101.19,101.84,101.84,
2024-11-11,100.69,103.11,100.34,102.18,102.18,
2024-11-12,102.53,103.35,100.44,100.81,100.81,
2024-11-13,100.39,100.88,97.18,97.73,97.73,
2024-11-14,98.25,99.59,96.5,96.69,96.69,
2024-11-18,97.86,99.4,95.17,97.7,97.7,
2024-11-19,98.3,100.8,97.62,98.02,98.02,
2024-11-21,97.23,97.49,92.14,93.66,93.66,
2024-11-22,94.37,97.43,94.32,97.01,97.01,
2024-11-25,100.2,102.51,100.09,101.18,101.18,
2024-11-26,101.53,102.48,101.18,102.15,102.15,
2024-11-27,102.14,102.48,100.93,101.44,101.44,
2024-11-28,101.95,104.23,101.37,103.3,103.3,
2024-11-29,103.84,104.12,100.76,101.95,101.95,
2024-12-02,101.79,102.48,101.14,102.04,102.04,
2024-12-03,102.49,105.25,102.34,104.93,104.93,
2024-12-04,105.69,107.39,104.78,106.91,106.91,
2024-12-05,107.46,107.49,105.25,106.01,106.01,
2024-12-06,106.61,108.0,104.16,107.0,107.0,
2024-12-09,107.0,107.39,105.45,105.71,105.71,
2024-12-10,105.93,107.91,105.55,107.36,107.36,
2024-12-11,107.77,107.8,105.35,105.52,105.52,
2024-12-12,105.93,106.05,104.21,104.78,104.78,
2024-12-13,103.99,105.1,101.23,104.7,104.7,
2024-12-16,104.96,105.83,104.62,105.13,105.13,
2024-12-17,104.95,105.33,102.68,103.01,103.01,
2024-12-18,102.64,102.98,99.83,100.13,100.13,
2024-12-19,97.19,101.42,96.76,100.6,100.6,
2024-12-20,100.15,100.97,97.67,97.93,97.93,
2024-12-23,98.63,99.56,97.18,98.53,98.53,
2024-12-24,98.56,99.33,97.93,98.78,98.78,
2024-12-26,98.84,100.38,98.78,99.28,99.28,
2024-12-27,99.37,100.29,98.35,98.58,98.58,
2024-12-30,98.78,100.39,97.9,98.89,98.89,
2024-12-31,98.16,100.14,98.16,99.89,99.89,
2025-01-01,99.47,100.39,98.9,99.77,99.77,
2025-01-02,99.77,102.94,98.59,102.51,102.51,
2025-01-03,102.48,104.23,102.26,103.4,103.4,
2025-01-06,103.37,103.37,98.43,98.87,98.87,
2025-01-07,99.13,101.64,99.13,100.21,100.21,
2025-01-08,100.33,100.55,98.22,99.1,99.1,
2025-01-09,99.03,99.42,97.91,99.16,99.16,
2025-01-10,98.87,99.01,95.55,95.86,95.86,
2025-01-13,95.24,95.73,91.98,92.73,92.73,
2025-01-14,92.76,96.39,92.76,95.64,95.64,
2025-01-15,96.21,97.13,94.75,95.48,95.48,
2025-01-16,96.7,99.03,96.53,97.4,97.4,
2025-01-17,97.32,97.86,96.53,97.31,97.31,
2025-01-20,97.96,99.86,96.65,98.16,98.16,
2025-01-21,98.79,98.98,96.68,97.49,97.49,
2025-01-22,97.49,97.95,93.54,95.43,95.43,
2025-01-23,95.13,97.18,94.47,96.63,96.63,
2025-01-24,96.46,96.98,93.79,94.87,94.87,
2025-01-27,94.27,94.46,91.99,92.82,92.82,
